StdEsReturn,MaxEsReturn,MinReturn,AverageAbsY,StdReturn,PolicyRegParamNorm,AverageAbsQYDiff,AverageAbsQ,MaxReturn,AverageQLoss,Iteration,AverageDiscountedReturn,QFunRegParamNorm,AveragePolicySurr,AverageAction,Epoch,AverageReturn,MinEsReturn,AverageY,AverageQ,AverageEsReturn
118.345037819,376.219945416,362.202003751,17.8553909257,22.0555312781,40.4447,0.420450457938,17.866,519.00319094,1.00022,107,207.355667518,47.1752,-18.3921,0.645952,107,495.05497083,39.3132219858,17.852280245,17.8508,195.445286598
142.824576215,483.766926238,340.345707887,18.0229905697,19.6815753054,40.6491,0.428520440237,18.0295,482.850041502,1.04582,108,188.315828193,47.4076,-18.5523,0.640362,108,435.116417716,12.5469156561,18.0196886487,18.0164,182.618448497
137.866307396,424.766040872,253.766600283,18.1800505438,117.569455955,40.8014,0.427718974333,18.1894,752.524254742,1.05086,109,173.879769276,47.6872,-18.7297,0.637389,109,376.843886096,8.52569180613,18.1765154712,18.1751,157.171577942
113.899180436,481.39572674,264.976937784,18.4285325887,75.4706836502,40.9467,0.429893767324,18.4369,613.424270924,1.11384,110,171.171661907,47.8733,-18.9657,0.628998,110,352.716648979,181.391180946,18.4263392545,18.4234,341.083735991
185.166116706,613.764058667,269.303797015,18.6043953209,96.0808939998,41.1182,0.421511958344,18.6137,607.529702827,0.981053,111,189.90929687,48.1001,-19.134,0.712212,111,437.711504302,17.4080874382,18.6017729314,18.6,252.627737753
119.091036825,354.287274599,320.422358143,18.7671514529,22.4990594318,41.2451,0.455698824058,18.7763,466.227973705,1.22791,112,174.99305159,48.366,-19.317,0.714282,112,368.870318644,27.092860733,18.7650178219,18.7624,247.730889612
119.213887241,359.396989742,241.180273604,18.8213560443,69.1169801939,41.3828,0.431639643776,18.8305,544.513198662,1.16223,113,172.589940572,48.6241,-19.3381,0.692796,113,363.631197003,22.9974617839,18.8184662591,18.8162,229.350331793
159.016679031,491.008842816,275.757699689,19.1151057357,127.939545185,41.5485,0.459076016996,19.1252,733.588038249,1.21815,114,183.141590595,48.8538,-19.6773,0.762452,114,449.741297724,34.4844042293,19.1125679445,19.1105,312.659557067
117.12660615,355.628370357,249.112295399,19.2082414662,84.3044756969,41.6424,0.453587987834,19.2177,673.323707152,1.13559,115,198.422545514,49.0769,-19.7453,0.742412,115,526.479699544,18.0466808098,19.2044123219,19.202,211.839857006
90.0914196019,451.059397419,246.493921978,19.3956000485,150.816263675,41.8033,0.446062281027,19.4104,708.012360739,1.03875,116,172.196674839,49.1817,-19.9737,0.727203,116,427.330852651,137.323631611,19.3917481311,19.3901,310.292000209
114.491258937,343.872524703,223.43156507,19.5525596441,83.7922651715,41.9437,0.46027014385,19.5633,513.595042489,1.22882,117,177.918149048,49.4332,-20.0986,0.749197,117,390.506041837,15.5652842779,19.5495866506,19.5483,239.650007046
