MaxEsReturn,AverageQLoss,AverageEsReturn,AverageDiscountedReturn,QFunRegParamNorm,AverageAbsQ,StdReturn,AverageAction,MaxReturn,MinReturn,AverageAbsQYDiff,AverageAbsY,Epoch,StdEsReturn,AverageReturn,Iteration,AverageY,PolicyRegParamNorm,AverageQ,AveragePolicySurr,MinEsReturn
216.957859888,22.9289,12.6421950688,109.564769473,69.227,109.152,24.8665535944,0.985352,221.748922573,121.943458877,1.68469944892,109.11769265,105,23.4812447852,172.247294133,105,109.102885312,36.2354,109.096,-55.129,5.37194872407
12.1615102356,22.6572,10.2177712326,112.46587945,69.51,109.611,13.0041614323,0.984994,221.935158881,143.040478783,1.69882921713,109.565868844,106,1.30743934823,180.150940565,106,109.554459769,36.3437,109.551,-55.3444,7.61616855352
13.407193677,24.9934,10.1811170308,117.300724957,69.8309,110.383,7.4442643787,0.979666,217.244037427,173.977228819,1.7319449138,110.348189187,107,1.54222150516,189.34136577,107,110.335253524,36.4085,110.33,-55.7441,4.23337163822
17.4172931478,23.3008,10.4942356361,113.484096189,70.0712,111.049,22.6882276635,0.960599,216.036458635,122.758485144,1.64073766083,111.006906492,108,1.80721747371,181.270142277,108,110.994935963,36.536,110.992,-56.0288,7.57175421176
12.8063508328,23.0649,10.3789501885,123.8903061,70.4025,111.261,9.93715111968,0.960052,217.458433186,148.43573544,1.68315290671,111.224714941,109,1.52044608225,206.469506672,109,111.209772984,36.6647,111.201,-56.0984,2.54878863922
14.6049151358,21.4435,9.41240072518,117.556748433,70.6597,111.889,19.1724676528,0.970413,227.963330239,123.256805624,1.6490212395,111.846026094,110,1.37131813535,191.470293691,110,111.836088449,36.8167,111.834,-56.5008,7.55339263789
127.95376618,22.1467,11.4546993069,108.886635988,70.8721,112.333,29.4101489474,0.959146,232.948869309,130.120634446,1.60155555214,112.295873561,111,13.464797415,171.681931728,111,112.285861734,36.9211,112.282,-56.7284,7.52563153673
206.874078109,23.1285,53.2117200449,100.539894263,71.1786,112.477,25.2954871051,0.956217,214.951284303,106.925659011,1.6464768073,112.438584145,112,68.7229796643,150.367822851,112,112.424685804,36.9822,112.419,-56.8146,8.24231396282
217.187054883,23.0896,63.9920274043,122.355783595,71.4491,112.945,13.7173043761,0.958668,223.694376996,132.026276824,1.66852850235,112.904488559,113,70.7009220945,200.140721724,113,112.892754871,37.1306,112.89,-56.9702,8.18756030052
197.484500325,22.1151,19.9153394714,123.023077609,71.7425,113.124,9.47851052873,0.923242,222.402421773,187.045650265,1.65081864728,113.0917329,114,36.4621872977,202.73440569,114,113.076055851,37.2104,113.068,-57.0307,3.17536029938
172.58488604,27.9784,19.4106283346,120.663082227,71.9515,113.767,26.0432570129,0.928083,244.064831003,108.436022611,1.74850208109,113.726159224,115,27.0293016762,198.377238724,115,113.710780822,37.3222,113.707,-57.3546,9.40427292525
233.990440257,21.5325,21.0291773317,124.437706878,72.1738,113.603,16.904732321,0.905815,249.784889996,133.275571414,1.60596534233,113.56706181,116,41.5821616977,214.690678012,116,113.553365187,37.4836,113.549,-57.2777,9.59678595203
189.005945748,26.9949,13.6524705808,129.236770171,72.4327,114.101,10.1009259522,0.832155,251.514762248,205.840053601,1.72565849469,114.069065166,117,22.3089694936,234.773452497,117,114.060282465,37.6211,114.056,-57.525,4.6616691583
64.8394733597,24.3788,11.8578140157,125.848013042,72.6513,113.842,19.1784481875,0.900634,259.466911905,151.086296873,1.67949918968,113.808400246,118,6.99825682042,215.284435493,118,113.795926771,37.7869,113.79,-57.4141,9.26161477463
192.003673267,25.288,17.4677949983,114.459810616,72.9159,114.666,27.0586383966,0.87854,233.282726503,129.603005607,1.69045585146,114.6262276,119,32.5121582863,204.415310252,119,114.615098289,37.9609,114.611,-57.813,8.01501256497
