AverageQ,QFunRegParamNorm,StdEsReturn,Iteration,MinEsReturn,AverageReturn,AverageAbsY,MaxReturn,MaxEsReturn,StdReturn,PolicyRegParamNorm,AverageY,MinReturn,AverageQLoss,AveragePolicySurr,AverageAbsQYDiff,Epoch,AverageEsReturn,AverageAbsQ,AverageDiscountedReturn,AverageAction
41.3587,93.3626,8.83554048877,60,3.0,1000.0,41.3599017236,1000.0,44.0,0.0,50.373,41.3575650784,1000.0,9.11904,-46.3425,1.33192214109,60,12.2073170732,41.421,99.9956828753,0.384267
42.3057,94.2461,10.4112619312,61,3.0,1000.0,42.3075212535,1000.0,61.0,0.0,50.9681,42.3043729014,1000.0,9.13402,-47.3098,1.32830065614,61,12.325,42.3705,99.9956828753,0.412463
43.0186,95.105,10.0763750096,62,3.0,1000.0,43.0203079183,1000.0,62.0,0.0,51.5149,43.0171354519,1000.0,9.7338,-48.1727,1.36553518276,62,11.3333333333,43.0819,99.9956828753,0.325615
43.9354,96.1507,7.70930998959,63,2.0,1000.0,43.9382518249,1000.0,45.0,0.0,51.9251,43.9336339509,1000.0,10.4082,-49.1522,1.40486019378,63,10.752688172,44.0072,99.9956828753,0.361154
44.8071,97.2324,9.21735918125,64,2.0,1000.0,44.8092017907,1000.0,52.0,0.0,52.4514,44.8041847441,1000.0,10.6931,-50.1557,1.414192794,64,10.6170212766,44.8745,99.9956828753,0.39392
45.5762,98.3332,7.50849489976,65,3.0,1000.0,45.5823127593,1000.0,39.0,0.0,53.0046,45.575963551,1000.0,11.4025,-51.1265,1.46244704451,65,10.3020833333,45.6538,99.9956828753,0.396723
46.5909,98.9778,9.06618178584,66,3.0,1000.0,46.5949919261,1000.0,51.0,0.0,53.5557,46.5877404587,1000.0,11.5696,-52.1937,1.4866760033,66,11.0,46.6654,99.9956828753,0.399564
47.4636,100.015,8.10307557629,67,3.0,1000.0,47.4690383267,1000.0,48.0,0.0,53.9884,47.4627927698,1000.0,12.4059,-53.1721,1.52580477639,67,10.5263157895,47.5419,99.9956828753,0.322658
48.524,101.024,11.966991639,68,3.0,1000.0,48.5296288983,1000.0,68.0,0.0,54.5557,48.521173466,1000.0,13.2178,-54.2602,1.55587980681,68,13.1333333333,48.6052,99.9956828753,0.371128
49.3252,101.855,8.34518447009,69,3.0,1000.0,49.3333942068,1000.0,50.0,0.0,55.0267,49.3233408603,1000.0,13.0573,-55.2792,1.56558067572,69,11.6627906977,49.4084,99.9956828753,0.310703
50.134,102.879,10.1476445584,70,3.0,1000.0,50.1470666739,1000.0,53.0,0.0,55.2737,50.1330719896,1000.0,14.0845,-56.2254,1.58508762296,70,11.3409090909,50.2206,99.9956828753,0.323949
51.31,103.592,8.39020593046,71,3.0,1000.0,51.3177273159,1000.0,40.0,0.0,55.5125,51.3059877751,1000.0,14.1414,-57.4087,1.62079986163,71,11.2666666667,51.4021,99.9956828753,0.334183
52.1015,104.417,7.17034050534,72,3.0,1000.0,52.113375117,1000.0,36.0,0.0,55.8233,52.1006997645,1000.0,15.038,-58.3811,1.64644804915,72,9.82178217822,52.1914,99.9956828753,0.358205
53.0045,105.284,7.41566060436,73,3.0,1000.0,53.0182202762,1000.0,35.0,0.0,56.2858,53.0051233996,1000.0,15.2943,-59.4356,1.67143329939,73,10.7741935484,53.0947,99.9956828753,0.358768
53.9824,106.214,10.1857053634,74,3.0,1000.0,53.9922954478,1000.0,54.0,0.0,56.9489,53.9795204595,1000.0,15.4025,-60.3799,1.6724397689,74,12.5375,54.0767,99.9956828753,0.380648
54.848,107.06,12.4267381972,75,3.0,1000.0,54.8586734405,1000.0,67.0,0.0,57.3965,54.8472866475,1000.0,16.2198,-61.4088,1.70838733413,75,13.3866666667,54.9454,99.9956828753,0.345272
55.7008,107.789,11.6228744755,76,2.0,1000.0,55.713214281,1000.0,80.0,0.0,57.8812,55.698844174,1000.0,17.1388,-62.3908,1.71351450538,76,11.5764705882,55.8039,99.9956828753,0.396133
56.718,108.651,12.9422326143,77,3.0,1000.0,56.7336720646,1000.0,73.0,0.0,58.2775,56.7158328719,1000.0,17.5363,-63.4781,1.76371007369,77,13.1578947368,56.82,99.9956828753,0.437191
57.7129,109.572,11.6990506754,78,3.0,1000.0,57.7284462353,1000.0,62.0,0.0,58.6654,57.7113425205,1000.0,18.711,-64.523,1.80759988342,78,13.6756756757,57.8228,99.9956828753,0.444063
58.464,110.301,11.3058613117,79,3.0,1000.0,58.4843019337,1000.0,51.0,0.0,59.0734,58.4637172399,1000.0,18.1578,-65.5,1.77349311836,79,12.55,58.5745,99.9956828753,0.308508
