AverageReturn,AverageDiscountedReturn,StdEsReturn,AverageAbsQ,PolicyRegParamNorm,MinReturn,AverageAbsQYDiff,AveragePolicySurr,StdReturn,Epoch,AverageQ,MaxReturn,Iteration,MaxEsReturn,QFunRegParamNorm,MinEsReturn,AverageQLoss,AverageEsReturn,AverageY,AverageAbsY,AverageAction
294.257508924,143.668146419,102.459992006,68.3207,31.4923,254.500701109,1.60845936152,-71.0627,8.03390436534,53,68.272,306.427030973,53,319.881245013,54.7807,20.1608079616,12.4003,210.704712988,68.2780566618,68.2894954178,0.575577
293.992299457,145.808892589,115.609621661,70.2915,31.8228,265.228649877,1.67716604462,-73.1143,15.4629435292,54,70.2431,333.92493915,54,355.922702974,55.4295,8.42697746431,13.4736,222.646023053,70.2525847133,70.2640719038,0.564314
325.494125695,149.713699243,100.058788543,72.1376,32.1654,303.122820182,1.7069712843,-75.0027,9.52017075645,55,72.083,340.865198538,55,323.955370729,56.0873,7.75336397688,15.2558,246.194672006,72.0927314165,72.10605542,0.52711
294.859419161,145.908303794,117.760076966,74.2073,32.5245,279.367365266,1.74474738733,-76.9857,7.08008873866,56,74.1498,314.39218793,56,349.579341027,56.7439,17.6549796629,14.7789,193.306475899,74.1556822433,74.1681343789,0.526169
301.563128571,147.405395201,104.176991498,75.9044,32.8115,277.767923167,1.82778202825,-78.6586,9.77095495236,57,75.8419,318.476185719,57,370.71748188,57.3353,17.9296481294,17.484,249.75060924,75.8491786394,75.8639874046,0.596184
272.451865151,143.786633456,96.0887727709,77.6191,33.1523,219.183637039,1.79239795462,-80.3253,34.7789813541,58,77.5574,441.54540811,58,312.809584165,58.0119,10.3070356943,16.1588,220.469845657,77.5676450292,77.579137895,0.626718
279.017318084,143.602114532,109.185434125,79.4086,33.4781,252.122025443,1.82711202377,-82.2205,11.2220660112,59,79.344,314.435059091,59,351.756588672,58.6278,7.49610726131,17.6724,246.981935748,79.351550338,79.3662877315,0.542578
287.686951677,147.741062734,115.310775399,81.335,33.7626,248.457097058,1.85665234243,-84.0978,41.0751435553,60,81.267,431.770573049,60,356.793822445,59.2122,22.2882442578,16.9155,272.949562474,81.2763797448,81.2894741867,0.565407
287.189030475,148.98399475,55.5529461668,82.9334,34.0666,259.809502525,1.90889849692,-85.7506,14.2376905478,61,82.8724,309.937298344,61,345.829378363,59.7836,184.069725318,19.2801,260.069269277,82.8796268608,82.8910242733,0.526603
296.312634776,149.372955272,102.830011778,84.6481,34.3975,268.893590637,1.9283452384,-87.5117,8.3523346614,62,84.584,313.890261463,62,341.966524593,60.3892,11.7375923907,19.9414,246.402986828,84.5933178658,84.6050084764,0.564824
300.282799154,157.412044338,131.332534975,86.4224,34.6791,277.847015385,1.92446959682,-89.2596,13.3714183337,63,86.3561,332.42185496,63,365.697099701,60.8639,8.5600302795,20.413,183.078780822,86.363744901,86.3754952169,0.633266
300.587591612,154.357590176,95.7754478527,88.1488,34.9109,254.204375999,1.95003555651,-91.0609,14.4897448531,64,88.0758,320.674942379,64,348.693065904,61.3594,20.4845543068,18.702,252.087321785,88.0840746342,88.0954161122,0.649014
