AverageReturn,AverageEsReturn,StdReturn,Epoch,Iteration,AverageAbsQYDiff,AverageDiscountedReturn,AverageAbsY,AverageY,MinReturn,AverageAbsQ,MinEsReturn,AverageQ,AverageQLoss,StdEsReturn,AveragePolicySurr,MaxEsReturn,PolicyRegParamNorm,AverageAction,MaxReturn,QFunRegParamNorm
172.707570769,159.258817897,1.27064647498,19,19,0.396748624072,111.764086541,10.0571939594,10.0479032086,169.426988665,10.0566,5.48459112305,10.0453,0.704632,47.0571188573,-11.2727,188.489433616,17.8192,0.695913,174.878933307,19.4988
172.882773433,144.978788588,2.44722427663,20,20,0.457065603405,111.936225774,11.7330735792,11.724809797,167.20821486,11.7324,38.8584752241,11.7205,1.01532,50.5900889187,-13.08,179.49496516,18.895,0.673009,176.305751071,20.6861
172.67576496,153.931511605,1.63006677435,21,21,0.495548689557,111.795418468,13.283792573,13.2767070112,167.569414685,13.2855,3.72789646744,13.2734,1.15823,55.74090456,-14.7195,204.427449993,19.9607,0.696608,175.84747032,21.7342
179.405041929,126.42571763,1.7913918287,22,22,0.548799575379,114.256631415,15.090556292,15.0828399889,170.580953325,15.0923,52.8151751946,15.0783,1.46861,56.9066116373,-16.5859,189.596656872,20.8917,0.46011,182.416502321,22.6795
169.68161697,149.23061293,2.33081442704,23,23,0.59825281216,110.478728515,16.7702031867,16.7630759064,163.101631518,16.7739,62.4992102697,16.7598,1.72917,36.5427033067,-18.3771,176.759231468,21.8613,0.728289,173.730069716,23.6307
168.086150842,148.461324187,2.42173226903,24,24,0.671975439749,109.815413331,18.5428806338,18.5372946583,161.100378465,18.5462,39.427402065,18.532,2.27555,41.5187515617,-20.2769,176.273782518,22.8721,0.653872,172.124986498,24.6098
168.129189001,145.568313769,3.2053454933,25,25,0.712568964583,109.803596124,20.3083702089,20.3034156853,159.103490156,20.3152,15.8736933011,20.2989,2.57133,44.6129029366,-22.1416,181.386720289,23.6978,0.60375,172.958532939,25.6271
169.798389728,138.452727324,2.05541458475,26,26,0.765482427202,110.470960491,21.9921117506,21.9871763287,163.290304414,21.9973,19.4276395429,21.9807,2.82901,45.8769402583,-23.9088,183.196271273,24.5138,0.591565,173.253506217,26.6385
168.80206817,146.525435442,2.27933410268,27,27,0.81684265481,110.021407808,23.9473643373,23.9423253061,160.833947111,23.9544,45.9233444636,23.9362,3.15298,47.8283902367,-25.9015,179.669119792,25.321,0.635341,172.181606858,27.7063
167.427437148,139.738318926,1.56702080213,28,28,0.842411447728,109.137009074,25.5985365969,25.5938371601,162.434275616,25.6071,8.45817494554,25.5896,3.30563,50.6192270086,-27.6545,184.632034862,26.0062,0.62861,169.963180119,28.6812
170.018511696,130.639750904,0.943665416661,29,29,0.895328869367,110.428502135,27.4453068982,27.4421055562,167.461376412,27.449,15.5814898899,27.433,3.76333,48.6055442068,-29.5824,182.402355983,26.5721,0.616582,171.800075993,29.727
175.642576424,153.478078305,2.73012140537,30,30,0.928185589107,112.92026781,29.1999783266,29.1967271894,171.080008373,29.2116,40.9756458997,29.1935,4.00104,39.1346372867,-31.3787,184.207111536,27.1713,0.597559,181.87018107,30.7327
177.717370627,139.8502925,3.58386503229,31,31,0.946752043635,113.80890698,30.8519509358,30.8484619037,165.897724799,30.8633,5.53299459884,30.8443,4.1422,58.5430961721,-32.9867,184.650513337,27.8346,0.607614,183.720013645,31.5939
181.496401351,141.510983266,3.63699304972,32,32,0.96481762473,115.516873042,32.6918387063,32.687908003,172.476604441,32.7028,9.64000548244,32.6813,4.26951,49.429712862,-34.8138,185.958137514,28.3533,0.563119,185.930594812,32.2906
177.263805062,162.548332862,3.30630044005,33,33,1.0436267117,113.499014099,34.2017430858,34.1977887928,170.965724135,34.2103,117.179043701,34.1912,5.1448,24.9826948102,-36.4042,187.561845973,28.7751,0.613186,184.428602357,33.0114
