AverageAction,AverageQLoss,MaxForwardProgress,MaxReturn,AverageReturn,StdReturn,AverageForwardProgress,MinReturn,StdEsReturn,AverageY,MaxEsReturn,QFunRegParamNorm,AverageDiscountedReturn,AverageAbsQ,AverageQ,MinForwardProgress,Epoch,StdForwardProgress,AverageAbsQYDiff,AverageAbsY,PolicyRegParamNorm,AverageEsReturn,MinEsReturn,AveragePolicySurr
0.837258,0.0322321,2.20420186975,159.370270221,92.6933093022,32.5281894511,1.53956827748,36.6577941853,36.7245207083,2.37117338251,128.700258777,21.897,37.1370173397,2.3848,2.37111,0.979042788547,59,0.324750721825,0.112985167314,2.38612263341,24.7222,71.1960093241,26.3923542836,-2.43613
0.832214,0.0324312,2.26534007021,166.531562222,112.941060605,20.2141691589,1.74656419793,78.5280781688,41.1664133659,2.42251311435,91.864853169,21.9981,46.6509608318,2.43468,2.4227,1.40267628542,60,0.201487113245,0.113062187477,2.43610641489,24.7648,48.7338186803,-13.8821866898,-2.48851
0.870597,0.0351883,2.0284754513,138.994657203,70.2902394678,21.135883494,1.3417335505,28.6176828229,44.7941752045,2.49417744038,216.779326838,22.1524,35.5876831653,2.50426,2.49429,0.918788346291,61,0.210527439058,0.116345289412,2.50539394288,24.8396,141.54323011,100.813263809,-2.56402
0.867044,0.0344403,1.21952531273,57.8210278334,0.209434286525,32.6398374572,0.647906000531,-82.3714227246,42.2099387913,2.55298226475,145.626825938,22.2697,12.9412759266,2.56243,2.55299,-0.15974776554,62,0.323358127776,0.115579504488,2.56349146601,24.912,76.912177935,35.0719887629,-2.62057
0.89211,0.0365077,2.54486140658,192.062552761,97.4325430834,46.2425655538,1.6188662133,-30.6731018066,34.8328419561,2.61542907422,105.576908194,22.4062,41.9616761356,2.62428,2.61575,0.345827258026,63,0.458635088215,0.117997854668,2.62508705088,25.02,65.6290505071,12.6479860733,-2.684
0.847245,0.0358898,1.27984029861,65.6464368552,8.89409180018,20.4649122527,0.745612964142,-27.7589677254,57.9151312863,2.67814662048,186.598151821,22.6039,26.9962072312,2.68567,2.67837,0.387351620919,64,0.196696313919,0.117883500306,2.68656562081,25.0651,89.4852643721,37.8875192115,-2.73774
0.81503,0.0370566,2.03097968391,137.784090228,40.5684100402,28.0103591624,1.0318213741,-20.5440983422,30.2346529135,2.74579696664,90.4633397196,22.7664,30.2273525119,2.75215,2.7459,0.429181831874,65,0.278489662003,0.118413530366,2.75290714645,25.1463,39.3425059336,15.7445524127,-2.81144
0.907553,0.0365928,2.70458423207,202.745958155,76.6484865885,52.2189401424,1.44289938658,-26.7107338056,77.9482347853,2.79815278066,148.24184594,22.9239,34.4251952179,2.80315,2.79832,0.419556819772,66,0.515497371781,0.118436664057,2.80374672072,25.2161,67.3794316171,-50.9802810693,-2.85917
0.871949,0.03835,2.48045319459,183.790284514,95.1417401876,35.117401017,1.58415033284,8.20297333936,39.0257285235,2.85825226683,196.066692665,23.0888,39.5010714448,2.86288,2.8583,0.74822065229,67,0.352314526564,0.120923002972,2.86357669607,25.2808,128.823281966,100.40418307,-2.91875
0.903773,0.0401224,1.66920050566,98.4324431734,54.6419808486,28.72240087,1.22324862971,-3.92339108441,38.4511065985,2.92054468216,140.24605013,23.1831,36.9524680243,2.92624,2.92087,0.625980233373,68,0.287256713465,0.122201941627,2.92654434477,25.3687,77.4244647864,35.6667959977,-2.99094
