AverageAction,PolicyRegParamNorm,Epoch,MinReturn,AveragePolicySurr,AverageEsReturn,StdEsReturn,AverageQ,AverageAbsY,StdReturn,MaxReturn,AverageAbsQ,AverageDiscountedReturn,Iteration,AverageReturn,AverageQLoss,AverageAbsQYDiff,QFunRegParamNorm,MinEsReturn,AverageY,MaxEsReturn
0.845953,26.2993,45,32.5605828499,-1.84933,259.800215541,0.0,1.78556,1.7860559481,90.5077318896,314.079673458,1.78556,16.3931349265,45,203.170034646,0.0101224,0.0589644521465,22.6906,259.800215541,1.78596353154,259.800215541
0.874904,26.5981,46,264.958538936,-1.86942,265.349322587,0.0,1.80557,1.80594631949,37.5295999901,389.546651182,1.80557,38.4756680645,46,339.313949921,0.00935308,0.0591659379031,22.9617,265.349322587,1.80586096849,265.349322587
0.873793,26.8915,47,145.831123191,-1.90504,267.747151923,0.0,1.83915,1.8396553127,64.4622287872,373.465113072,1.83915,33.8995392895,47,281.448954758,0.0108358,0.0611784805119,23.3233,267.747151923,1.83953796519,267.747151923
0.842015,27.188,48,287.402002587,-1.93523,248.693657413,0.0,1.86704,1.86743773597,69.5006646455,539.044832769,1.86704,27.3664255182,48,403.732277787,0.00939777,0.0600739693679,23.6138,248.693657413,1.86738870719,248.693657413
0.889672,27.4318,49,-559.247763771,-1.98012,272.973902918,0.0,1.91088,1.9113820747,359.847756148,528.911383612,1.91088,-14.1033618696,49,15.8015087268,0.00975135,0.0603140334769,23.9554,272.973902918,1.91132088379,272.973902918
0.849696,27.6557,50,-158.71502984,-2.02153,268.863384102,0.0,1.95292,1.9532947671,134.789965728,320.635506437,1.95292,-3.7466573189,50,121.877930021,0.00960779,0.0605829192354,24.266,268.863384102,1.95324046683,268.863384102
0.875789,27.9159,51,276.484201782,-2.05547,276.804189772,0.0,1.98664,1.98713505205,68.7110430824,528.421859677,1.98664,20.8292037721,51,351.408606316,0.0115736,0.0637375020519,24.5738,276.804189772,1.98706379731,276.804189772
0.903709,28.1442,52,-173.261161415,-2.09045,193.615981125,0.0,2.02283,2.023333301,248.987366801,505.822986837,2.02283,-4.99223901356,52,251.446582361,0.0117806,0.0630056820913,24.9205,193.615981125,2.02323293295,193.615981125
0.858739,28.339,53,-477.011092139,-2.13035,319.518698794,0.0,2.06465,2.06507136513,397.584617397,581.430826021,2.06465,6.30889906398,53,203.338957023,0.0106543,0.0631476693909,25.2022,319.518698794,2.06499865955,319.518698794
0.87876,28.5818,54,-631.044219014,-2.16035,101.88146916,0.0,2.09465,2.09503500354,243.535637797,142.907756172,2.09465,-12.3419030882,54,-221.463200737,0.0113329,0.0628178299124,25.4605,101.88146916,2.09499101291,101.88146916
