MinReturn,AverageAction,QFunRegParamNorm,AverageY,AveragePolicySurr,StdEsReturn,Iteration,AverageQ,Epoch,AverageAbsQ,AverageEsReturn,AverageReturn,MinEsReturn,AverageDiscountedReturn,MaxEsReturn,StdReturn,AverageAbsY,AverageQLoss,PolicyRegParamNorm,AverageAbsQYDiff,MaxReturn
479.355694544,0.879839,24.2552,2.07900620752,-2.14725,0.0,48,2.07861,48,2.07861,374.884046849,767.356427938,374.884046849,67.6888680818,374.884046849,130.971055936,2.07906343498,0.0110406,28.1222,0.0675271750984,890.575668259
496.443759317,0.800679,24.6253,2.12092004419,-2.1915,0.0,49,2.12051,49,2.12051,345.157769203,580.711693076,345.157769203,63.6093167882,345.157769203,46.8026799964,2.12101563227,0.0121932,28.3683,0.0690203267398,645.785909788
883.011800932,0.88397,24.9534,2.16199624139,-2.23383,0.0,50,2.16165,50,2.16165,260.055055479,1115.14345506,260.055055479,104.37747727,260.055055479,114.976860585,2.1620767833,0.0121117,28.6177,0.0693444171101,1247.23061577
563.279827831,0.858074,25.2918,2.20513661089,-2.27692,0.0,51,2.20445,51,2.20445,282.200626914,657.219013973,282.200626914,59.7866741247,282.200626914,45.6315120828,2.20523832622,0.0137403,28.7985,0.0720832720078,714.983744961
220.332176886,0.84797,25.6379,2.2461054265,-2.31831,0.0,52,2.24559,52,2.24559,307.984445169,618.8695197,307.984445169,66.1109721412,307.984445169,155.07876462,2.24621550109,0.0155986,29.0333,0.0743878586359,788.167914102
773.670022955,0.90666,25.978,2.28708120554,-2.36139,0.0,53,2.28657,53,2.28657,196.479694203,927.442364448,196.479694203,82.4714925613,196.479694203,79.8638622654,2.2871400987,0.0134221,29.2228,0.0731596718013,1020.0116365
-600.714371866,0.888059,26.3015,2.34167380095,-2.41953,0.0,54,2.34116,54,2.34116,235.384046438,756.684208069,235.384046438,58.5989119694,235.384046438,505.908401028,2.34172977592,0.0148176,29.4177,0.0744208525122,1194.67145654
1248.75324507,0.907254,26.6088,2.40741901376,-2.48504,0.0,55,2.40698,55,2.40698,695.093020257,1379.94535352,695.093020257,110.320592615,695.093020257,85.4883498076,2.40749816052,0.0160064,29.6885,0.0765656854386,1520.30434608
74.3361191473,0.924241,26.9326,2.47048116546,-2.54536,0.0,56,2.46986,56,2.46986,705.044350786,792.243379477,705.044350786,43.1006823107,705.044350786,270.746653744,2.47054016793,0.0163463,29.9123,0.0783883530258,1073.28082003
-259.01080514,0.842053,27.2027,2.52416337037,-2.60031,0.0,57,2.52367,57,2.52367,511.687853984,551.839448604,511.687853984,62.6067421172,511.687853984,365.666312157,2.5242121297,0.0150358,30.2112,0.0780725295642,1008.46884784
658.548859499,0.904868,27.4944,2.58036285293,-2.65771,0.0,58,2.57986,58,2.57986,404.416372459,1115.76261614,404.416372459,105.76623049,404.416372459,180.551472701,2.58045007622,0.0197986,30.535,0.08224155774,1357.02160111
815.88296571,0.940008,27.8364,2.65249326355,-2.73073,0.0,59,2.65184,59,2.65184,753.279432736,1097.82231029,753.279432736,74.2668500834,753.279432736,148.346314433,2.65255050549,0.0185853,30.8186,0.0835092372601,1337.10762385
658.291002291,0.92704,28.1872,2.71683723982,-2.79591,0.0,60,2.71601,60,2.71601,657.368615627,916.56005787,657.368615627,89.5340706796,657.368615627,164.708602514,2.71689593084,0.0202523,31.0714,0.0864272388262,1155.16125634
1436.01546522,0.940601,28.4953,2.79545590366,-2.87976,0.0,61,2.79477,61,2.79481,807.807079092,1540.50848445,807.807079092,132.006926751,807.807079092,72.9457644963,2.79551260063,0.0220628,31.3557,0.0880175700026,1643.33402929
831.797987686,0.934002,28.7737,2.87093199231,-2.95444,0.0,62,2.87049,62,2.87049,751.550369817,1060.55915463,751.550369817,80.8568548425,751.550369817,147.569194595,2.87100261014,0.020023,31.6717,0.0863987439784,1354.50836368
714.649361351,0.868829,29.0533,2.94395613586,-3.02839,0.0,63,2.94326,63,2.94326,701.520269735,1017.8887561,701.520269735,101.974198244,701.520269735,250.673909761,2.94404233779,0.0229523,31.9399,0.0904948140459,1426.89272848
1105.96313193,0.935409,29.3819,3.02786918684,-3.11061,0.0,64,3.02721,64,3.02721,707.827479787,1357.00167407,707.827479787,115.305326652,707.827479787,117.680624118,3.02794699914,0.0242517,32.1761,0.0929806484879,1459.45370708
933.246538981,0.958534,29.6483,3.10070123441,-3.18225,0.0,65,3.1,65,3.1,814.221158547,1091.21396041,814.221158547,91.4237528873,814.221158547,80.8507031715,3.10075061664,0.0273372,32.4977,0.0954234787827,1222.72955388
1481.95041088,0.96482,29.9796,3.17389839054,-3.25749,0.0,66,3.17321,66,3.17321,650.302794336,1631.50950529,650.302794336,149.646885836,650.302794336,68.7675010566,3.17396184591,0.0253918,32.7388,0.0946546167469,1721.39381718
1615.9558344,0.953166,30.3204,3.23922301049,-3.32555,0.0,67,3.23871,67,3.23871,601.832159085,1713.43673096,601.832159085,153.144118603,601.832159085,74.964057138,3.23930747299,0.0264831,32.9819,0.095718245015,1846.01506475
1057.42198918,0.940902,30.5606,3.30717973859,-3.39141,0.0,68,3.3063,68,3.3063,578.287185536,1783.94248,578.287185536,170.023254752,578.287185536,255.870562199,3.30721694214,0.0281782,33.2085,0.098029377104,1950.31693692
1549.82604412,0.960118,30.8478,3.39321840629,-3.48068,0.0,69,3.39259,69,3.39259,923.583221316,1674.73943774,923.583221316,139.296462791,923.583221316,77.2648504383,3.39328186194,0.0305851,33.4511,0.100613692223,1841.27826637
1682.81250823,0.948133,31.092,3.48465017907,-3.56986,0.0,70,3.48416,70,3.48416,774.565594788,1808.55285988,774.565594788,157.498540254,774.565594788,87.4856629715,3.48472592161,0.0270834,33.646,0.0978429807287,1963.21580173
1576.2979184,0.932278,31.4175,3.54273696005,-3.62986,0.0,71,3.54171,71,3.54171,671.669919347,1728.30453262,671.669919347,149.647503275,671.669919347,94.5122689374,3.54279677874,0.0321941,33.8515,0.102522957558,1900.81411611
951.330282886,0.939928,31.6802,3.63601152996,-3.72383,0.0,72,3.63531,72,3.63531,983.323572415,1657.76468081,983.323572415,155.795060015,983.323572415,248.734242596,3.63607303351,0.0294784,34.1669,0.100526786532,1857.93774463
1629.7484683,0.956564,31.9386,3.7284782785,-3.81695,0.0,73,3.72778,73,3.72784,943.20082595,1769.53708796,943.20082595,144.188135766,943.20082595,81.9488290129,3.72852982867,0.0334408,34.4263,0.105010883411,1899.0839046
1393.07181751,0.964734,32.2034,3.80799011704,-3.90009,0.0,74,3.80711,74,3.80711,1129.82075561,1537.49594187,1129.82075561,136.220965061,1129.82075561,83.9240511581,3.80803939878,0.0335663,34.608,0.10515389362,1678.90984038
1856.77788604,0.957405,32.4481,3.8834848649,-3.9741,0.0,75,3.88288,75,3.88288,511.887913493,1993.90082012,511.887913493,169.259523478,511.887913493,75.3096857439,3.88353521045,0.0329312,34.7926,0.105714921231,2148.9558101
2047.80456615,0.952305,32.7678,3.97172411394,-4.06609,0.0,76,3.97086,76,3.97086,1093.58473885,2154.5405315,1093.58473885,169.072008005,1093.58473885,83.8228264329,3.97176306435,0.0352305,35.0399,0.10682847137,2274.27088847
1519.92809816,0.946249,33.025,4.0693803036,-4.16169,0.0,77,4.06881,77,4.06881,1048.2454658,1836.91446892,1048.2454658,175.444656916,1048.2454658,138.112570277,4.0694088757,0.0324337,35.2377,0.106029083689,2025.51109968
1659.5983915,0.969194,33.2378,4.1624308983,-4.25243,0.0,78,4.16156,78,4.16156,1223.25445816,1791.27368625,1223.25445816,154.952992281,1223.25445816,88.0285780998,4.16249557165,0.0351554,35.4426,0.108589871197,1936.41926604
1323.94604401,0.946681,33.5278,4.23298909839,-4.32364,0.0,79,4.23228,79,4.23228,582.051705196,1417.21259033,582.051705196,118.913411357,582.051705196,63.1775557199,4.23308346493,0.0411641,35.6772,0.11238139237,1497.64545209
1004.38727475,0.94387,33.7773,4.32140656637,-4.41436,0.0,80,4.32044,80,4.32044,939.160017198,1651.89752361,939.160017198,143.753752036,939.160017198,249.570966813,4.32147856176,0.0467561,35.8915,0.115626372713,1949.18761063
1038.2750129,0.925282,33.9893,4.41217672753,-4.50636,0.0,81,4.4113,81,4.4113,817.37050049,1774.35429451,817.37050049,166.451180234,817.37050049,326.154222418,4.4122339131,0.0413551,36.1834,0.11206280995,2068.38683
1303.89804401,0.931643,34.2166,4.50664739443,-4.60141,0.0,82,4.50601,82,4.50601,1168.02412673,2034.48489413,1168.02412673,189.788600376,1168.02412673,248.475990706,4.5067086653,0.0378333,36.4353,0.114839222552,2208.11054733
