Iteration,MinEsReturn,AverageAbsQYDiff,AverageDiscountedReturn,AverageQ,StdEsReturn,MaxEsReturn,AverageEsReturn,MinReturn,AverageAbsQ,Epoch,AverageQLoss,MaxReturn,AverageY,AverageAbsY,AverageAction,AverageReturn,StdReturn,PolicyRegParamNorm,AveragePolicySurr,QFunRegParamNorm
42,28.0539380823,0.0676952842056,79.0542216674,1.13647,0.0,28.0539380823,28.0539380823,-53.7109087826,1.13647,42,0.00922497,273.712548335,1.13668558839,1.13674137836,0.884037,84.6767310821,101.115351991,32.0136,-1.20769,23.7676
43,245.005337134,0.0709730738917,90.0343860897,1.18417,0.0,245.005337134,245.005337134,30.1597475062,1.18417,43,0.0107405,1366.01128322,1.18459890231,1.18469866829,0.897138,690.186287143,494.747571211,32.4446,-1.25667,24.1411
44,-38.5098131298,0.0707976651737,81.0923651028,1.22336,0.0,-38.5098131298,-38.5098131298,254.854097238,1.22336,44,0.0100668,1282.33917557,1.22379947569,1.2238610699,0.904314,743.220332759,282.518892687,32.7775,-1.30046,24.4511
45,42.2990565143,0.0727641568106,98.00290778,1.2698,0.0,42.2990565143,42.2990565143,65.8291009011,1.2698,45,0.0111374,1238.18765387,1.27025654529,1.27035655966,0.927697,929.874587196,350.165838621,33.1718,-1.35081,24.803
46,115.064017681,0.0742094273945,80.2763691497,1.32079,0.0,115.064017681,115.064017681,1.32327808123,1.32079,46,0.0115411,1360.01821335,1.32138108774,1.32147380321,0.930206,1032.18611474,375.195076914,33.5607,-1.39841,25.1258
47,710.129563715,0.0761587145594,87.2775483741,1.41447,0.0,710.129563715,710.129563715,-54.5839263832,1.41447,47,0.0128323,1235.1791834,1.4149454216,1.41506704924,0.921018,717.335080784,454.432397594,33.9618,-1.49601,25.508
48,693.106025653,0.0760744370777,73.8077846979,1.47084,0.0,693.106025653,693.106025653,39.0079208851,1.47084,48,0.0117996,1112.21657598,1.47144695242,1.47155360828,0.927999,825.924094842,306.587823655,34.331,-1.55002,25.8413
49,211.846652606,0.0766693343059,50.4783045604,1.52537,0.0,211.846652606,211.846652606,71.4774114396,1.52537,49,0.0122091,369.309735937,1.52582848808,1.52590993352,0.876516,203.262770183,79.6787512883,34.6511,-1.6073,26.1387
50,116.062171906,0.0789024613991,114.261301561,1.58299,0.0,116.062171906,116.062171906,918.497422063,1.58299,50,0.0133489,1665.20236425,1.58359844012,1.5836684202,0.958059,1440.39778098,197.645200976,35.0516,-1.66532,26.4814
51,288.310593844,0.0804831847813,97.2722785892,1.64977,0.0,288.310593844,288.310593844,188.969929841,1.64977,51,0.0145206,1413.05833418,1.65051632608,1.65057915178,0.924535,916.077535029,448.351291363,35.4464,-1.73656,26.794
52,738.532950147,0.0813070115846,106.491684695,1.75954,0.0,738.532950147,738.532950147,1292.11767178,1.75954,52,0.0149251,1618.07603832,1.76018503668,1.76025743665,0.957508,1422.85198389,95.0143926949,35.8214,-1.8449,27.1087
53,937.913304173,0.0842639983708,89.9241257403,1.84092,0.0,937.913304173,937.913304173,585.12090686,1.84092,53,0.0164656,1355.57884615,1.84148043875,1.84156856491,0.921041,936.164264598,270.789735249,36.2687,-1.92285,27.4195
54,406.622900427,0.0856071058042,81.5485505285,1.94015,0.0,406.622900427,406.622900427,214.441124104,1.94015,54,0.0168637,1310.69957636,1.94075429212,1.9408416501,0.938079,909.670398476,362.462030908,36.6824,-2.02493,27.7539
55,945.472051548,0.0879667417065,120.167522845,2.03665,0.0,945.472051548,945.472051548,1454.03179925,2.03665,55,0.0173388,1647.27863493,2.03727660946,2.03737503952,0.976673,1560.00086632,64.7338594772,37.0838,-2.12424,28.0852
56,944.661865632,0.089132176104,117.816690472,2.14889,0.0,944.661865632,944.661865632,398.717739608,2.14889,56,0.0189709,1527.79255992,2.14962030014,2.14968254126,0.942776,1226.07639009,414.459902745,37.4559,-2.2364,28.3592
57,897.999641533,0.0919294391827,110.024508726,2.25153,0.0,897.999641533,897.999641533,372.16969033,2.25153,57,0.020247,1593.07873118,2.25234214216,2.25240543463,0.960253,1168.78143557,361.729736891,37.8371,-2.34015,28.6296
58,970.253050985,0.0933686099753,106.647664005,2.36321,0.0,970.253050985,970.253050985,265.020646316,2.36321,58,0.0221364,1636.02648992,2.36382442796,2.36390270882,0.944845,1169.45417894,573.280095812,38.1768,-2.45311,28.9725
