PolicyRegParamNorm,AveragePolicySurr,Iteration,AverageReturn,AverageAction,AverageQLoss,AverageQ,Epoch,MinEsReturn,MaxEsReturn,QFunRegParamNorm,MinReturn,AverageDiscountedReturn,AverageAbsQ,MaxReturn,AverageAbsY,StdEsReturn,AverageY,StdReturn,AverageAbsQYDiff,AverageEsReturn
21.467,-8.57885,19,44.3584070796,0.562104,0.243089,7.40933,19,2.0,58.0,32.2067,38.0,35.9405495089,7.4106,61.0,7.40930648812,15.2511714779,7.40930648812,3.02787128892,0.237502456228,19.0980392157
21.9083,-9.50104,20,51.0459183673,0.393856,0.298897,8.21675,20,3.0,55.0,34.335,38.0,39.5533840936,8.21856,180.0,8.21657926772,13.6364842868,8.21657926772,15.1940822823,0.259041502282,18.5
22.2577,-10.4225,21,63.7261146497,0.436501,0.360168,9.04296,21,3.0,61.0,36.5579,42.0,45.4783799769,9.04495,136.0,9.04221644302,12.5287603638,9.04221644302,28.0483230569,0.276201899835,17.3389830508
22.6692,-11.3667,22,102.806122449,0.142672,0.448381,9.89144,22,4.0,62.0,38.3983,52.0,63.6496330748,9.89388,156.0,9.89098188557,14.6538461372,9.89098188557,20.4743035382,0.305217427303,18.2545454545
23.3674,-12.2686,23,117.697674419,0.199927,0.558835,10.7199,23,2.0,60.0,40.6238,60.0,67.7725283789,10.7233,244.0,10.719356835,13.3317988098,10.7193071196,33.7077279689,0.333586499984,18.1636363636
23.7835,-13.1856,24,89.8214285714,0.22915,0.608595,11.558,24,3.0,85.0,42.5335,37.0,57.63549494,11.5628,207.0,11.5580895605,14.7634604112,11.5580032404,30.635884155,0.351175950829,15.3846153846
23.9865,-14.0933,25,117.581395349,0.215977,0.779381,12.37,25,3.0,57.0,44.3712,35.0,66.7244273637,12.3753,276.0,12.3696462392,10.6978402952,12.3694618328,41.2187767995,0.39538210446,12.6923076923
24.1949,-14.9682,26,115.727272727,0.251877,0.813533,13.1273,26,3.0,48.0,46.068,56.0,65.5770438581,13.1338,238.0,13.1264625058,8.22449331263,13.1262848059,46.6889434236,0.400272734897,11.9761904762
24.359,-15.9139,27,78.937007874,0.273217,0.943323,13.978,27,3.0,43.0,47.9056,48.0,53.2463824617,13.9855,239.0,13.9770851658,8.27949482771,13.9769300866,27.9309463548,0.440298806546,11.7764705882
24.5412,-16.8397,28,69.5902777778,0.211723,1.19896,14.7842,28,3.0,64.0,49.8235,29.0,47.9745465613,14.7939,233.0,14.7830555514,12.1294379049,14.7829900262,31.8927049292,0.486590604326,13.625
24.7701,-17.7267,29,59.5892857143,0.286508,1.3071,15.641,29,3.0,38.0,51.3057,40.0,44.429694051,15.6522,131.0,15.6395686868,7.98124537552,15.6395686868,15.6324336059,0.505158245448,10.9450549451
24.8698,-18.6123,30,38.7790697674,0.267844,1.42735,16.4207,30,3.0,112.0,53.1575,35.0,32.24716349,16.4307,53.0,16.4196626174,15.905967118,16.4196405889,2.98212177777,0.519583026616,14.6811594203
24.9875,-19.5156,31,70.5422535211,0.217042,1.65862,17.2011,31,3.0,61.0,54.8466,37.0,48.796268583,17.2143,137.0,17.199218601,9.31899697309,17.1991402997,28.8496889527,0.562315194446,11.5632183908
25.1406,-20.3635,32,41.6058091286,0.133107,1.65421,18.0115,32,3.0,75.0,56.4178,35.0,33.6812724574,18.0273,119.0,18.0112283051,9.91474833601,18.0105290299,12.9534038634,0.575416810865,10.9662921348
25.5068,-21.2513,33,104.06185567,0.140265,1.98235,18.7722,33,3.0,43.0,58.2352,61.0,63.7645152965,18.7915,151.0,18.7720844556,7.95066589386,18.7705224873,24.5339295599,0.619689118838,11.8604651163
25.826,-22.0783,34,93.738317757,0.174656,2.1397,19.4961,34,3.0,47.0,59.8118,57.0,60.4932317838,19.5183,119.0,19.4952792598,7.39016382517,19.4936213591,16.0107069599,0.636537721096,11.7325581395
26.099,-22.9141,35,90.6846846847,0.160765,2.27513,20.2564,35,3.0,42.0,61.2637,37.0,59.0971712045,20.2785,121.0,20.2576989642,8.06794650804,20.2554363005,17.8097968697,0.667395913295,12.1341463415
26.4216,-23.7822,36,60.7515151515,0.240692,2.64491,21.0397,36,3.0,47.0,62.8267,37.0,44.9045859321,21.0671,220.0,21.0427027229,7.46535792833,21.0377873834,19.1625917336,0.703400998883,10.9130434783
26.7344,-24.6769,37,94.0560747664,0.163851,2.79881,21.8227,37,3.0,48.0,64.3,55.0,60.1947598564,21.85,138.0,21.8242276891,9.14985582355,21.8211612006,21.5787329432,0.717267324497,11.7882352941
27.0397,-25.5095,38,85.5811965812,0.196911,2.81007,22.5695,38,3.0,71.0,65.6769,58.0,56.6057462731,22.602,142.0,22.5721569888,12.3622164058,22.5673100616,22.9779676399,0.739569405652,14.6176470588
27.3954,-26.3469,39,90.1801801802,0.255516,3.22614,23.3219,39,3.0,64.0,67.0282,43.0,55.9277573271,23.3594,255.0,23.3310286509,9.40956198392,23.3210252424,44.4218512495,0.787849631473,12.4197530864
27.5706,-27.1774,40,83.9666666667,0.154875,3.14831,24.0749,40,3.0,55.0,68.4505,39.0,54.5835356574,24.1113,195.0,24.0822250659,9.31064072791,24.0729158037,33.4808236989,0.766217764089,12.6329113924
27.9331,-28.0298,41,124.580246914,0.202324,3.58075,24.8528,41,4.0,39.0,69.6642,68.0,69.3930590097,24.893,272.0,24.8566613666,8.16936474936,24.8501990235,39.735814053,0.817285232161,11.8928571429
28.1427,-28.862,42,106.414893617,0.209589,3.74669,25.5799,42,3.0,52.0,70.9822,61.0,64.9493722034,25.6224,172.0,25.5856556942,8.00374395863,25.5795046305,21.0295686333,0.832941596729,11.4090909091
28.341,-29.767,43,112.831460674,0.20686,4.05027,26.4289,43,3.0,75.0,72.1979,79.0,66.9193280046,26.4799,206.0,26.4353960125,13.1343712445,26.4241697229,25.5163468006,0.868644873428,15.1363636364
28.5617,-30.5455,44,105.09375,0.202565,4.42437,27.1005,44,3.0,46.0,73.4836,53.0,64.3939779256,27.1532,196.0,27.113282564,8.04557709461,27.1007978709,22.5351938296,0.899417360937,12.0602409639
28.9099,-31.3911,45,87.9391304348,0.333932,4.53279,27.8547,45,3.0,43.0,74.5931,39.0,54.8070182673,27.9054,167.0,27.86418966,7.16623393614,27.8526072584,43.8164723753,0.900133678242,10.9120879121
29.2221,-32.2656,46,116.363636364,0.309555,4.93585,28.6287,46,3.0,50.0,75.5397,40.0,63.772744758,28.6827,289.0,28.6375177328,9.0393491909,28.6277941579,58.2053929511,0.952788560762,13.0263157895
29.4659,-33.1362,47,113.066666667,0.382499,4.88964,29.4161,47,3.0,93.0,76.6684,45.0,61.7287118144,29.4729,279.0,29.424812893,13.2838009015,29.4133917961,63.4755946101,0.940243005041,15.3181818182
29.7183,-33.8996,48,194.480769231,0.36375,5.30282,30.1537,48,3.0,83.0,77.6907,55.0,79.7734780704,30.2057,658.0,30.1613145214,12.530733702,30.150394293,105.115045103,0.947602157426,15.609375
29.9622,-34.9028,49,134.289473684,0.422947,5.56367,31.0903,49,3.0,57.0,78.6064,43.0,67.6809640147,31.1483,511.0,31.0956957022,12.8967696214,31.0895026364,75.8033841401,0.988576478639,16.8
30.2124,-35.7493,50,162.222222222,0.38233,5.41208,31.8307,50,2.0,188.0,79.7966,47.0,76.0019055339,31.881,352.0,31.8312658646,26.1174244567,31.8273917259,67.3515874465,0.983361702501,16.2459016393
30.4295,-36.6005,51,242.166666667,0.349376,5.69406,32.6898,51,3.0,63.0,80.8671,124.0,86.4992325744,32.7504,559.0,32.698424082,12.501529563,32.6911002301,111.016926351,1.00046157226,16.2580645161
30.6648,-37.4276,52,315.96875,0.352552,6.20934,33.4282,52,3.0,93.0,82.0128,132.0,92.3935862293,33.4947,671.0,33.435346881,18.0201935947,33.427091415,135.295852758,1.03493489419,16.8644067797
30.9064,-38.359,53,219.608695652,0.438529,6.4906,34.2547,53,4.0,94.0,83.0988,128.0,86.5987385798,34.3185,432.0,34.2567685835,20.6828046718,34.2515255611,69.0029861549,1.07343283294,22.75
31.1627,-39.1805,54,371.888888889,0.289381,6.48995,34.9664,54,3.0,94.0,83.9908,199.0,94.802260596,35.0305,836.0,34.9691874022,18.578482177,34.9639210681,161.315732128,1.06153609221,19.8
31.4524,-39.9646,55,479.590909091,0.322984,6.90833,35.7294,55,3.0,83.0,84.8106,169.0,97.7778582149,35.7935,782.0,35.7333097333,12.9145917683,35.7275534421,150.976716775,1.09141962198,16.2903225806
31.6323,-40.9135,56,654.5625,0.403254,7.04067,36.6438,56,3.0,145.0,85.6552,398.0,99.5515181452,36.7112,1000.0,36.6480096553,22.0483397718,36.6437640213,166.480092184,1.08262136991,18.0185185185
31.9782,-41.7683,57,1000.0,0.284248,8.02966,37.3938,57,3.0,55.0,86.7243,1000.0,99.9956828753,37.4604,1000.0,37.3960934235,12.0440835674,37.3924518714,0.0,1.12240082654,17.6071428571
32.2178,-42.5745,58,982.272727273,0.364529,7.56771,38.2522,58,4.0,101.0,87.6814,805.0,99.9932896115,38.3174,1000.0,38.2534805817,19.9418348409,38.2498955554,56.0585585212,1.12023860565,22.0638297872
32.4369,-43.5155,59,629.1875,0.62442,8.07357,39.1513,59,4.0,87.0,88.6214,423.0,99.4142086597,39.2244,1000.0,39.1537021412,17.8528943946,39.1488847889,207.88735494,1.16899492146,25.6923076923
32.6793,-44.355,60,390.615384615,0.645744,8.7414,39.8317,60,3.0,76.0,89.5437,148.0,96.5057473229,39.9091,743.0,39.8354687201,16.5977219822,39.8314503994,119.978227808,1.19556361731,20.625
32.8492,-45.1646,61,424.75,0.690566,8.98002,40.7041,61,4.0,80.0,90.3256,183.0,96.5951741483,40.7845,982.0,40.7086130413,16.4991582277,40.7020592297,163.398350155,1.2035739274,22.0
33.0172,-46.1072,62,840.0,0.738119,9.42854,41.5468,62,4.0,91.0,90.9591,393.0,99.7922841879,41.6325,1000.0,41.5541832954,23.1380875128,41.5466858325,201.629610921,1.26201153738,31.9375
33.0953,-46.9078,63,545.368421053,0.724571,9.95413,42.2516,63,4.0,101.0,91.7672,207.0,97.6151640798,42.3298,1000.0,42.2561395844,20.8408965863,42.2496643841,238.679086581,1.23690384009,23.5476190476
33.2024,-47.8538,64,935.454545455,0.659312,9.64209,43.208,64,5.0,91.0,92.4,465.0,99.910007716,43.2925,1000.0,43.2169973336,16.7044904143,43.2075385561,152.769204201,1.23106621297,25.4
33.3929,-48.6652,65,908.75,0.670558,9.83894,44.0127,65,2.0,62.0,93.0825,318.0,99.6497647034,44.0937,1000.0,44.0203076384,16.3741601261,44.0105698149,194.079504757,1.25491530983,22.0227272727
33.5455,-49.586,66,475.863636364,0.374394,10.4054,44.7852,66,3.0,64.0,93.8247,170.0,96.584367122,44.8718,862.0,44.7929086303,11.6638250462,44.7854545187,197.400675935,1.28035983662,16.5423728814
33.6883,-50.5547,67,892.333333333,0.353353,10.0309,45.7111,67,3.0,101.0,94.6897,334.0,99.538884922,45.7988,1000.0,45.7171395251,15.1788080236,45.7093212658,237.696702169,1.25176212583,16.0615384615
33.8405,-51.5036,68,728.357142857,0.325387,11.2313,46.5028,68,3.0,61.0,95.3811,183.0,98.4496732257,46.5954,1000.0,46.5133755344,13.0723946844,46.5029761641,273.158929966,1.30674745011,15.0895522388
34.0112,-52.4325,69,375.962962963,0.204695,11.1223,47.3924,69,2.0,59.0,96.2611,181.0,95.6047215708,47.49,841.0,47.4081638335,13.6369360149,47.3919044958,141.725473149,1.30729113994,15.0606060606
34.1718,-53.3956,70,265.447368421,0.233999,12.1303,48.2393,70,3.0,59.0,97.0958,137.0,91.2832687161,48.3486,536.0,48.2580049905,11.5886657089,48.2389031078,77.0928003221,1.41283043387,12.8974358974
34.4189,-54.4195,71,564.611111111,0.197895,12.1606,49.1414,71,2.0,58.0,98.0236,210.0,98.4128352922,49.2444,978.0,49.1596607631,12.1569294369,49.1420757018,190.419168879,1.37364514142,13.32
34.5816,-55.3167,72,1000.0,0.218411,12.7342,50.0053,72,3.0,66.0,98.6872,1000.0,99.9956828753,50.1158,1000.0,50.0178727718,12.4552387263,50.0044810606,0.0,1.42632416416,12.7564102564
34.7964,-56.3412,73,687.4,0.180301,12.5384,50.8428,73,3.0,103.0,99.5081,379.0,99.5015527421,50.943,1000.0,50.8481491614,13.9080687013,50.8396408407,210.414131338,1.41568875813,12.375
35.0385,-57.3312,74,626.4375,0.21567,13.7402,51.783,74,3.0,39.0,100.065,290.0,98.6668751413,51.8874,1000.0,51.7895586076,8.87256946374,51.7838526069,257.106730938,1.45887088978,13.4133333333
35.1922,-58.3594,75,191.169811321,0.189583,15.0433,52.7143,75,3.0,45.0,100.614,114.0,82.6134882471,52.8145,334.0,52.7178154902,10.2011273389,52.7135601471,61.7926343077,1.48104729957,11.9036144578
35.3608,-59.551,76,177.596491228,0.156736,15.0355,53.6105,76,3.0,48.0,101.232,119.0,80.8742648909,53.7086,326.0,53.6143170911,9.19270057952,53.6117648073,54.7215790686,1.50113034139,11.8117647059
35.4458,-60.5816,77,165.573770492,0.25849,16.3035,54.5878,77,3.0,64.0,101.886,120.0,78.53541734,54.6982,412.0,54.5895730397,16.0855865218,54.5856971889,58.7951316755,1.61603953772,15.5625
35.566,-61.5597,78,792.153846154,0.25737,16.1819,55.5071,78,3.0,60.0,102.39,132.0,96.5391763182,55.6216,1000.0,55.5106216645,13.2656759134,55.506821889,333.173285048,1.57804734061,14.8088235294
35.6701,-62.7058,79,488.904761905,0.303234,16.1115,56.6734,79,3.0,102.0,102.975,131.0,95.8012038031,56.7865,1000.0,56.6746852316,17.9078951397,56.6707956049,252.104079936,1.56197045171,20.375
35.7433,-63.8398,80,552.052631579,0.135137,16.9137,57.7265,80,3.0,59.0,103.631,139.0,95.9659502663,57.8379,1000.0,57.7277445585,12.6848786857,57.7253292484,291.154954889,1.59857383938,12.9358974359
35.9087,-64.9044,81,1000.0,0.318548,18.1397,58.6084,81,3.0,51.0,104.594,1000.0,99.9956828753,58.7118,1000.0,58.6093568494,11.0999632285,58.6062295397,0.0,1.64161734119,12.0714285714
36.0474,-65.9328,82,609.470588235,0.190228,18.9119,59.6387,82,3.0,63.0,105.233,61.0,90.7881031995,59.7618,1000.0,59.6423734723,12.7915309439,59.6378746135,386.64410108,1.68005309451,14.0416666667
36.2456,-66.9406,83,1000.0,0.289697,18.9408,60.6834,83,3.0,54.0,106.13,1000.0,99.9956828753,60.7998,1000.0,60.6883302519,13.541858973,60.6822717069,0.0,1.69377949027,13.9166666667
36.4107,-67.8904,84,1000.0,0.0940446,20.9256,61.4313,84,3.0,49.0,106.761,1000.0,99.9956828753,61.5594,1000.0,61.4411310577,9.4529132032,61.4332344284,0.0,1.78046648199,11.8928571429
36.6042,-69.0384,85,1000.0,0.201947,21.6071,62.3794,85,3.0,53.0,107.355,1000.0,99.9956828753,62.5225,1000.0,62.3904749134,11.2844011753,62.3788797661,0.0,1.80503270339,11.2584269663
36.7515,-69.9945,86,1000.0,0.250704,22.5861,63.264,86,2.0,51.0,107.926,1000.0,99.9956828753,63.3986,1000.0,63.2741171178,9.51385804023,63.2647968499,0.0,1.8116304774,11.7058823529
36.8943,-70.927,87,1000.0,0.199452,21.8612,64.1921,87,3.0,66.0,108.544,1000.0,99.9956828753,64.3329,1000.0,64.2039750069,13.1027295349,64.1927458659,0.0,1.80334877578,12.0722891566
37.0742,-71.9282,88,706.733333333,0.241525,25.5827,64.9643,88,3.0,87.0,109.125,141.0,97.9288275791,65.1203,1000.0,64.9701568539,14.3705070366,64.9616545104,286.946793365,1.95151434987,14.8955223881
37.3097,-73.0199,89,1000.0,0.303997,24.4756,65.9118,89,3.0,68.0,109.818,1000.0,99.9956828753,66.0555,1000.0,65.916238203,13.4290982394,65.9116573262,0.0,1.91034275436,15.1515151515
37.4454,-73.8714,90,1000.0,0.29242,23.8624,66.8381,90,3.0,45.0,110.512,1000.0,99.9956828753,66.9833,1000.0,66.8414452553,9.88892983762,66.8354124736,0.0,1.86494263296,13.32
37.6296,-74.6855,91,1000.0,0.349845,26.3698,67.6598,91,3.0,71.0,111.338,1000.0,99.9956828753,67.8051,1000.0,67.6707694959,12.2694570166,67.660356785,0.0,1.94370339834,14.0985915493
37.8866,-75.7314,92,1000.0,0.271399,25.5548,68.5547,92,3.0,58.0,111.824,1000.0,99.9956828753,68.7117,1000.0,68.5570776703,11.5873699715,68.5520073918,0.0,1.92945198958,14.3
38.0389,-76.6393,93,923.272727273,0.29069,26.8892,69.4193,93,4.0,49.0,112.441,276.0,99.4277154728,69.5862,1000.0,69.4245874702,8.66664890971,69.4171416421,207.543682547,2.03098867842,12.6842105263
38.2443,-77.5453,94,1000.0,0.386951,26.8533,70.3459,94,3.0,56.0,113.005,1000.0,99.9956828753,70.5207,1000.0,70.3575038596,10.4085865665,70.3462289538,0.0,2.02333381645,13.3766233766
38.4322,-78.3705,95,1000.0,0.31166,28.1191,70.8681,95,3.0,59.0,113.489,1000.0,99.9956828753,71.0356,1000.0,70.8791288123,11.8262889831,70.8677415733,0.0,2.00244987723,14.0
38.7006,-79.4443,96,1000.0,0.309521,27.8165,72.1036,96,3.0,82.0,114.232,1000.0,99.9956828753,72.2598,1000.0,72.1098510852,13.6052026248,72.103227247,0.0,1.99900311812,15.4
38.9249,-79.9222,97,1000.0,0.263884,29.4799,72.6116,97,3.0,59.0,114.798,1000.0,99.9956828753,72.7879,1000.0,72.6194821807,12.0920702638,72.6088894323,0.0,2.06291637144,14.1571428571
39.089,-80.9119,98,1000.0,0.350677,27.2699,73.4554,98,3.0,59.0,115.35,1000.0,99.9956828753,73.6301,1000.0,73.4689772523,11.5129927333,73.4540837172,0.0,1.97860017285,12.2839506173
39.2564,-81.8327,99,1000.0,0.301127,30.1269,74.2242,99,3.0,63.0,115.995,1000.0,99.9956828753,74.4041,1000.0,74.2333866054,10.5040203943,74.2237214856,0.0,2.1314128631,11.2333333333
39.5163,-82.5043,100,1000.0,0.464393,33.6288,74.8951,100,3.0,49.0,116.496,1000.0,99.9956828753,75.0801,1000.0,74.9112998212,10.4584474007,74.8933814416,0.0,2.21037728813,14.5362318841
39.7818,-83.4728,101,1000.0,0.387355,32.3003,75.5177,101,3.0,77.0,117.163,1000.0,99.9956828753,75.6966,1000.0,75.5288029403,11.4205675376,75.5145865718,0.0,2.15747860887,12.7894736842
40.0518,-84.4592,102,1000.0,0.325886,31.8617,76.5949,102,2.0,36.0,117.814,1000.0,99.9956828753,76.7972,1000.0,76.612541418,8.57409614209,76.5960618174,0.0,2.14062731044,10.7473684211
40.2808,-85.2974,103,1000.0,0.414278,32.0157,77.4103,103,3.0,51.0,118.396,1000.0,99.9956828753,77.601,1000.0,77.4286595419,9.2550501306,77.4110787239,0.0,2.14733914085,10.7021276596
40.4228,-85.8393,104,1000.0,0.409273,34.8291,77.8248,104,2.0,94.0,118.984,1000.0,99.9956828753,78.028,1000.0,77.8447855464,12.840721656,77.8251988626,0.0,2.25736648107,11.4022988506
40.6815,-86.742,105,1000.0,0.268823,33.5897,78.6522,105,3.0,53.0,119.595,1000.0,99.9956828753,78.8567,1000.0,78.6703736243,9.47135970148,78.6494820794,0.0,2.20332285206,10.6808510638
40.8884,-87.4229,106,1000.0,0.294468,33.5358,79.367,106,3.0,52.0,120.221,1000.0,99.9956828753,79.558,1000.0,79.3806204366,10.8958527023,79.362043767,0.0,2.18417703674,11.2359550562
41.1504,-88.1889,107,1000.0,0.346375,36.8454,80.1422,107,3.0,77.0,120.658,1000.0,99.9956828753,80.343,1000.0,80.1598092431,9.93993309271,80.1406696329,0.0,2.31573710036,10.2551020408
41.4578,-88.7792,108,1000.0,0.431391,36.8065,80.4397,108,3.0,77.0,121.327,1000.0,99.9956828753,80.6486,1000.0,80.4611787094,11.987639918,80.4391109876,0.0,2.29547196041,13.8194444444
41.6854,-89.5689,109,1000.0,0.314598,35.7732,81.4658,109,3.0,49.0,121.804,1000.0,99.9956828753,81.6826,1000.0,81.4874527804,8.58947613921,81.4678953648,0.0,2.28094101924,11.7176470588
41.9034,-90.2712,110,1000.0,0.388915,39.4048,81.9269,110,3.0,47.0,122.299,1000.0,99.9956828753,82.1346,1000.0,81.9443677013,8.01845474337,81.9197732181,0.0,2.35092590176,11.032967033
42.1085,-90.9766,111,1000.0,0.582832,39.2419,82.7474,111,3.0,41.0,122.917,1000.0,99.9956828753,82.9596,1000.0,82.7624493778,8.80520450061,82.7477157849,0.0,2.36186580743,11.7882352941
42.3574,-91.8592,112,1000.0,0.598091,40.2233,83.3893,112,3.0,58.0,123.502,1000.0,99.9956828753,83.5999,1000.0,83.4184986051,8.45124805872,83.3888753427,0.0,2.42487624002,12.4625
42.584,-92.6995,113,1000.0,0.576816,40.6282,83.8747,113,3.0,42.0,123.944,1000.0,99.9956828753,84.0945,1000.0,83.9036587544,9.34247590073,83.8754768798,0.0,2.45655671775,13.1842105263
42.7577,-93.514,114,1000.0,0.524524,41.0582,84.7878,114,3.0,49.0,124.597,1000.0,99.9956828753,84.9844,1000.0,84.8027477712,9.02182468871,84.7842382492,0.0,2.45041190519,11.6395348837
42.9235,-94.4259,115,1000.0,0.465474,42.574,85.4141,115,3.0,67.0,124.907,1000.0,99.9956828753,85.6418,1000.0,85.4320008439,10.9922624598,85.4103490042,0.0,2.52547526795,15.171875
43.0891,-95.2001,116,1000.0,0.517665,42.2213,86.364,116,3.0,61.0,125.404,1000.0,99.9956828753,86.5829,1000.0,86.3843890423,12.084650643,86.3670526824,0.0,2.45929026389,13.5263157895
43.2411,-95.9648,117,1000.0,0.511245,43.1131,87.1303,117,3.0,51.0,125.822,1000.0,99.9956828753,87.3557,1000.0,87.150793639,8.69750142309,87.1306511388,0.0,2.56123480845,12.6455696203
43.4342,-96.8061,118,1000.0,0.500502,45.1035,87.8274,118,3.0,59.0,126.299,1000.0,99.9956828753,88.0516,1000.0,87.8411246944,11.3207302474,87.8239398677,0.0,2.53274174029,13.12
43.5752,-97.5755,119,1000.0,0.484053,42.9801,88.657,119,3.0,42.0,126.758,1000.0,99.9956828753,88.8716,1000.0,88.6761747473,9.06889666821,88.6525604281,0.0,2.49534116349,13.7432432432
43.7623,-98.1342,120,1000.0,0.428388,44.9533,89.0288,120,3.0,62.0,127.214,1000.0,99.9956828753,89.2455,1000.0,89.046864747,9.83767399061,89.0284814265,0.0,2.55630590355,11.375
44.0065,-98.7681,121,1000.0,0.490531,44.119,89.6484,121,3.0,52.0,127.582,1000.0,99.9956828753,89.8785,1000.0,89.6755238119,8.42687768761,89.6489896796,0.0,2.55881541302,11.3977272727
44.1308,-99.5523,122,1000.0,0.501665,44.4323,90.4871,122,3.0,41.0,128.014,1000.0,99.9956828753,90.7169,1000.0,90.5035120793,8.84572893634,90.4854190878,0.0,2.56032264348,11.1882352941
44.2509,-100.425,123,1000.0,0.447391,46.2355,91.2214,123,3.0,52.0,128.669,1000.0,99.9956828753,91.4363,1000.0,91.2339577847,8.68762537139,91.2190880469,0.0,2.57732372534,11.3804347826
44.4371,-101.331,124,1000.0,0.456977,45.8243,92.0048,124,3.0,37.0,128.933,1000.0,99.9956828753,92.2228,1000.0,92.0319204254,6.61734412961,92.0071288035,0.0,2.48300841364,9.16513761468
44.6269,-101.978,125,1000.0,0.441942,49.7466,92.5925,125,3.0,37.0,129.362,1000.0,99.9956828753,92.803,1000.0,92.5971577726,6.40493254468,92.5874210748,0.0,2.67417760251,10.1313131313
44.8162,-102.698,126,1000.0,0.48384,49.2562,93.405,126,3.0,42.0,129.838,1000.0,99.9956828753,93.6236,1000.0,93.4118418753,7.65527979757,93.4035286056,0.0,2.60122990808,10.967032967
45.0364,-103.385,127,1000.0,0.449448,49.4774,93.8504,127,3.0,44.0,130.108,1000.0,99.9956828753,94.0899,1000.0,93.8663336681,6.97891869292,93.851564407,0.0,2.65004583624,9.54285714286
45.2439,-104.202,128,1000.0,0.470655,49.6445,94.5282,128,3.0,48.0,130.587,1000.0,99.9956828753,94.7705,1000.0,94.5485821372,9.40972220104,94.5298505229,0.0,2.61908537716,11.3409090909
45.4454,-104.794,129,1000.0,0.398738,49.5635,95.0322,129,3.0,64.0,131.008,1000.0,99.9956828753,95.2726,1000.0,95.0449505444,8.28932497778,95.025177911,0.0,2.64164411557,10.5157894737
45.6155,-105.542,130,1000.0,0.454353,48.6771,95.7364,130,3.0,45.0,131.45,1000.0,99.9956828753,96.001,1000.0,95.760988351,7.82407676888,95.7394312917,0.0,2.6092204592,10.5473684211
45.8296,-106.355,131,1000.0,0.437516,53.7073,96.3466,131,3.0,26.0,131.921,1000.0,99.9956828753,96.5961,1000.0,96.3568092711,5.50987391529,96.3412394529,0.0,2.72847612576,9.25925925926
46.0706,-107.176,132,1000.0,0.410544,50.132,97.0193,132,3.0,53.0,132.235,1000.0,99.9956828753,97.2776,1000.0,97.0455455806,9.05214659761,97.0207908935,0.0,2.66153894587,11.0555555556
46.2667,-107.926,133,1000.0,0.424695,54.2595,97.7014,133,3.0,32.0,132.723,1000.0,99.9956828753,97.965,1000.0,97.7124155333,6.44165561174,97.6975286392,0.0,2.86009502427,9.48113207547
