AverageAction,StdReturn,MaxReturn,PolicyRegParamNorm,AverageAbsQ,StdEsReturn,MaxEsReturn,AverageReturn,AverageEsReturn,MinEsReturn,AverageAbsQYDiff,Epoch,AverageAbsY,Iteration,AverageDiscountedReturn,QFunRegParamNorm,AverageQ,AverageY,AverageQLoss,MinReturn,AveragePolicySurr
0.931563,21.2707253604,217.166791503,57.987,3.23588,61.0460127667,205.002162367,126.502944466,141.530178721,19.9527820987,0.178781079421,37,3.23717590627,37,87.1162894795,43.7707,3.19574,3.19758266581,0.0910842,97.7400294004,-3.45095
0.901403,107.002500066,429.041032505,58.9357,3.42808,96.91639391,327.567631454,112.206945719,190.875542649,3.03526024814,0.187115152008,38,3.42937741466,38,38.8520270862,44.6003,3.39285,3.39434630803,0.104,-99.4159963335,-3.66956
0.922738,107.567437769,621.331607832,59.7794,3.63663,101.834335426,329.4614857,221.794672709,204.567171809,13.159828615,0.200127205947,39,3.63821974317,39,116.862921075,45.4565,3.60334,3.60515107011,0.117799,134.887386599,-3.88284
0.902911,100.586962487,576.202923943,60.4752,3.86909,146.512642184,498.349162885,251.033937904,248.425238576,61.2404529464,0.195519062283,40,3.87088031803,40,116.927328784,46.1878,3.84198,3.84359180617,0.105094,114.587316736,-4.12987
0.932665,47.1880412156,344.441818558,61.2992,4.05458,118.728792678,501.771999193,175.162726994,209.658686741,106.976723833,0.206375089042,41,4.05591146593,41,108.1249468,46.9274,4.02798,4.02979538591,0.124159,116.496889025,-4.31772
0.932662,7.30066642472,125.882683485,62.0714,4.28479,46.310337249,173.403979614,107.083199466,86.587877674,36.8353462593,0.220932827398,42,4.28654082365,42,78.1414530707,47.641,4.2605,4.26224721117,0.138853,91.000552614,-4.57732
0.932649,10.6021092642,178.471779815,62.7971,4.49471,106.186131375,340.701226767,134.140311044,183.155072571,57.2134887489,0.220616580629,43,4.49580205507,43,91.3671833776,48.3638,4.47458,4.47639875812,0.134933,98.1565870237,-4.80152
0.873865,118.057042918,442.135623656,63.4862,4.7254,76.7449816991,291.63629645,159.30967552,102.458921269,-3.27330232393,0.233426400812,44,4.72717455467,44,76.4036907967,49.079,4.70513,4.70719111103,0.145735,32.1443262706,-5.03234
0.914357,115.270642262,564.466299457,64.2171,4.99354,143.373459482,430.827939113,260.78442358,183.053208199,19.2372528465,0.244481943242,45,4.99445165513,45,116.783775474,49.7967,4.97427,4.97605144176,0.170665,86.450568861,-5.3121
0.889873,31.7459548172,382.669021065,65.0598,5.20219,120.178787069,398.181526888,164.477080888,218.062195665,12.226764773,0.243876909821,46,5.20215095714,46,105.260548949,50.4932,5.18289,5.18464157058,0.155881,136.763451439,-5.53044
