MaxReturn,AverageDiscountedReturn,StdReturn,AverageReturn,StdEsReturn,AverageEsReturn,AverageAbsY,MinEsReturn,Iteration,MaxEsReturn,AverageY,AverageQLoss,MinReturn,AverageAction,Epoch,AverageQ,AveragePolicySurr,AverageAbsQ,PolicyRegParamNorm,QFunRegParamNorm,AverageAbsQYDiff
36.0,29.5787766933,0.840739908694,34.8954703833,12.6825187164,17.9090909091,1.1543937188,2.0,24,45.0,1.1543937188,0.00669055,33.0,0.151118,24,1.15425,-1.33469,1.15464,41.4618,36.4888,0.0369959440517
35.0,29.0853328604,0.398455941917,34.1979522184,12.9427647944,17.3965517241,1.2335145038,3.0,25,50.0,1.2335145038,0.00788922,34.0,0.0839374,25,1.23341,-1.4174,1.23397,42.1621,37.5831,0.0403819748915
36.0,29.6128944018,0.354134521178,34.9407665505,12.5184150479,16.9661016949,1.30494240636,3.0,26,49.0,1.30494240636,0.00946438,34.0,0.378965,26,1.30456,-1.49361,1.30513,43.1762,38.2916,0.0435190462469
47.0,35.0102082126,1.72751620007,42.8931623932,15.6651763775,20.1020408163,1.37761904625,3.0,27,51.0,1.37761904625,0.0112185,39.0,0.618104,27,1.37741,-1.57561,1.37821,43.9058,39.2195,0.0463744197328
37.0,30.5983856433,0.475107633258,36.3442028986,13.5471607654,17.4827586207,1.44993360295,3.0,28,62.0,1.44993360295,0.011341,36.0,0.290228,28,1.44972,-1.65549,1.45049,44.4456,39.8724,0.0457124188649
45.0,34.3013772734,1.03238363617,41.8041666667,12.8116996701,15.71875,1.5092833279,3.0,29,59.0,1.5092833279,0.0130212,40.0,0.350561,29,1.50905,-1.72356,1.51027,45.1208,40.716,0.0500966865059
1000.0,99.2442177741,216.184800041,931.636363636,12.5776364543,14.2142857143,1.59195836712,2.0,30,71.0,1.59195664716,0.0136707,248.0,0.0357884,30,1.59178,-1.81281,1.59285,45.8622,41.4466,0.0502023260278
1000.0,99.9956828753,0.0,1000.0,14.8672798817,17.2631578947,1.65997482206,3.0,31,64.0,1.65996650883,0.0143202,1000.0,0.289228,31,1.65971,-1.89332,1.66125,46.46,42.2118,0.0521480505803
1000.0,89.1444630727,387.287033784,531.736842105,12.1751917487,15.0,1.7340754017,3.0,32,61.0,1.73406568192,0.0168745,105.0,0.467246,32,1.73385,-1.97584,1.73543,47.0618,42.9017,0.0554327558621
94.0,44.3203269491,5.15171069058,58.3895348837,14.5433557431,15.8253968254,1.80946783967,3.0,33,92.0,1.80945048234,0.0163067,51.0,0.443052,33,1.8092,-2.05096,1.81076,47.4397,43.6203,0.0554372222915
81.0,47.238903375,5.28596419792,63.7579617834,13.9199923835,15.4126984127,1.88313911167,3.0,34,72.0,1.88311942281,0.0189545,53.0,0.657109,34,1.88293,-2.13559,1.8851,47.9356,44.2795,0.0602706416636
56.0,34.7842688177,7.63795135003,42.8290598291,18.1655211643,20.1176470588,1.97166767258,3.0,35,101.0,1.9716436886,0.022132,28.0,0.487165,35,1.97139,-2.22326,1.97347,48.1487,44.9638,0.0634436861032
50.0,35.2174159035,1.97966400181,43.2155172414,13.7369230745,16.7833333333,2.03346938941,3.0,36,58.0,2.03345910798,0.0265455,38.0,0.383258,36,2.0332,-2.30068,2.03545,48.4746,45.6042,0.0667265494782
39.0,30.5327126789,0.963550155151,36.2536231884,13.8652837602,15.5625,2.11302335625,2.0,37,56.0,2.11296789528,0.0251897,35.0,0.158169,37,2.11264,-2.38502,2.11491,48.6924,46.0186,0.0673325763195
35.0,28.9081581701,0.234609579295,33.9491525424,11.86140252,15.4603174603,2.18375771146,3.0,38,53.0,2.183692857,0.0280141,33.0,0.0851992,38,2.18357,-2.4585,2.18617,49.0057,46.8668,0.0679282013178
36.0,29.6699136104,0.203759472508,35.020979021,14.4880367848,22.3111111111,2.25866345436,3.0,39,52.0,2.25860963922,0.030887,34.0,0.0673641,39,2.2584,-2.5354,2.26154,49.2975,47.5439,0.0732649462664
34.0,28.2719529452,0.242433896663,33.0627062706,13.8411614931,15.6615384615,2.33251620698,2.0,40,56.0,2.33251463754,0.0319393,33.0,0.0784694,40,2.3323,-2.62814,2.33474,49.461,48.3293,0.0728299989685
35.0,29.0562317044,0.363797551794,34.156996587,13.1866059501,16.1290322581,2.41394797866,3.0,41,51.0,2.41388377048,0.0385318,34.0,0.0658265,41,2.4137,-2.72041,2.41735,49.5781,48.9061,0.0810594197556
34.0,28.9349453333,0.115652353283,33.986440678,9.86812701559,11.7647058824,2.47988813763,3.0,42,38.0,2.47978393239,0.0418322,33.0,0.0470899,42,2.47944,-2.7985,2.48365,49.7728,49.5902,0.0854049352698
33.0,27.71010592,0.45240713571,32.2870967742,10.8162717947,13.0909090909,2.58817890543,3.0,43,48.0,2.58811272921,0.037787,32.0,0.0755211,43,2.58791,-2.89679,2.59124,49.9526,50.0183,0.0796112038447
34.0,28.3718947954,0.409646948409,33.201986755,11.2820154338,13.5915492958,2.6393218066,2.0,44,48.0,2.63929458755,0.0470865,32.0,0.196292,44,2.639,-2.97057,2.64331,50.1218,50.703,0.0886733702346
33.0,27.7522015524,0.475420838821,32.3451612903,11.2095531415,14.7857142857,2.73134722755,3.0,45,43.0,2.73126868302,0.0496808,32.0,0.0299201,45,2.73109,-3.06253,2.73501,50.2452,51.268,0.0902205403183
34.0,28.3410231162,0.365620496473,33.1589403974,12.7535083129,14.7878787879,2.80717880888,2.0,46,53.0,2.8070513532,0.0487165,33.0,0.0359739,46,2.80669,-3.13858,2.81183,50.4767,52.0491,0.0891884864174
34.0,28.2859979438,0.349149337437,33.0825082508,12.0669403426,15.0298507463,2.87571895785,3.0,47,60.0,2.87548202959,0.0507082,32.0,0.41869,47,2.87545,-3.21615,2.88138,50.6666,52.8317,0.0904714250262
35.0,29.1806926349,0.478215136361,34.3321917808,13.4017772089,16.6393442623,2.94927329733,3.0,48,46.0,2.94900195946,0.0598571,33.0,0.396528,48,2.94854,-3.29626,2.95442,51.0677,53.2246,0.0983501079575
37.0,30.7271923634,0.506405766728,36.5291970803,11.6974014446,14.0422535211,3.00907467431,3.0,49,47.0,3.0089635698,0.0572741,35.0,0.319113,49,3.00863,-3.3657,3.01421,51.3882,53.7356,0.095821901033
37.0,29.8000843796,0.617822903463,35.2070175439,13.1446281804,15.5,3.08344182727,3.0,50,53.0,3.08334554322,0.0605727,34.0,0.511049,50,3.08322,-3.44222,3.08902,51.7069,54.1372,0.0993839228062
37.0,29.0982831634,0.783839499608,34.2184300341,13.4882961704,17.1754385965,3.14326933494,3.0,51,49.0,3.14313440025,0.0576376,29.0,0.495701,51,3.14273,-3.51489,3.14825,51.9418,54.6645,0.0977261881778
725.0,44.1663618055,76.1923244431,68.4897959184,11.4368016799,11.8837209302,3.21066706246,3.0,52,65.0,3.21060807714,0.0617066,40.0,0.719345,52,3.21034,-3.58028,3.21584,52.1251,55.3518,0.0979401846956
529.0,44.256350214,97.2554928495,79.5079365079,15.8928644502,13.7361111111,3.2785408683,3.0,53,92.0,3.27850650285,0.0664341,31.0,0.755698,53,3.27853,-3.64658,3.28474,52.2969,55.9424,0.105673050867
340.0,46.2719676407,58.0487811723,72.6956521739,16.5817705014,17.6379310345,3.33262770823,3.0,54,61.0,3.33259027791,0.0705793,41.0,0.680512,54,3.33223,-3.71221,3.33948,52.5628,56.5335,0.108778160649
451.0,41.9201860568,70.9725288036,67.6689189189,17.8282472498,19.56,3.38958570712,2.0,55,82.0,3.38945877012,0.0775466,37.0,0.640663,55,3.38921,-3.77903,3.39609,52.757,57.0493,0.112065662683
1000.0,87.0973420337,396.774957456,782.692307692,17.1557893929,18.2321428571,3.42603574122,3.0,56,62.0,3.42595854164,0.0804845,51.0,0.407409,56,3.42577,-3.82482,3.43252,53.0255,57.5455,0.114443713703
60.0,42.3138542234,2.47209636015,54.7704918033,15.8016015721,14.2285714286,3.50333041843,3.0,57,71.0,3.50325904301,0.0832161,49.0,0.369974,57,3.50304,-3.90275,3.51096,53.2055,57.9703,0.117940609499
1000.0,99.9956828753,0.0,1000.0,21.1413288664,19.5098039216,3.570389885,3.0,58,98.0,3.57025337575,0.0786834,1000.0,0.459033,58,3.5701,-3.97531,3.57592,53.4249,58.5784,0.109758695173
1000.0,99.9956828753,0.0,1000.0,18.793918917,15.7936507937,3.62424819212,3.0,59,87.0,3.62411877965,0.0865764,1000.0,0.0576734,59,3.62337,-4.03024,3.63139,53.7146,59.2021,0.121903325594
1000.0,99.9956828753,0.0,1000.0,12.1411847588,14.3857142857,3.70840002961,3.0,60,50.0,3.70824157364,0.0917091,1000.0,0.043061,60,3.70812,-4.11758,3.71581,54.0564,59.828,0.121646529572
1000.0,99.9956828753,0.0,1000.0,15.3008469359,14.8235294118,3.77466355023,3.0,61,89.0,3.77436641976,0.0954496,1000.0,0.138343,61,3.77401,-4.19552,3.78267,54.1816,60.1983,0.124385003632
1000.0,99.9956828753,0.0,1000.0,14.573541065,17.8909090909,3.8392123443,2.0,62,57.0,3.83892846659,0.105854,1000.0,0.0507953,62,3.8389,-4.25707,3.84831,54.3968,60.743,0.13183390577
1000.0,99.9956828753,0.0,1000.0,14.9923057189,19.0,3.90745315334,3.0,63,61.0,3.90701887574,0.098501,1000.0,0.0321782,63,3.90695,-4.3318,3.91482,54.616,61.2478,0.124987774647
1000.0,99.9956828753,0.0,1000.0,14.2628802164,15.5454545455,3.97312568744,3.0,64,77.0,3.97268528212,0.106316,1000.0,0.036834,64,3.97208,-4.4118,3.98203,54.7972,61.814,0.132893667348
1000.0,99.9956828753,0.0,1000.0,17.4006625034,16.4833333333,4.03253335779,3.0,65,85.0,4.03213104009,0.105791,1000.0,0.0576856,65,4.03201,-4.46208,4.0407,55.0916,62.2487,0.133165098001
1000.0,99.9956828753,0.0,1000.0,16.7661953383,14.4571428571,4.11155899557,3.0,66,93.0,4.11120711954,0.101926,1000.0,0.0444677,66,4.11078,-4.55267,4.11916,55.2578,62.6079,0.127461510918
1000.0,99.9956828753,0.0,1000.0,15.5585994988,14.7424242424,4.1815427193,3.0,67,107.0,4.18124852938,0.116522,1000.0,0.0410599,67,4.18104,-4.62758,4.19078,55.5296,63.1336,0.134510187899
1000.0,99.9956828753,0.0,1000.0,11.1823450457,13.3552631579,4.23275125826,3.0,68,53.0,4.23228855465,0.126799,1000.0,0.112844,68,4.23218,-4.69055,4.24267,55.7788,63.6763,0.145143289194
1000.0,99.9956828753,0.0,1000.0,14.5647428004,17.6140350877,4.30381127066,3.0,69,61.0,4.30333867418,0.11234,1000.0,0.14261,69,4.30313,-4.76243,4.31246,55.99,64.2397,0.135366825219
1000.0,99.9956828753,0.0,1000.0,11.6523535713,15.6875,4.39597494312,3.0,70,56.0,4.39527601291,0.117252,1000.0,0.143298,70,4.39561,-4.86506,4.40476,56.2063,64.6969,0.13665641492
1000.0,99.9956828753,0.0,1000.0,11.2596204525,15.546875,4.48671365867,3.0,71,69.0,4.48615246906,0.13812,1000.0,0.142403,71,4.48579,-4.95799,4.49755,56.3356,65.1979,0.153334731348
1000.0,99.9956828753,0.0,1000.0,16.3656276051,16.1451612903,4.55687655974,4.0,72,105.0,4.55630963149,0.139571,1000.0,0.178286,72,4.5557,-5.02188,4.5671,56.5397,65.7022,0.151570547526
197.0,53.0401705274,37.2958558556,81.056,10.009322691,12.9090909091,4.63907757204,3.0,73,48.0,4.63824765333,0.138656,54.0,0.385239,73,4.63789,-5.14104,4.64895,56.7768,66.2084,0.150364636478
146.0,73.383192987,3.58310517,131.763157895,12.215232759,12.8421052632,4.7244771304,3.0,74,66.0,4.72392623594,0.155045,126.0,0.208574,74,4.72419,-5.23738,4.73552,56.9552,66.9002,0.158236277428
161.0,45.3184005901,33.0994867781,64.5548387097,15.9096600828,14.2222222222,4.83125470102,3.0,75,110.0,4.83062351247,0.149534,43.0,0.445691,75,4.83011,-5.34315,4.84271,57.1174,67.4092,0.156898853135
350.0,82.7636218738,60.4629464129,189.924528302,15.0622406617,15.8125,4.95493033285,3.0,76,81.0,4.95427362805,0.181777,133.0,0.178516,76,4.95397,-5.4927,4.96897,57.2064,67.8808,0.176578741889
1000.0,99.9956828753,0.0,1000.0,11.9118797697,14.3043478261,5.07894111676,3.0,77,46.0,5.07823831509,0.184888,1000.0,0.134708,77,5.07792,-5.63017,5.09083,57.3638,68.2816,0.176642651434
323.0,91.9037269767,41.6395888346,258.128205128,13.1144191729,13.8904109589,5.20608409028,3.0,78,72.0,5.20569799065,0.189663,214.0,0.248451,78,5.20501,-5.76966,5.21826,57.4909,68.895,0.176774640139
228.0,79.1427875656,41.3555190666,164.180327869,12.7170593941,15.0606060606,5.3489560512,3.0,79,55.0,5.34869881189,0.2244,62.0,0.297388,79,5.34818,-5.95394,5.36398,57.6868,69.4585,0.188828212838
1000.0,99.9956828753,0.0,1000.0,11.2167652299,13.4133333333,5.51330413034,3.0,80,65.0,5.51294840196,0.22645,1000.0,0.220294,80,5.5126,-6.13998,5.52578,57.8537,69.9717,0.187437970382
234.0,89.4714063501,2.91729622835,224.022222222,14.8821337038,13.1486486486,5.69443242584,3.0,81,97.0,5.69347361485,0.25415,221.0,0.214489,81,5.69265,-6.32055,5.70837,58.0827,70.5191,0.19931578801
1000.0,99.9956828753,0.0,1000.0,12.7473581519,14.4084507042,5.84509729891,3.0,82,54.0,5.84450998805,0.270228,1000.0,0.120414,82,5.84372,-6.50543,5.8607,58.2683,71.2647,0.212003310981
236.0,87.8960092039,28.8718622077,215.106382979,12.0500740958,14.1,6.01501571869,3.0,83,54.0,6.01445504024,0.291741,144.0,0.110977,83,6.01419,-6.70526,6.02958,58.4587,71.7863,0.215597727242
137.0,73.992649684,1.32154791396,134.013333333,8.71628789548,11.0659340659,6.16315493244,3.0,84,42.0,6.16204198188,0.304639,131.0,0.135693,84,6.16149,-6.89874,6.1806,58.6449,72.2868,0.2225965702
657.0,93.7870999227,109.803204879,317.272727273,16.2196857178,16.3442622951,6.35581399272,3.0,85,81.0,6.35499236423,0.341085,159.0,0.183398,85,6.35456,-7.08774,6.37319,58.8563,73.1128,0.237178851449
214.0,72.1842864769,22.216744607,129.883116883,12.1524003116,16.05,6.55887232312,3.0,86,61.0,6.55812889556,0.353342,71.0,0.201205,86,6.55704,-7.30721,6.5733,59.0985,73.6471,0.237268338149
636.0,95.8670278194,91.6961715209,347.862068966,14.4345782818,15.3970588235,6.74282439597,3.0,87,69.0,6.742305709,0.346803,236.0,0.13629,87,6.74181,-7.52781,6.75889,59.322,74.1047,0.23801137883
140.0,42.1596725641,15.196166493,55.3922651934,25.4392879696,21.1956521739,6.94484250871,3.0,88,110.0,6.94424548214,0.410079,48.0,0.275652,88,6.94378,-7.72227,6.9639,59.52,74.8068,0.260831418201
57.0,41.0022006659,1.76600514054,52.5183246073,15.2494517552,17.3793103448,7.18583561362,3.0,89,71.0,7.1851933331,0.392431,50.0,0.142811,89,7.18397,-7.97393,7.20237,59.7017,75.5673,0.252651678343
1000.0,99.9956828753,0.0,1000.0,12.8349331983,14.4857142857,7.37793535345,3.0,90,55.0,7.37714264312,0.447762,1000.0,0.0218714,90,7.37643,-8.20719,7.39459,59.8372,76.1586,0.263020703911
1000.0,99.9956828753,0.0,1000.0,17.9207944899,17.0172413793,7.57118478604,3.0,91,81.0,7.57051157065,0.5147,1000.0,0.0144838,91,7.56926,-8.42821,7.59019,60.0324,76.7964,0.285304107902
1000.0,99.9956828753,0.0,1000.0,10.7548438699,14.1666666667,7.80617051128,3.0,92,55.0,7.80552217163,0.502192,1000.0,0.00356808,92,7.8049,-8.70905,7.82716,60.2524,77.3855,0.287604225848
1000.0,99.9956828753,0.0,1000.0,15.9506925696,14.4328358209,8.03035463733,3.0,93,68.0,8.02983194342,0.502988,1000.0,0.00420379,93,8.02891,-8.9439,8.05022,60.3854,77.8974,0.286653248504
1000.0,99.9956828753,0.0,1000.0,11.9413599026,16.8360655738,8.26689899547,3.0,94,44.0,8.26631482487,0.532871,1000.0,0.00232893,94,8.26501,-9.22065,8.28745,60.5309,78.6879,0.291571027574
1000.0,99.9956828753,0.0,1000.0,12.0969626432,14.6764705882,8.53769877072,3.0,95,49.0,8.53678435349,0.559822,1000.0,0.00410096,95,8.53599,-9.4973,8.55956,60.7268,79.1927,0.300489713694
1000.0,99.9956828753,0.0,1000.0,12.6759587723,14.7647058824,8.74722959409,3.0,96,52.0,8.74611955668,0.630842,1000.0,0.00551748,96,8.74565,-9.75504,8.77264,60.8798,79.7956,0.316271071931
1000.0,99.9956828753,0.0,1000.0,11.9113154911,13.8472222222,8.99269013994,3.0,97,52.0,8.99194867196,0.684686,1000.0,0.00316975,97,8.99114,-10.0207,9.01782,61.0229,80.4609,0.332290785896
1000.0,99.9956828753,0.0,1000.0,15.152939327,14.5454545455,9.29213829988,3.0,98,66.0,9.29127377413,0.639518,1000.0,0.00241554,98,9.29023,-10.3389,9.31622,61.1766,80.9623,0.320955907845
1000.0,99.9956828753,0.0,1000.0,13.041445046,13.9733333333,9.50845161821,3.0,99,58.0,9.50720001066,0.707774,1000.0,0.00338291,99,9.50634,-10.6025,9.53705,61.2634,81.5245,0.342226737986
1000.0,99.9956828753,0.0,1000.0,16.752512757,17.3214285714,9.78688121083,2.0,100,66.0,9.78543516894,0.784811,1000.0,0.0026637,100,9.78323,-10.934,9.81357,61.3958,82.1158,0.356153936292
1000.0,99.9956828753,0.0,1000.0,16.6584626751,15.8153846154,10.0917531231,3.0,101,82.0,10.0901221113,0.754874,1000.0,0.00302827,101,10.0899,-11.2592,10.1184,61.5545,82.6887,0.353245254049
1000.0,95.1209096574,269.656040476,914.727272727,13.1750940704,15.1515151515,10.3516882231,3.0,102,54.0,10.3485838127,0.868274,62.0,0.0049465,102,10.3472,-11.5511,10.3806,61.6941,83.3238,0.367144146219
49.0,38.1925219354,0.629291202396,47.8755980861,12.155448403,13.6712328767,10.6209597749,3.0,103,57.0,10.6169866845,0.880431,46.0,0.159679,103,10.6163,-11.8713,10.6515,61.8819,83.8859,0.375614385457
1000.0,99.9956828753,0.0,1000.0,12.4692603828,13.4794520548,10.948579537,3.0,104,56.0,10.9451684757,0.974142,1000.0,0.00276804,104,10.9438,-12.2471,10.9802,61.9774,84.6024,0.397435361329
1000.0,99.9956828753,0.0,1000.0,13.9153008191,13.8382352941,11.2798188278,3.0,105,65.0,11.2770838007,1.02719,1000.0,0.00233809,105,11.2753,-12.6074,11.3123,62.0716,85.0572,0.402724839245
1000.0,99.9956828753,0.0,1000.0,16.3837213883,15.1285714286,11.5858222255,3.0,106,81.0,11.5834693053,1.1075,1000.0,0.00190065,106,11.5808,-12.9568,11.6164,62.1975,85.6927,0.420668408064
1000.0,99.9956828753,0.0,1000.0,11.5119916416,11.9411764706,11.9319538945,3.0,107,53.0,11.9296913573,1.08564,1000.0,0.00238319,107,11.929,-13.3204,11.9641,62.3229,86.3188,0.408438148465
1000.0,99.9956828753,0.0,1000.0,13.610270911,14.8805970149,12.2225934056,3.0,108,67.0,12.2200458055,1.18271,1000.0,0.00215705,108,12.219,-13.6416,12.2597,62.493,86.9465,0.434133676889
1000.0,99.9956828753,0.0,1000.0,13.7463253763,14.3134328358,12.5690879751,3.0,109,66.0,12.5663454537,1.31426,1000.0,0.156375,109,12.5657,-14.0546,12.6023,62.6875,87.3885,0.453468056392
1000.0,99.9956828753,0.0,1000.0,19.7515257768,17.2586206897,12.8913283015,3.0,110,114.0,12.8879046668,1.26257,1000.0,0.0950048,110,12.8846,-14.3713,12.9248,62.8049,87.8987,0.448564830304
1000.0,99.9956828753,0.0,1000.0,21.1873104502,20.4693877551,13.2333116562,3.0,111,112.0,13.2306387266,1.34549,1000.0,0.0022695,111,13.2292,-14.8142,13.2692,62.9818,88.5945,0.459925883027
1000.0,99.9956828753,0.0,1000.0,17.7076911784,13.7368421053,13.563738936,3.0,112,119.0,13.5614823156,1.40309,1000.0,0.343179,112,13.5584,-15.1326,13.5996,63.0959,89.1212,0.466594165849
1000.0,99.9956828753,0.0,1000.0,16.4197963639,14.8208955224,13.9172829488,3.0,113,84.0,13.9144289748,1.46417,1000.0,0.058873,113,13.9128,-15.4785,13.9544,63.2248,89.7328,0.484679308078
1000.0,99.9956828753,0.0,1000.0,18.628031852,14.5072463768,14.2240916227,3.0,114,89.0,14.2215550275,1.57681,1000.0,0.275482,114,14.2208,-15.8693,14.2619,63.3633,90.1064,0.496902055396
1000.0,99.9956828753,0.0,1000.0,20.3106759506,15.126984127,14.5593441426,3.0,115,145.0,14.5559162959,1.67746,1000.0,0.309057,115,14.554,-16.2231,14.5979,63.4889,90.4906,0.513592773444
1000.0,99.9956828753,0.0,1000.0,18.7293773555,15.2794117647,14.861405483,3.0,116,81.0,14.8586421166,1.66256,1000.0,0.00245669,116,14.8557,-16.5389,14.9036,63.6417,90.9376,0.508160605522
1000.0,99.9956828753,0.0,1000.0,15.5573076876,15.5692307692,15.1700115171,3.0,117,64.0,15.1675781594,1.72861,1000.0,0.261448,117,15.1679,-16.8699,15.2123,63.7225,91.6314,0.518478572706
1000.0,99.9956828753,0.0,1000.0,13.9902371207,14.2428571429,15.4739923249,3.0,118,68.0,15.4713806852,1.84556,1000.0,0.556947,118,15.4683,-17.2138,15.5149,63.9333,92.2691,0.529687510408
1000.0,99.9956828753,0.0,1000.0,26.621053839,19.5294117647,15.7565091223,3.0,119,159.0,15.7545544107,1.77222,1000.0,0.23362,119,15.7527,-17.5338,15.8014,64.085,92.7878,0.531658837978
1000.0,99.9956828753,0.0,1000.0,23.4544051555,19.8163265306,16.0505407719,3.0,120,106.0,16.0478726778,1.78601,1000.0,0.451527,120,16.0461,-17.8224,16.0917,64.2755,93.3124,0.521169374871
1000.0,99.9956828753,0.0,1000.0,35.5108527236,23.5454545455,16.3435094284,3.0,121,169.0,16.3413301537,1.70318,1000.0,0.122189,121,16.3398,-18.1401,16.3813,64.4106,93.8902,0.51182279372
1000.0,99.9956828753,0.0,1000.0,22.2141260109,16.9152542373,16.5104415231,3.0,122,120.0,16.5081843357,2.02672,1000.0,0.270534,122,16.5065,-18.3898,16.5578,64.5671,94.2657,0.567850107372
1000.0,99.9956828753,0.0,1000.0,28.6639447459,20.9777777778,16.745858663,3.0,123,125.0,16.7433295245,2.19076,1000.0,0.366532,123,16.7412,-18.5802,16.7929,64.7191,94.8763,0.578236196716
1000.0,99.9956828753,0.0,1000.0,26.7954821567,19.6603773585,16.9277064783,3.0,124,138.0,16.9257380942,2.07061,1000.0,0.160012,124,16.9243,-18.7363,16.9732,64.8599,95.2383,0.54675825531
1000.0,99.9956828753,0.0,1000.0,35.088593232,25.125,17.0673312347,3.0,125,174.0,17.0651386073,2.08938,1000.0,0.425039,125,17.0624,-19.0046,17.1096,65.0024,95.5652,0.54669157873
1000.0,99.9956828753,0.0,1000.0,25.2858860445,21.1818181818,17.3836753046,3.0,126,96.0,17.3807110358,1.90651,1000.0,0.660037,126,17.3795,-19.2333,17.4304,65.1553,96.1823,0.536458657257
1000.0,99.9956828753,0.0,1000.0,31.6605764124,23.0888888889,17.4482930187,3.0,127,133.0,17.4434390149,2.00068,1000.0,0.460685,127,17.4415,-19.3736,17.4922,65.2685,96.645,0.549563519311
1000.0,99.9956828753,0.0,1000.0,34.711713399,25.2105263158,17.6692342807,3.0,128,183.0,17.6626130181,2.00437,1000.0,0.753553,128,17.6625,-19.5959,17.7174,65.4366,97.0249,0.543459098123
1000.0,99.9956828753,0.0,1000.0,28.931345065,23.5,17.9281830453,3.0,129,112.0,17.9200643101,2.06608,1000.0,0.745583,129,17.9186,-19.7467,17.9779,65.5815,97.569,0.551134317726
1000.0,99.9956828753,0.0,1000.0,29.5926012066,21.7446808511,17.9487605855,3.0,130,133.0,17.9417158377,2.07765,1000.0,0.668218,130,17.9412,-19.8568,17.9954,65.6814,98.0238,0.549663174996
1000.0,99.9956828753,0.0,1000.0,40.2746311427,31.1212121212,18.1618719621,3.0,131,185.0,18.1561669574,2.29305,1000.0,0.597126,131,18.1546,-20.0114,18.2081,65.8374,98.422,0.567154857942
