PolicyRegParamNorm,AverageReturn,MaxEsReturn,MinReturn,MaxReturn,AverageAbsY,AverageQ,AverageY,AverageAbsQ,AveragePolicySurr,MinEsReturn,Iteration,AverageAbsQYDiff,StdReturn,AverageDiscountedReturn,QFunRegParamNorm,StdEsReturn,AverageAction,AverageQLoss,Epoch,AverageEsReturn
83.7768,214.870491337,432.033713082,54.1129786114,492.961514175,10.7218375087,10.7092,10.7122979563,10.7221,-11.0888,88.2054626688,75,0.378293975339,74.7647547497,107.811348891,70.5411,119.296567105,0.957938,0.458289,75,282.933670368
84.287,235.847988257,231.045994478,113.414952662,649.088012357,10.8471525148,10.8352,10.8379842281,10.849,-11.2052,53.7250821721,76,0.383016656403,83.4134036177,115.654417571,71.0717,65.8015959959,0.95483,0.470972,76,158.20844936
84.779,166.855074291,282.747480959,121.764558765,427.669203108,11.0042538894,10.9932,10.9958342744,11.0068,-11.3635,121.495601894,77,0.385920574993,61.303711844,102.744771989,71.5834,50.2599320751,0.959276,0.478592,77,187.625796873
85.3097,151.694414776,355.225173585,104.458670479,209.840890855,11.1193197197,11.1061,11.109755436,11.1212,-11.4571,160.970465632,78,0.392446073679,23.8240810528,96.9616806658,72.1105,55.2352418076,0.971556,0.48955,78,236.68706182
85.8627,216.917136112,361.847044717,111.888403891,462.152640955,11.2281652342,11.215,11.216939646,11.2324,-11.5679,64.6072243929,79,0.388801497971,51.1580833941,119.591106344,72.715,104.660341369,0.97151,0.474361,79,208.200816248
86.3918,247.97118753,324.247057594,126.269261033,393.83551791,11.329910596,11.3147,11.3164217849,11.3336,-11.6686,-3.05693353252,80,0.390043857585,69.7132510326,117.978215916,73.2897,99.0723998211,0.964552,0.462403,80,172.710775525
86.9121,242.87903859,301.131700672,85.9457132269,600.941608107,11.4846876554,11.4678,11.4705868121,11.4877,-11.8193,-3.95852922129,81,0.402193626106,94.7595151042,113.478575805,73.7958,107.463827005,0.95402,0.528153,81,142.364239242
87.407,199.4002038,332.680731434,113.175207457,395.446514243,11.5939467569,11.5756,11.5791283358,11.5942,-11.9256,27.4182929653,82,0.406161345397,64.1507512493,111.906948151,74.3737,112.034454888,0.963225,0.536177,82,156.098483698
87.8562,246.922139477,283.489924102,-80.4457575217,614.946079245,11.7124296891,11.6932,11.6952370556,11.7147,-12.0613,-0.396591613801,83,0.409202626835,97.9939294858,113.023033629,74.8954,93.0883966784,0.949591,0.539835,83,138.503758095
88.2723,292.149605621,584.236379678,111.134786382,475.653668243,11.8415553909,11.8217,11.8244549403,11.8439,-12.1829,5.84296087257,84,0.41565591247,58.9607691974,129.092661422,75.4273,182.836578974,0.960494,0.557488,84,187.268645912
88.7087,20.2758169657,359.650485991,9.59283271921,26.0027192064,11.9391949004,11.919,11.9211758217,11.9426,-12.2898,-4.30638691433,85,0.41100534389,3.3933017928,16.0321257229,75.9048,118.667015886,0.918519,0.531004,85,204.484292039
89.1646,210.743523635,379.495987857,124.937899817,389.946777862,12.082954575,12.063,12.0664499113,12.0848,-12.4085,0.228653686879,86,0.426399092275,51.1203484301,113.251195551,76.3842,107.820777849,0.943969,0.606152,86,184.278570865
89.6328,342.116139472,349.464471224,112.558741781,992.357676364,12.2054167857,12.1874,12.1902949482,12.2076,-12.5512,79.7523149077,87,0.435169125003,301.837223547,92.0870490797,76.8936,106.913510113,0.88686,0.615259,87,224.21996143
90.1024,411.507649312,396.843866102,142.969124293,1073.83625248,12.3296623234,12.3107,12.3140067401,12.3304,-12.6716,44.5251955068,88,0.423717156784,285.976584222,102.154917272,77.3656,116.840624991,0.883414,0.595015,88,181.247151615
90.5362,261.907797453,444.454197771,105.225662628,886.060255597,12.4332440691,12.415,12.4181551721,12.4342,-12.7814,20.8804850271,89,0.42844769086,159.092505352,109.867420398,77.8412,175.579288474,0.929617,0.609088,89,180.186378799
91.0027,479.673999568,596.863981376,56.2481418772,877.579715529,12.5565787242,12.5375,12.5411244878,12.5597,-12.9033,97.8450462004,90,0.431913780687,324.614940378,86.8382257619,78.3512,173.308449122,0.907631,0.628953,90,263.204459067
91.4402,227.416205643,495.655396134,-80.2766279577,985.409989491,12.6687983796,12.6511,12.6545000521,12.6696,-13.0392,148.071291578,91,0.432231520116,311.915460063,25.2170424545,78.8359,128.447690847,0.90052,0.634405,91,307.173820297
91.8685,144.169799633,447.337511947,103.068751302,474.14590524,12.79774855,12.7787,12.7820184808,12.7992,-13.136,39.4004038204,92,0.422396754719,51.3570440143,92.062927312,79.2601,147.761300212,0.926697,0.575431,92,279.158365735
92.3251,214.93938887,242.933134637,82.8446255835,614.573413668,12.9388524926,12.9224,12.9255522986,12.9425,-13.2882,18.1521064532,93,0.423306763699,122.899963676,101.304703584,79.7174,72.3046715306,0.941889,0.565396,93,115.855482156
92.7614,206.085024969,460.394536737,22.2915275891,1161.96052028,13.0083809563,12.9891,12.9919663843,13.0124,-13.3625,-1.41274096382,94,0.425898939744,136.194767431,108.341085092,80.2002,150.959179802,0.937449,0.571254,94,182.850147483
93.2384,256.757828871,195.206729611,89.9304964223,480.662881062,13.1912830067,13.1734,13.1765337402,13.1943,-13.5342,-31.8074041852,95,0.43819499565,87.734748058,97.400243582,80.6758,75.5231532137,0.913431,0.623139,95,50.6158689726
93.7192,277.450247581,269.394255305,78.7655103486,572.057279502,13.2744925004,13.2579,13.2617531777,13.2753,-13.6422,-12.3081558691,96,0.433818336264,103.027949063,116.623881848,81.1007,79.0795558181,0.930932,0.556283,96,81.2732949784
94.0736,172.092640034,243.786341317,-13.5782702198,503.812415313,13.3676739045,13.3526,13.3562505252,13.3702,-13.73,1.76625423722,97,0.456061846727,92.6404694716,75.271533869,81.6707,79.1974401095,0.922477,0.682513,97,131.054614377
94.5395,93.3582254275,226.802084685,-46.2832851951,424.494972578,13.5360956048,13.5228,13.526648431,13.5371,-13.8979,-35.0561582525,98,0.460864710621,71.2877829262,35.3494046054,82.114,75.3771712735,0.956092,0.745499,98,71.2101119475
94.9978,125.171913063,368.980332968,-42.4985507913,526.14149483,13.6659064333,13.6525,13.6553864303,13.669,-14.0378,-20.9100485734,99,0.452894921939,93.0157977358,39.4744209058,82.5349,136.206714299,0.948358,0.698286,99,158.259934756
