AverageAction,AverageEsReturn,AverageAbsQ,AverageQLoss,StdEsReturn,AveragePolicySurr,AverageAbsY,AverageY,MinEsReturn,MaxReturn,MaxEsReturn,StdForwardProgress,AverageReturn,AverageQ,AverageAbsQYDiff,AverageDiscountedReturn,MinReturn,PolicyRegParamNorm,AverageForwardProgress,QFunRegParamNorm,MaxForwardProgress,Epoch,StdReturn,MinForwardProgress
0.8051,64.7859147188,4.33607,0.210384,19.0319091437,-4.70862,4.33703109414,4.33668715145,15.8961958921,117.310810535,93.6331901531,0.123954540828,64.4398823992,4.33376,0.261408780351,50.6870962281,37.9631831192,21.0143,0.396595013461,53.7065,0.631716472545,85,13.5062740879,-0.105531484498
0.764324,55.530343268,4.42749,0.213789,10.8881832757,-4.66043,4.42750230405,4.42683028955,5.00050392691,97.6502584808,66.3793580331,0.101652760852,53.5405295487,4.42472,0.264030696488,44.0244555606,11.4399071111,21.0593,0.34203184005,54.0805,0.607410070011,86,10.6124863547,-0.0892006900357
0.761471,57.7609642359,4.44793,0.176203,6.72934027159,-4.64478,4.44755160517,4.44720575175,41.5577605501,78.5160159299,68.8630639828,0.0841107917487,56.5352857097,4.44585,0.226542014793,46.3047139465,21.8176204336,21.0975,0.375794750704,54.4256,0.586592158096,87,8.63924927273,0.066258873717
0.805547,48.9801678369,4.50763,0.20863,10.5929568532,-4.91314,4.50828343149,4.50794419182,4.84866664561,130.582017255,66.3769500173,0.0886008627368,57.9647817057,4.50523,0.264105733675,45.2142738241,22.3903259919,21.141,0.263238633308,54.7373,0.681729788591,88,15.6771243791,-0.126368371773
0.781983,48.4728369508,4.6344,0.235981,15.1257678833,-4.90653,4.63433350294,4.63413738998,1.88712141419,108.799698567,80.8114685813,0.0854663220428,58.2600465545,4.6322,0.301725317095,45.9638661753,15.8101063563,21.1638,0.295016029542,55.059,0.545109344835,89,13.2971131874,-0.108448209216
0.761196,51.6377619435,4.74688,0.225149,16.0106067524,-5.00083,4.74694891188,4.7467174825,11.4893375791,96.5798901856,89.723517401,0.0851583782189,53.3571013852,4.74501,0.284870935356,43.7121896472,27.313788113,21.1919,0.314864120292,55.3815,0.562448031095,90,9.7119017706,0.0962327548087
0.746057,52.9091439567,4.81093,0.214666,10.9468736159,-5.02549,4.81093821911,4.81079551892,19.9049082007,77.9571899987,68.8273379212,0.0840522984583,48.7013658889,4.8088,0.270252882174,40.4379874605,24.1893386084,21.2214,0.269738322147,55.712,0.540830596493,91,9.30401586747,0.0450146025333
0.725173,49.3768264851,4.83966,0.191576,9.78116533822,-5.04106,4.83938271501,4.83913821378,18.739444093,81.1775799578,67.0998796865,0.0992047522645,52.5452149537,4.83748,0.257228779081,43.3219167679,33.0999145142,21.2612,0.321796499228,56.0184,0.540737217461,92,9.98693063023,0.0785625063794
0.716116,60.6702003802,4.87003,0.223683,14.9818197152,-5.02801,4.86877099026,4.86745266894,11.6340753197,99.8238457628,75.0315453829,0.0566909621878,73.721788053,4.86596,0.275154733635,56.9064055903,41.963906107,21.3231,0.49068746952,56.403,0.575416187097,93,7.28199055114,0.20203735962
0.706131,71.7756330235,4.86863,0.215254,12.5652500921,-5.07797,4.86905171828,4.86782318237,31.1540627535,111.419415517,89.8612430044,0.05389317045,80.9656370721,4.86501,0.268075548084,60.1373118747,37.6169821246,21.3716,0.507156845806,56.7051,0.575298216506,94,9.39353090865,0.0240205926431
