AverageQ,AveragePolicySurr,StdEsReturn,MaxReturn,AverageAbsY,QFunRegParamNorm,AverageAbsQ,MinEsReturn,Epoch,Iteration,MinReturn,PolicyRegParamNorm,AverageAction,AverageEsReturn,AverageReturn,AverageY,AverageDiscountedReturn,StdReturn,AverageQLoss,AverageAbsQYDiff,MaxEsReturn
1.50933,-1.56553,0.0,614.061149438,1.50960809347,22.974,1.50933,255.427628807,47,47,-384.456385731,26.7772,0.842318,255.427628807,-282.944280152,1.50949841801,-30.6399792604,299.006473805,0.00797488,0.0542108512809,255.427628807
1.5203,-1.57433,0.0,-271.194340905,1.52046549021,23.2272,1.5203,325.190378289,48,48,-284.61051659,27.0223,0.659821,325.190378289,-276.76426751,1.52040435128,-27.2573920824,3.67601193973,0.00640456,0.0519733827297,325.190378289
1.55331,-1.61183,0.0,566.308834326,1.55371559097,23.5437,1.55331,254.499238204,49,49,-302.231141366,27.2851,0.719575,254.499238204,256.598115303,1.55364324358,38.7682033337,278.271105427,0.006553,0.053182474584,254.499238204
1.58092,-1.64022,0.0,-722.858466961,1.58119104765,23.8749,1.58096,274.659232608,50,50,-781.112408354,27.5194,0.740979,274.659232608,-757.487451649,1.58110380816,-48.2816050884,15.635010101,0.007075,0.0539053888333,274.659232608
1.60541,-1.66494,0.0,714.611772541,1.60577348828,24.227,1.60541,184.838464851,51,51,404.329047086,27.8832,0.796947,184.838464851,568.679175128,1.60568687496,56.1091827735,93.9320777468,0.00860857,0.0568503484225,184.838464851
1.62484,-1.68612,0.0,460.334896925,1.625158407,24.5018,1.62487,264.060254257,52,52,197.755207975,28.1722,0.820244,264.060254257,339.380747876,1.62504485534,30.0120441784,67.1721096788,0.00812371,0.0557958857965,264.060254257
1.66463,-1.72994,0.0,1067.64868259,1.66506340991,24.7532,1.66463,327.09558318,53,53,834.050150029,28.4775,0.861304,327.09558318,934.513147104,1.66500029551,72.4327561715,90.6373728127,0.00785147,0.0564913677841,327.09558318
1.70452,-1.7741,0.0,949.835234661,1.70484125355,24.9973,1.70459,249.893425834,54,54,580.565786062,28.7521,0.778485,249.893425834,744.124092417,1.7047738869,70.3188343416,137.223546599,0.00792125,0.0568656870342,249.893425834
1.75193,-1.81944,0.0,673.975437774,1.75226756627,25.2698,1.75193,314.40160569,55,55,394.72693404,29.0637,0.740059,314.40160569,498.719749393,1.75220357765,33.1099326347,81.3913966147,0.00872526,0.0586721655899,314.40160569
1.7935,-1.86198,0.0,1143.22342471,1.79393298254,25.5737,1.7935,323.059294678,56,56,798.308767619,29.3539,0.81338,323.059294678,1010.53727204,1.7938641142,72.5041443735,102.006017675,0.00834662,0.0583313403294,323.059294678
1.84125,-1.90847,0.0,662.970086637,1.84170085388,25.858,1.84125,359.725495463,57,57,428.539650328,29.5455,0.831133,359.725495463,567.993595702,1.84167049634,43.6039428315,93.2214924219,0.00883831,0.0597079470824,359.725495463
1.89372,-1.96403,0.0,761.555347315,1.89411915059,26.1857,1.89372,277.793572917,58,58,454.751124198,29.8308,0.855476,277.793572917,553.255668121,1.89404685552,38.8700861763,98.0321649708,0.0107362,0.0627008342873,277.793572917
1.94895,-2.02175,0.0,546.277516467,1.94951927418,26.4561,1.94895,259.176046206,59,59,272.37998972,30.1085,0.852945,259.176046206,402.278560881,1.94944602349,33.4170928252,81.6186388397,0.00948544,0.0620197277557,259.176046206
