AverageDiscountedReturn,QFunRegParamNorm,AveragePolicySurr,MinReturn,MaxReturn,Epoch,StdReturn,AverageAbsQ,AverageAbsQYDiff,AverageAction,AverageEsReturn,AverageY,PolicyRegParamNorm,StdEsReturn,AverageReturn,MaxEsReturn,AverageQLoss,MinEsReturn,AverageQ,Iteration,AverageAbsY
99.9956828753,74.7331,-47.9651,1000.0,1000.0,66,0.0,43.4392,1.28297214834,0.387087,16.4098360656,43.3971341132,38.2382,15.6093467682,1000.0,84.0,9.55183,3.0,43.396,66,43.4041605838
99.9956828753,75.3175,-48.803,1000.0,1000.0,67,0.0,44.2054,1.25461775324,0.358744,13.4459459459,44.1611767814,38.5362,10.3547115427,1000.0,49.0,9.53758,3.0,44.1552,67,44.171505372
99.9956828753,75.9085,-49.6472,1000.0,1000.0,68,0.0,45.2622,1.28353832663,0.533983,14.5072463768,45.2038257677,39.0089,13.9342380835,1000.0,72.0,9.75505,3.0,45.2043,68,45.2146374423
99.9956828753,76.5703,-50.4387,1000.0,1000.0,69,0.0,45.9106,1.27338389894,0.343969,19.96,45.8606952018,39.3736,19.8483853248,1000.0,94.0,9.96444,3.0,45.862,69,45.8702975075
99.9956828753,77.2954,-51.5142,1000.0,1000.0,70,0.0,46.7272,1.36978473181,0.567895,14.7647058824,46.6767015319,39.952,12.5816365332,1000.0,66.0,10.8967,3.0,46.6696,70,46.6848125774
99.9956828753,77.6375,-52.2965,1000.0,1000.0,71,0.0,47.4705,1.39117103608,0.474535,14.6470588235,47.4215843732,40.2998,10.540907297,1000.0,49.0,11.9221,3.0,47.4187,71,47.4298214304
99.9956828753,78.4807,-53.2751,1000.0,1000.0,72,0.0,48.4457,1.43585802601,0.470682,17.5614035088,48.3980651525,40.6039,15.1969728563,1000.0,74.0,13.1411,3.0,48.3931,72,48.4069852164
99.9956828753,79.0654,-54.1575,1000.0,1000.0,73,0.0,49.3548,1.37988128325,0.52786,16.1935483871,49.3038219701,40.9137,14.053858051,1000.0,69.0,12.1019,3.0,49.2974,73,49.3128802508
99.9956828753,79.8986,-54.8684,1000.0,1000.0,74,0.0,49.7546,1.42980873582,0.379,17.3214285714,49.7015035418,41.2213,16.6969919691,1000.0,94.0,13.5579,3.0,49.6979,74,49.7146793854
99.9956828753,80.3934,-55.7651,1000.0,1000.0,75,0.0,50.6028,1.43084138357,0.42527,17.406779661,50.5433529906,41.559,15.442752284,1000.0,66.0,12.4805,3.0,50.5399,75,50.5587547364
