AverageAction,AverageAbsY,QFunRegParamNorm,AveragePolicySurr,AverageQ,AverageDiscountedReturn,MaxReturn,MinReturn,Epoch,StdEsReturn,AverageReturn,AverageY,AverageAbsQ,MinEsReturn,AverageEsReturn,Iteration,PolicyRegParamNorm,StdReturn,MaxEsReturn,AverageAbsQYDiff,AverageQLoss
0.882276,37.9716435994,53.9529,-19.3185,36.1459,127.934689391,265.938752254,187.967560458,50,74.3858760267,219.886037831,36.1598264342,37.987,35.9855622847,229.233954192,50,28.1261,19.8648713325,283.591137602,1.71498416359,12.7358
0.890746,42.6411490739,54.3789,-22.5116,41.7121,151.343045486,306.279334844,290.162161512,51,57.4820272706,298.683363943,41.7301036229,42.656,151.922798944,254.103011172,51,28.296,3.49274407662,321.209423166,1.7709484749,13.6893
0.841624,48.3407263503,54.7249,-25.5532,47.9062,150.844417971,304.108424475,283.315442014,52,73.4428360598,292.587700738,47.9207992896,48.3596,78.9956419547,240.78440246,52,28.5159,4.12452720331,337.863080891,1.83007237725,15.1255
0.808592,53.552023111,55.046,-28.1769,53.3181,153.218136633,312.71190484,293.981979118,53,108.737539672,301.413263135,53.3258267919,53.5697,21.6013015996,188.887190799,53,28.8224,4.48988427184,323.823953455,1.77772681046,12.7542
0.759432,58.5518474371,55.4046,-30.3311,58.3305,141.369895398,279.344941656,258.712520986,54,76.1913259902,268.677188741,58.3395065496,58.5721,92.1802598588,238.523003665,54,28.9091,4.62877005087,325.311001158,1.96073482865,15.9321
0.740338,56.9241078619,56.3086,-29.3228,56.6728,141.184491566,289.791238695,249.377680282,55,109.186067127,273.561875275,56.6824243275,56.9461,26.7495922092,168.593283695,55,29.2239,9.59644744475,346.309168139,2.50687676948,22.0442
0.639471,56.7198428918,57.246,-29.1929,56.4845,98.4017934257,159.230434526,135.26800307,56,77.0759232367,145.823142021,56.4919575492,56.7438,37.1863545742,149.191660859,56,29.3671,4.84317472846,273.935647925,2.59969003356,24.3937
0.74718,56.8046981081,58.1643,-29.1351,56.5653,132.386828142,260.700332882,233.482033215,57,89.3959728469,242.459346615,56.5769158467,56.8355,47.2961210739,212.440697959,57,29.5448,4.63603116481,294.146992814,2.60232946671,24.932
0.699427,59.7780290501,58.6924,-30.7086,59.5573,139.743599559,279.506450111,261.5541641,58,110.010309577,270.915885508,59.570809817,59.7934,10.5969238872,144.88467361,58,29.7402,3.9407622698,296.219651705,2.37562344783,21.0967
0.660003,66.87916799,59.0838,-34.3467,66.7328,133.916837451,255.632399885,225.430391672,59,85.5038318725,242.781696243,66.7403357957,66.8917,7.58853293066,48.3689569778,59,29.934,6.55312815711,298.595800628,2.16468184319,19.5077
0.978936,71.8054188045,59.4823,-36.8193,71.6825,6.19199038009,8.97489435007,5.70566056777,60,30.8797439068,6.38333398637,71.6950620771,71.8121,8.30034243957,15.1320560673,60,30.0669,0.845968241331,265.624837709,2.12490056128,18.7681
0.689178,76.1424501815,59.8908,-39.0341,76.0512,129.801269077,237.019844383,207.49713233,61,17.6632394762,224.551525581,76.0632472033,76.1592,2.73572880529,14.078073355,61,30.3574,5.17579498808,149.182928845,2.08504161164,19.6861
0.919732,80.1587652277,60.3979,-41.0513,80.0909,10.7914582431,89.4261348434,6.40860254776,62,3.57971330627,12.2329351114,80.1011443046,80.1808,9.19994610832,12.308302336,62,30.4534,18.2999385626,38.3513259919,2.10418983407,20.7356
0.878087,83.6083510221,60.7725,-42.7174,83.5589,6.85268917015,14.0104971344,6.15815314615,63,3.21521367428,7.12112589129,83.5690990439,83.6362,8.37086326546,11.7084820723,63,30.5867,1.36293653732,37.4674093016,2.06816724742,20.322
0.657343,86.789837214,61.1687,-44.2914,86.7584,51.6752946774,432.437753047,6.50169665728,64,39.6906553787,101.990175736,86.7676892701,86.8173,3.24524841875,19.5504428997,64,30.8588,150.020757241,284.621577208,1.96101636559,18.2653
0.801577,89.2214115412,61.5125,-45.424,89.2018,75.8781495482,342.815266317,5.06914510847,65,2.06964348975,131.269846933,89.2094810784,89.2519,7.48810902022,11.6344540872,65,30.9782,111.086312727,26.4747537085,2.03040651252,19.8551
0.823152,81.6885926962,61.9902,-41.6608,81.6601,71.735737393,379.144852756,11.1166720813,66,54.2578281196,133.285638439,81.6747011468,81.7196,9.33120557762,39.1520148097,66,31.2543,143.938657172,226.253240137,2.49299131262,25.2521
0.937162,79.5128505245,62.4118,-41.1339,79.2687,27.1330231462,329.937679226,9.10955851267,67,87.8862029625,40.6766035885,79.2757235793,79.5438,38.7098128303,152.242667347,67,31.4771,66.3903341354,317.847050744,2.61954620216,27.5147
0.977395,79.2603124871,62.9128,-40.9147,78.1923,12.4562678945,42.2478318029,8.40875060047,68,142.086932359,13.2637165158,78.1971624824,79.2547,19.5254442416,180.572270928,68,31.6315,4.23042166767,478.762049726,2.91718863999,28.0696
0.968981,77.8489899985,63.5448,-39.8343,75.9928,7.778776293,10.1132378362,7.1953371892,69,11.5632042422,8.11532094536,75.990090129,77.8386,29.6295276692,39.1746119182,69,31.7589,0.930010561401,78.9444104435,3.14271712225,31.8661
0.933543,75.9125989881,64.3541,-38.6702,73.6189,8.68608823626,20.8426303777,6.92774865004,70,21.8513229674,9.13028825521,73.614683711,75.8084,19.2733259254,38.4487970962,70,31.8084,2.61616294612,109.103826065,3.43708430232,34.3189
0.928133,73.9427525084,65.3028,-36.5593,69.362,7.34356510126,9.31086738092,5.35772773449,71,8.55064404418,6.51839823475,69.3602402562,73.8467,2.63334230742,27.6853357687,71,31.8813,0.557571866754,35.2645888855,3.87338312716,43.0981
0.948578,72.7642652942,66.3477,-34.7222,65.5416,4.22920718563,5.53199312276,1.66642062648,72,8.7208840528,3.13243550223,65.5332273205,72.648,3.55403088981,20.4576489627,72,32.1079,0.796108939303,35.101259791,4.28800055105,52.5794
0.940941,71.846625374,67.2755,-33.1633,62.1294,4.64470992271,7.32502341566,1.9188782382,73,7.93858228061,3.52001508969,62.1147719741,71.6864,0.556487226898,9.38014520664,73,32.3274,0.609150463288,27.9910715273,4.55813791595,59.2713
0.852588,72.3425431036,68.2066,-32.4387,60.5036,4.78319260168,5.18783137478,1.78445149895,74,8.15682268766,3.60211187535,60.4899636354,72.1649,1.97393179971,10.5500131649,74,32.388,0.650171674545,42.1294404583,4.8523511091,67.6836
0.461248,72.2827262756,69.019,-32.1399,59.6244,10.6909305564,11.9584707293,2.80926796443,75,6.40659629875,11.3166069359,59.618579482,72.1585,2.25683065025,11.2335940061,75,32.4991,0.699521150948,31.7411255807,4.8311545539,67.9158
0.327501,70.7993715709,69.6557,-33.6323,62.3968,11.2891523253,12.3825480188,11.6106332527,76,4.64643011432,12.0205128479,62.4201796917,70.7709,5.10294340888,12.5541538847,76,32.6683,0.148300546326,31.2936370632,4.67939968619,62.6702
0.614416,70.3141211866,70.2834,-35.2931,65.6147,11.8683012808,15.2735875778,9.61225324973,77,5.90812112807,12.7055399313,65.6419864862,70.3328,0.890629810071,13.5756957717,77,32.8184,1.02180101683,28.7679416442,4.66935690959,62.1903
0.282841,71.2242218862,70.8757,-36.3181,67.7027,14.0849114716,17.6923490406,12.3182562129,78,9.87419304168,15.2667740127,67.7328728792,71.21,2.75572509308,15.9014280771,78,33.0019,0.714436801794,57.3043389564,4.68469865867,63.2872
0.252465,71.9526436722,71.437,-37.1628,68.8615,12.537895664,16.2886971251,12.2352458271,79,20.9568787011,13.4559982142,68.8962440673,71.9006,7.37841446594,17.9658516116,79,33.1861,0.47109797378,125.571129667,4.86685826757,67.3644
0.257868,71.765232983,72.0414,-37.2827,69.181,11.8239874069,14.2432648517,11.4114486122,80,35.4660892145,12.6352843978,69.2113367752,71.6648,4.70204643724,23.0651237211,80,33.3573,0.416635564449,179.402477895,5.07952762532,73.9957
0.429316,71.6529301322,72.535,-37.4967,69.1962,15.0219134122,31.6669608584,13.3490654183,81,61.327759051,16.3963077626,69.2206081422,71.5911,6.12216425722,38.9895160452,81,33.4525,2.16965367011,226.934257823,5.1548889388,77.2047
0.449353,71.6768658793,73.0542,-37.6851,68.9563,14.0507332013,25.6208099543,10.9706783339,82,60.0875794239,15.1035659564,68.985889995,71.633,7.47371672857,34.2245773537,82,33.6772,2.52393938008,303.606461783,5.27146343498,77.2832
0.400597,72.0041350844,73.4601,-37.9723,69.1365,18.3891621912,30.2376616375,10.4617742916,83,61.5208865842,20.4082020103,69.1527203476,72.0245,3.01729177394,47.2384105298,83,33.8651,2.13213689252,235.136380433,5.21505383188,75.6434
0.608366,72.3932991777,73.9394,-38.4466,69.4301,8.33999651594,13.0529760495,4.86557103497,84,24.5430140424,7.70224457377,69.4413069969,72.4238,6.42061952981,32.3911414947,84,34.1111,2.00509239802,104.160175554,5.42544914453,79.3356
0.598739,71.6173739804,74.5089,-38.9175,70.0403,10.3141537895,16.2755243553,6.56893070325,85,17.8471426887,10.5790266957,70.0489051425,71.5549,8.52184670389,22.2660039201,85,34.1015,1.54558102404,81.3394899301,5.52664727193,77.428
0.532304,69.5343870935,75.0468,-37.9897,68.7732,12.7190126633,17.2832958343,7.86788396917,86,24.6212610608,13.5721864195,68.7773820485,69.5063,5.45372514911,24.6531958898,86,34.1321,1.00824934829,126.284598262,5.47963090842,82.5914
0.594223,68.2196266474,75.6324,-36.7303,65.6622,11.411177496,15.5982231629,8.1931087036,87,12.091921365,12.0031939959,65.6680925417,67.8417,6.92781464337,16.563953162,87,34.2495,1.05763268364,75.4043444957,6.22384601912,100.299
0.551606,66.9410383457,76.0964,-36.5998,65.3952,10.2931156136,14.3065560032,6.93022823043,88,9.85817063978,10.4401589699,65.4085132059,66.8015,5.84114772908,14.5065653892,88,34.3587,1.17772759201,62.2920836707,5.7144868898,84.6076
0.48981,65.7636500465,76.595,-35.9805,64.2926,10.612610503,14.0060803896,8.12563729822,89,11.5925951631,10.7786657827,64.2975976847,65.6588,7.8425951209,17.5713136754,89,34.456,1.02612747334,65.4014592871,5.73151230725,83.7552
0.497919,64.2392538335,76.9781,-35.2196,62.8589,10.2973517511,15.4849430364,8.13230138038,90,6.80687036743,10.5565674643,62.8680697652,64.1696,6.42817654438,16.4480233467,90,34.5576,1.62864507376,36.1346202599,5.7028340175,81.7568
0.455219,62.127390305,77.3369,-34.0717,60.6591,12.3468873534,15.5670816625,10.2098130226,91,12.8124869923,12.7283168819,60.660707928,62.0719,8.09188303682,18.2677469417,91,34.5753,1.02933675446,51.6426213629,5.66993794192,80.4806
0.544889,60.3910803617,77.7952,-33.0682,58.6723,9.63889617863,14.665122387,7.7803596465,92,5.0495848748,9.81807005479,58.6748091308,60.2967,6.48396486573,12.3495211004,92,34.6452,0.939419789242,26.6463385709,5.95354156751,87.1488
0.53797,58.8532290396,78.2332,-32.1694,56.4965,15.2846702785,21.0442847915,12.0594593179,93,10.208246665,16.7114019604,56.4878015392,58.7101,6.05432357472,15.6112808692,93,34.6816,2.03107417385,46.8346039787,6.1760898286,95.2183
0.341726,58.3866391838,79.6742,-28.9855,47.5174,9.37941411643,10.2705362035,9.29409737119,94,7.60425252413,9.72292925006,47.4184765683,56.3346,4.1420195309,12.0452697734,94,34.6755,0.183947397773,46.2636937133,9.22742097489,213.091
0.252931,60.7597846565,80.2129,-31.9265,51.5713,12.3253154212,15.5100861826,9.83898839418,95,9.89264829761,13.1432831112,51.598268199,59.9904,7.04374786606,17.7326461944,95,34.726,0.709804546922,45.3955686426,8.92803655739,205.748
0.407639,66.7144184351,80.9124,-35.7189,59.0202,11.8215388079,18.1230824458,7.62723169274,96,16.9198360306,12.3596621526,59.0218553953,65.8912,4.70537036296,21.1775295855,96,34.8037,1.82623404377,81.7740581653,8.79745975488,214.027
0.394423,69.992492474,81.4388,-37.1481,63.7714,12.4808743055,15.6486762373,11.8601282331,97,17.5612269301,13.3149028088,63.7839283319,69.246,-0.31430929768,20.5623857996,97,34.9329,0.72627673536,92.1539429029,7.87269678799,182.679
0.545843,73.3855599869,81.8534,-39.1382,68.8963,8.81085269662,10.2018946324,6.42625618064,98,15.4735671615,8.7250074582,68.9348458447,72.9808,6.10381318601,24.8427149829,98,35.0556,0.62978203562,71.0567730783,7.07644386325,150.76
0.484946,77.5618816805,82.3151,-39.9554,71.2498,13.6411008028,101.624256571,9.01989912233,99,11.3149798433,14.9976340791,71.2516541011,76.8116,3.14152573516,13.675358339,99,35.1708,8.69526787981,49.7929942444,7.48515315864,157.648
0.535119,80.5403040399,82.6819,-40.7044,73.5627,14.6836214381,45.4818831356,11.7236179305,100,21.0390578216,16.1069383105,73.5808357025,79.95,6.72110853815,20.7323523002,100,35.2732,7.22508277241,116.769754157,7.39172029577,154.546
0.55508,84.1205393551,82.9186,-44.6107,82.1278,29.3545127398,50.8413923082,16.8307771102,101,51.7974659192,34.5125061045,82.1588579369,84.048,2.78983328165,39.6446609949,101,35.3965,5.23278308638,240.67875649,6.20505822276,111.64
0.733359,87.8806965412,83.1704,-46.7741,86.6108,40.4022315191,126.266263906,17.1455966176,102,62.3887300321,51.0866942046,86.6390052757,87.771,13.3371119015,64.3268215199,102,35.505,15.762723257,234.601797895,6.05564874134,110.868
0.54451,91.1393199846,83.3924,-48.3652,90.115,48.9048681498,250.775860792,19.5521958232,103,47.8992473542,70.0725911854,90.1353588899,91.0547,9.57507423856,52.846604345,103,35.6855,58.421556729,148.564542794,5.9072895816,107.686
0.577173,94.5374776468,83.6902,-49.881,93.5302,24.4439922866,79.5941894807,12.951161851,104,96.7936892818,28.6117197333,93.5482973828,94.4815,11.9960754627,118.416599236,104,35.8052,16.7926584747,309.65260319,6.04432159645,115.902
0.563543,96.5648360632,83.8828,-50.4803,95.4542,85.3178262089,315.790964977,60.7988806982,105,67.1651973988,143.235543399,95.474913437,96.5222,10.0116781321,57.9494805205,105,35.9601,73.4497715214,267.662937999,6.07675152215,110.594
0.425235,99.1136186812,84.0341,-51.7736,97.9111,116.445358831,219.13991835,192.826830639,106,88.8539415258,203.78925964,97.9368558522,99.0853,12.8373805425,101.532318063,106,36.0898,4.98555056451,279.692753374,6.02229721931,117.445
0.344522,102.234234523,84.2657,-53.2348,100.998,105.218747793,200.657076651,13.0717536835,107,95.1941082061,174.537336995,101.010373407,102.205,13.5469081451,127.983302975,107,36.2414,57.2283185817,265.706870835,5.79805374473,110.806
0.483886,107.50497998,84.4644,-56.4231,106.85,35.9371072606,191.276280345,10.9393842739,108,82.2166038126,53.4969029909,106.869203007,107.537,12.8081702896,138.070551689,108,36.482,72.6415789812,229.857263771,5.72510801724,117.219
0.397039,112.652708433,84.6738,-58.7971,112.298,115.131394171,209.294145139,14.3281778749,109,82.1991629468,194.816085762,112.311732559,112.697,12.5221988795,87.5202349666,109,36.5619,32.107716792,233.188136656,5.56210383178,113.058
0.727563,115.851600912,84.8718,-60.4797,115.577,10.9210596715,155.516332667,9.52459616603,110,60.9407466255,11.8312785659,115.591613498,115.904,7.92768412235,155.827393889,110,36.7397,11.2476628019,236.951299528,5.62867339227,116.242
0.525734,117.856282496,85.0531,-61.2766,117.608,96.3143612985,184.682324143,13.1320210291,111,79.4795111496,147.33359159,117.622135161,117.896,9.08286074375,87.7457745796,111,36.8925,39.6605166239,237.31302197,5.6689166857,117.512
0.729195,119.576297018,85.2882,-62.064,119.35,98.4896190914,207.192179492,135.951396653,112,79.4192476508,150.997205021,119.369805548,119.632,15.7453514322,91.2691082958,112,37.0443,10.1715041703,215.83000773,5.76479069352,119.346
0.557719,121.040494838,85.5389,-62.9021,120.852,110.018177674,207.790704192,151.334587974,113,77.1868068403,177.503252178,120.858497687,121.138,14.7226242271,102.569703993,113,37.175,12.8548344243,211.918770239,5.72583672952,114.695
0.314945,123.255979355,85.8213,-64.0597,123.049,129.161887104,231.064020174,213.237163506,114,99.6147280318,220.30650847,123.082196324,123.327,3.40053549078,103.616776098,114,37.3951,5.23584710731,297.109373481,5.94146738182,120.539
0.407988,126.02013595,86.2595,-65.7217,125.791,136.39712535,347.495094518,189.908113215,115,89.8775897341,244.179994449,125.812149619,126.115,26.5082176951,109.982271781,115,37.6312,28.2598659684,237.111515053,6.07961603011,136.428
0.499294,130.021274852,86.7062,-68.0384,129.731,121.276524682,218.002880608,190.459201618,116,98.1426736277,199.658425077,129.744603279,130.115,26.8781797246,115.352105625,116,37.7715,6.07763507161,310.067127034,6.15917164828,139.381
0.610303,135.240497492,87.122,-70.7572,134.738,131.718653581,240.548075699,205.580214752,117,125.016095395,224.038442026,134.75694316,135.33,20.0644029807,108.885861106,117,37.9287,8.02788375884,341.25610631,6.45875531427,148.615
0.692592,139.943398134,87.6125,-73.2986,138.976,145.741284102,312.001863234,202.205002488,118,69.0572110162,267.198023957,139.013744899,140.04,25.8052815791,46.4711069462,118,38.2105,25.3968751261,313.732074703,6.77136824464,161.221
0.674125,142.867920405,88.1413,-74.0871,141.116,157.809097415,374.304107046,197.205549164,119,53.4576579493,301.829658932,141.12190526,142.932,26.093567577,49.3493858671,119,38.3713,24.4848760208,241.994929381,7.4063120099,177.392
0.553396,145.910163811,88.7365,-75.3355,143.076,141.768092199,269.842094516,225.975964227,120,96.6834330912,251.586908119,143.093953786,145.942,16.6753286434,94.1556112036,120,38.6025,6.52721928927,292.896517045,7.69460935064,194.912
0.644603,150.045486453,89.3523,-77.3054,146.321,141.760565093,324.770585427,215.218945955,121,116.656679574,253.578362921,146.321911995,150.111,5.72915220381,200.817614205,121,38.7743,23.7979230863,334.785704463,8.08983918837,224.213
