AveragePolicySurr,QFunRegParamNorm,MinReturn,Epoch,MaxEsReturn,MaxReturn,MinEsReturn,AverageY,PolicyRegParamNorm,AverageAbsQ,AverageAbsQYDiff,AverageAction,AverageDiscountedReturn,AverageQLoss,AverageEsReturn,Iteration,AverageQ,AverageAbsY,StdEsReturn,StdReturn,AverageReturn
-55.261,46.0409,662.436511302,85,-1.44842370487,827.189975318,-156.741087196,53.8780393559,34.8385,53.8824,1.26303745129,0.0638071,78.7841479464,4.55132,-58.945777412,85,53.8709,53.8818659428,69.5072983292,63.9428193743,755.460936446
-55.8097,46.3183,732.050414472,86,-192.973663491,1000.99692439,-192.973663491,54.411636804,34.9553,54.4124,1.26576752218,0.0736798,89.4414649484,4.70831,-192.973663491,86,54.4047,54.4161491048,0.0,92.4600529236,901.849210423
-56.3435,46.5628,616.963765515,87,-260.331809635,831.346620479,-260.331809635,54.9376635543,35.099,54.9433,1.26079214714,0.0867453,77.4910458316,4.79387,-260.331809635,87,54.9302,54.943238866,0.0,59.1667216947,677.490255601
-56.8772,46.7574,101.361464144,88,-258.15544267,963.820382474,-258.15544267,55.432586969,35.2385,55.4317,1.24245658747,0.0883326,80.7137267481,4.30962,-258.15544267,88,55.4267,55.4359285366,0.0,240.776451876,676.139133082
-57.4683,46.9665,599.929138834,89,-252.046214353,712.550984037,-252.046214353,55.9805635391,35.3905,55.9873,1.27496585505,0.0856558,70.4482748595,4.76885,-252.046214353,89,55.9747,55.9857618841,0.0,27.0086969167,661.250302573
-58.0652,47.2433,718.404999339,90,-200.726269932,863.338747838,-200.726269932,56.5969684013,35.5452,56.5948,1.26763957841,0.0570167,78.5747579881,4.6019,-200.726269932,90,56.5887,56.6023174838,0.0,59.716282321,769.764857535
-58.5438,47.4317,735.035405511,91,-191.63223825,835.167032072,-262.493314256,57.0616212042,35.7009,57.0683,1.28480943798,0.0823539,80.6687021233,4.84369,-227.062776253,91,57.0566,57.0648366432,35.4305380026,33.4128373764,760.798968746
-59.1411,47.6471,768.208320163,92,-287.722648579,935.979656598,-287.722648579,57.7291626915,35.8568,57.729,1.26244136201,0.0627934,86.1535119119,4.5086,-287.722648579,92,57.7218,57.7330886499,0.0,48.1530951103,826.054027563
-59.6131,47.8756,601.054790724,93,-177.499269193,890.00365274,-177.499269193,58.1918812041,36.025,58.1947,1.26844174384,0.056269,85.1382291591,4.57036,-177.499269193,93,58.1836,58.1957740424,0.0,91.6403296401,804.585641754
-60.141,48.1244,691.481752013,94,-50.6653670066,998.629634508,-137.383922492,58.7073477673,36.1806,58.7094,1.29567388219,0.0561696,92.7338870893,4.98082,-80.2630026198,94,58.7015,58.7114543399,40.3994665697,82.0405483511,926.104089448
-60.6391,48.3549,132.626859179,95,-2.63872444705,987.473563504,-238.769832258,59.1732533428,36.3645,59.1746,1.26406795316,0.0757861,91.2722988418,4.74197,-120.704278352,95,59.166,59.1783476758,118.065553905,251.05338322,730.409598284
