Epoch,AverageQ,AverageForwardProgress,MinForwardProgress,MaxEsReturn,AverageAction,MaxReturn,StdForwardProgress,AverageAbsY,StdReturn,AverageQLoss,MaxForwardProgress,PolicyRegParamNorm,AverageAbsQYDiff,AverageY,AverageEsReturn,StdEsReturn,QFunRegParamNorm,AverageAbsQ,MinReturn,AverageDiscountedReturn,MinEsReturn,AveragePolicySurr,AverageReturn
37,0.151529,0.382117295339,0.0419141209143,68.247720466,0.972049,91.8774135645,0.0931201270041,0.151875273383,11.7215706963,0.000122796,0.586252307021,22.3314,0.00634206418224,0.151547493003,48.0997253882,13.9918545403,29.265,0.151913,24.5556692443,36.7540024391,10.9678628664,-0.157216,67.9911170203
38,0.156729,0.297345876167,0.0714175652093,74.0639021435,0.979466,82.2254554865,0.0869633281894,0.157016085281,10.8722931565,0.000127212,0.492843812858,22.4471,0.00645069951046,0.156730995947,55.0554636436,12.7802025104,29.674,0.157063,28.5766964778,31.3725977677,35.7986459769,-0.16168,56.852246497
39,0.160471,0.267804189268,-0.0698705166287,78.8015662174,0.959176,85.4214285177,0.124661612142,0.160779048936,15.9196897124,0.000123955,0.527398051241,22.5428,0.00641257983319,0.160470613739,46.3056894989,23.8426619697,30.0909,0.160832,10.2208102187,29.7045702324,1.34720431197,-0.165322,52.7510223308
40,0.164177,0.27052629747,0.109384013802,69.1174419744,0.973013,69.3300352156,0.051859476768,0.16447864215,6.99727196933,0.000127235,0.422400562538,22.6579,0.00649104804708,0.164189496791,31.8366694291,20.0195999738,30.4874,0.164496,24.3417606725,31.1978137169,-7.90398722696,-0.169465,47.4287044463
41,0.16849,0.203684915477,0.0513099447454,69.70413825,0.976622,51.8377955392,0.0462270415861,0.168786247065,6.2318567631,0.000140889,0.299992716064,22.733,0.00680693784979,0.168501660093,39.6193125765,16.7501582102,30.8994,0.168829,17.088222325,25.6074238273,4.6842299777,-0.174465,37.8229296633
42,0.173492,0.364814824752,0.0928867931924,74.0918960976,0.954648,104.9909279,0.111153295494,0.173671897643,15.6861258141,0.000149317,0.66507901421,22.8297,0.00682420352515,0.173491505757,45.6200044944,12.9214831208,31.3685,0.173714,25.100874305,36.2104091171,26.2040610093,-0.176966,64.3289703953
43,0.176849,0.259787169086,0.133719828389,90.7241275702,0.940442,66.7249627551,0.0530323461234,0.177058758613,7.05433859243,0.00016988,0.382361972379,22.9475,0.00711449968313,0.176852934717,57.5597198909,25.5171136042,31.7934,0.177082,32.5694521472,29.8447175811,3.05698504582,-0.181571,48.4649011219
44,0.180011,0.248060921135,0.0276384138825,55.8841235105,0.949425,70.9814471535,0.0661633362741,0.180146875397,8.77268963449,0.000161434,0.409127102157,23.0416,0.00697656956183,0.180015192964,40.1099688317,14.3183965661,32.1935,0.180172,23.2349874017,28.6453158112,1.01503935648,-0.184075,47.9016903558
45,0.184234,0.240252697615,0.0411399058344,75.5535284491,0.953562,71.1027260908,0.0735110965247,0.184323117929,9.9658974675,0.000165468,0.404007514216,23.1177,0.00698242293003,0.1842374667,41.5320579397,20.0944126017,32.6114,0.184367,21.2454259944,27.8963624065,-0.153130259544,-0.187352,47.2906799211
46,0.18691,0.448174411959,0.147734488945,79.1991764818,0.94384,102.35624734,0.103267582404,0.187006774651,13.266995427,0.000165664,0.655195275624,23.1589,0.00709389963681,0.186915847946,42.5530105334,19.69603633,32.978,0.187042,37.3149653186,43.8303989157,9.9323853313,-0.189844,75.8566642541
