PolicyRegParamNorm,AverageY,QFunRegParamNorm,AverageEsReturn,AverageQLoss,Iteration,AverageQ,MaxReturn,AverageReturn,Epoch,AverageAbsY,MaxEsReturn,AverageDiscountedReturn,MinEsReturn,AverageAbsQYDiff,StdReturn,AverageAction,AverageAbsQ,AveragePolicySurr,MinReturn,StdEsReturn
29.9303,2.57746456443,26.6267,1377.66116414,0.0226952,49,2.57674,2286.56586873,1225.7190006,49,2.57753243429,1377.66116414,154.554100904,1377.66116414,0.0948556337349,745.354953944,0.784809,2.57674,-2.68419,174.795531748,0.0
30.2321,2.63410316736,26.9453,823.749633392,0.0199544,50,2.63362,2463.08761517,2056.27811184,50,2.63415193731,823.749633392,178.732795037,823.749633392,0.091950245048,720.822950146,0.868666,2.63362,-2.74334,-85.4424289753,0.0
30.5763,2.72817539631,27.2794,645.58280041,0.0263628,51,2.72727,2027.13718248,1224.89196992,51,2.72823298314,645.58280041,155.04286227,645.58280041,0.0977335168096,796.90530669,0.827436,2.72727,-2.83705,-131.813339803,0.0
30.9661,2.81655157385,27.6281,616.150595732,0.0291313,52,2.81577,1158.95052483,364.421281174,52,2.81662030513,616.150595732,129.573792612,616.150595732,0.100255187014,460.009965399,0.806042,2.81577,-2.93092,-236.172061553,0.0
31.2712,2.97548888036,27.9774,1294.63143058,0.0263534,53,2.97468,2178.76566939,1023.09540442,53,2.97553003644,1294.63143058,169.062361147,1294.63143058,0.0996298444849,597.618445028,0.794651,2.97468,-3.09493,407.266078829,0.0
31.5536,3.08711091368,28.2874,1353.02896683,0.0260979,54,3.08657,2386.85587435,1452.05785853,54,3.08718236837,1353.02896683,166.361455297,1353.02896683,0.102113088119,667.952572159,0.849082,3.08657,-3.20543,468.958338875,0.0
31.9249,3.17672319425,28.65,607.181919263,0.0305515,55,3.17605,2369.83372539,1241.9095969,55,3.17678745713,607.181919263,167.018410074,607.181919263,0.106079646376,847.075629997,0.838945,3.17605,-3.29656,-109.463290192,0.0
32.2902,3.27547785087,28.9661,433.721153836,0.0357165,56,3.27453,2851.18796432,2454.44143149,56,3.27551016223,433.721153836,215.89360863,433.721153836,0.109694535338,600.068910071,0.920619,3.27453,-3.40637,687.821490275,0.0
32.6614,3.44134581819,29.2373,1890.94280638,0.0310534,57,3.4401,2758.79501984,1479.36630217,57,3.44137937355,1890.94280638,200.476617472,1890.94280638,0.108101012947,801.791777405,0.846734,3.4401,-3.56988,582.47601239,0.0
32.9644,3.58566514005,29.5925,908.63689648,0.0372482,58,3.58481,2499.2742679,1032.82057131,58,3.5857536177,908.63689648,171.529581429,908.63689648,0.112868387937,808.050004274,0.864235,3.58481,-3.7207,186.839526259,0.0
33.2358,3.71911744801,29.9445,1772.2989089,0.0340892,59,3.71812,2838.60878108,2777.0134278,59,3.7191647641,1772.2989089,237.036119605,1772.2989089,0.11215487067,51.4023289638,0.916013,3.71812,-3.84505,2699.63693033,0.0
