AverageAbsQ,AverageQLoss,StdReturn,StdEsReturn,AverageAbsQYDiff,AverageQ,AverageY,MinReturn,AverageAction,AverageEsReturn,MaxReturn,AverageReturn,MinEsReturn,Epoch,PolicyRegParamNorm,AverageDiscountedReturn,AveragePolicySurr,AverageAbsY,MaxEsReturn,QFunRegParamNorm,Iteration
5.76227,0.815938,0.0390865964001,37.7034628791,0.233686431176,5.62507,5.62252238251,-1.56257676555,0.0150058,72.5877546428,-1.4277328253,-1.49907825812,-2.79618966355,40,33.0315,-0.155679559669,-6.07354,5.72195832217,92.5162081475,95.8766,40
6.31743,1.27389,0.00567832538344,38.0119292052,0.279750945039,6.17672,6.17592369224,-0.805084292907,0.00790814,72.154024617,-0.785133568697,-0.790022877367,-3.8625065522,41,33.2671,-0.0799207053815,-6.65478,6.27163748572,91.8026247845,96.3454,41
6.87736,1.49525,0.00202487593837,36.5419858053,0.283035998338,6.74201,6.74167430748,-0.451554901974,0.00447681,71.7607096186,-0.445055651228,-0.447233799591,-1.27603553672,42,33.5014,-0.0442740169721,-7.27063,6.83595504279,91.7743301102,96.6427,42
7.59014,1.34901,0.00634860732251,41.6657366167,0.292567087708,7.46021,7.45932450447,-1.13372983236,0.0112438,56.9787086798,-1.11742403482,-1.12325777892,-1.94155267416,43,33.6215,-0.111162306198,-8.05128,7.54901793588,87.0325675812,97.1631,43
8.33136,2.29215,0.00408237613294,32.0146069959,0.334501576062,8.21208,8.21262176087,-0.110881798636,0.00104507,81.3851250315,-0.096949995282,-0.104402105775,-3.25164153453,44,33.8428,-0.0104182880382,-8.85323,8.29311107712,95.1679630524,97.6871,44
9.27322,1.70018,0.0133488150509,34.6109162288,0.321665952974,9.16378,9.1636686598,-0.127551625472,0.00100644,76.9756079504,-0.0847056730688,-0.100543662987,-0.196767502247,45,34.1295,-0.0101564770587,-9.8616,9.23939864876,94.4920604614,97.9925,45
9.97335,1.61199,0.0321060940947,37.3523684134,0.322181503597,9.86677,9.86762013495,-0.869644867267,0.00825209,73.3450396323,-0.789780765604,-0.824383319767,-1.29557464091,46,34.3794,-0.0866640136938,-10.6044,9.94288225149,94.2253774777,98.7057,46
10.9286,1.56219,0.0141637494441,37.4348764213,0.344698620024,10.8225,10.824100389,-0.388783785958,0.00369337,76.0840473189,-0.349705917535,-0.368968032708,-7.52287431396,47,34.63,-0.0391405760825,-11.6296,10.8957932116,95.4186459435,99.856,47
11.8371,2.27546,0.00178904441873,39.3259592714,0.395576488601,11.7276,11.727643931,-0.18852642024,0.00184363,72.3335335474,-0.181241861196,-0.184178862981,-6.27960839396,48,34.8857,-0.0186641317791,-12.5801,11.7980671908,93.5590109643,100.93,48
12.759,2.41778,0.0285679727098,37.7492585918,0.410648205949,12.6442,12.6462034339,-0.255670997648,0.0020091,75.7859398485,-0.168212206471,-0.200709495891,-8.58534897239,49,35.0917,-0.0191046340178,-13.5748,12.7152905953,94.9907514801,102.227,49
