QFunRegParamNorm,Epoch,AverageQLoss,AveragePolicySurr,MinEsReturn,MinReturn,MaxReturn,StdReturn,PolicyRegParamNorm,AverageAbsQYDiff,AverageEsReturn,AverageAbsQ,AverageY,AverageReturn,AverageAction,AverageQ,Iteration,StdEsReturn,AverageAbsY,MaxEsReturn,AverageDiscountedReturn
30.7849,28,6.42424,-32.5042,115.665435922,124.299178772,160.270654016,10.3359121768,23.405,1.10607021819,169.570338143,30.4866,30.4765884694,135.933007429,0.608159,30.4645,28,55.292801715,30.4922930369,289.221975834,91.6397922692
31.828,29,7.94861,-34.9535,22.8800307736,125.42264089,328.115269563,75.1432747951,23.8459,1.18336388407,158.826152388,32.9551,32.9359041738,270.448864333,0.602403,32.9265,29,98.8123042592,32.9518912139,368.941153447,142.450536772
32.8047,30,7.82538,-37.4945,62.654470278,272.843824201,435.799641748,43.9612686474,24.3017,1.22502989614,159.913297113,35.404,35.3880776534,321.108613819,0.607,35.3772,30,70.933977537,35.4028255642,317.322740491,156.554915927
33.6933,31,8.51325,-39.7817,50.6328009561,436.987389884,738.254189643,112.163589791,24.8592,1.27375614071,270.953818149,37.719,37.7037041766,583.497900072,0.610544,37.6939,31,149.125829287,37.7156752228,509.004578395,217.92186241
34.6688,32,9.57673,-42.2667,33.9219679732,356.150220015,372.732534572,4.61746345397,25.188,1.370794365,216.501706063,40.258,40.2455832328,364.4060737,0.648583,40.2308,32,135.655100365,40.2579714925,402.243019479,179.956328103
35.5422,33,11.6152,-44.4358,14.4956910417,382.859637834,430.683601875,10.3154156267,25.5694,1.44603517602,163.990392836,42.4199,42.4060897959,411.762784427,0.663473,42.3904,33,104.178370751,42.4191737728,378.048196657,189.121422812
36.4809,34,12.2124,-46.8236,43.3733046176,318.855054541,347.739073407,6.80715584116,25.9365,1.48200106463,228.915434545,44.7282,44.7127167829,332.567052661,0.615737,44.7014,34,123.312177162,44.7233726443,416.76268566,162.001499731
37.4311,35,11.7465,-49.0151,15.4764810916,418.377105369,762.647897928,121.609651506,26.358,1.5157291739,204.024950188,46.9052,46.8942195072,567.001831507,0.624988,46.8792,35,161.829387069,46.905518582,452.826873959,215.356130382
38.3747,36,14.7161,-51.5116,24.3546561148,310.553255664,359.778389607,10.0523792699,26.7464,1.65652693394,231.158285797,49.3338,49.3229715684,334.267937076,0.625159,49.3095,36,115.895736829,49.3344246024,378.61158402,167.883097805
39.1086,37,11.8049,-53.9212,16.9327602231,378.983144641,450.618142485,20.8333428577,27.0589,1.52663578539,173.255534118,51.7465,51.7261213007,414.192489213,0.661038,51.7158,37,126.390141796,51.7382293011,381.489411111,192.597552962
39.8823,38,16.822,-56.2872,139.657861852,380.264617544,447.64339396,23.1229527004,27.4189,1.78876439772,298.199288548,54.073,54.0574697814,418.321958081,0.660129,54.0395,38,144.905742079,54.0682767973,614.630382506,193.26147551
40.6664,39,16.2225,-58.7267,121.94390259,385.660620127,445.575984657,14.0615559242,27.8595,1.77661077,300.126118773,56.5213,56.506243584,422.224092734,0.632151,56.4899,39,114.443625464,56.5167048667,469.894354677,196.151627863
41.5135,40,16.8438,-61.1151,75.0139124232,393.266066889,458.600505615,11.5968919685,28.2728,1.80651896006,266.991537373,58.8375,58.8067487142,428.088144457,0.604748,58.7974,40,104.848989806,58.8176436793,403.807673952,192.607226105
42.3596,41,19.3943,-63.7203,11.5775522755,373.434197428,423.781545785,10.1852771751,28.6944,1.9080574571,256.124357959,61.374,61.3631075684,404.659789806,0.535817,61.3411,41,135.155174739,61.3742332626,400.115332435,184.531601123
43.1442,42,18.7516,-66.2449,99.0044440007,372.764821023,403.213037722,7.96499048747,29.1216,1.90815678171,213.429034617,63.8799,63.8500811675,385.213999386,0.56538,63.8364,42,103.258181635,63.8609307832,409.252113547,186.692097131
43.9174,43,22.9783,-68.3503,99.9072420065,361.500390421,408.19058236,9.77895693192,29.4922,2.04945706677,279.908155932,65.9128,65.8927848399,376.652170638,0.587492,65.8714,43,111.912000505,65.9034495717,414.086555866,185.290549084
44.7517,44,22.6616,-70.8423,56.195643157,336.267871046,385.549650501,11.6223131734,29.8173,2.04766870614,241.313576457,68.3235,68.2848074653,355.048566083,0.567598,68.276,44,124.043176848,68.2956250982,409.616189206,177.977242308
45.5839,45,22.3366,-74.0731,63.416415802,394.721891081,441.753493515,5.96283259601,30.2098,2.07237766964,231.725708545,71.5598,71.5323321517,409.051695133,0.58839,71.5202,45,123.47370687,71.5410762321,438.695348828,192.283287349
46.3711,46,28.5436,-76.1731,93.9746502714,327.124438756,375.328639726,12.2022902585,30.644,2.28142561718,283.809257308,73.4993,73.4707892103,346.915067454,0.681555,73.4463,46,107.087877371,73.4814960419,398.866502369,172.732578284
47.1498,47,26.4966,-78.8534,24.9893004049,354.868567946,393.885453005,8.29453254775,30.9283,2.17587773217,221.946475873,76.1883,76.1566883398,372.556505992,0.644371,76.1445,47,126.847448553,76.1656286104,365.523846284,180.962101023
47.851,48,28.158,-81.0324,54.7658278291,360.80395224,385.407970283,6.3163659494,31.3072,2.29421764841,227.840242996,78.3107,78.2809122546,374.658685582,0.647679,78.2571,48,128.616295531,78.2897858062,402.752876637,181.290318324
48.5878,49,30.2165,-83.6301,20.1939513289,347.358334366,406.127750085,11.4592680752,31.5579,2.37296595557,257.017131302,80.8346,80.8070095942,379.976212036,0.606284,80.7831,49,117.53854268,80.8168478446,438.005001307,180.395091933
49.3736,50,33.4332,-85.6599,18.8329937707,343.71491308,380.953520597,8.36563190374,31.8752,2.47236216183,243.120251473,82.9113,82.8790917998,369.286780711,0.614775,82.8659,50,134.619133909,82.8875754561,467.377791879,178.376783486
50.2002,51,34.0115,-88.3794,15.7768698822,348.119702315,389.098055706,9.99508709667,32.1711,2.47621536107,165.955990424,85.5441,85.5072817129,375.355899601,0.624447,85.4924,51,85.9346208009,85.5164082205,300.278558011,178.262818333
50.9075,52,37.3882,-90.8876,7.90637617343,288.981368711,386.843191779,14.5122853044,32.4818,2.54677905279,190.18709621,87.9397,87.9064036812,367.455384267,0.668514,87.8862,52,91.2538911966,87.9169965751,379.414250298,177.958442932
51.5314,53,35.3113,-93.4303,13.6633554265,332.063728389,382.350077255,8.47456667242,32.7043,2.57155405083,250.357643845,90.5298,90.5104051019,369.38465624,0.680644,90.484,53,105.3025141,90.517809059,366.866027024,177.513451376
52.1937,54,39.704,-95.5909,26.128436908,320.472198094,376.748352725,15.8218113796,32.9686,2.64926401144,240.737680037,92.6235,92.6019059443,356.566948724,0.672651,92.5841,54,108.685572941,92.6105867954,390.073567811,173.942704768
52.7847,55,38.3259,-97.8647,150.434062421,257.69252861,381.954878138,29.3197625395,33.2966,2.67448984823,252.75784161,94.9775,94.9487576772,355.310934915,0.605295,94.927,55,71.1323869699,94.9558361699,368.285871722,173.535395311
53.365,56,42.1745,-100.287,111.308569713,359.743870858,378.287196023,3.02631369002,33.5263,2.74253313244,234.440003826,97.3538,97.3246905115,374.000757011,0.603297,97.3023,56,84.4211566807,97.3334355997,346.484162449,179.631552087
54.0191,57,42.6996,-102.516,66.6154180749,363.091651137,381.822160565,4.93109397412,33.8442,2.7465086852,215.049562859,99.5159,99.4702987453,373.566103246,0.655551,99.4609,57,92.6394143639,99.480178394,364.437135473,179.959905706
54.6783,58,45.9478,-104.959,106.233396788,330.66112129,374.446587937,11.1616437031,34.0846,2.85307762146,237.063465265,101.977,101.954896284,359.923266899,0.676078,101.93,58,75.4066032251,101.964493084,328.87871558,175.020108104
55.3351,59,46.1024,-106.911,36.5481570571,302.387520191,377.222152847,15.4668743809,34.2965,2.92696823029,202.150806831,103.849,103.792287143,355.220795234,0.661313,103.773,59,78.4768972559,103.805390092,329.458804222,174.040221163
55.9257,60,43.5801,-109.222,11.9259715912,346.688661424,380.858900934,7.53719759791,34.5952,2.86117326755,205.6966895,106.312,106.263567643,371.384900782,0.66575,106.251,60,108.343062617,106.273281481,368.260174889,178.620052124
56.6936,61,49.2355,-111.535,5.86829773455,339.995178077,363.298762308,4.48340335167,34.7735,3.01962073202,187.094296171,108.544,108.504672531,353.597322077,0.657438,108.476,61,99.6406092855,108.519515482,333.975829639,178.196608383
57.4062,62,47.0862,-113.778,66.9245722954,304.637478403,371.620854432,15.7929254613,35.0669,2.99026305125,279.511342325,110.81,110.746784038,346.798705001,0.664849,110.728,62,91.1882083139,110.75711263,371.575759319,171.625670409
58.1016,63,54.9232,-115.396,41.9882140009,327.462560531,468.404487441,26.4347626359,35.2685,3.17740770391,164.317758665,112.347,112.291833566,388.169809844,0.675859,112.269,63,102.320502897,112.307002479,378.510137105,184.791810621
58.7525,64,57.2274,-118.114,5.45156081805,241.135928141,384.959235256,38.2377663996,35.4804,3.24948015065,204.813954033,115.003,114.940246121,319.794299069,0.651177,114.916,64,118.107710144,114.962798106,343.95472286,164.74702034
59.257,65,49.1693,-120.17,10.5395788941,278.789247863,389.965611613,28.953533948,35.7159,3.07576404072,178.848151574,117.184,117.109132361,338.882755385,0.675367,117.092,65,100.48654562,117.139381527,323.907122463,169.849102188
59.885,66,57.0882,-122.581,45.3701163172,246.024584852,359.491427024,25.1401228547,35.9469,3.25034495503,181.820754071,119.449,119.379833458,287.858445966,0.690556,119.365,66,114.935652584,119.406799959,389.377110183,155.201581405
60.5019,67,61.656,-124.444,106.110252793,327.334967173,384.619899543,15.9244018203,36.1753,3.3716679468,260.437051839,121.314,121.236856675,365.060003132,0.666818,121.202,67,144.830703455,121.272655955,566.365024924,176.555465215
61.0619,68,60.794,-126.75,29.8581653097,164.90624137,322.372970775,35.1638795844,36.3615,3.33837056318,206.126311053,123.551,123.461259261,272.226413885,0.745329,123.45,68,122.607396516,123.492446231,373.131044341,149.262861643
61.717,69,58.8818,-128.782,20.7157092615,374.561364961,506.6079468,31.4791941512,36.631,3.26975946152,206.155307787,125.719,125.657665956,421.552048711,0.750657,125.611,69,123.378186661,125.686619954,468.894193706,194.341035613
62.3131,70,62.5076,-130.908,189.265970891,242.117688199,365.485133335,19.3096133988,36.8458,3.47038159351,269.120933736,127.798,127.670755386,324.659406486,0.713305,127.668,70,67.4208611055,127.707388949,361.016980443,167.251616676
62.8615,71,65.6587,-133.376,30.8418069249,149.284850988,342.096521063,55.6825313453,36.9983,3.4812438482,247.018106065,130.18,130.094014647,255.697119123,0.68024,130.065,71,155.171411807,130.128623628,524.0388547,142.905433641
63.5012,72,64.7925,-135.257,96.157825942,368.271013995,417.547172022,12.1307258344,37.1728,3.48374236806,281.318252858,131.961,131.858504041,392.30591646,0.703633,131.845,72,98.8417261398,131.892331126,401.119759221,189.929228439
64.1057,73,62.3098,-138.056,61.7218228432,363.623534132,396.589360727,7.82014311823,37.353,3.51535038367,228.12913871,134.728,134.628983342,386.014526171,0.700135,134.609,73,110.881742995,134.655135842,370.413070817,186.577779296
64.6696,74,77.5272,-140.192,75.8962043733,397.993165048,658.71049674,61.8228692748,37.5357,3.70824820068,320.396574044,136.902,136.802132263,470.42774415,0.687018,136.779,74,103.510559656,136.836161811,436.382722028,204.753949678
65.2738,75,65.2389,-141.922,135.898192388,310.623320942,550.369002273,54.2977644785,37.7004,3.52251700897,284.076600851,138.691,138.581058837,450.140515276,0.705578,138.556,75,112.036122713,138.621274511,499.028063783,201.863751949
65.9235,76,76.2637,-143.779,5.7244114039,157.25683911,397.063773498,53.2937851635,37.8419,3.736540302,282.048881365,140.293,140.182358833,338.121286159,0.669609,140.165,76,106.324762338,140.215512582,379.724339636,168.998790096
66.5094,77,65.9082,-146.658,42.5035541071,372.354110089,393.166681785,4.03172632714,37.9511,3.73749595363,214.255720872,143.187,143.10300221,378.473870688,0.70234,143.076,77,121.370422619,143.136328713,454.962571444,183.047422431
67.1123,78,70.2326,-148.371,56.9303155771,271.846476624,403.986612146,36.2794881893,38.0867,3.7755390592,179.494867886,144.9,144.773325706,342.845482353,0.711258,144.752,78,105.966829448,144.80383472,379.409561652,170.670701945
67.6384,79,73.4057,-150.359,33.9068926054,382.114447898,440.960787078,11.3897990507,38.2615,3.80345804641,245.825792747,146.955,146.82834511,411.029764378,0.708784,146.806,79,93.1649184115,146.863219064,341.965584474,195.065915899
68.1974,80,66.5285,-152.787,101.893167015,245.526634349,515.566147347,55.9930962368,38.4139,3.66390480786,243.096816264,149.221,149.115332023,342.958724613,0.719875,149.095,80,108.698326967,149.146910609,437.111557182,170.60528786
68.8531,81,86.1161,-154.769,234.246772203,372.919133883,435.985238845,11.1443791173,38.5551,4.08897984487,324.873521498,151.118,151.005994848,388.176611654,0.734762,150.978,81,88.8002351686,151.035591256,521.674942573,185.514574709
69.3917,82,82.5297,-157.061,12.6061007075,465.16565077,617.214261,39.3404847375,38.6952,3.97515142299,218.362155748,153.45,153.358786091,549.870910722,0.732547,153.331,82,113.705622859,153.393081138,385.123307396,223.253147216
69.8533,83,72.257,-158.976,11.2826601918,404.163806156,507.390440941,22.731221745,38.9059,3.82828737792,254.903203951,155.428,155.317967009,442.038270092,0.771085,155.3,83,137.570470037,155.346290369,439.380503915,200.883965363
70.4565,84,94.8994,-161.418,31.0958184345,334.824101683,455.739012521,24.5584662455,39.0454,4.16960235658,283.977954821,157.93,157.807182632,402.479593259,0.774638,157.782,84,133.596312727,157.846737825,453.871393322,192.14700803
70.9658,85,94.531,-162.569,16.8155083357,245.5364395,451.706866909,34.3129577148,39.199,4.14898887723,213.31486902,159.091,158.945806987,366.304019254,0.706546,158.924,85,144.545303531,158.996276713,421.261209587,177.253705447
71.5187,86,89.031,-165.012,9.03327242123,405.756325788,483.641074823,19.02192116,39.4191,4.11475952984,182.462677001,161.455,161.32065854,453.216983587,0.729261,161.292,86,125.514181228,161.380996028,460.02275086,199.953455251
71.9733,87,96.3908,-166.424,50.9646882272,416.071830394,455.31188956,8.69461678199,39.6318,4.17576732983,255.126625837,162.681,162.504154426,436.752649582,0.64991,162.492,87,181.622624023,162.550636872,579.397300498,194.764401867
72.5151,88,97.7445,-168.725,30.9455488827,308.414575331,515.14798284,55.7054577538,39.8055,4.25685232328,220.324813204,165.029,164.914752876,390.096398135,0.704529,164.878,88,137.276880842,164.959461484,486.551768688,183.38242571
73.0225,89,91.04,-170.485,82.2606989571,253.267133856,378.799757792,32.7229483828,39.9449,4.22297491488,233.88489675,166.87,166.699807256,338.516161858,0.694764,166.676,89,151.745543194,166.770765647,604.086279278,170.632562918
73.5522,90,88.3671,-172.694,16.8935797287,296.13313682,436.329477971,25.7398165849,40.151,4.22767431124,169.763360597,168.883,168.773741896,349.386961469,0.724844,168.741,90,158.203257338,168.819842973,507.981967038,174.146524769
73.9427,91,94.6438,-174.235,47.5370690297,252.803497277,355.794518095,20.2384345641,40.3306,4.36848259205,272.415795158,170.226,170.065661956,315.124119817,0.748676,170.044,91,136.613007825,170.109357237,457.344626082,162.725956162
74.4384,92,108.485,-176.848,38.9960999989,296.724122573,557.482999269,52.141024545,40.4776,4.4645899138,183.646670668,173.008,172.86141968,363.020963984,0.697556,172.833,92,115.608575579,172.908460561,414.168730938,176.150870576
74.8386,93,93.9704,-179.465,29.6088765082,300.026349335,429.779106191,28.9339143313,40.6623,4.4299460956,190.292488191,175.506,175.345796808,363.513716945,0.735688,175.329,93,102.693082204,175.404284303,361.260660059,179.848025217
75.4646,94,104.134,-180.723,20.5824182124,241.439355904,475.759931301,82.0649052785,40.8738,4.49425907657,188.765060127,176.546,176.42452462,362.48062481,0.745272,176.392,94,153.141959347,176.462484112,488.396332526,175.974989052
75.8005,95,97.9146,-182.849,72.9483407589,367.971675263,481.060021367,26.9588783763,41.0648,4.38694439207,268.816861389,178.979,178.834025713,443.748023491,0.752384,178.816,95,100.193179821,178.883697251,411.813922343,202.161956805
76.2083,96,106.984,-184.301,10.8478390611,129.242133732,354.360982798,70.5172090417,41.2604,4.47580115671,209.332921234,180.434,180.29823503,245.763835977,0.782481,180.284,96,159.691348423,180.347359111,513.190134665,137.971149054
76.7144,97,106.267,-186.47,65.136852935,386.342697448,517.778197406,32.9044500339,41.4261,4.50083479601,312.447920046,182.428,182.297846044,419.6828422,0.724737,182.264,97,144.063374108,182.336269939,553.486024397,189.587189611
77.2502,98,113.727,-187.727,12.3920520487,389.806337052,503.612748338,20.1941304934,41.5783,4.56147741135,224.075448307,183.541,183.409301074,411.125184576,0.733605,183.374,98,179.667500331,183.45313506,486.690997462,188.268635225
77.6915,99,112.947,-190.054,11.0933589328,266.93147227,501.547003918,37.1939483883,41.7204,4.61372319198,322.131047942,186.018,185.868725177,364.670872743,0.769947,185.86,99,149.539193966,185.920936115,504.415526205,176.357823046
78.1748,100,107.949,-191.801,11.9211136479,216.471474426,413.138643298,34.5618730779,41.8734,4.58435504793,238.862062816,187.794,187.638821358,319.000632859,0.798401,187.616,100,130.216943254,187.704807166,377.190696984,163.297266528
78.5177,101,110.798,-193.496,15.390148765,269.636492593,551.463628819,56.7802963186,42.065,4.55534910557,212.781582714,189.631,189.487643157,408.920828068,0.754695,189.441,101,183.255371324,189.551190556,488.676853602,185.649277834
78.8765,102,118.215,-194.919,12.2893804717,257.4829508,505.881305376,39.9966350586,42.271,4.65197062009,175.731930767,191.081,190.918700547,398.730585705,0.715291,190.9,102,150.926954701,190.975100569,572.933304238,185.516129699
79.353,103,106.3,-196.896,9.14514429539,309.069668221,384.924895582,15.1769608082,42.4439,4.69133797809,204.420119889,192.682,192.513448019,361.297595082,0.731442,192.495,103,117.710961979,192.563707593,379.010775893,175.332045572
79.8272,104,125.161,-198.197,176.637035643,317.451633236,582.335136657,29.1081033662,42.6174,4.90637655552,295.552238515,194.04,193.858524565,373.045232965,0.729683,193.836,104,65.4207638561,193.923484237,381.587194146,178.380258004
80.2898,105,137.828,-199.738,15.1339137261,246.956313903,473.569488765,44.8206876607,42.8076,4.95075642063,167.282821859,195.765,195.57771337,292.072356596,0.743521,195.546,105,117.308639645,195.644194765,414.916672468,155.233707104
80.789,106,113.845,-201.197,37.0120610314,391.712752363,485.07308753,23.9708765092,42.9917,4.75303842189,269.329027253,197.102,196.931817732,435.597885859,0.79425,196.92,106,153.752887983,196.971871227,544.766745875,195.457983029
81.1702,107,121.617,-203.193,42.1696203176,271.268338194,495.952812201,63.1193351424,43.0975,4.8756642294,264.153512691,199.082,198.901001974,344.255982047,0.767155,198.885,107,138.890195616,198.955600495,425.045390424,165.609930327
81.6204,108,138.566,-205.354,6.71016498063,265.83349787,445.315715898,40.319359105,43.2942,5.03043737124,187.120496082,201.248,201.103433556,356.722451604,0.764733,201.067,108,113.006813494,201.14134904,373.61878778,172.046279859
82.05,109,137.375,-206.827,35.424154072,267.053643448,592.191550388,85.7047218745,43.4218,5.02021222623,198.245685049,202.646,202.473377036,357.412547373,0.733492,202.447,109,123.568035705,202.530476716,440.704155162,166.746070876
82.5938,110,132.76,-208.211,66.7256620543,357.316595128,490.678403263,30.6770064825,43.6159,5.09206783251,251.899892528,203.971,203.825526531,431.588836939,0.821114,203.804,110,108.190990666,203.868911795,369.256800349,193.804437031
82.9721,111,122.147,-210.339,159.439017959,347.37193346,482.193614699,24.8817062852,43.7789,4.87879164486,280.968701863,206.308,206.131466594,423.029608631,0.803371,206.101,111,107.597733411,206.174462263,448.42903811,192.091609686
83.4261,112,146.659,-211.59,87.9152397154,274.660119569,506.811025796,56.5227254758,43.9418,5.23897683049,247.277074543,207.285,207.116389024,347.230544983,0.802059,207.099,112,172.328854359,207.162855502,608.583118183,169.298025083
83.8929,113,143.005,-212.508,12.4717338253,356.586033602,648.406423351,84.0738575704,44.1655,5.19016667728,245.905522394,208.319,208.175364491,473.616224473,0.795807,208.138,113,157.234158708,208.226879207,652.649012671,194.419985011
84.2626,114,147.536,-214.32,10.7282779064,277.312446985,560.114149538,65.757058202,44.3059,5.12595968696,324.919158671,210.117,209.957197719,408.987444919,0.806241,209.931,114,205.7653176,209.999959799,636.787581558,184.092618867
84.6465,115,126.181,-215.461,24.7612532187,328.699443635,695.154017066,77.6438598723,44.4496,5.04043097464,225.30521783,211.247,211.046528485,495.138384538,0.832998,211.029,115,114.981698666,211.108195336,397.055212922,203.686569075
85.0431,116,125.342,-217.881,12.9497863913,272.750355329,606.110672912,91.1994127204,44.5943,5.02023394833,266.80430291,213.58,213.394676025,379.778343986,0.813292,213.381,116,154.35652814,213.44643843,461.483339523,174.59680115
85.4355,117,139.999,-219.562,9.94333582184,278.867670647,561.209867707,94.0482668239,44.7449,5.21555525611,229.152545289,215.194,215.026608517,410.132566861,0.825554,214.999,117,189.109513876,215.084263552,554.073911836,179.670956559
85.8017,118,137.155,-220.858,40.1007554042,357.155340514,588.350619518,53.7605832581,44.8663,5.16431711018,287.027160141,216.491,216.314453228,497.780354028,0.835823,216.289,118,171.5892014,216.376017232,645.318846575,205.652253883
86.2087,119,144.102,-222.782,140.129362691,318.734924136,619.550273936,81.1627690286,45.0206,5.20600251849,283.569219855,218.288,218.110379313,481.482669969,0.855986,218.087,119,132.400353353,218.164293491,575.730212339,201.096363003
86.6574,120,154.359,-224.227,8.69449649505,250.675613042,600.262571879,89.6722317935,45.1648,5.41581649169,192.644793621,219.663,219.470411209,386.886275548,0.882441,219.439,120,151.722823491,219.521821243,455.037216327,184.30405638
86.9797,121,131.1,-225.829,4.71312590793,301.129332361,664.500552255,57.0617710308,45.2955,5.06900477836,254.776752325,221.293,221.097122298,415.81378969,0.843223,221.071,121,227.456764235,221.154942295,637.492298199,190.766758577
87.4348,122,129.787,-227.635,110.292749729,295.511417101,631.429813968,77.5782834074,45.4826,5.20057376501,263.82029166,223.292,223.103042266,435.379085078,0.819238,223.081,122,111.944233713,223.173785727,473.585236981,193.375869189
87.7742,123,140.27,-229.189,11.7841360942,209.623369281,465.800406294,54.2357067529,45.6008,5.288597044,171.885384039,224.892,224.701584825,384.303888146,0.80042,224.682,123,149.078172417,224.760326119,481.457261275,178.478752197
88.178,124,171.135,-230.024,10.1043592566,354.421934561,524.147382638,41.5518541736,45.7794,5.60166071398,260.951048546,225.502,225.299974972,420.055888372,0.756747,225.259,124,174.399868368,225.36730381,646.980983909,185.765054671
88.5439,125,138.377,-231.941,9.20901423327,317.947225719,574.799514283,58.1140746524,45.9285,5.18504098345,197.424127203,227.499,227.29598544,443.846707382,0.81342,227.28,125,120.483256898,227.348947112,359.203110288,195.802890181
88.9219,126,138.992,-234.125,88.0252228949,343.047117506,616.84677207,57.0450326191,46.0508,5.23192550647,285.299983498,229.714,229.531041589,423.394235988,0.806574,229.511,126,115.239835864,229.596390802,453.962869058,184.39781611
89.2274,127,152.257,-235.432,34.1349009344,276.795084617,652.60155448,81.0970115355,46.1243,5.3845469078,311.355804932,230.774,230.598119666,405.621473136,0.808755,230.568,127,183.980783489,230.653553619,644.009479157,183.544577942
89.7183,128,175.839,-235.973,12.2554858701,283.958676593,622.66674464,66.5408000739,46.3064,5.61909879954,218.48630428,231.386,231.15623885,412.879853185,0.807393,231.145,128,156.349091902,231.218096768,471.838011217,183.454703997
