Epoch,MaxEsReturn,AverageAbsQYDiff,MaxReturn,AverageReturn,StdForwardProgress,AverageDiscountedReturn,MinEsReturn,AverageAction,StdReturn,MinReturn,QFunRegParamNorm,AveragePolicySurr,PolicyRegParamNorm,MaxForwardProgress,AverageAbsY,AverageQLoss,MinForwardProgress,AverageForwardProgress,StdEsReturn,AverageEsReturn,AverageQ,AverageY,AverageAbsQ
31,120.29304746,0.163276736248,124.341195556,47.1482168778,0.128447045203,37.9197839543,2.9501505047,0.793606,16.5775103331,24.2656099248,28.7103,-1.99375,16.5842,0.637962308186,1.80162365269,0.0710046,-0.146683484522,0.143284988962,24.7731311595,46.9768813909,1.79987,1.80160740775,1.80034
32,83.9283585766,0.165878993764,152.172446752,57.9407141789,0.194769241521,44.3600087426,5.73865411183,0.807068,22.7612632861,24.61014525,29.245,-2.02702,16.6158,0.596409088728,1.83739541811,0.0740853,-0.189473764416,0.213819557086,19.4147256983,51.7067416973,1.83514,1.8373688154,1.83567
33,100.794309067,0.169814181104,144.361470212,60.1972474669,0.19807377386,45.5777409038,11.3631357717,0.816327,22.032044748,17.9429919442,29.7751,-2.05825,16.6629,0.613248560788,1.87209847835,0.0796224,-0.19165608211,0.197476521887,23.8772785551,54.7049435544,1.86933,1.87209691066,1.86976
34,85.5652216832,0.169697664729,198.964377582,58.4696206854,0.224787431621,44.0175189991,3.59660419245,0.788935,25.8902225311,15.5542612731,30.2862,-2.08249,16.7051,0.641566388281,1.8977570337,0.0782258,-0.178115876778,0.169801630636,22.7265825161,37.4624936805,1.89751,1.89775692822,1.89823
35,113.755149161,0.165021817696,131.372696984,28.7338367613,0.0375947976064,24.1315861848,17.433643045,0.656888,14.7749959598,13.5854198543,30.8204,-2.13886,16.7759,0.148387255441,1.94355114068,0.0758445,-0.169559960163,-0.0925447993398,25.8785039941,46.3225150536,1.9415,1.94353648269,1.94228
36,74.9032644661,0.165612509988,177.886324265,43.602566643,0.1059467472,33.8754861322,14.8164022635,0.723266,23.0360299071,19.9187824881,31.3886,-2.18251,16.8561,0.253095471976,1.98091994089,0.0757308,-0.179623531445,-0.0512103463666,14.5167228224,33.7065058635,1.97915,1.98089305016,1.98021
37,118.840441498,0.16879616204,141.141850546,44.283508172,0.128907101443,34.1137557689,20.419428598,0.750548,24.4333165693,15.8457380938,32.0006,-2.23464,16.9328,0.517888224864,2.03539504941,0.0785811,-0.231219183047,-0.0332282656802,25.3618048525,41.8104210656,2.03333,2.03537694434,2.03434
38,119.29119107,0.170628808319,132.842843862,45.0447191222,0.128406409232,35.1192572254,13.0079120415,0.748935,20.7053565935,17.6292540257,32.5618,-2.26235,17.0321,0.2328703405,2.07745252317,0.0790909,-0.165821632429,-0.013879375906,25.3348202043,46.7457944216,2.07677,2.07740992172,2.07787
39,82.0542022283,0.172798119285,127.656999637,50.6685504364,0.18439543962,39.0291466298,19.0970880403,0.775231,22.7212498729,19.0539546688,33.1685,-2.31481,17.1346,0.557437878755,2.12675341168,0.0828027,-0.19256760609,0.0784378880645,17.7726059891,43.3635769184,2.1244,2.12668679811,2.12535
40,96.1960038199,0.178365579427,121.509449113,55.311181616,0.121038986208,42.8649273387,10.4786575699,0.757717,16.8617050825,27.2053723915,33.7429,-2.33686,17.2338,0.584400098194,2.15717786965,0.087167,-0.153266756301,0.161524374725,22.4199382447,46.5526531667,2.15484,2.15712526265,2.15571
