AverageQLoss,MinForwardProgress,AverageReturn,MaxForwardProgress,StdForwardProgress,MaxEsReturn,AverageAbsQYDiff,MinReturn,MaxReturn,AverageQ,AverageAbsY,AveragePolicySurr,StdReturn,AverageAction,Epoch,AverageY,AverageEsReturn,MinEsReturn,AverageForwardProgress,AverageDiscountedReturn,QFunRegParamNorm,AverageAbsQ,StdEsReturn,PolicyRegParamNorm
25.8200450071,-0.258635900391,0.995803585237,25.6619,86.526219317,0.251511989117,2.14463,-2.11404,22.9238,37.9944592811,133.106977884,2.06798,0.184661758899,0.023045,-4.28671078891,0.915058,2.06767953629,27.2369916892,20.6209919528,0.0941664119084,2.14607744389,55,-9.30937877952,28.0845444911
26.1863481918,-0.127350138832,0.937098753301,25.7928,102.148450761,0.233968041033,2.17337,-2.13993,23.2134,42.3312960589,133.924556102,2.09637,0.224059019655,0.0239547,4.39595503375,0.904191,2.09650084434,23.8742030497,45.4345080989,0.0948396130889,2.17515186068,56,20.0018600777,26.94768351
32.8691310556,-0.264469860232,1.17440716423,25.8342,88.9634439177,0.27754691494,2.21976,-2.19787,23.478,57.2884956085,151.129540115,2.14307,0.357036720207,0.0250747,-10.6561329058,0.900656,2.1430824532,24.356284327,34.7184462771,0.0965530180414,2.22093668786,57,4.63377923704,31.5760682087
23.165628694,-0.359008672385,0.717402521265,25.8995,57.7167053864,0.171090153917,2.24692,-2.21396,23.6447,33.2535325011,93.7437111419,2.17178,0.154463475649,0.0239465,-13.4149918365,0.931507,2.17168448872,14.058710321,30.4530713147,0.0962645643793,2.24815890459,58,9.71719339375,17.090830818
37.4107123326,-0.165725935429,1.29803833936,25.9216,149.637545718,0.358771455978,2.26731,-2.23019,23.9021,67.8729532925,169.048133666,2.19188,0.448904264933,0.0240601,0.402095941802,0.923478,2.19185857651,37.8038607327,49.9480713382,0.0965957480562,2.26811778676,59,18.171289038,41.0288994755
29.0589540182,-0.251470339641,1.06662374961,26.0126,99.0522717412,0.260703925335,2.29777,-2.27521,24.1315,46.1388722918,134.068655124,2.22222,0.22607490003,0.0255467,-5.912042767,0.928679,2.22223392855,27.6747025528,29.4820389547,0.0991225156689,2.2989041074,60,-3.02834649962,29.3243004581
24.8472589528,-0.49833067502,1.65348536773,26.1126,85.6966632494,0.275455799361,2.33211,-2.30226,24.3595,39.4590206029,207.560610682,2.25806,0.186914474231,0.0255609,-22.356905179,0.927358,2.25786829449,33.8568333907,32.7271813488,0.0998010920974,2.33302627539,61,-30.9618789395,32.3901450049
20.2595762723,-0.384094656204,1.09067994909,26.1887,89.4303762922,0.287033398721,2.35961,-2.34178,24.5758,27.9098337937,135.078670249,2.28583,0.08399809244,0.0258686,-22.658463635,0.926057,2.28595907794,29.0489274351,30.9978515257,0.100085580668,2.3608463125,62,-13.7762033804,30.430120662
26.0071590177,-0.284998523891,1.19917455905,26.2607,104.112123025,0.207163701464,2.39305,-2.38096,24.7863,40.450721308,167.462621949,2.32262,0.205808574084,0.0269547,-9.89310778059,0.932643,2.32273766331,26.7692256841,36.0980631687,0.0997580010071,2.39432107009,63,4.39960829034,24.4575144071
32.8091368872,-0.242768987377,1.54995736436,26.3379,50.1771064924,0.352119802067,2.42559,-2.41118,24.9895,57.4304318664,190.323533094,2.3555,0.342126682381,0.0274371,3.72190205951,0.934532,2.35547079729,16.8537266604,35.3466887312,0.102603504167,2.42644545986,64,5.73008243352,40.0886846464
