MaxEsReturn,AverageDiscountedReturn,AverageEsReturn,AverageQLoss,PolicyRegParamNorm,StdReturn,AverageQ,QFunRegParamNorm,AverageAction,AverageAbsQ,MaxReturn,AverageAbsQYDiff,Epoch,StdEsReturn,Iteration,MinReturn,AverageAbsY,MinEsReturn,AverageY,AverageReturn,AveragePolicySurr
22.4995298891,106.498146141,-12.0301860557,0.0124119,16.0174,95.235302147,0.907952,13.6048,0.544827,0.951059,432.443658718,0.077964491839,20,24.5577694339,20,28.054638263,0.954618000914,-57.3044208569,0.908655778186,270.299598036,-1.32029
340.748995071,44.6257557583,87.2462208355,0.0141486,16.6936,5.96302601082,1.08878,14.0735,0.762106,1.11785,80.5263656463,0.0804898040149,21,116.806556643,21,48.5317550389,1.12151994688,-31.4428561166,1.08931624978,62.3462236782,-1.47123
338.912006145,84.6185058183,142.611118168,0.0164814,17.348,396.279607153,1.25334,14.5681,0.564691,1.28337,1029.96487981,0.0827277893693,22,109.443577725,22,44.6862935033,1.2866669851,5.74614267877,1.25418596188,571.951246125,-1.62999
74.1910879773,107.713035737,28.0678251704,0.0150012,18.0076,58.0184191755,1.397,14.973,0.655881,1.43129,425.960278295,0.0809943938023,23,34.3155909203,23,188.17736468,1.43385992013,-16.8181833127,1.39764617132,299.155879906,-1.77661
17.9499373962,101.224471634,-15.4983875588,0.0178881,18.6496,98.8533706172,1.4935,15.4306,0.584536,1.53238,464.235951379,0.0853172977409,24,25.9423941044,24,87.1782305484,1.5340212263,-84.5015174478,1.49407163044,294.904059371,-1.85569
110.32286682,58.0658659942,0.490808096317,0.0183537,19.0763,192.378802727,1.5689,15.9339,0.672517,1.61442,607.182615265,0.0881175941722,25,47.6217111831,25,-11.1867748888,1.61592099923,-41.0266988489,1.5695456829,171.526990602,-1.90711
18.2044571454,87.9746231858,-7.5785826883,0.0195114,19.5606,302.66414024,1.64521,16.3674,0.816916,1.69821,988.044001051,0.0891291963209,26,25.0216203932,26,146.099450212,1.69963038973,-53.5501405474,1.64581206941,402.299577715,-1.98288
123.485206768,126.686535093,26.9858749551,0.0232529,20.1128,32.683463707,1.69635,16.8954,0.708366,1.75794,433.109185447,0.0950815592056,27,54.7915050715,27,263.143369387,1.75950638229,-46.5464370431,1.69673471379,355.254195656,-2.03072
568.914777224,90.3668516883,261.042378722,0.0274681,20.4258,131.037653577,1.7904,17.3933,0.608495,1.85536,488.718938281,0.0984683165775,28,212.376583814,28,48.0689749508,1.85707810887,48.4213354195,1.79083815413,266.118867711,-2.12693
417.918353981,83.4825297565,166.793386172,0.026085,20.8769,13.4043426511,1.86847,17.9014,0.437711,1.93832,976.278833552,0.0974492783538,29,177.046791501,29,930.930901197,1.93966669268,-11.645618056,1.86903180942,956.646684063,-2.19265
73.9793708615,0.0660425967543,9.63245011484,0.032079,21.4214,25.4361495474,1.96986,18.4438,0.623554,2.03829,177.49545041,0.106046855266,30,33.789495095,30,-40.169864432,2.03953262497,-36.5159684458,1.97030683531,-19.2077952167,-2.31466
126.585659928,90.2236982881,30.9604923958,0.034214,22.0186,151.750386901,2.05225,18.9991,0.665308,2.12079,541.13244067,0.110439695145,31,54.2360623094,31,21.2090173088,2.12229455089,-31.117647943,2.05295141067,274.263602076,-2.40107
240.652380283,13.2732887013,97.6829556619,0.0432942,22.6594,145.678227261,2.13811,19.5811,0.785146,2.20811,833.380080518,0.122738291183,32,71.4925140962,32,-92.6554928481,2.20897489321,29.6106841937,2.13846136952,24.234512042,-2.47192
