AveragePolicySurr,MinReturn,AverageDiscountedReturn,AverageAction,StdForwardProgress,PolicyRegParamNorm,QFunRegParamNorm,AverageQ,StdReturn,MaxReturn,AverageQLoss,AverageEsReturn,AverageReturn,AverageAbsQ,AverageForwardProgress,MaxForwardProgress,AverageY,MaxEsReturn,AverageAbsQYDiff,StdEsReturn,Epoch,MinEsReturn,AverageAbsY,MinForwardProgress
-52843.3,-4.63979445783,5.90215671708,1.0,0.032841146669,17.5882,639.703,52027.7,4.24194350145,18.5325197855,5.28886e+08,6.0831009705,6.98049937646,54225.3,0.00423779926191,0.0924367499683,50965.7051468,14.2349807977,11107.2389394,4.55891718617,52,-2.8659286635,52417.4863626,-0.085436647334
-53932.6,-5.46423495678,5.26200012406,1.0,0.0326498550903,17.5882,665.732,53427.1,4.19365472071,17.8539308976,1.13909e+09,6.04102851739,6.208532773,56158.3,-0.00138467335559,0.0910536857363,51094.7499098,18.7465338459,15171.7301995,4.64412397506,53,-1.66120335849,52345.9878344,-0.0945556503794
-55522.4,-4.24557762072,5.17761120355,1.0,0.0324085469405,17.5882,682.221,55364.9,4.18114858911,17.3178627393,3.30619e+09,6.9139559627,6.11296720994,59023.5,-0.00226897928168,0.0872594110228,49169.8595003,15.1764034885,22190.5503122,4.34536073047,54,-3.07836596904,50743.8086093,-0.0815409956385
-53862.4,-4.46930499687,5.26009357623,1.0,0.0331399214968,17.5882,693.229,53852.2,4.29315073936,17.7717727057,3.51143e+09,5.34373530936,6.21624651911,59889.0,-0.00161625888508,0.0851725513566,47043.0167182,14.9215859576,25581.6001826,3.54789875983,55,-0.63228568846,49731.9145875,-0.0822078061133
-57534.0,-5.34182716853,5.34200896473,1.0,0.0335794311309,17.5882,704.293,57787.4,4.3276614395,21.459667835,4.86499e+09,7.25420904063,6.30435644991,64459.9,-0.000591492392192,0.118218036653,50540.5148895,12.744171796,29130.1716887,3.0095391847,56,0.246434382099,54029.0744524,-0.0949462477197
-56007.0,-4.60846394789,5.71285456164,1.0,0.0318593888637,17.5882,713.999,56436.2,4.1140713197,17.7716347456,4.11457e+09,5.71110867201,6.7509229563,63597.7,0.00262587745033,0.0877152982677,50856.1345579,14.0467325048,28335.1209557,3.97948706687,57,-3.17476843859,55206.3430474,-0.0849374517162
-48865.1,-3.55018933848,5.44811327754,1.0,0.0298825072235,17.5882,728.396,49424.4,3.85630531176,17.3383114685,3.67395e+09,6.41876929438,6.43133511045,61060.6,0.000344696656095,0.0873163562517,47516.4014143,17.0031427007,28479.9964775,4.12870492501,58,-2.81539129321,54136.8493206,-0.0764792845163
-37551.1,-5.35967544761,5.6517383304,1.0,0.0318947930624,17.5882,744.282,38004.7,4.11299584752,20.2588870828,3.08883e+09,5.6247539715,6.68104677611,54227.3,0.00192387795836,0.10855836788,39487.1854392,11.0038075951,27236.0339816,3.55929660694,59,-1.65851587772,49616.6034431,-0.0907506313824
-30074.5,-2.49999165064,5.62486659836,1.0,0.0306268898413,17.5882,750.105,30629.5,3.97150370922,20.1379996612,1.97685e+09,7.15039386373,6.64670718804,47568.3,0.00187977474963,0.103826532445,31483.0182065,16.6095364971,20890.9155257,4.13042261609,60,-1.01858832179,45243.7283123,-0.0681359020148
-21508.8,-3.01340062848,5.39597209377,1.0,0.0313500033438,17.5882,754.556,22180.7,4.04964064019,20.9673490657,1.46716e+09,8.14158069821,6.37104997459,42252.9,-0.000159289174593,0.108549959349,23133.2918707,18.4437111732,17409.3823257,4.60457807704,61,-1.52155433906,40228.0954489,-0.0772026366177
-15059.3,-9.44846424044,5.76674389429,1.0,0.0341252861887,17.5882,759.098,15770.1,4.42580191811,21.3993019629,1.23737e+09,6.90170095732,6.81510000805,37225.0,0.00327308631334,0.113613506571,16652.2879494,11.1062998758,15472.1759486,3.57024837933,62,-5.90907373833,36569.0318708,-0.121305869869
-6375.98,-9.13232511439,5.24852542815,1.0,0.0337506580913,17.5882,753.549,6915.95,4.37182762207,23.796000862,8.19637e+08,6.62052348682,6.20024573471,31434.8,-0.00161755617042,0.131274707064,7219.69398204,16.9673826177,12246.2738866,3.650196155,63,0.339217822485,32270.258026,-0.120013612326
-1939.69,-5.68708437739,5.60263333147,1.0,0.0357731611346,17.5882,754.433,2554.59,4.64575360976,18.7365570056,4.55638e+08,6.63403113405,6.62296759146,29195.5,0.00169755429887,0.0939595767447,2365.09040721,15.1068877536,9640.77273022,4.53125488498,64,-3.42541945055,29261.8472379,-0.096289249514
278.548,-6.4294670123,5.49731189295,1.0,0.0312350181188,17.5882,757.591,310.671,4.03733630388,17.3250576847,4.26805e+08,5.39084579617,6.49121748053,27721.5,0.000825996018213,0.083213959548,486.673929147,12.4223583894,9334.86431503,4.39954971273,65,-7.15318867118,26710.2271283,-0.0962767096954
1930.88,-5.02631373883,5.42568128965,1.0,0.0309663509453,17.5882,759.883,-1234.79,4.02493267038,20.7344871119,3.32139e+08,7.56256220942,6.41092080706,25075.7,4.89165682087e-05,0.109585052223,-1329.48508794,17.6305575357,8539.88330098,4.94535671014,66,-1.50185806489,24492.4953236,-0.0899174058316
3149.98,-9.43928282209,5.34495317397,1.0,0.033880948039,17.5882,762.469,-2357.93,4.3884445418,17.2415386962,2.79498e+08,5.27659404496,6.3126899363,22947.9,-0.00063431737672,0.0851770110133,-2755.15355098,14.013894333,8192.9541317,3.57250014121,67,-0.455050405835,22418.628815,-0.119261376585
2819.74,-5.8805071812,5.4037137861,1.0,0.03129539428,17.5882,764.853,-1911.99,4.05519370235,17.8784655845,4.11206e+08,6.67939524006,6.38396955189,21360.1,-0.000186728246744,0.0871594948365,-2550.44635181,15.0160525236,9237.5199178,4.21590678859,68,-1.65634465746,20223.8953757,-0.0951861678345
4465.52,-5.6335412276,5.5452554153,1.0,0.0339940426859,17.5882,768.472,-3422.82,4.3841018212,18.1389249321,3.75715e+08,7.43503454834,6.54767076954,20004.6,0.00120959740226,0.0937388319209,-3670.37411603,13.9659236463,8626.43827731,3.88511672566,69,-0.497145130816,18955.2781506,-0.0928670804738
6557.87,-6.61613225799,5.71273065159,1.0,0.0312704597983,17.5882,773.842,-5369.62,4.03721299723,20.9388416182,4.37235e+08,5.91806563655,6.75021610542,20162.5,0.00263223117722,0.109829382456,-5827.94468348,13.4936772612,9288.85586651,4.60537867351,70,-4.19317843935,18822.357128,-0.102022370141
