AverageReturn,Iteration,QFunRegParamNorm,StdReturn,MinReturn,AverageAbsQ,AverageDiscountedReturn,AverageAbsQYDiff,AverageQ,StdEsReturn,AverageY,AveragePolicySurr,MinEsReturn,MaxEsReturn,AverageAction,AverageEsReturn,PolicyRegParamNorm,MaxReturn,AverageQLoss,Epoch,AverageAbsY
38.8210893308,34,37.33,0.919237379754,36.673738217,2.26771,34.4955070011,0.0718331190845,2.26655,7.47653184352,2.26693699525,-2.32803,30.6488818044,77.7842360871,1.0,41.555848674,24.6112,40.7564639228,0.0161883,34,2.26752179291
38.7007379997,35,37.8372,0.969105125322,36.6370727405,2.29686,34.4025248517,0.0703876806461,2.29575,7.75233655952,2.29616895687,-2.35844,21.8119083858,74.3091030656,1.0,42.4084566611,24.6121,40.7084405383,0.0150429,35,2.29671486873
38.8306464576,36,38.3937,0.975676223045,36.6582980797,2.31753,34.5051118706,0.0693353362167,2.31629,6.15133146721,2.31656488395,-2.37566,37.3229784,69.7744000217,1.0,42.8705829829,24.6129,41.7901071071,0.0159867,36,2.31718458292
38.7898551439,37,38.9347,0.955318566729,36.6489663388,2.32645,34.4735943215,0.0731590280032,2.32508,8.3476276868,2.32560267583,-2.37918,12.823023561,69.3067775084,1.0,42.012906571,24.6132,40.5918830564,0.017547,37,2.3262314063
38.7917275421,38,39.4248,0.899710099416,36.7639515908,2.3197,34.4749712407,0.0733512600798,2.31833,9.79753971527,2.31871463286,-2.36255,14.6536711523,70.6443418658,1.0,43.2234986957,24.6135,41.9258367003,0.0198498,38,2.3191932772
38.7774266662,39,39.8831,0.936522447642,36.5584259532,2.30963,34.4624797691,0.070914389417,2.30856,6.55294437108,2.30889788408,-2.35888,18.6483864073,60.4330423875,1.0,42.3397952908,24.614,40.6718445327,0.017313,39,2.30933557395
38.7024172936,40,40.3751,0.934930749422,36.5818225872,2.30675,34.4029392554,0.0732708459791,2.30543,2.62725683215,2.30575678093,-2.3478,30.5420157587,45.2962365158,1.0,40.6759143953,24.6143,40.729828147,0.0194809,40,2.30623021721
38.855145844,41,40.8528,0.901137287182,36.6842084951,2.313,34.5236030819,0.071662722955,2.31162,5.65290159263,2.3118806481,-2.35423,8.57421065187,48.8407383457,1.0,40.2123461105,24.6149,40.8179182959,0.0178419,41,2.3124402719
38.763918842,42,41.2623,0.852798478305,36.5785034918,2.32494,34.4522328014,0.0702074881384,2.32363,7.61181862525,2.32405780881,-2.36667,7.42274351916,73.6421925697,1.0,40.6098223725,24.6152,40.7098513642,0.0168935,42,2.32455880176
38.7651996051,43,41.7366,0.943244076537,36.7138232902,2.32673,34.4521192455,0.0726955504041,2.32576,5.02139461612,2.32600432421,-2.37083,30.0422786996,61.0381391738,1.0,41.5027262236,24.6154,40.776676409,0.0203948,43,2.32643261315
38.7440122081,44,42.1544,0.905117792125,36.6152113556,2.31954,34.4370836782,0.0697003237,2.31867,5.59542985619,2.319096679,-2.36069,13.3850273964,58.8627943961,1.0,40.4312288323,24.6157,40.5636293797,0.0179018,44,2.31945865077
38.8064572979,45,42.481,1.00869969437,36.6200289578,2.33069,34.4854673285,0.0643720472729,2.32977,6.64354242273,2.32984778434,-2.36904,7.42363741865,56.067509242,1.0,41.5511342009,24.6157,41.9362608807,0.016027,45,2.33024053047
38.8342498696,46,42.8485,0.939065237386,36.6624216038,2.32625,34.5083931842,0.0633928638458,2.32533,4.40448244882,2.32562756924,-2.35779,21.6859478346,56.2533618479,1.0,40.9619624802,24.6159,41.7567393351,0.0145795,46,2.32607631911
38.8572290124,47,43.1677,0.946605646992,36.6704077098,2.3215,34.5269148645,0.0577314637027,2.3205,5.84566637677,2.32065405412,-2.3512,23.7418430369,59.9050285251,1.0,41.7711169247,24.6161,40.7640536537,0.0116057,47,2.32107049117
38.773665624,48,43.4534,0.928265386049,36.6976714937,2.32011,34.4595700226,0.0574934194545,2.31917,11.4605580554,2.31951403551,-2.35581,7.506667224,95.3813319037,1.0,43.0895021408,24.6161,40.7418107516,0.011503,48,2.31996369385
38.7808376537,49,43.7773,0.931249442535,36.6902708263,2.31528,34.4663828126,0.0587004213371,2.31413,8.5755726152,2.31450282228,-2.35245,7.52145800874,79.5851729618,1.0,42.1235278765,24.6161,41.7977929331,0.0133198,49,2.31496522067
38.847199133,50,44.1602,0.921951412413,36.6359253391,2.31848,34.519091824,0.0582440898763,2.31733,9.97248542605,2.31765077113,-2.35718,7.49526422297,90.5004012567,1.0,41.5908405309,24.6161,41.7424401103,0.0149507,50,2.3182324112
38.7566897711,51,44.5111,0.922544798687,36.7063655805,2.31705,34.4458873126,0.0520829748537,2.31599,3.62395434546,2.31600804978,-2.35395,36.7228011523,56.3974739485,1.0,41.2506058311,24.6161,41.5859213715,0.0108368,51,2.31654067874
38.8340635453,52,44.8373,0.870973085871,36.7331568783,2.31371,34.5071389629,0.0542775031081,2.31251,6.96901685269,2.31285018508,-2.34809,31.478345635,80.2020464994,1.0,42.0686770615,24.6161,40.7532861837,0.0127934,52,2.31349346058
38.749417088,53,45.1361,0.948452915166,36.614945121,2.31106,34.4414543843,0.0515440962719,2.31003,3.3276745215,2.31040947181,-2.34052,35.4492140729,57.5918883568,1.0,40.5528159678,24.6161,40.727950584,0.011291,53,2.31090885827
