Epoch,MaxEsReturn,QFunRegParamNorm,AverageQ,AverageAbsY,StdEsReturn,MaxReturn,AverageQLoss,AverageY,AverageAbsQYDiff,AveragePolicySurr,Iteration,MinReturn,StdReturn,AverageAction,MinEsReturn,AverageAbsQ,AverageReturn,PolicyRegParamNorm,AverageDiscountedReturn,AverageEsReturn
61,482.293858552,59.3966,2.3979,2.39866849326,0.0,1027.37924852,0.0162944,2.39861211077,0.0786005291621,-2.47569,61,-497.942344112,603.801530579,0.980501,482.293858552,2.3979,265.602888342,80.2222,52.6544246663,482.293858552
62,474.955625296,59.9094,2.47783,2.47867867155,0.0,1111.6758697,0.0166583,2.4786258703,0.0811604297737,-2.55437,62,-154.44563539,484.841997554,0.970243,474.955625296,2.47783,652.885874617,80.7723,93.4183163465,474.955625296
63,342.546128083,60.3898,2.553,2.55386297833,0.0,1113.28469872,0.0175011,2.55378539044,0.0821939525392,-2.63556,63,792.842854286,83.1070570581,0.958229,342.546128083,2.553,942.64264425,81.5062,71.3957896986,342.546128083
64,572.695336403,60.9314,2.65086,2.65177125963,0.0,1368.91069961,0.0189613,2.65173309831,0.0847888262263,-2.73365,64,-600.657039797,750.936954585,0.977265,572.695336403,2.65086,396.227804421,82.0807,68.6162982707,572.695336403
65,566.074399111,61.4179,2.73419,2.73511130159,0.0,1269.97543943,0.0202124,2.735072489,0.0857175476419,-2.81431,65,-579.176867625,636.250819224,0.984128,566.074399111,2.7342,264.255890589,82.6131,90.6850432764,566.074399111
66,138.782041087,61.917,2.80918,2.81009324732,0.0,1341.78804745,0.0192189,2.8100387348,0.0851449306349,-2.88795,66,-614.847608807,699.154302215,0.977584,138.782041087,2.80918,264.24084476,83.2772,56.3361430719,138.782041087
67,820.999411485,62.4136,2.90241,2.90335243329,0.0,1045.5980037,0.0211506,2.90326660364,0.0875734418032,-2.981,67,521.656043008,145.967984239,0.952968,820.999411485,2.90251,920.567960183,83.9213,66.9197277801,820.999411485
68,605.755106104,62.9249,2.9783,2.97928112821,0.0,823.792874319,0.0233507,2.97921248248,0.0900858830341,-3.05679,68,67.4617595729,206.811836057,0.95379,605.755106104,2.97832,651.67229414,84.5334,40.4578064048,605.755106104
69,414.817737355,63.4646,3.05374,3.05470719217,0.0,880.08486773,0.026525,3.0545974812,0.0929911962825,-3.12912,69,-608.379544283,553.839235751,0.956946,414.817737355,3.05377,477.352669676,85.1093,30.1322001571,414.817737355
70,444.897094014,63.9284,3.14141,3.14234743156,0.0,1318.18352553,0.0239538,3.14228199203,0.0912679468417,-3.21986,70,1021.5692432,98.0159466339,0.938963,444.897094014,3.14144,1163.72100878,85.7508,72.2519443155,444.897094014
71,615.61852885,64.4369,3.21953,3.22034382347,0.0,1647.16141187,0.0299211,3.22016286889,0.0942965150065,-3.29807,71,-610.07861414,620.600122762,0.944921,615.61852885,3.21961,1035.676175,86.3343,89.4179654195,615.61852885
72,751.364459222,64.9034,3.29624,3.29754651037,0.0,1035.16638687,0.024036,3.29730216182,0.093821177479,-3.37646,72,-609.274573821,632.81653296,0.965277,751.364459222,3.29643,425.730860499,86.9946,45.15649641,751.364459222
73,773.870556779,65.3882,3.39101,3.3922138101,0.0,1725.64624245,0.0317632,3.39195034796,0.100912419434,-3.47432,73,-607.716566591,1026.38045446,0.980022,773.870556779,3.3912,582.830905205,87.6852,48.5916826736,773.870556779
74,879.111030694,65.7799,3.48388,3.48498729299,0.0,1679.67048696,0.0273926,3.4848059402,0.0976934947704,-3.56451,74,379.76739259,350.422792178,0.964764,879.111030694,3.48405,1364.9554899,88.3913,113.444730232,879.111030694
75,1051.80975732,66.1835,3.57629,3.57743079098,0.0,1505.38326582,0.0287631,3.57706240966,0.0995538836246,-3.65697,75,-192.088126827,536.671061935,0.970491,1051.80975732,3.57652,1096.3987051,88.9907,103.59765626,1051.80975732
76,944.360679313,66.6678,3.66894,3.67010308991,0.0,907.558026498,0.0299328,3.66971489078,0.101761857868,-3.75675,76,620.189748524,89.290503818,0.956746,944.360679313,3.6693,769.346441603,89.5503,54.5360024336,944.360679313
77,864.295987965,67.0932,3.76651,3.76787980469,0.0,1685.68473106,0.0318585,3.76749909211,0.102735762279,-3.8555,77,730.371602765,306.381856548,0.941276,864.295987965,3.76688,1132.27126533,90.1831,118.191442083,864.295987965
78,760.084421766,67.5712,3.85452,3.8559708364,0.0,1381.25513413,0.0341731,3.85556475908,0.106949502186,-3.93956,78,286.414928776,298.787870361,0.969539,760.084421766,3.85489,1126.94811429,90.8097,79.5952736991,760.084421766
79,1317.25513459,68.0568,3.95817,3.95963693036,0.0,1695.45428678,0.0376822,3.95919867512,0.106687107655,-4.04874,79,604.096166577,314.603066397,0.954872,1317.25513459,3.95848,1276.26105893,91.3244,128.764463207,1317.25513459
80,1188.78227023,68.4674,4.06949,4.07070834327,0.0,1660.03889719,0.0364965,4.07026027003,0.106936536868,-4.15902,80,1358.18433366,96.4535789273,0.971766,1188.78227023,4.07002,1511.6642586,92.0038,117.406626331,1188.78227023
81,1307.03243576,68.8708,4.16774,4.16906067895,0.0,1715.92572573,0.0379795,4.16876239657,0.107336120371,-4.26077,81,1506.60686893,70.8532067708,0.974555,1307.03243576,4.16801,1604.13103282,92.6368,110.930730975,1307.03243576
82,958.247571633,69.2805,4.27763,4.27875974106,0.0,1783.53351892,0.0329726,4.2783168606,0.107322179885,-4.36821,82,1298.67294728,138.450528733,0.972506,958.247571633,4.278,1530.05416934,93.1386,132.843265601,958.247571633
83,1039.31748937,69.7466,4.36891,4.37052593214,0.0,2041.17790562,0.0466457,4.37005581938,0.112333530078,-4.45859,83,1696.2740398,106.968446067,0.966733,1039.31748937,4.36932,1897.65619524,93.6819,164.803367913,1039.31748937
84,910.462462902,70.0655,4.43907,4.44025754795,0.0,2064.85820865,0.0362493,4.43988342673,0.108081627169,-4.52997,84,213.729404625,506.389055863,0.966919,910.462462902,4.43933,1634.04864762,94.1825,147.048881595,910.462462902
85,636.548651118,70.5045,4.53072,4.53193968045,0.0,1851.5831149,0.0373379,4.53151282916,0.109264837509,-4.62247,85,1608.69937304,74.6446628936,0.966017,636.548651118,4.53112,1721.53722394,94.7218,142.436088692,636.548651118
