AverageQ,MaxEsReturn,AverageEsReturn,AverageY,MaxReturn,AverageReturn,MinReturn,AverageDiscountedReturn,StdEsReturn,QFunRegParamNorm,AverageAbsQYDiff,AverageAbsY,AverageAction,MinEsReturn,AverageQLoss,Iteration,PolicyRegParamNorm,AveragePolicySurr,AverageAbsQ,Epoch,StdReturn
516.143,3836.45362085,3836.45362085,516.155929158,5602.08289931,4826.15489696,221.422139328,401.233371616,0.0,260.229,4.00117680395,516.170709968,0.999643,3836.45362085,283.368,1785,178.67,-518.157,516.157,1785,1538.44578015
515.564,3351.36079472,3351.36079472,515.570916729,5300.88779389,5174.48593898,4998.06693222,397.314089391,0.0,260.348,3.97780678276,515.580148114,0.999646,3351.36079472,282.501,1786,178.696,-517.591,515.572,1786,97.6902680368
516.055,3907.78170616,3907.78170616,516.06404684,5398.72180792,5286.497239,5165.18209687,412.164154249,0.0,260.386,3.78478394418,516.073998885,0.999685,3907.78170616,230.49,1787,178.707,-518.0,516.065,1787,74.986906023
515.003,3956.89261063,3956.89261063,515.008345156,5677.91183456,4640.15364557,400.52183549,428.033412836,0.0,260.464,3.82568518177,515.022586986,0.999672,3956.89261063,263.228,1788,178.789,-516.904,515.018,1788,1727.09382031
515.579,3690.91649718,3690.91649718,515.584577625,5536.57021326,5347.89114075,5154.74051343,423.329619495,0.0,260.552,3.97175594558,515.596608474,0.99969,3690.91649718,288.178,1789,178.787,-517.546,515.592,1789,107.205382345
515.42,3847.32786724,3847.32786724,515.438125114,5509.79188566,3904.86857443,-277.017270495,400.426740174,0.0,260.678,4.16867769203,515.459080494,0.999733,3847.32786724,357.725,1790,178.842,-517.529,515.441,1790,1939.33270237
515.713,3849.39422269,3849.39422269,515.707169495,5547.56356141,5277.38234074,4450.39655972,429.297248913,0.0,260.787,3.92874446672,515.720448605,0.999729,3849.39422269,287.947,1791,178.9,-517.752,515.726,1791,297.56473778
515.881,3627.41247097,3627.41247097,515.889393345,5775.75810402,5090.50824203,2154.71502441,392.83143683,0.0,260.864,3.97338927782,515.906024464,0.999662,3627.41247097,302.969,1792,178.97,-517.915,515.898,1792,1002.44733713
515.34,3863.07995259,3863.07995259,515.346584971,5637.27138963,5334.70850838,4458.24063267,429.316700672,0.0,260.933,4.09726700961,515.361047697,0.99972,3863.07995259,324.68,1793,179.011,-517.368,515.353,1793,343.358545886
516.104,3548.05500817,3548.05500817,516.120012126,5641.19549028,5387.37574546,5031.0009337,438.525012599,0.0,261.015,4.16168519823,516.12955464,0.999524,3548.05500817,350.872,1794,179.139,-518.2,516.115,1794,183.954663853
515.247,3733.96139725,3733.96139725,515.2409147,5872.59933568,5616.348068,5382.26200081,432.310740988,0.0,261.052,3.71201981528,515.252020931,0.999618,3733.96139725,203.171,1795,179.143,-517.274,515.258,1795,154.235890641
515.436,3823.07357607,3823.07357607,515.430908978,5468.38439101,4739.89335745,1269.35711889,421.525823469,0.0,261.149,4.20394258251,515.444495226,0.999551,3823.07357607,342.015,1796,179.179,-517.471,515.45,1796,1190.539761
