Epoch,AverageReturn,StdEsReturn,MinEsReturn,StdReturn,AverageQ,MinReturn,AverageQLoss,AverageY,AverageAbsY,AverageDiscountedReturn,AverageEsReturn,MaxReturn,AverageAbsQYDiff,PolicyRegParamNorm,Iteration,AverageAbsQ,MaxEsReturn,QFunRegParamNorm,AverageAction,AveragePolicySurr
48,139.369224238,18.6826401108,90.2324844458,8.88985401493,7.66973,112.354206093,0.236282,7.67297002768,7.67297002768,120.026208856,142.492378246,160.16244515,0.313659779506,18.9481,48,7.67001,177.469715286,64.8598,1.0,-7.72031
49,139.12687361,21.2929819528,67.8764647149,10.1504063671,7.50737,111.029203977,0.220314,7.50930332597,7.50932297064,119.81281574,145.822427674,162.875289343,0.298904696009,18.9481,49,7.50761,176.050421649,65.6191,1.0,-7.55197
50,139.707335253,15.7889986241,114.926795049,9.87811991898,7.34238,110.74124672,0.234312,7.34661695417,7.34664898297,120.257546021,146.3709176,160.158306973,0.303686722114,18.9481,50,7.34271,181.263073872,66.5904,1.0,-7.38895
51,138.574613749,18.5546209843,75.7793061803,9.63899123263,7.227,114.910484075,0.215977,7.22895370155,7.22895731259,119.39879797,144.052270566,161.161616036,0.285384396503,18.9481,51,7.22738,175.695271118,67.5698,1.0,-7.26827
52,139.093860142,24.159749023,72.7691715926,9.63636763465,7.2011,112.322985106,0.18977,7.20367619848,7.20374498787,119.814724526,146.414967326,158.445928717,0.276223493272,18.9481,52,7.2015,200.735641024,68.4431,1.0,-7.24953
53,138.879610181,22.0714494557,77.3251819345,9.95580859025,7.16235,110.783522067,0.203896,7.16454551894,7.16454979813,119.638651043,143.140859334,160.026296835,0.276438011052,18.9481,53,7.16261,195.572250864,69.4599,1.0,-7.21276
54,139.144712753,18.3001471132,96.7713781145,9.37011776793,7.1267,112.37509543,0.19863,7.12860732793,7.12860732793,119.824419335,144.904837052,162.261041719,0.271042637832,18.9481,54,7.12694,173.672319394,70.4408,1.0,-7.18657
55,138.131109002,28.0492833755,19.1677967353,9.88433942836,7.13196,107.55784727,0.203518,7.13468315429,7.13474669311,119.07665926,139.923195519,158.001711084,0.271711327228,18.9481,55,7.13218,179.911878986,71.3461,1.0,-7.19597
56,138.790144978,17.6645075041,75.9568680562,10.3404708962,7.16473,110.891258205,0.220648,7.16647870323,7.16654224206,119.564121281,150.175954234,158.356877245,0.274494325876,18.9481,56,7.1649,181.964417198,72.3544,1.0,-7.2385
57,139.213478617,19.7608050398,75.8752480059,9.00193706396,7.17588,115.168887384,0.185302,7.17820355668,7.17852981206,119.879761051,144.073441765,157.713947564,0.260650483527,18.9481,57,7.176,174.741648002,73.3251,1.0,-7.25799
58,139.41905582,23.3057461728,60.0666186221,9.24287987045,7.19886,112.312064598,0.221943,7.20094991465,7.20115007039,120.043645821,141.69205288,161.678691741,0.27129490078,18.9481,58,7.1994,188.784825025,74.2488,1.0,-7.28363
59,139.741166352,23.8055682869,53.2021228503,9.46585168961,7.21307,112.023120872,0.207593,7.21527414128,7.21535251904,120.277578685,144.155352532,160.115489499,0.263973388871,18.9481,59,7.21338,192.032809651,75.2979,1.0,-7.29813
60,138.701199282,16.451654943,107.953088199,10.1772158532,7.28248,113.194790861,0.198986,7.28399162445,7.28404074296,119.506275544,147.662539139,161.144108265,0.263542011513,18.9481,60,7.28305,172.006769356,76.2315,1.0,-7.36628
61,139.59807338,21.3612000142,72.2347234116,9.62216547567,7.30514,115.101654147,0.203432,7.30764421936,7.30776021249,120.188862748,147.709056149,163.098185423,0.271106342713,18.9481,61,7.30547,180.775259319,77.1587,1.0,-7.39791
62,139.477860544,26.8376750103,70.3439164291,9.29927813541,7.33787,110.25326125,0.191763,7.34016677579,7.34027344775,120.105527322,144.527417429,160.663478323,0.268203532366,18.9481,62,7.33861,184.187662129,78.1091,1.0,-7.42984
63,139.785779417,28.5203905032,14.7060878583,9.55174308416,7.38596,110.890723064,0.202652,7.3883611942,7.38841132734,120.320967069,142.559101467,160.2932954,0.269609108457,18.9481,63,7.38626,180.68350756,79.001,1.0,-7.47473
64,138.571361214,24.5986848242,41.4130426936,9.97605414924,7.41892,114.881903387,0.193404,7.42143730193,7.42144422971,119.40128143,144.843347917,161.144137932,0.26558656947,18.9481,64,7.41928,194.386899708,80.019,1.0,-7.49981
65,140.109455404,21.4794391773,72.9620216854,8.84244077793,7.38242,112.79266231,0.220113,7.38520138062,7.38522606061,120.578592626,142.045386195,158.723480647,0.272514063385,18.9481,65,7.38291,166.71195757,80.9316,1.0,-7.46847
66,140.40295636,19.4553695679,79.7873318019,9.45044219541,7.43481,112.157409713,0.186013,7.43731341875,7.43734604956,120.790093055,151.108032172,162.554465252,0.26115423835,18.9481,66,7.43523,186.278045596,81.8213,1.0,-7.52281
67,139.20134254,20.2206160439,100.852320965,9.35485408527,7.44158,112.472944992,0.205031,7.44445725508,7.44447177558,119.886218014,148.295711623,159.125757752,0.268060692452,18.9481,67,7.44223,194.877295637,82.6642,1.0,-7.51771
68,139.319516592,23.7555438703,73.7875576339,9.54960932362,7.41511,112.351034296,0.205044,7.41869002343,7.41874427141,119.965880438,143.958519708,160.661401362,0.267047817865,18.9481,68,7.41547,198.045827328,83.4937,1.0,-7.49313
