Iteration,AverageAbsQ,Epoch,AverageEsReturn,AverageAction,AveragePolicySurr,AverageQ,StdEsReturn,PolicyRegParamNorm,MinEsReturn,AverageReturn,MinReturn,AverageY,AverageAbsY,AverageAbsQYDiff,StdReturn,QFunRegParamNorm,AverageQLoss,MaxReturn,AverageDiscountedReturn,MaxEsReturn
29,29.1509,29,289.072422459,0.536867,-31.5175,29.1312,113.700304653,23.3892,62.7294650201,372.996200407,355.530108108,29.1358753238,29.1393898202,0.916635703232,6.97741102309,30.9745,4.39016,379.605763489,179.515952198,398.97821528
30,31.2341,30,246.469712609,0.543296,-33.6403,31.2113,107.511284175,24.0476,38.9247352402,525.072034377,390.799232748,31.217537615,31.2208762291,0.993258036838,29.9883379763,31.9282,5.19201,598.874787084,210.637617038,381.288997964
31,33.3378,31,235.094030068,0.564541,-35.7983,33.3162,99.8536613802,24.6276,51.1135810965,370.852231085,323.057271364,33.3224571583,33.325417619,1.04617872442,15.2817895413,32.8773,5.61335,385.085292307,179.057726091,392.633593496
32,35.3939,32,287.60769224,0.450459,-37.8428,35.3684,171.662222623,25.2137,8.51114637436,394.531366342,371.614007326,35.375102738,35.3780564694,1.08677393108,8.88745665304,33.8147,6.09654,423.664256526,180.5779235,592.252718684
33,37.5643,33,196.909251543,0.617585,-40.0944,37.5368,110.772022284,25.9124,17.730047564,371.755177738,350.465639324,37.5442732213,37.5501301438,1.1618423636,6.79417188562,34.7596,6.63435,379.228665857,178.489251043,384.890793925
34,39.6533,34,256.872939738,0.547101,-42.1741,39.6257,131.893154786,26.5578,54.0497057822,447.827240776,323.62421657,39.6335995595,39.6367384577,1.22765387483,119.938892835,35.6764,7.74197,590.476464816,186.117375187,423.43652518
35,41.6752,35,237.86198784,0.514778,-44.2367,41.6447,87.4361707057,27.1379,70.3727211768,371.567301164,357.873734824,41.6513968596,41.654961749,1.28184973742,3.44406213851,36.5798,8.58555,376.736145585,178.034770322,359.470737814
36,43.7812,36,262.495123423,0.437197,-46.3761,43.7464,115.676677333,27.7002,36.2701619687,281.555250871,261.694772348,43.7551931002,43.7584746846,1.34205954989,22.1634321373,37.3951,8.80816,335.401400154,150.740404844,404.981673756
37,45.8129,37,229.007959098,0.461813,-48.4922,45.7799,94.0059511113,28.2418,79.2340657977,380.545453072,329.457502408,45.7879050805,45.7906150276,1.42229588643,13.526262144,38.2739,9.64009,461.760381938,181.418518213,389.202326206
38,48.0558,38,263.896890102,0.445688,-50.8389,48.0216,139.834428671,28.5759,15.7948947045,364.370380061,287.852355274,48.0297076809,48.0332894672,1.42645091339,20.9347218064,39.0952,9.3606,395.535065118,176.713814293,485.043701145
39,50.3102,39,214.751917051,0.412959,-53.1448,50.2677,139.478417716,28.8864,7.02541382139,362.757066974,278.40324297,50.2751374114,50.2793180333,1.52052942441,32.8230711294,39.9421,10.4061,404.499339521,171.002040598,392.260809469
40,52.6697,40,260.975345444,0.526291,-55.6004,52.6253,231.693946124,29.2736,12.4535780934,155.521069484,150.713840932,52.6337337524,52.638014561,1.60809056593,3.49779455558,40.7607,11.9339,165.998531843,104.687748317,626.914839634
41,55.0583,41,243.053275447,0.384942,-58.0596,55.0132,123.687167085,29.6107,25.5320853961,373.370185372,310.64616153,55.0218893713,55.0277643035,1.61778465625,28.7473628215,41.4772,11.5581,432.999036972,177.277985958,423.234946576
42,57.285,42,182.761054997,0.462924,-60.3644,57.2331,117.079456926,30.023,10.20841261,418.284097991,363.159460404,57.242327385,57.2483190061,1.78011201733,22.6238634058,42.2911,14.9124,488.332356965,191.40280482,377.730554539
43,59.5992,43,229.87412898,0.477758,-62.7539,59.5468,112.399827837,30.4102,21.7614831756,491.634634839,472.328550972,59.5565438239,59.5611363751,1.8020457681,13.8849253875,43.0634,14.2289,558.677078376,203.6009998,391.26372053
44,62.1425,44,236.595981095,0.43994,-65.3814,62.089,168.05670952,30.7984,8.60415170085,487.8597698,425.432143682,62.0989204047,62.1036903132,1.85681052442,17.0596594472,43.8061,15.4785,512.707635823,197.188354384,455.360370865
45,64.6972,45,265.852547281,0.480647,-68.0353,64.6384,165.831124266,31.2623,9.17813860574,454.607180043,376.231711685,64.6462290722,64.6525478226,1.88928656073,30.6983124031,44.5911,16.3738,513.927721727,199.468040962,449.900487994
