MaxEsReturn,AveragePolicySurr,AverageY,Iteration,AverageQ,PolicyRegParamNorm,AverageDiscountedReturn,AverageAction,AverageReturn,StdEsReturn,MinReturn,AverageAbsY,AverageEsReturn,MinEsReturn,AverageAbsQYDiff,Epoch,MaxReturn,AverageAbsQ,AverageQLoss,StdReturn,QFunRegParamNorm
197.023800193,-32.886,31.1028101758,30,31.0982,29.3462,121.414988717,0.52826,195.32464972,55.2882520039,183.561876936,31.1073850876,148.99075719,29.5699964857,0.725076396875,30,227.402866126,31.1168,2.75278,8.6154128178,33.3046
212.894437728,-34.6569,32.8002885584,31,32.7953,29.8575,119.083123732,0.534622,190.325801759,40.404178534,122.458554701,32.8069525646,170.148922843,91.896596501,0.786306850205,31,201.336371724,32.819,3.2394,7.91591611932,34.0853
249.819439147,-36.4111,34.5000082701,32,34.4961,30.3205,153.570432742,0.296663,318.276205795,85.8799750523,315.328880375,34.5044399078,147.477012365,8.9090450687,0.830236003787,32,321.23062138,34.5214,3.99937,1.27385416811,34.8598
312.395099877,-38.2923,36.2548699822,33,36.2501,30.788,158.018711917,0.295047,310.825621611,97.8702659785,299.416023327,36.2608380845,175.878996867,41.7417574172,0.871279669491,33,316.67398149,36.2742,3.84899,2.66850450001,35.5084
313.537768892,-40.3111,38.1904827858,34,38.1845,31.1812,159.9722352,0.436832,309.523421031,84.3975670274,303.413210821,38.1983412057,217.887346293,57.0128282719,0.940426491998,34,314.708474564,38.2108,4.93249,2.66360752194,36.2356
261.67216317,-42.3981,40.1870169921,35,40.1816,31.5681,144.059729499,0.410103,250.119230415,56.1467932342,241.328256097,40.1930973072,174.897489047,80.8262396773,0.969607976135,35,258.974544196,40.2095,4.99817,2.98700017728,36.8964
315.866362945,-44.6134,42.3780129023,36,42.372,31.9253,153.68746689,0.483343,282.168369557,87.6346042649,268.12560677,42.3855332435,205.969428898,5.71201381867,1.03395824673,36,289.513418597,42.405,6.07435,3.53691983392,37.4967
309.096307821,-46.6193,44.2838195513,37,44.2801,32.3,150.372983414,0.488135,271.301394955,86.3496893036,267.761387581,44.2916940217,198.21482187,16.6413506637,1.0915210225,37,277.013302491,44.3096,7.09623,2.14882620848,38.1515
310.298544222,-48.715,46.336016222,38,46.3288,32.6432,142.08888071,0.401619,262.330110217,90.7923402271,180.466949303,46.3434846045,169.335562709,37.3699876149,1.17171715729,38,273.995812083,46.3581,7.34623,10.6961182587,38.8611
353.126750612,-50.7936,48.3549854947,39,48.3493,33.0874,135.567596234,0.417099,242.786923089,109.170395201,220.354607105,48.3624150175,182.777939331,30.2605034291,1.23890541709,39,269.624627404,48.3815,9.2761,13.195111774,39.5857
305.458424333,-52.8549,50.4163809563,40,50.4106,33.4353,95.6641931469,0.443049,139.376266945,94.6211698841,134.687321518,50.4235918353,188.925144271,39.0714224029,1.21817365164,40,146.285604845,50.4408,8.49774,2.4314062891,40.2771
295.588608408,-54.7539,52.2531573414,41,52.2478,33.8563,159.286216843,0.524336,317.862259257,72.7304442308,123.898781952,52.2618126857,184.599515693,75.8140567779,1.25518181868,41,474.596830142,52.2807,9.35396,74.24771003,40.9637
631.577955435,-56.7806,54.2568550762,42,54.2507,34.219,146.14693387,0.427845,273.489883625,156.248811994,250.481485508,54.263556277,175.162246851,8.35744043942,1.3016134488,42,326.487014499,54.2905,10.2262,16.8690716672,41.5981
325.84205453,-58.8621,56.3033660039,43,56.2982,34.6273,156.168254665,0.433318,313.296368621,104.473216309,273.341680718,56.3093018413,202.390191782,30.4208351457,1.30990323377,43,338.09722558,56.3335,10.2647,17.9491555131,42.3132
371.250059798,-61.0062,58.2966660161,44,58.2887,34.9805,182.455000816,0.531604,371.528881688,125.395752336,359.203379911,58.3047253505,208.939998414,14.6797187101,1.40153421798,44,381.656432174,58.3289,11.1608,3.55944777569,42.9818
349.250928784,-63.2867,60.5531680976,45,60.5491,35.3586,182.37841311,0.54512,367.913143351,120.694278859,349.844562714,60.561978972,224.945562851,47.4202456145,1.46261854189,45,378.522721861,60.5873,12.855,6.94441487351,43.6367
367.806740385,-65.5532,62.7886989505,46,62.7763,35.7526,178.849111405,0.536801,358.274063241,113.115537054,318.373663138,62.7949909359,176.178262265,45.0092057281,1.4704227156,46,369.834573189,62.8169,13.4516,9.65726413055,44.3734
355.898948311,-67.5123,64.7713970959,47,64.7678,36.1349,181.204786973,0.599517,368.224022006,121.764336401,358.654819813,64.780611323,216.068862911,33.7433798116,1.45181106729,47,381.787313291,64.8128,11.7166,3.75681880258,45.0424
355.722834574,-69.4856,66.6329231889,48,66.6257,36.3669,180.031010712,0.584742,362.106303344,111.863557848,348.250346339,66.6446438264,221.453313927,63.9730282134,1.58830341706,48,367.162167795,66.6782,14.3376,2.96681802756,45.7125
398.317301158,-71.6401,68.7677994106,49,68.7612,36.7701,181.246831592,0.571585,362.545096801,133.203606533,356.858810101,68.7810115768,257.026105332,30.1491237463,1.63366667092,49,367.594163742,68.8179,15.9545,2.12344945295,46.3303
364.679056536,-73.9266,71.0454880748,50,71.0351,37.0571,184.255801176,0.593996,373.509946313,126.962155284,366.114360063,71.0654177484,252.714678551,5.35384778993,1.67228279649,50,378.752638959,71.0952,16.2109,2.85512929995,46.9709
533.903589565,-76.0077,73.088351452,51,73.082,37.4074,177.562154816,0.550505,350.250474232,158.867287375,342.472379818,73.1043644299,267.663760329,13.2077617612,1.73230885162,51,363.228986513,73.1449,16.4098,3.72529330582,47.6268
318.578641728,-78.2752,75.3309254727,52,75.3235,37.7051,176.238891998,0.559714,350.841574029,100.887845423,342.220705711,75.3453756208,224.469501671,22.6006440374,1.75157199336,52,357.983110507,75.3893,17.5769,3.09811505204,48.2646
533.375531418,-80.6055,77.5909020469,53,77.5828,37.9784,179.799268833,0.552228,356.026014817,148.46412673,350.114490328,77.6091264323,182.991762689,5.3914051287,1.78397077184,53,360.814782695,77.6491,16.7094,2.29362308802,48.885
376.137070645,-82.7271,79.6479474613,54,79.6386,38.2401,178.148932798,0.543575,351.375515543,119.701876025,348.00708761,79.662909496,238.006442217,16.9738507119,1.83376182278,54,354.792977634,79.706,18.4948,1.6024878366,49.4947
403.301651386,-84.9507,81.8582549018,55,81.8458,38.5123,181.038243644,0.589438,365.917361678,125.344782383,359.689482982,81.875330056,249.590149172,18.4825154875,1.94512577846,55,371.93278126,81.9124,21.3941,2.68268252084,50.0783
334.204725492,-87.3085,84.1896054792,56,84.1813,38.8141,173.440352726,0.522323,337.677295835,121.98172822,327.516248321,84.2049698335,148.707559583,15.1433645344,1.9470319101,56,351.945513067,84.2379,20.3272,6.05534547363,50.6621
412.736446471,-89.0805,85.8931904277,57,85.8814,39.0391,178.610000586,0.5439,357.462296742,129.707119264,348.650315797,85.9086073034,220.851238817,26.1318192243,2.02034575169,57,362.802085031,85.9599,23.82,3.33222477614,51.2862
374.4041182,-91.3717,88.1806296279,58,88.1715,39.2751,171.70591153,0.602117,344.734311531,135.99183317,296.505254024,88.2011842619,224.340455431,32.7447359501,1.96468821749,58,361.444211914,88.2519,21.1687,14.0458672773,51.8923
365.112408518,-93.4266,90.1938437731,59,90.1873,39.5423,172.896811227,0.531722,346.35490602,127.029588809,310.954106359,90.2189515156,249.037293105,48.6880419905,2.07028911831,59,357.732999054,90.2701,25.3172,8.20430010946,52.4092
365.882445096,-95.6258,92.3366141717,60,92.3243,39.8487,175.150789321,0.655305,358.688696147,120.188968595,342.413184096,92.3598770162,210.943248194,18.8080628234,2.09200502065,60,363.471187727,92.4032,23.4018,3.61782018678,53.0796
371.774481375,-97.9818,94.6065817186,61,94.5991,40.1259,175.039230925,0.586832,351.896989838,133.940501924,346.776286521,94.6240134584,224.574367469,3.30309420737,2.1797707496,61,361.074642055,94.6736,26.4442,2.80613552747,53.7404
370.027907958,-100.095,96.6885221068,62,96.6796,40.4133,181.537431031,0.593755,365.183604187,119.587067343,358.659512342,96.6996137359,248.030345408,62.3657957976,2.24220144395,62,370.042068841,96.7494,27.8324,2.20101248244,54.3389
365.472320794,-102.094,98.6626578923,63,98.6485,40.7104,179.639965797,0.565903,359.127786733,128.776354919,351.052620668,98.6725125672,196.32618949,13.0710494742,2.25281224683,63,374.197150564,98.7185,29.9063,4.54333534203,54.9261
378.994802549,-104.113,100.686833959,64,100.673,40.9207,186.983615805,0.63867,388.609004321,104.017967198,369.163899939,100.694850223,272.390107823,64.6772344686,2.29711095395,64,400.02275496,100.743,27.2833,8.32093223811,55.5185
394.493526418,-106.457,102.981729126,65,102.969,41.1496,182.670573753,0.589219,367.982555677,114.904668931,347.265018536,102.990927563,268.0190865,91.9665700465,2.34236291559,65,373.943290737,103.036,30.2053,5.52400000908,56.0191
313.164790515,-108.802,105.321717219,66,105.312,41.3742,171.987619038,0.61092,333.69942216,54.216060495,324.310675633,105.329329878,208.051603686,86.3027551973,2.42792186622,66,344.570941169,105.376,33.7635,4.50980565741,56.5944
370.10710265,-110.751,107.335923001,67,107.322,41.6527,181.996053189,0.537986,370.391703516,120.031823785,366.150310475,107.341614154,214.790898656,25.4334164108,2.43100932384,67,380.101254659,107.391,33.3528,3.1184773782,57.1459
399.355175171,-112.911,109.371673506,68,109.358,41.9391,175.713956821,0.587062,345.785011742,144.602210182,331.004112815,109.378479421,171.105549952,11.0153624511,2.38233110776,68,364.84644205,109.427,31.2076,9.96394879743,57.6907
378.00877387,-114.89,111.373037174,69,111.367,42.1348,178.91182752,0.536912,360.302080715,114.274958768,357.005984247,111.378371757,165.875049028,13.1866645426,2.40268652439,69,363.555437478,111.429,32.1976,1.49609127465,58.1781
405.676363129,-116.625,112.992278255,70,112.98,42.4005,167.949497925,0.529638,325.209571729,84.2097424543,313.920053918,112.998150237,262.74726398,75.6358787095,2.41195233129,70,331.949024777,113.048,30.6134,3.78345618219,58.6991
350.674870655,-118.971,115.327861901,71,115.314,42.6502,184.177402281,0.474651,383.718183555,110.892876259,378.442762592,115.333398699,230.456760329,12.8388765449,2.48997506318,71,388.298329978,115.386,33.5816,2.64327804235,59.2787
388.007296864,-121.089,117.37429496,72,117.365,42.8385,179.314428664,0.495225,362.060307878,118.823000281,355.833123217,117.380533641,233.535977956,67.4472050038,2.66290300818,72,368.716776909,117.439,40.8284,2.7573756559,59.7692
397.984548327,-123.426,119.745143785,73,119.729,43.0649,190.174452368,0.501924,405.286086878,117.990238014,401.011081453,119.753521873,281.767739712,43.2731587852,2.56125281075,73,407.939567753,119.804,36.171,1.57551514186,60.2762
380.215987315,-124.985,121.295479527,74,121.285,43.261,181.634408639,0.538865,373.000107539,128.600521193,368.743991216,121.301649048,270.580917336,37.2330174813,2.68054937153,74,378.219254349,121.358,41.3555,2.04574119556,60.7785
378.696437861,-127.082,123.263449341,75,123.25,43.4689,179.462772161,0.54917,358.985455955,133.812400138,352.610160485,123.268927621,199.424025561,20.0659443159,2.65094571284,75,365.183223379,123.321,38.6375,2.94362469976,61.268
393.68648382,-129.253,125.433672258,76,125.421,43.7339,193.569784724,0.543981,420.200456121,110.784306923,414.425011382,125.44031034,252.537665581,48.9281640609,2.68198189907,76,440.776685078,125.498,39.8492,4.88152581967,61.7847
411.485863041,-131.157,127.34696524,77,127.331,43.9304,186.787443655,0.577101,383.701763524,132.533138166,363.075381693,127.354078287,139.515254501,8.16262052716,2.69627964316,77,402.532390438,127.426,43.1338,12.6165541996,62.1668
472.130143406,-132.93,129.031346395,78,129.023,44.131,192.321727395,0.55369,402.619194001,161.994059855,395.611238191,129.038462259,234.50971492,17.320087423,2.76799567355,78,413.089742564,129.116,44.2885,2.49381000151,62.5847
325.560847438,-134.995,131.115485169,79,131.1,44.3339,185.092488277,0.587407,375.212864224,96.854350543,364.576419694,131.121541307,180.082345962,16.7806170845,2.75369309701,79,392.99361128,131.184,41.2543,6.10697333729,63.0463
421.96575623,-136.539,132.599346156,80,132.588,44.5398,177.387716551,0.640461,409.460389196,116.497140718,362.067363885,132.605081482,260.362661569,45.1411963992,2.89205431682,80,494.356969979,132.683,47.96,45.6230011681,63.455
601.384454413,-138.618,134.642986196,81,134.637,44.7126,169.815431082,0.647552,345.971849928,182.036017505,222.049274406,134.653270489,232.485474347,65.1778144904,2.88055856545,81,435.610439641,134.735,49.3179,41.4339442263,63.8847
619.058410519,-140.808,136.746376979,82,136.721,44.9692,196.388454931,0.541845,425.319205541,191.17645438,418.140252258,136.757466464,280.382448401,34.9125596036,3.04830065926,82,430.470103505,136.818,53.053,2.78394233992,64.3598
571.092997568,-142.718,138.547145821,83,138.532,45.2062,176.562956387,0.608705,349.5832159,171.625132882,326.819291748,138.556350056,248.360740015,11.2384976695,2.9993232048,83,381.47258211,138.639,50.0182,17.6871824023,64.7822
605.684775942,-144.985,140.816234056,84,140.801,45.4139,197.436342068,0.644278,424.277336099,175.721421928,404.880934184,140.827221581,260.787114991,10.5859763657,3.03423410183,84,491.846437484,140.893,52.5482,9.69845701889,65.2106
391.076376368,-146.827,142.667175911,85,142.657,45.6009,181.790998772,0.614598,408.998320348,102.118700051,232.751534586,142.675977172,266.686011878,94.8786678532,3.03258917385,85,537.544200797,142.76,48.0405,44.2412600498,65.5869
604.295736036,-148.81,144.605206687,86,144.592,45.8114,196.805696937,0.68396,458.442241327,153.006875872,277.780032534,144.621277588,213.256548608,43.8998380912,3.06731357211,86,509.120032088,144.695,49.9027,45.1537153139,66.0197
364.272321547,-150.482,146.224055399,87,146.21,46.0341,189.651182182,0.625107,397.360195164,128.582677074,384.830883728,146.23741197,206.009209522,12.323866495,3.23406231344,87,455.829655463,146.313,57.2316,10.890704703,66.4307
387.197169117,-152.334,148.008467157,88,147.991,46.2527,196.649491813,0.589978,436.874126626,122.943947254,359.531541065,148.022292965,225.414019492,5.01532935637,3.36072354015,88,682.09846179,148.098,60.9442,70.7481777674,66.8716
528.478170628,-154.695,150.365854183,89,150.353,46.4782,201.058555313,0.669035,447.095473154,157.969180111,434.55039724,150.382731125,252.95104927,11.8848648168,3.13305986916,89,547.065305873,150.472,47.2947,16.5834929261,67.2912
448.047479742,-156.91,152.708771175,90,152.689,46.6014,142.017367734,0.734063,263.326568811,139.49476613,138.537459563,152.723007012,127.034562612,12.1762583905,3.31410556234,90,456.304129637,152.79,60.0438,97.9919078824,67.7365
559.235101351,-158.581,154.172491702,91,154.155,46.7842,169.710200056,0.718118,362.415482745,169.526829345,261.48928839,154.190805298,188.963063573,15.2250134737,3.45295833452,91,543.400206138,154.284,61.7417,72.2696853341,68.1394
549.415823375,-160.578,156.243949205,92,156.226,46.9205,133.120617874,0.652598,253.088899574,151.010622004,148.742147773,156.260888062,218.220212609,7.7678699828,3.41550940648,92,723.93285499,156.334,67.8642,143.153785131,68.5311
421.643384585,-162.795,158.388191095,93,158.378,47.0849,201.829493447,0.590568,516.116285695,142.804145112,223.800915659,158.413445906,185.970948332,10.6017150545,3.39224167628,93,771.546775512,158.513,64.9417,155.913257349,68.8801
455.427771553,-164.698,160.313563949,94,160.294,47.2665,202.899012512,0.631871,635.127255703,135.178514565,184.044692129,160.335506114,231.66192369,10.8004215741,3.44963326598,94,1172.0097876,160.425,65.7644,236.859738456,69.2779
438.624393975,-165.986,161.411543895,95,161.393,47.4276,162.814712561,0.721154,319.729796506,129.445906165,137.889927264,161.437719164,217.07543238,62.5193436036,3.52464443707,95,516.799969625,161.527,70.1849,88.3088596668,69.6614
700.669255557,-168.548,164.035031821,96,164.019,47.6175,178.210126641,0.686401,379.299463602,210.049998098,274.402808132,164.058815867,252.854725813,12.1244137558,3.5641490351,96,540.443056492,164.16,72.3576,90.3087212934,70.0124
660.756653834,-170.588,166.046219637,97,166.033,47.8056,190.599502982,0.655347,419.881079301,199.451640889,292.815070394,166.067493012,258.07381817,22.3839021041,3.60965617107,97,563.127534915,166.17,69.4693,89.3197872111,70.3648
431.136859035,-171.918,167.379133812,98,167.358,47.9792,229.444394791,0.676516,813.713511212,108.792510615,85.6490273575,167.403418222,146.495777089,16.659188458,3.73754086009,98,1152.58863632,167.493,77.7507,182.007369704,70.7579
796.7781959,-174.009,169.379330056,99,169.369,48.172,197.550156991,0.643953,473.822180768,231.691315617,289.351256636,169.405598571,336.786467861,6.81990013758,3.59214079418,99,698.727007719,169.515,70.8909,87.0827378214,71.061
562.348515099,-175.963,171.287854551,100,171.267,48.3634,176.882650218,0.706146,375.903834192,180.246064679,274.993410204,171.315381197,276.021781774,12.3015606852,3.73366853641,100,481.167811782,171.417,78.6161,57.7570170823,71.3926
734.171555801,-178.035,173.382587628,101,173.368,48.5284,232.661475831,0.587738,691.831404866,249.384242565,458.974222624,173.407084596,327.914473129,7.7166844626,3.8426830477,101,1143.43509193,173.512,79.4965,106.580732608,71.8165
551.293849646,-179.83,175.310825087,102,175.295,48.7207,229.06480592,0.667437,937.246307189,170.603571295,296.428675473,175.339146343,228.131125443,12.0028024044,3.71722667126,102,1558.7873667,175.428,80.9057,341.187514625,72.1515
579.886359426,-181.465,176.863915635,103,176.844,48.8838,200.431554522,0.619999,478.815458684,162.738541316,129.399827591,176.887208968,289.998540158,86.3142771354,3.74423422642,103,649.127333583,176.981,80.5374,148.683314397,72.49
585.519398117,-183.243,178.644465895,104,178.635,48.993,193.319210526,0.642101,438.40437729,192.490150232,129.852036878,178.671950047,234.732117613,12.56268197,3.86908168236,104,655.440268853,178.774,89.4675,144.384860891,72.8392
546.588768313,-184.545,179.902326575,105,179.884,49.129,222.203177949,0.647874,542.993102192,158.696697019,226.047459602,179.937570588,263.009321152,18.218405689,3.87060112841,105,631.336109983,180.043,85.4704,110.816340045,73.2354
578.555950723,-186.607,181.994121776,106,181.975,49.2396,224.395873276,0.598903,594.955671885,197.444894278,398.068707412,182.026004529,189.750750115,13.6216945114,3.95700570538,106,692.574598724,182.112,89.4984,85.0074584801,73.6043
416.857022604,-188.083,183.344839175,107,183.333,49.3966,235.246268501,0.693597,1106.48476163,136.72146488,243.811559822,183.369199227,233.691281878,15.7184748761,4.00003899343,107,1518.85359108,183.488,93.5533,326.81720929,73.8796
816.077639095,-190.105,185.302136784,108,185.283,49.5435,224.148318741,0.616391,689.476268755,177.532679717,198.690567207,185.326662066,303.725360677,141.051115925,3.92463669947,108,1423.93381708,185.434,89.6205,216.586921014,74.2313
498.312624167,-191.809,186.971762354,109,186.954,49.6499,122.453730727,0.67878,211.597400888,158.160651231,190.812364176,186.992397757,255.474600729,21.271499285,3.94095921634,109,493.478044333,187.095,84.984,32.3493729652,74.6221
453.469853388,-193.854,188.879715308,110,188.865,49.7807,196.308076184,0.62519,859.008049868,144.386797205,210.970905566,188.90612509,207.155078148,11.2261634855,4.0554231737,110,2668.6269065,189.009,93.242,542.789142152,75.0035
981.541779629,-195.767,190.733203277,111,190.718,49.9504,135.260499239,0.654454,311.665602107,336.325676268,166.336350313,190.75868732,437.113711396,60.0907468217,4.18971521473,111,1044.32334906,190.859,101.752,249.616694743,75.3674
825.298456416,-197.285,192.354826727,112,192.338,50.0793,208.362544222,0.688534,1032.41343082,242.07375945,527.363038417,192.386610172,260.028924825,15.994628171,4.19197649486,112,1677.23288962,192.495,96.9662,409.76953141,75.7025
498.12002332,-199.423,194.283102804,113,194.259,50.2078,146.464027371,0.659622,499.123974997,124.416842456,188.272675315,194.315818874,249.186645234,14.2742553949,4.10270398651,113,2078.73829471,194.425,96.8703,521.935422108,76.0234
898.820218473,-201.338,196.234425377,114,196.221,50.3499,201.92064048,0.696923,908.408917695,249.498181326,392.143339457,196.262219603,212.652274021,7.96970333725,4.23900224835,114,3119.2151856,196.385,94.5382,750.424628789,76.3168
741.92615202,-203.029,197.983243248,115,197.968,50.5254,251.741518897,0.685016,1054.6785936,253.833594566,772.979585258,198.01874528,385.121266316,114.900839604,4.25784819664,115,1893.50034745,198.125,107.506,266.491740009,76.6752
642.312531381,-204.673,199.559942526,116,199.54,50.701,133.328645396,0.724425,244.87636611,165.74829445,216.964144364,199.602131836,266.00693239,55.5099679625,4.36980827324,116,1004.91762682,199.733,107.013,83.4926316182,77.0199
687.02174274,-206.785,201.748481085,117,201.73,50.866,213.692761839,0.72047,1383.31577779,169.611397506,230.610467675,201.780815805,297.771786205,151.814882062,4.38912816768,117,3361.44451331,201.89,110.374,834.446447178,77.3434
744.79200777,-208.133,203.022583035,118,203.007,50.9614,242.974032075,0.60092,798.974432659,199.360747028,581.471469679,203.071147167,223.012401761,10.5185617044,4.45710641054,118,1232.35472637,203.183,117.172,132.252888775,77.7417
1037.73812326,-209.768,204.578240435,119,204.555,51.1239,169.579716086,0.665124,449.224192236,280.355125891,235.02011257,204.611827872,242.561114392,7.11354314737,4.28291615916,119,1434.76626472,204.708,99.3111,314.398070867,78.1251
709.094691706,-211.77,206.672645595,120,206.653,51.2478,217.119996467,0.616156,882.899150752,281.030373552,259.677387582,206.715817725,281.327837321,11.6247254717,4.59657615547,120,1484.35546783,206.83,121.494,370.69452493,78.5294
971.384154645,-213.469,208.312352289,121,208.296,51.3998,225.391993965,0.633279,857.742381128,332.390268614,411.370916622,208.352945155,315.182819605,11.7201081349,4.5744927831,121,1204.7034734,208.492,118.714,241.254179721,78.8697
693.874291139,-214.592,209.362699375,122,209.333,51.519,241.766881813,0.620163,901.412100147,238.776045157,669.797544071,209.396660503,339.66080792,6.38898506081,4.59381872137,122,1160.25998372,209.488,120.76,160.498672398,79.25
704.014527714,-216.774,211.641168043,123,211.623,51.6599,214.908276578,0.571838,698.289265102,229.0584548,354.590085558,211.670981905,274.040648272,20.1436777135,4.72392471835,123,872.378795595,211.785,128.995,186.488595961,79.6502
1217.60672629,-218.055,212.981786899,124,212.969,51.8344,223.125899431,0.637955,941.399116683,399.984519777,274.348256736,213.01829356,332.716399769,8.22108314945,4.53492232747,124,2316.72771293,213.121,116.184,466.525799431,80.0583
638.993461377,-219.798,214.675840366,125,214.648,51.9755,213.3263613,0.664783,747.436328027,158.628062338,246.985024922,214.722823835,305.620178073,22.7541715736,4.67113113276,125,1009.79777328,214.82,125.123,194.542684735,80.5132
411.009162746,-221.313,216.1153567,126,216.097,52.0688,225.092953113,0.61794,723.857704371,158.105749305,217.140617261,216.156465065,199.948961009,12.6999626354,4.643013308,126,1136.88742181,216.273,119.839,251.000292512,80.8884
675.189082696,-223.399,218.241681283,127,218.226,52.1997,196.126014948,0.651799,678.549821245,197.306132168,188.232570105,218.282097677,192.562508602,8.19170425244,4.64552430218,127,1605.32108287,218.397,121.671,336.643416092,81.2686
