AverageQ,StdEsReturn,AverageDiscountedReturn,MinEsReturn,AverageAction,AverageEsReturn,AverageAbsQYDiff,MaxReturn,Epoch,AverageQLoss,AveragePolicySurr,MinReturn,PolicyRegParamNorm,AverageAbsQ,StdReturn,AverageY,AverageReturn,MaxEsReturn,QFunRegParamNorm,Iteration,AverageAbsY
6.57472,0.0,-4.18571854657,-3.16719744713,0.423502,-3.16719744713,0.285969943275,-42.2677586468,41,1.70199,-7.0175,-42.3198117688,26.238,6.98403,0.0150272284008,6.57556737922,-42.3078111254,-3.16719744713,87.1275,41,6.95977262744
7.00606,60.1009699009,-5.74080062593,-52.8270630621,0.584296,49.6933358728,0.314892622521,-58.2797782581,42,2.03003,-7.46014,-58.4320255562,26.3925,7.43431,0.0492242361858,7.00686849471,-58.3711909048,94.1057276278,87.4982,42,7.41055915239
7.6144,34.145202931,38.916663253,-5.85327674937,0.672185,77.6288437148,0.30281466123,94.5656999335,43,1.58803,-8.11931,91.5127660346,26.5862,8.06213,0.947314006823,7.6149968943,94.0098244596,94.4808688231,88.1866,43,8.03906984883
8.38608,3.04848303918,30.4766355406,87.0891492669,0.478828,92.8077468203,0.324954242024,95.3418678804,44,1.92475,-8.94964,85.3309100954,26.8389,8.85451,2.49262941086,8.38807571572,93.5274048931,97.8489470828,88.9301,44,8.8331213492
9.34166,2.46667171165,14.6985979045,90.1250150942,0.988482,93.6796788982,0.355772100562,88.7805979826,45,2.77927,-9.94941,-99.8999919653,27.3256,9.78813,70.2381896582,9.34607384108,53.4060356408,99.6641441076,89.6575,45,9.77102792936
10.175,2.85976101069,43.8092922019,88.4071985826,0.770851,91.6720962568,0.355615945224,94.4510872666,46,2.43007,-10.8411,92.8301339,27.604,10.6111,0.269709811824,10.1782004108,94.2243708572,94.9690583398,90.5772,46,10.5974477853
11.3633,1.82337260419,36.5306869864,89.9817566495,0.606602,93.4621796914,0.39694532326,94.7835525068,47,2.68563,-12.096,89.7613807634,27.8594,11.7757,1.46213938924,11.3674788091,93.8390098651,96.362589506,91.597,47,11.7547399164
12.4272,2.73240603256,35.4060313581,89.3559989962,0.57426,93.2968377265,0.446096338401,94.8577931203,48,3.99868,-13.2305,90.4200082387,28.1565,12.7881,1.29821270919,12.4309944525,93.8947144897,99.3908149157,93.1096,48,12.7586851456
13.7131,2.42155412712,25.7363544379,89.3356817476,0.428128,93.7094830168,0.439123010379,95.2103384135,49,3.31857,-14.5718,82.7104466064,28.3959,14.0327,3.14698080148,13.7179479045,92.6118429097,98.6845192513,94.6449,49,13.9985455353
14.9116,2.06309501269,16.3541880574,90.4470712978,0.379773,93.6347832623,0.463363923372,94.9440415068,50,3.46896,-15.8092,85.0507570779,28.5348,15.1836,2.93604388675,14.9143245422,91.6942854808,97.8121600999,95.9222,50,15.1460971113
