MinReturn,StdReturn,AverageEsReturn,MaxReturn,AverageQLoss,AverageAbsY,AverageAbsQ,Epoch,QFunRegParamNorm,MaxEsReturn,AverageY,AverageQ,AverageDiscountedReturn,Iteration,AverageReturn,PolicyRegParamNorm,AverageAbsQYDiff,MinEsReturn,AveragePolicySurr,StdEsReturn,AverageAction
226.313614704,300.31374837,273.076684521,1791.79685094,15.1683,61.6238900786,61.6526,43,44.887,414.176877221,61.5791437416,61.5694,181.4723015,43,465.821977643,31.7703,1.71604007355,49.6570797779,-63.8124,115.66474118,0.634179
293.367235149,21.3522342003,257.767519694,392.418370426,15.0255,63.728618641,63.7649,44,45.6221,384.92485174,63.6813203013,63.6708,177.86489616,44,366.756788643,32.1166,1.71846708826,78.4722935506,-66.0238,100.346408002,0.670615
367.000401784,6.17996013381,253.765661762,389.421173539,17.6645,65.8822693682,65.9192,45,46.3904,366.914668397,65.8437920896,65.8353,181.227256104,45,375.866828943,32.5115,1.79042228642,34.7099699935,-68.2011,115.295632532,0.681202
360.051564446,6.43407266854,265.771725605,401.188025894,18.2995,67.9750855898,68.0076,46,47.0364,438.131080088,67.9406040682,67.9282,180.347615869,46,375.256873641,32.8274,1.87030099512,25.2532429196,-70.3694,126.80176773,0.737494
369.941089423,7.96103863227,254.011901105,413.399570667,18.1315,70.387062536,70.421,47,47.7455,472.89467218,70.3543532326,70.3421,182.466584094,47,382.26383536,33.1397,1.90254523267,83.816318249,-72.8187,122.066692435,0.703034
356.30123371,7.62843923719,284.63826333,396.346505651,19.6149,72.4026175509,72.4376,48,48.3415,398.912639243,72.3657063219,72.3539,178.06496273,48,370.572778164,33.4309,1.9370915833,5.59507049298,-74.9151,136.425208912,0.68873
343.981712578,5.8838875398,268.672436113,376.902870389,21.4184,74.5889064685,74.6267,49,48.9855,376.224529749,74.5633774006,74.5519,176.059791508,49,362.227429336,33.7092,2.00243445473,140.235196572,-77.1195,76.6170708146,0.701284
340.9459448,10.1716646505,262.614429821,385.773235423,22.5429,76.9978565334,77.0301,50,49.652,368.019914712,76.9722752744,76.9583,178.090786708,50,370.079420242,33.9921,2.06521605677,7.86582349136,-79.6481,106.156468427,0.684307
337.697905082,13.5866942061,313.983582566,380.955127462,22.3097,79.2369322456,79.2775,51,50.3022,389.238343535,79.2139449833,79.2006,176.385610324,51,362.00167248,34.2512,2.1016603688,168.015203971,-82.0034,66.1724798752,0.715298
355.755725456,7.83048617607,209.041217242,388.132995442,25.6292,81.4575759818,81.4937,52,50.9675,354.492365825,81.4274999635,81.4161,179.491333986,52,376.292917768,34.5854,2.18964085885,20.8686733079,-84.2069,122.236738213,0.729738
