MinEsReturn,PolicyRegParamNorm,AverageReturn,AverageDiscountedReturn,MinReturn,AveragePolicySurr,AverageAbsQYDiff,QFunRegParamNorm,AverageAbsY,MaxReturn,Epoch,Iteration,AverageAction,StdReturn,AverageQLoss,StdEsReturn,AverageEsReturn,AverageAbsQ,AverageQ,MaxEsReturn,AverageY
96.1541464517,26.0894,205.432040214,124.476833616,196.546648643,-28.4283,0.646900490663,31.5434,26.4928983187,214.989558723,29,29,0.678775,4.2608019364,2.19458,33.2401922786,174.481518873,26.5018,26.4848,216.823364132,26.4876534121
160.423754566,26.5723,205.902076801,124.421431429,192.850015902,-30.1104,0.655080850833,32.4178,28.118624526,211.29806393,30,30,0.734763,3.94543749258,2.11166,19.923948258,195.513908309,28.1257,28.1099,219.581826429,28.1141917662
114.364281401,27.0836,198.730801835,122.463608632,186.986011021,-31.804,0.672377781658,33.2409,29.8391419274,202.952450937,31,31,0.737879,2.14820160843,2.26249,26.3811348982,190.476140204,29.8509,29.8326,214.470924902,29.8343092234
10.5646735281,27.7462,204.551968361,124.579773159,198.318017982,-33.3288,0.715735951244,34.0948,31.3203008843,210.482811485,32,32,0.729449,2.80638991527,2.83153,57.9119769967,175.538250376,31.3308,31.3109,215.83962092,31.3153362376
13.5610624809,28.3368,206.217686742,122.666434853,199.445032314,-35.0151,0.720859864252,34.8444,32.9539825078,211.062927496,33,33,0.799938,2.83564722973,2.63926,63.7620722711,173.538644532,32.9657,32.9451,234.453190698,32.948733715
58.9996025606,28.7704,206.038187093,125.448711709,200.625161468,-36.6776,0.757918191964,35.6061,34.58989594,212.090694846,34,34,0.773895,2.60196037784,3.2038,56.0390089229,167.672533309,34.6051,34.5823,221.571262413,34.5853447169
31.1484554474,29.1925,180.915537146,114.15109335,173.728981117,-38.181,0.762160380736,36.3576,36.0962154604,189.097701543,35,35,0.781811,3.40085506251,3.01637,54.4614810908,180.98048886,36.1101,36.0897,223.911163215,36.0930241782
84.4369813849,29.6828,202.591215466,121.369486579,189.02652805,-39.794,0.822704976283,37.1123,37.6868631036,213.697239422,36,36,0.736972,5.49276318844,3.61189,36.4909153897,179.786145807,37.7025,37.6795,218.259627967,37.6833985863
61.5403252543,30.1447,195.046428314,120.886514736,173.091890709,-41.3059,0.833365999403,37.811,39.1894206174,229.357411271,37,37,0.746296,14.4871802384,3.55893,43.2566849732,179.553273165,39.2079,39.184,240.887284713,39.1865049326
52.3256153908,30.6385,194.266110365,118.797718831,162.784713082,-42.8952,0.894890410716,38.4767,40.6499947678,243.729813476,38,38,0.717356,26.9126120754,4.06363,50.7177539133,191.706364983,40.6657,40.6426,250.863112763,40.6473315872
41.9729325236,30.9555,212.545652767,124.08895554,172.217165593,-44.5675,0.959029792049,39.27,42.316413153,262.97568544,39,39,0.741961,17.859175278,4.85467,52.6695463541,158.929717113,42.3356,42.31,230.522380488,42.3136462927
10.6324350051,31.2893,270.235410293,146.811065379,244.510339554,-46.4315,0.965225604802,39.9097,44.0910591516,322.799343181,40,40,0.817317,14.5114786575,4.9722,65.5496248327,162.469286999,44.1093,44.0817,249.068125213,44.0864707831
27.9340656187,31.5777,249.040835028,137.064629635,169.631853331,-48.0605,1.04471149579,40.6371,45.6760217947,316.309731109,41,41,0.828733,21.467339053,5.64915,66.3755007465,197.960603732,45.6922,45.6683,257.438760761,45.6726566454
15.264051296,31.8197,230.448033009,132.273545117,150.877567781,-49.9998,1.13276107128,41.3514,47.4995759683,251.691774581,42,42,0.794987,13.6385002085,7.01103,133.987043564,267.802568525,47.5205,47.488,519.463697972,47.4927404688
41.0408176294,32.0766,246.521657397,136.645262135,171.595524673,-51.8084,1.15567270701,42.0058,49.2614903813,418.99298071,43,43,0.679827,70.4954584724,7.12657,79.1487998374,175.763575446,49.2844,49.2303,260.829552485,49.2352456624
43.0518640212,32.3347,301.187302368,147.545318503,175.488788565,-53.6442,1.21322829524,42.6946,51.0016291031,533.216105093,44,44,0.667655,110.522014619,8.22625,97.4445084396,214.677315057,51.0284,50.9743,345.941959095,50.9789654731
10.1013981992,32.7084,378.907555629,174.410514133,157.452490926,-55.4347,1.27368470732,43.3405,52.8405280431,735.065766016,45,45,0.780711,76.9170259185,8.91346,123.650756522,186.248030773,52.8628,52.8109,405.315418267,52.8150420633
29.9218433938,32.9665,304.586967062,150.369783614,170.747812093,-57.3617,1.34379087521,44.0639,54.6833197925,701.418026715,46,46,0.749386,124.142220924,10.2918,109.047959751,227.282893565,54.7055,54.6483,407.092301365,54.656838317
6.17597669238,33.4146,373.499656496,178.84994355,352.479793277,-59.3729,1.33114621502,44.7012,56.6107620029,404.303412479,47,47,0.75353,11.3643440969,9.26499,119.580141154,205.260488925,56.6413,56.5815,369.800170301,56.586304177
56.6966713515,33.7558,362.560164575,176.563185424,355.479130273,-61.2269,1.46027236971,45.3201,58.4853994184,382.897639034,48,48,0.734059,4.94438737833,11.9107,113.994131617,209.721661865,58.5135,58.4593,358.47190555,58.4673532314
49.7975399713,34.1019,368.238488544,178.460726785,351.405156927,-63.0979,1.53618219869,45.9587,60.2910335091,380.646156422,49,49,0.752686,4.91180457973,13.3188,95.9302127769,229.756974711,60.3133,60.2692,361.997650991,60.2788563953
224.212504858,34.5094,368.927680998,179.490503771,360.556999336,-65.5588,1.61364651755,46.5829,62.6562807916,378.379208874,50,50,0.768981,4.28702039898,14.3113,66.347113034,334.812736616,62.6824,62.6368,477.819485159,62.6470581249
7.08720054532,34.7907,350.061370395,172.978374658,313.972698411,-67.5615,1.60547895509,47.2381,64.5927247206,362.867662452,51,51,0.702581,9.68374613767,13.9957,133.436235325,220.217602472,64.6205,64.5788,362.678567684,64.5852306671
14.0317791411,35.0826,361.741016649,176.753411911,355.706695239,-69.878,1.63549717569,47.7803,66.874286889,367.716087421,52,52,0.715019,3.06487243713,15.3009,156.099208744,236.546615644,66.899,66.8615,577.140877668,66.8693244768
11.4931974621,35.4446,230.760255794,133.273313331,162.096768163,-71.9781,1.74149034994,48.4244,68.9329452008,286.776612019,53,53,0.761185,32.2276461403,15.9875,117.573887103,169.445135996,68.9587,68.9179,348.228572762,68.9296333367
21.3196470446,35.777,157.403206472,104.646635715,143.843423662,-74.1492,1.80385219177,48.9884,71.0088747871,210.399612694,54,54,0.732299,10.5353258243,17.5862,111.668488562,176.792875238,71.0349,70.9954,350.719645319,71.005640811
7.8128834519,36.1325,210.091595036,125.941653785,167.3744796,-76.3859,1.80332350403,49.5665,73.2005537903,264.455488707,55,55,0.702076,22.9500321057,17.6868,168.554680907,226.741481575,73.2211,73.1854,544.459161338,73.1973473142
40.8922572275,36.492,240.445061002,137.340803757,165.983222092,-78.3919,1.88265406034,50.1494,75.2023087855,296.861139081,56,56,0.663464,31.6423928991,19.6533,110.22756571,175.044262049,75.2324,75.1869,390.695011683,75.1957958023
12.6832253685,36.7967,186.012551034,116.639704218,152.980432467,-80.5156,1.91694765837,50.7477,77.2960273093,288.910544749,57,57,0.62229,35.022631402,21.8206,125.184918838,198.16651146,77.3234,77.2751,356.878494389,77.2874265991
11.4541962203,37.1086,319.438848043,163.99816017,277.933501862,-82.4424,2.00067125069,51.3538,79.1233300215,354.068066622,58,58,0.678193,19.5990010657,21.1199,103.434202406,203.515420186,79.1588,79.1026,356.080190193,79.1125313925
56.3274305119,37.3695,315.223908395,162.501506199,268.334850951,-84.4673,1.99846369705,51.8971,81.1770106797,359.319120125,59,59,0.730036,17.2254943062,22.7848,98.7449205484,281.599290495,81.21,81.1575,387.94790043,81.1712380121
34.5637004875,37.6223,303.425329521,158.16132772,249.741355431,-86.783,1.99236297981,52.4613,83.5106482174,343.291301978,60,60,0.70889,15.4266024866,20.2879,144.782986907,214.227882268,83.5378,83.4898,507.140951301,83.5013420935
51.187864839,37.8833,262.209843486,145.41893984,164.379351758,-88.8202,2.12557799479,53.0234,85.5319255173,328.275301698,61,61,0.697599,26.6708620107,24.9121,123.084168495,247.735949552,85.5751,85.5133,468.227827436,85.5239936211
7.63434026694,38.1243,227.322166041,131.869992587,149.991664051,-90.8925,2.14799933173,53.6196,87.5485511443,344.041536893,62,62,0.713228,57.8144600915,25.2294,166.48352909,198.997382816,87.5885,87.5196,630.14266585,87.531317339
76.6199355608,38.4328,209.780238366,124.873069408,137.763403488,-93.0007,2.23937814315,54.2231,89.5571257285,305.025081655,63,63,0.746119,51.6022668997,27.0637,83.0564908214,238.339257528,89.5887,89.516,357.741425029,89.5349186233
80.5505510158,38.679,426.967219197,190.822725012,339.765297742,-95.056,2.26480259234,54.7616,91.5873760844,650.70355389,64,64,0.755681,94.7500263313,26.3509,121.132386884,284.048017144,91.6328,91.554,497.005872945,91.5652591654
4.72598943972,38.9234,292.678896996,155.448797911,228.934608191,-97.3611,2.34181296275,55.3566,93.7586497858,332.423561263,65,65,0.759147,24.3462364465,27.8448,132.056284998,206.796626698,93.8041,93.7326,364.857693096,93.74671209
8.72895409994,39.1846,469.633183511,200.297063674,356.14860789,-99.8406,2.35838756272,55.9167,96.2737838609,649.485362397,66,66,0.761465,106.761407576,28.6205,134.420756467,227.638414352,96.313,96.2342,385.853061538,96.2499921067
10.4740153646,39.4194,180.389958482,114.553687324,147.614761591,-101.716,2.46928234637,56.4262,98.0929317911,297.446943215,67,67,0.718673,43.4067583159,30.4525,159.910792332,228.340184996,98.1393,98.0565,541.429584648,98.0717752791
16.910682612,39.6513,309.530270053,161.138239348,234.636831424,-104.0,2.45960306141,56.9761,100.396922736,351.248452438,68,68,0.737211,31.2431614259,31.284,113.047533279,182.528513297,100.444,100.36,346.190037329,100.371209619
41.1730428762,39.9111,327.667426161,166.729112458,276.678534074,-106.137,2.45782614006,57.5001,102.517299459,348.43347592,69,69,0.75359,20.3191056919,29.8687,112.555502157,248.374933871,102.572,102.477,357.818030758,102.489758625
16.6971633232,40.1713,242.211064001,137.672082992,149.390054247,-107.804,2.49656719719,58.093,104.104175523,331.019558248,70,70,0.718294,58.0878699913,30.0634,110.260135966,238.557680597,104.161,104.071,340.547903928,104.084121833
24.4915857248,40.4416,312.061004215,161.740126485,242.076129649,-110.244,2.61414752217,58.6451,106.524560303,354.666162518,71,71,0.755183,27.5736022917,33.0895,108.097098674,222.439974063,106.581,106.494,363.495400613,106.507812066
5.34191187985,40.6966,340.948473901,170.869826484,313.013075367,-112.165,2.7034859099,59.163,108.413864072,356.505638193,72,72,0.767908,10.2409866159,36.6334,201.707217388,323.906711396,108.466,108.373,706.793683711,108.392330546
14.4224679439,40.989,383.497945746,180.176302271,344.669542404,-114.64,2.68202857219,59.6835,110.814337681,714.215210073,73,73,0.76545,59.1240267469,35.5174,133.683736491,259.492609575,110.875,110.784,443.876639747,110.793660644
313.461281901,41.2163,294.860333896,155.984314906,208.146493137,-116.405,2.803178479,60.1671,112.642866237,368.119024153,74,74,0.737508,47.5896410777,39.2171,45.7488658223,375.421430653,112.7,112.609,474.256653208,112.622201335
7.08702542643,41.4286,376.013056824,181.190700891,360.576942178,-118.495,2.8548699599,60.7048,114.704850983,434.700606479,75,75,0.76405,9.35428670982,37.5464,121.920478301,246.452577145,114.762,114.664,351.204545343,114.680816593
152.19878975,41.6128,346.797003809,171.97903295,330.073479493,-120.804,2.85410711775,61.2005,116.965888195,360.144221494,76,76,0.757013,6.28133261046,38.9315,104.635050208,325.913822226,117.025,116.934,498.713297207,116.948484361
24.5059982509,41.8363,326.172448531,166.035616191,265.32157711,-122.6,2.9363764682,61.7157,118.756621295,349.91752806,77,77,0.738946,19.3360204053,41.8865,146.45129573,193.626025385,118.825,118.715,382.880299356,118.732040415
11.8381401924,42.0327,350.933606025,172.873426653,312.556130642,-124.524,3.01756815274,62.269,120.611280068,384.105208589,78,78,0.765895,16.4191572881,44.6995,130.667492253,209.327272048,120.672,120.575,358.530435216,120.591771499
40.1578996753,42.2236,339.062120158,169.825579185,283.75664673,-126.623,3.02447087969,62.825,122.690059965,357.588925638,79,79,0.762471,12.0271087299,40.8902,126.715089564,260.324466792,122.765,122.653,369.694349575,122.667160155
15.0830832725,42.3837,415.480008579,189.921269378,362.015134058,-128.845,3.0927343689,63.3333,124.861603341,492.826283931,80,80,0.765431,52.0935654774,47.6811,151.408331446,185.024811887,124.93,124.818,447.271525574,124.836787287
22.8202952181,42.5153,332.28893639,167.503077738,253.155416736,-130.783,3.1567698214,63.8615,126.742186364,382.159970864,81,81,0.715235,36.5637797332,49.5699,138.740641805,284.994914196,126.815,126.707,475.037905283,126.719970309
29.4718947247,42.6796,367.4266063,177.626494446,262.000603308,-132.766,3.14571789419,64.3605,128.789168573,514.222959768,82,82,0.75921,45.9408056488,50.1853,119.428498162,227.900055855,128.85,128.746,397.58747124,128.766063875
140.104712165,42.835,329.63951151,166.264937254,265.061376134,-134.273,3.14249397863,64.8918,130.230858721,453.404651589,83,83,0.761629,41.3450045157,46.4597,89.388562987,253.41209684,130.303,130.198,419.599178835,130.209011704
