AverageReturn,Epoch,StdReturn,QFunRegParamNorm,Iteration,PolicyRegParamNorm,AverageQ,AveragePolicySurr,AverageQLoss,MaxEsReturn,MinReturn,AverageEsReturn,AverageAction,AverageAbsQ,MinEsReturn,AverageAbsQYDiff,AverageDiscountedReturn,AverageAbsY,MaxReturn,StdEsReturn,AverageY
1624.70637533,55,687.852293433,36.1819,55,32.3936,35.3482,-36.6762,3.14246,404.308130423,876.76676971,404.308130423,0.75944,35.3482,404.308130423,1.11199194333,217.400333991,35.35827201,3106.24496815,0.0,35.3579281327
1373.31822998,56,552.890200396,36.6708,56,32.6983,36.5936,-37.939,3.44474,1145.46796331,544.929090831,1145.46796331,0.708704,36.5936,1145.46796331,1.13537894963,268.343881911,36.6024984822,2352.63414372,0.0,36.6020702562
1729.13952983,57,983.324951755,37.071,57,33.0574,37.974,-39.367,3.3946,717.164516892,691.964717918,717.164516892,0.751709,37.974,717.164516892,1.14419416945,260.440541434,37.9838438547,3500.07820663,0.0,37.9833785071
908.652140127,58,348.238461967,37.4937,58,33.3973,39.1764,-40.5771,3.58648,541.510922301,565.886685874,541.510922301,0.694394,39.1764,541.510922301,1.17234771599,177.139883472,39.1845252738,1835.44058083,0.0,39.1838972332
2708.34026006,59,1423.81349988,37.8974,59,33.7767,40.7835,-42.2241,4.05987,1163.40279111,714.119959397,1163.40279111,0.820866,40.7835,1163.40279111,1.1905681845,301.66054445,40.7931564742,4244.79155033,0.0,40.7927500822
1829.73867445,60,1023.37567025,38.2919,60,34.0606,42.2379,-43.6712,4.2793,1933.17470509,649.845000789,1933.17470509,0.774002,42.2379,1933.17470509,1.21587467573,264.762742178,42.2485392525,3679.05736957,0.0,42.2479494176
1555.60296487,61,1391.78859631,38.7231,61,34.3861,43.5466,-44.9813,4.67521,341.87620325,-448.596406106,341.87620325,0.80723,43.5466,341.87620325,1.23875463213,218.766072444,43.5560514707,3903.47707622,0.0,43.5555651934
1822.16458403,62,990.152532135,39.2085,62,34.7018,45.4493,-46.887,4.33764,1522.28601917,664.638394662,1522.28601917,0.77346,45.4493,1522.28601917,1.23746057107,274.971344064,45.4585497029,3662.68691831,0.0,45.458181155
2230.78094694,63,1217.17562934,39.6044,63,35.0097,47.1988,-48.6933,4.79495,1609.85757247,726.668802279,1609.85757247,0.802632,47.1988,1609.85757247,1.27226207901,285.336051139,47.2089835544,4231.17544169,0.0,47.2086845226
3389.75170918,64,997.762491198,40.0052,64,35.3365,49.352,-50.8803,5.72869,2653.26044155,855.875628261,2653.26044155,0.867562,49.352,2653.26044155,1.330083618,319.473735513,49.3621478922,4093.71513913,0.0,49.3618893917
3551.95558883,65,71.2662064109,40.4767,65,35.7058,51.9934,-53.5507,5.22938,1914.12788918,3423.74665407,1914.12788918,0.893395,51.9934,1914.12788918,1.35272585325,296.892044453,52.0048709599,3640.89093288,0.0,52.0045734188
3691.78613127,66,649.481421747,40.963,66,36.0093,54.0336,-55.6538,6.94951,2030.83577941,1774.78940207,2030.83577941,0.877902,54.0336,2030.83577941,1.41261775288,303.363705853,54.0456980771,4108.23704288,0.0,54.0451472306
810.457153839,67,200.85225424,41.3692,67,36.2958,56.1275,-57.7347,6.63213,2157.25140798,567.233507558,2157.25140798,0.763149,56.1275,2157.25140798,1.41949265673,178.930776181,56.1378977865,1303.35009524,0.0,56.1374845233
2328.33331942,68,987.389950189,41.7663,68,36.6448,58.8644,-60.5076,6.61787,2600.63350034,932.029386466,2600.63350034,0.839616,58.8644,2600.63350034,1.44291954212,294.100201153,58.8778609264,3867.72868518,0.0,58.8774386438
