AverageAction,StdEsReturn,AverageDiscountedReturn,AverageAbsQYDiff,AverageReturn,AverageAbsY,AverageEsReturn,MaxReturn,Iteration,AveragePolicySurr,PolicyRegParamNorm,AverageAbsQ,QFunRegParamNorm,AverageY,AverageQ,Epoch,MinReturn,StdReturn,MinEsReturn,AverageQLoss,MaxEsReturn
0.296857,13.1485548756,99.9208099821,0.136425310073,952.454545455,4.85552453018,16.2258064516,1000.0,80,-5.32049,62.4179,4.86352,62.7174,4.8540107969,4.85355,80,477.0,150.351928752,4.0,0.131067,59.0
0.203332,9.43434910669,99.9956828753,0.14312083033,1000.0,4.93145375657,14.0845070423,1000.0,81,-5.40148,62.5812,4.93928,63.2046,4.92980149696,4.92953,81,1000.0,0.0,3.0,0.145532,45.0
0.0564838,9.01934710621,99.9956828753,0.14241699803,1000.0,4.98795960387,12.8933333333,1000.0,82,-5.4566,62.7927,4.99729,63.491,4.9867897296,4.98646,82,1000.0,0.0,3.0,0.143989,49.0
0.206908,11.8130715368,99.9956828753,0.148896959048,1000.0,5.04101324245,13.4935064935,1000.0,83,-5.52033,62.9318,5.05135,63.7922,5.03974221663,5.03968,83,1000.0,0.0,3.0,0.150914,61.0
0.340993,11.2109374791,99.8456073041,0.13515089895,899.25,5.1164204795,13.6301369863,1000.0,84,-5.59945,63.1774,5.12492,64.0944,5.11527866697,5.11507,84,407.0,174.533724057,2.0,0.130063,56.0
0.18521,15.2167205397,99.9956828753,0.152517851299,1000.0,5.17426491779,14.828125,1000.0,85,-5.66302,63.3477,5.18521,64.4557,5.17303906918,5.17277,85,1000.0,0.0,3.0,0.161264,84.0
0.16873,9.10520970379,99.9956828753,0.149299011115,1000.0,5.23388683863,13.0875,1000.0,86,-5.73347,63.454,5.24416,64.7988,5.23219274154,5.23222,86,1000.0,0.0,3.0,0.155902,58.0
0.351024,10.7619162621,97.7649623714,0.144755889333,790.307692308,5.30580058234,12.156626506,1000.0,87,-5.8067,63.692,5.31569,65.1172,5.30461066059,5.30457,87,166.0,299.134491136,3.0,0.150527,65.0
0.151317,13.5929004931,98.4374045171,0.148828422207,776.846153846,5.36444919048,15.7936507937,1000.0,88,-5.85792,63.8519,5.37457,65.6529,5.36377074907,5.36346,88,240.0,306.968514084,2.0,0.156494,75.0
0.212489,13.5870264918,99.9956828753,0.149902483891,1000.0,5.40370715713,13.3733333333,1000.0,89,-5.91506,64.0355,5.41413,65.9666,5.40178515942,5.40164,89,1000.0,0.0,3.0,0.165799,60.0
0.138023,12.4573345939,99.9956828753,0.145517951818,1000.0,5.47072080581,18.3333333333,1000.0,90,-5.99579,64.1823,5.48096,66.3906,5.46931692198,5.46937,90,1000.0,0.0,3.0,0.152983,50.0
0.228912,9.07242839135,99.9956828753,0.160728434128,1000.0,5.54078636051,12.0238095238,1000.0,91,-6.07413,64.4967,5.55135,66.7306,5.53928772658,5.53903,91,1000.0,0.0,3.0,0.187567,50.0
0.286302,10.6988876966,99.9956828753,0.152306388581,1000.0,5.64842066901,11.3720930233,1000.0,92,-6.17013,64.7398,5.65947,66.9514,5.64712940743,5.64686,92,1000.0,0.0,3.0,0.179012,55.0
0.329077,12.6587607335,99.9956828753,0.159835190309,1000.0,5.7115141149,13.2597402597,1000.0,93,-6.25731,64.951,5.723,67.3545,5.70995883115,5.70982,93,1000.0,0.0,3.0,0.18516,63.0
0.180636,11.5731302486,99.9956828753,0.163021175906,1000.0,5.77613180738,12.3875,1000.0,94,-6.33863,65.1212,5.78747,67.7348,5.77414859115,5.77371,94,1000.0,0.0,2.0,0.199956,57.0
0.281533,11.1503841082,99.9956828753,0.172390676866,1000.0,5.85211474761,12.0476190476,1000.0,95,-6.43531,65.4035,5.8664,68.2084,5.84981137509,5.84962,95,1000.0,0.0,3.0,0.202058,62.0
0.163479,10.816820961,99.9956828753,0.167823163151,1000.0,5.95776770032,11.2045454545,1000.0,96,-6.52342,65.6375,5.96932,68.5035,5.95589692483,5.9552,96,1000.0,0.0,2.0,0.202949,70.0
0.120529,10.6080248097,99.9956828753,0.171724294241,1000.0,6.01256140151,12.2073170732,1000.0,97,-6.61147,65.8243,6.02613,68.8892,6.01105392027,6.01128,97,1000.0,0.0,3.0,0.216658,45.0
0.270075,9.88562712137,99.9956828753,0.166203444132,1000.0,6.10526805387,11.8095238095,1000.0,98,-6.69836,65.9568,6.11799,69.2433,6.1035782527,6.10321,98,1000.0,0.0,3.0,0.191954,50.0
0.179754,12.3928604607,99.9956828753,0.170420542425,1000.0,6.21300983664,12.4814814815,1000.0,99,-6.81356,66.0783,6.2249,69.6439,6.21170765806,6.21146,99,1000.0,0.0,3.0,0.209679,70.0
0.133039,10.0204599297,99.9956828753,0.172757417252,1000.0,6.29726611054,10.8804347826,1000.0,100,-6.9074,66.2513,6.31026,69.9425,6.29556037678,6.29535,100,1000.0,0.0,3.0,0.219749,46.0
0.118149,12.0580949706,99.9956828753,0.181841761559,1000.0,6.38308442487,11.1888888889,1000.0,101,-7.01305,66.3289,6.39685,70.246,6.3802540359,6.37991,101,1000.0,0.0,2.0,0.226172,66.0
0.13479,18.6081243613,99.9956828753,0.198377007253,1000.0,6.44070569087,13.1184210526,1000.0,102,-7.09608,66.4279,6.45615,70.5531,6.43871465296,6.43845,102,1000.0,0.0,2.0,0.274237,126.0
0.00851336,16.4157893317,99.9956828753,0.185439124638,1000.0,6.56064483614,12.7820512821,1000.0,103,-7.23525,66.6202,6.57323,71.0878,6.5587670728,6.55814,103,1000.0,0.0,3.0,0.243831,118.0
0.178262,21.0390046016,99.9956828753,0.211753777635,1000.0,6.67664203223,17.3448275862,1000.0,104,-7.35678,66.7679,6.69452,71.1699,6.67477365501,6.67414,104,1000.0,0.0,3.0,0.287593,87.0
0.162137,18.4147234792,99.9956828753,0.194739434562,1000.0,6.79900249207,15.4285714286,1000.0,105,-7.50868,66.8556,6.81377,71.5306,6.79689409597,6.79648,105,1000.0,0.0,3.0,0.263691,78.0
0.202667,15.1036592724,99.9956828753,0.202872408461,1000.0,6.93163699584,15.5909090909,1000.0,106,-7.64618,66.9844,6.94705,71.9386,6.93009227181,6.92948,106,1000.0,0.0,3.0,0.288175,69.0
0.230592,14.5153169172,99.9956828753,0.20303032823,1000.0,7.05274453125,13.1710526316,1000.0,107,-7.8147,67.1017,7.06726,72.3202,7.05108454272,7.05086,107,1000.0,0.0,3.0,0.300727,75.0
0.333156,16.95403165,99.9956828753,0.21163022556,1000.0,7.18945161985,13.5,1000.0,108,-7.96515,67.2014,7.20461,72.7211,7.18788151793,7.18757,108,1000.0,0.0,2.0,0.295707,80.0
0.905728,15.7923376672,99.9956828753,0.214107585886,1000.0,7.35027594019,12.5769230769,1000.0,109,-8.13787,67.3126,7.36349,72.9975,7.34904665744,7.34827,109,1000.0,0.0,3.0,0.317395,81.0
0.173753,21.5548204672,99.9956828753,0.223698723631,1000.0,7.52153549266,17.3620689655,1000.0,110,-8.28619,67.4372,7.5377,73.3829,7.51964061971,7.51927,110,1000.0,0.0,3.0,0.351799,116.0
0.90801,21.4822071971,99.9956828753,0.224845542018,1000.0,7.6602085034,18.2075471698,1000.0,111,-8.45991,67.585,7.67581,73.7131,7.65875589586,7.65806,111,1000.0,0.0,3.0,0.342664,103.0
0.176882,21.8728673025,99.9956828753,0.222862558014,1000.0,7.8118403507,20.8367346939,1000.0,112,-8.6159,67.7253,7.82662,73.8729,7.81058535914,7.80961,112,1000.0,0.0,3.0,0.352657,88.0
0.171473,25.5860057451,99.9956828753,0.226249931951,1000.0,7.98624130614,18.7962962963,1000.0,113,-8.76983,67.8154,8.00142,74.2898,7.98551324428,7.98573,113,1000.0,0.0,3.0,0.358476,124.0
0.301987,13.3671365553,99.9956828753,0.230490639966,1000.0,8.08372877157,12.4936708861,1000.0,114,-8.89652,67.9722,8.09774,74.5507,8.0829619153,8.08151,114,1000.0,0.0,3.0,0.389185,69.0
0.247233,19.9037089931,99.9956828753,0.232816185198,1000.0,8.20004910912,19.137254902,1000.0,115,-9.04356,68.1205,8.21608,75.0758,8.19914989226,8.19839,115,1000.0,0.0,3.0,0.390789,74.0
0.32796,16.2664572555,99.9956828753,0.23979977685,1000.0,8.33191849447,16.5396825397,1000.0,116,-9.21224,68.3467,8.35006,75.5322,8.33083245859,8.33075,116,1000.0,0.0,2.0,0.403643,68.0
0.278136,17.4245575729,99.9956828753,0.24799095861,1000.0,8.45938096706,17.9454545455,1000.0,117,-9.30422,68.418,8.4785,75.9286,8.45773769175,8.45746,117,1000.0,0.0,3.0,0.432987,71.0
0.172928,16.240803428,99.9956828753,0.236994988403,1000.0,8.58919922412,14.0138888889,1000.0,118,-9.44145,68.6178,8.60717,76.2593,8.58715792431,8.58704,118,1000.0,0.0,3.0,0.413265,91.0
0.358798,34.8567647787,99.9956828753,0.239003286791,1000.0,8.6381977889,22.511627907,1000.0,119,-9.52326,68.7042,8.65785,76.6212,8.63466202706,8.63392,119,1000.0,0.0,3.0,0.424024,147.0
0.293042,27.5497279013,99.9956828753,0.234781169762,1000.0,8.81158864122,23.7073170732,1000.0,120,-9.6809,68.8724,8.82968,77.0367,8.80832866049,8.80846,120,1000.0,0.0,3.0,0.399874,109.0
0.218673,21.5317678805,99.9956828753,0.241521083518,1000.0,8.89570718227,19.0892857143,1000.0,121,-9.78187,69.0152,8.91558,77.3407,8.89217786055,8.89188,121,1000.0,0.0,3.0,0.411982,86.0
0.435731,15.9352142846,99.9956828753,0.263816573389,1000.0,8.99615997814,16.9661016949,1000.0,122,-9.87768,69.1083,9.01914,77.6499,8.99279263225,8.99205,122,1000.0,0.0,3.0,0.502185,64.0
