AverageAbsQYDiff,MinEsReturn,QFunRegParamNorm,StdEsReturn,AverageAbsY,AverageReturn,AveragePolicySurr,Epoch,AverageAction,Iteration,StdReturn,PolicyRegParamNorm,MinReturn,AverageQLoss,AverageAbsQ,MaxReturn,AverageQ,AverageY,AverageEsReturn,MaxEsReturn,AverageDiscountedReturn
0.067079008338,190.932718353,26.3435,0.0,1.75315591357,522.466099718,-1.81931,64,0.907874,64,166.915736806,31.742,240.382409829,0.0110227,1.75266,723.180591815,1.75266,1.75310884228,190.932718353,190.932718353,7.78355854604
0.0674485014393,285.09441433,26.517,0.0,1.8160376957,-410.733746166,-1.88175,65,0.858034,65,306.777453351,31.9264,-729.114270225,0.0108611,1.81532,436.825696859,1.81532,1.81596569696,285.09441433,285.09441433,-51.0901030613
0.0681790403976,261.274101814,26.7647,0.0,1.85298560483,325.685732059,-1.91695,66,0.863936,66,144.024494904,32.0866,43.5298704485,0.0119051,1.85243,481.634576433,1.85243,1.85290983289,261.274101814,261.274101814,-0.231936435404
0.0692143754497,199.897442381,26.9815,0.0,1.89151134479,-150.456640337,-1.95311,67,0.834454,67,73.4066387919,32.2567,-290.483105731,0.0126992,1.89113,-49.4900591843,1.89113,1.89146498423,199.897442381,199.897442381,-23.3392179955
0.0680546431219,359.570543282,27.1954,0.0,1.94036321197,1.07604616501,-2.00165,68,0.823988,68,59.2720231208,32.541,-98.8081826216,0.0117527,1.93987,77.6409220858,1.93987,1.9403011269,359.570543282,359.570543282,-2.10295035091
0.0707808195402,307.767168977,27.406,0.0,1.99099916158,-74.5738981581,-2.05305,69,0.813776,69,50.3059067838,32.695,-173.44676448,0.0137517,1.99042,9.70274478246,1.99042,1.9909394819,307.767168977,307.767168977,-8.0936014131
0.0697301950874,288.194480266,27.5994,0.0,2.03565752877,316.371188942,-2.09936,70,0.75369,70,62.0046121666,32.8268,232.611486648,0.0121483,2.03514,474.965510346,2.03514,2.03561001737,288.194480266,288.194480266,26.8757110722
0.0711522399499,334.705248077,27.805,0.0,2.06701549481,473.595881795,-2.12928,71,0.734798,71,61.5371192997,33.1005,366.033770866,0.0136669,2.06665,582.061324798,2.06665,2.06695389754,334.705248077,334.705248077,48.3068263258
0.0704069603674,376.017419851,27.9823,0.0,2.11925742535,418.403893604,-2.18385,72,0.704677,72,161.882643621,33.3136,171.21686716,0.0125971,2.11866,672.375525068,2.11866,2.11920612936,376.017419851,376.017419851,31.9207718438
0.0732463877399,413.262834594,28.2319,0.0,2.1645580001,242.604518239,-2.22959,73,0.706848,73,206.404279151,33.5292,-146.8406664,0.0143801,2.16411,572.292701721,2.16411,2.16449063474,413.262834594,413.262834594,25.5504137223
0.0734313206962,407.444585085,28.4237,0.0,2.20989311082,557.062024122,-2.27522,74,0.719563,74,46.9422333292,33.8264,472.6670552,0.0135804,2.20932,642.999641118,2.20932,2.20983371638,407.444585085,407.444585085,41.110835653
0.0736636067852,314.402185217,28.599,0.0,2.25938130509,489.427654372,-2.3262,75,0.772253,75,78.0728869308,34.0517,379.077200901,0.0135952,2.25893,653.473855269,2.25893,2.25933658966,314.402185217,314.402185217,30.3379951402
0.0730105356432,328.822488486,28.7724,0.0,2.3202997968,676.82821344,-2.39119,76,0.808788,76,164.034552751,34.3058,459.159617131,0.0138793,2.31967,941.070290929,2.31967,2.320245687,328.822488486,328.822488486,46.6699740251
0.0745776396248,344.541875703,28.9853,0.0,2.3737545673,537.393207829,-2.44212,77,0.813056,77,337.363279736,34.581,-353.369846932,0.0142369,2.37332,947.660413908,2.37332,2.37369886562,344.541875703,344.541875703,56.4498050702
0.0754474490491,307.686198374,29.1892,0.0,2.42614341931,81.4392278733,-2.49433,78,0.847035,78,56.2694751251,34.906,19.1454707543,0.0150309,2.42559,169.85993323,2.42559,2.42609042044,307.686198374,307.686198374,-2.15221408552
