AverageQ,StdReturn,AverageAbsQYDiff,AverageY,StdEsReturn,AverageQLoss,Iteration,QFunRegParamNorm,AveragePolicySurr,AverageAbsY,MinEsReturn,PolicyRegParamNorm,AverageAction,AverageAbsQ,MaxReturn,AverageDiscountedReturn,AverageEsReturn,Epoch,AverageReturn,MinReturn,MaxEsReturn
1.16162,0.903814845149,0.042546876979,1.1619861168,6.40294233581,0.00611757,19,13.9749,-1.31809,1.16295505037,17.3091776992,12.5426,1.0,1.16346,41.8745307318,34.4480801045,41.8042091937,19,38.7578417304,36.6222530433,58.9019348858
1.30835,0.934180029944,0.0430778746398,1.30860020626,4.72104471516,0.00679898,20,14.449,-1.47237,1.30944229802,26.4129146972,12.5435,1.0,1.31004,40.6920796672,34.5004736928,41.0688446176,20,38.8243829313,36.6734185509,62.2898266377
1.43671,0.98839873562,0.0418306225582,1.43697239784,6.44268657827,0.00575973,21,15.0024,-1.605,1.43786877496,29.9753999189,12.5462,1.0,1.43836,40.7258311048,34.5310186004,42.6780910555,21,38.8628637357,36.5977473923,71.7615429869
1.57078,0.961360745961,0.0437816313736,1.57110126882,9.33622420983,0.00664262,22,15.4853,-1.73799,1.57228463153,3.03525766163,12.5459,1.0,1.57252,40.6885793206,34.4743640113,41.3881276091,22,38.791824991,36.7340362495,64.305446058
1.67626,0.96211149721,0.0443938501064,1.6764699252,7.15121100525,0.00627327,23,16.0068,-1.84591,1.67755185466,8.56771382409,12.5463,1.0,1.67803,40.7840873891,34.5182739374,40.383297806,23,38.8483623647,36.7008898898,62.2874114936
1.78208,0.87705811856,0.0448095026385,1.78237748574,5.44217256052,0.00722552,24,16.462,-1.94896,1.78367905553,30.993208151,12.5463,1.0,1.78408,40.5458718923,34.4626602646,41.341105617,24,38.7770846061,36.5719354976,70.0916236479
1.85567,0.949035865476,0.0489930015794,1.8559664915,7.33625911511,0.00811476,25,16.9722,-2.02727,1.85710897674,20.27974623,12.5455,1.0,1.8574,40.7747762236,34.4682866275,41.9288745436,25,38.784429371,36.6287687671,67.5373804179
1.93933,0.951147919228,0.0497553517667,1.93963843211,7.04144839034,0.0090386,26,17.4379,-2.10263,1.94116282442,5.1372604127,12.5534,1.0,1.94144,40.7172852402,34.5209663023,40.4855083621,26,38.8525013666,36.7907992446,63.3301632937
2.00909,0.681152465502,0.0502280348059,2.00935641433,9.65305586612,0.00860694,27,17.9138,-2.1857,2.01073057646,24.0239131231,13.8101,0.800963,2.01095,31.2308922691,26.3037584197,42.2696102507,27,29.1201273519,28.4511931362,87.9847813204
2.06668,1.84330257191,0.0522477797983,2.06701261483,55.2169861905,0.00841807,28,18.3884,-2.35076,2.0689250971,14.6568563006,15.1649,0.922316,2.0694,190.962915448,117.450419955,61.7848824087,28,186.515836871,181.032353726,208.151843883
2.21498,0.931869624241,0.0611405125187,2.2153076984,40.1098942246,0.0110452,29,18.8172,-2.45081,2.21638965066,17.2614398659,16.0346,0.845327,2.21673,120.969605033,85.0269774105,107.422290807,29,119.168669903,116.952083573,199.20093251
2.32205,3.65348378423,0.0630129913232,2.32246016084,89.2334333947,0.0123293,30,19.1802,-2.56422,2.3230099827,26.2686786691,17.2415,0.590299,2.32334,360.315413055,147.93248347,134.640964353,30,352.481404557,343.761545777,348.526446945
2.42412,5.05246055849,0.071412165347,2.42474822084,45.1711258605,0.0165978,31,19.6911,-2.6816,2.42527007905,137.349121047,18.0257,0.76762,2.4255,174.906475292,100.297584364,209.597261505,31,164.130009211,145.050560443,303.475094327
2.55769,3.69637845683,0.077566847876,2.55829867075,88.6706132799,0.0225358,32,20.1133,-2.7987,2.55888279599,54.9702683661,18.6883,0.578268,2.55947,369.395186248,152.435974222,152.15822465,32,358.557292072,351.64874146,330.747004138
2.66635,1.03244155054,0.0847840368165,2.66718221711,51.6378779769,0.0280925,33,20.5513,-2.90984,2.66781055934,110.604604295,19.3463,0.662564,2.66815,1046.13339599,125.099581637,177.789024462,33,1044.67309674,1043.52541925,262.349853098
2.81037,15.3046831098,0.0790915498625,2.81091430867,99.6874503873,0.0244722,34,20.9568,-3.06663,2.81138771257,64.7950500424,19.7414,0.625976,2.81203,230.22791091,105.565982117,188.583378604,34,191.217999328,165.814018117,397.772744849
2.94211,0.504177581457,0.0857246461345,2.94300368167,118.986706992,0.0300916,35,21.3666,-3.19858,2.94353306096,46.6554793174,20.2905,0.658057,2.94397,1045.9018487,124.351619198,193.059624948,35,1045.26521029,1044.07200015,429.853420759
3.07806,22.2359020125,0.0862787100727,3.07866576498,140.965120818,0.0337711,36,21.7414,-3.34392,3.07912661035,56.499268061,20.6225,0.577577,3.08005,424.468731823,122.394654982,183.88578159,36,344.486270784,295.496997968,494.236107941
3.24364,0.616798304015,0.0935364798346,3.24447769812,140.020136326,0.0380416,37,22.1032,-3.53187,3.24495369728,9.67215506139,21.2221,0.351575,3.24597,1043.72678152,121.177489442,185.920797863,37,1042.79267726,1041.33529831,475.618460829
3.40025,5.76655727117,0.0961031048785,3.4010617146,328.042625819,0.0442146,38,22.5586,-3.67905,3.40133402388,125.558309817,21.8813,0.821986,3.40256,1091.16458645,127.823105329,465.62937927,38,1075.79586642,1070.76707493,908.944436322
3.56618,132.341583238,0.0988442809635,3.56725172569,131.666965772,0.0444913,39,22.9021,-3.85009,3.56763057575,126.224380852,22.6244,0.89164,3.56875,1038.25727251,136.950962246,309.291830979,39,669.251496989,525.799364892,492.710251655
3.7247,419.141874583,0.101548156784,3.7254357936,173.745584443,0.049376,40,23.3271,-4.00308,3.7258425321,109.609259921,23.1087,0.886238,3.7272,1467.76194138,151.872489783,393.532798846,40,1255.5958084,295.433686018,604.903500718
3.86849,4.48297267543,0.111388419943,3.8696778345,104.852622688,0.0638719,41,23.7327,-4.14811,3.87023543316,65.2456998212,23.595,0.93907,3.87153,264.586247157,138.843275253,225.821898565,41,252.874273272,240.321639009,382.776311386
4.02053,4.78918127241,0.113565137702,4.02150271248,82.1438485889,0.0647115,42,24.1663,-4.29569,4.02237884617,14.3795067211,24.0673,0.957039,4.02429,271.69235543,139.619882227,133.727280557,42,259.862242442,249.053019485,260.041353226
4.16262,6.17487228579,0.121344687742,4.1640054056,99.4156282915,0.0802883,43,24.6052,-4.44625,4.16476891968,41.5236645827,24.4443,0.971059,4.16682,267.254784996,138.789818552,223.239153024,43,253.840825954,242.234229364,319.29199707
4.33258,4.88267497229,0.116051754041,4.33332871629,158.103111518,0.0704738,44,25.009,-4.63994,4.33363384051,28.3577890438,24.8196,0.975081,4.33595,277.990109348,140.834945317,210.598834517,44,267.521922472,256.990590126,452.967277731
4.50073,5.11685469676,0.130032950753,4.50195524707,78.8240827248,0.085138,45,25.4529,-4.80044,4.50239065987,61.6590841886,25.2537,0.978285,4.50431,273.227496068,140.577622639,214.707115841,45,261.934566849,253.875400322,324.953846671
4.67602,177.307208983,0.131670977332,4.67742241767,98.7892373884,0.0853884,46,25.8461,-4.96923,4.677865789,159.315319859,25.5663,0.924422,4.67965,1310.6570802,153.075966135,290.47275891,46,353.588374972,266.749565009,507.480332033
4.82453,20.5996459513,0.133113263531,4.82528027276,147.89804993,0.0925173,47,26.2262,-5.12651,4.82570096481,9.10272681518,25.9076,0.967798,4.82782,453.671559941,177.056008554,206.476805985,47,416.763618517,360.352114214,413.168430041
5.0016,13.8453155995,0.135523709109,5.00274384162,102.992075016,0.0883178,48,26.6714,-5.29253,5.00367212438,4.40064132121,26.2694,0.937306,5.00679,293.369398645,140.991939984,204.286710141,48,262.11542133,242.59765971,320.794745453
5.15837,39.0453973657,0.141345747626,5.15925954831,131.697023812,0.101108,49,27.0738,-5.46191,5.15970962391,65.0982372694,26.6035,0.928516,5.16278,462.399636304,144.741796948,232.136021886,49,278.209752598,249.095392995,525.290166596
5.35194,21.7641627611,0.140149000321,5.35322123602,353.314173437,0.107021,50,27.4239,-5.67707,5.35368207392,32.4832200362,26.9932,0.945705,5.35625,403.496591271,141.818814644,363.001505315,50,264.613049436,247.956795052,983.160390305
5.55944,21.1657209079,0.146819891715,5.56033667513,117.903206336,0.103468,51,27.7953,-5.89003,5.56102007278,81.9283291484,27.2948,0.933416,5.56404,359.685852152,146.137497478,275.467958628,51,284.230393998,249.473961166,408.196528805
5.74699,508.005031799,0.149855074589,5.74840375334,320.298516866,0.117479,52,28.1752,-6.07553,5.74871917266,8.08221652653,27.5863,0.893874,5.75161,2323.57270597,119.012393462,304.256989682,52,346.163949019,160.55851419,1042.01583802
5.94163,22.4852354684,0.154789938565,5.94321425042,339.731539947,0.117027,53,28.5186,-6.28029,5.94424114821,98.3820065011,27.9723,0.956246,5.94735,354.633817396,149.724549772,372.075159615,53,292.776190574,262.928184549,1038.16930914
6.12371,307.18410251,0.155589726511,6.12455733494,90.4466250978,0.121009,54,28.9027,-6.47782,6.12516869631,213.003691332,28.3616,0.932754,6.12931,2530.34528641,157.254317983,336.517294139,54,381.663860032,257.82317081,476.347018558
6.3258,230.948098128,0.159292993935,6.32731515376,205.480087242,0.127124,55,29.2919,-6.67992,6.32782173931,149.137274472,28.5604,0.945855,6.33119,2151.12474869,154.946301948,322.78115613,55,344.648116481,259.92573253,868.604900781
6.52291,5.3375154339,0.172500608907,6.52404163826,125.315570865,0.150667,56,29.7094,-6.87827,6.52450223892,48.0247027683,28.8019,0.959642,6.52865,283.857731291,141.008580313,244.535980796,56,265.638937801,254.126233639,438.092437103
6.68968,20.9191840783,0.164814484156,6.69051699814,110.456370726,0.138132,57,30.0318,-7.04946,6.69165188095,7.08921565903,29.0496,0.937649,6.69549,334.339723451,142.26789164,164.782157311,57,264.735614451,241.690251216,328.380325006
6.88102,278.549780494,0.171388933702,6.882515847,89.3877681008,0.153255,58,30.4025,-7.23367,6.88287534119,53.9511739774,29.3211,0.93703,6.88604,1471.79099365,211.481905387,247.952421346,58,906.663395131,436.892217598,321.295111155
7.04782,137.851136024,0.170540995706,7.04851796052,202.330514753,0.151379,59,30.7064,-7.38938,7.04929190831,745.244664643,29.583,0.865751,7.05403,1116.60784662,143.708643673,947.575179397,59,288.455504871,249.950608368,1149.90569415
7.22408,579.834232078,0.187539444461,7.22573950245,381.918219658,0.175719,60,31.0818,-7.5814,7.22667205702,67.1952355918,30.0128,0.900379,7.23194,1963.712342,118.828236885,428.675017369,60,431.571907948,167.851370281,1184.69958389
7.35798,200.675142068,0.184512121847,7.35943826236,200.127542638,0.177389,61,31.4473,-7.69688,7.36000038172,2.76224277639,30.2062,0.898829,7.3663,1211.63895985,169.877055848,227.781571773,61,609.736532536,366.975596184,597.91542312
7.53494,175.264070397,0.1825856023,7.53578435385,324.782238224,0.171237,62,31.8044,-7.88709,7.53686570706,187.457285875,30.4863,0.920615,7.54235,919.99160241,166.928187769,513.034522198,62,553.646466652,347.598538963,1052.38793246
7.68079,5.76310522449,0.188558423158,7.68207575821,156.97798082,0.175913,63,32.1423,-8.05108,7.68386239354,26.3888565911,30.804,0.91468,7.68887,347.936928004,151.048270476,228.67992878,63,334.86532603,322.229443248,480.435136013
7.85601,6.5417017742,0.196172772827,7.857532577,124.942558368,0.193196,64,32.4589,-8.22378,7.85829029319,106.984779214,31.0637,0.906548,7.86352,335.623156573,148.876417287,266.357949241,64,324.31466951,306.247188152,423.910191725
8.02805,9.1990755133,0.183994623999,8.02897671287,88.1110695143,0.183547,65,32.8302,-8.3899,8.03015184187,50.8227524983,31.2362,0.919802,8.0346,361.507560697,153.182432509,262.114639903,65,338.31340259,317.679497198,344.254239976
8.18535,132.907340959,0.200361492373,8.18691908965,135.252428671,0.222224,66,33.154,-8.5562,8.18906285436,33.7988457638,31.4457,0.947197,8.19403,1001.19801969,166.679894165,230.184321509,66,448.798212243,352.933017808,412.228550747
8.33715,12.8334598153,0.206074545198,8.33814855916,162.09323734,0.205543,67,33.5853,-8.71197,8.33875919561,40.8869340726,31.7663,0.960773,8.34448,331.580005413,153.765950732,269.411409417,67,302.604023248,280.349318006,551.253171273
8.50877,107.314129905,0.200964663104,8.50977585682,113.268095928,0.221008,68,33.9328,-8.88259,8.51069989861,129.830849562,32.0384,0.95719,8.51555,822.83457761,154.274051001,287.115740813,68,454.971572553,330.570672641,446.872627857
8.66461,128.722663136,0.203223821173,8.66558344854,207.13727452,0.2088,69,34.3019,-9.03981,8.66678706128,63.4125808684,32.2941,0.953992,8.67163,912.293337781,174.568004212,396.941276506,69,600.919517512,393.730099507,678.882553992
8.85237,20.4039488924,0.202149398456,8.85404668238,113.522621011,0.205309,70,34.5979,-9.24487,8.85498659002,115.190347986,32.5748,0.966997,8.85883,362.785931795,153.713089791,322.619955633,70,306.051519711,272.734855084,541.984392543
9.04681,22.9313305425,0.20821598701,9.04800707439,108.605945003,0.239449,71,34.9361,-9.42029,9.0493061089,72.4323948043,32.8295,0.967539,9.05442,352.457742585,150.035092944,208.09892637,71,300.349024133,261.987706114,358.668806643
9.19588,63.6351522382,0.212946164663,9.196603872,197.167527096,0.233152,72,35.263,-9.57825,9.19937044851,83.3386729996,33.1107,0.967618,9.2058,617.049726807,168.395939466,322.220405159,72,364.527175098,309.281316467,745.823708652
9.33672,127.864721682,0.21141779912,9.33799843728,268.055480672,0.235524,73,35.5861,-9.71324,9.33942562243,59.920833004,33.305,0.949015,9.34569,716.003614084,171.583490961,273.894487438,73,382.78410803,163.646527085,903.280009418
9.48806,453.885917005,0.208163777709,9.48884510884,149.186255454,0.236222,74,35.9293,-9.86474,9.49112918693,59.7288257434,33.7112,0.926315,9.49637,1660.51076439,205.927662463,282.743556874,74,975.85239606,341.684157661,481.939695312
9.64945,852.132817965,0.213185128068,9.6510429838,169.38631226,0.259118,75,36.2274,-10.0437,9.65240806725,109.730027843,33.9323,0.914338,9.65644,2766.04639985,193.11866998,321.664525435,75,1773.8554832,212.354395109,597.895180788
9.80102,675.405704706,0.221964412159,9.80196177634,272.481669925,0.288693,76,36.5244,-10.1953,9.80365936815,49.6746957725,34.074,0.92941,9.80987,2572.95361355,225.793542132,438.932725857,76,1554.84448339,433.964539609,842.255573474
10.0029,214.483787861,0.217235091399,10.0040665639,209.003885323,0.239351,77,36.8403,-10.3866,10.0055971057,88.7783208335,34.2961,0.944282,10.012,1153.11590238,225.563094182,365.809642354,77,896.809437863,289.900311331,689.580401653
10.1323,231.819471614,0.224624154441,10.1333699109,114.410146093,0.273319,78,37.1609,-10.5323,10.1355578941,95.00790113,34.4479,0.912979,10.1427,1437.46653079,205.06657621,251.772553868,78,1054.51023838,761.824606102,388.79484224
10.2796,39.7020715259,0.217850186481,10.2805928097,120.018162827,0.263143,79,37.4288,-10.6697,10.2826917768,9.01335898546,34.577,0.912053,10.2901,605.914071647,165.821867415,197.765610332,79,360.650338486,319.177043369,334.113936898
10.4444,139.641211194,0.222304035262,10.4464229564,195.311766112,0.26882,80,37.6488,-10.8367,10.448203199,8.80800476035,34.832,0.939051,10.4534,736.387959365,194.269311243,259.308641993,80,491.837320935,357.579232216,608.254695731
10.5296,61.6035880851,0.237225362474,10.5305127282,141.726268394,0.340342,81,37.9329,-10.9385,10.5323545821,11.8513619579,34.9476,0.897331,10.5391,506.204746386,158.830471469,244.382384755,81,338.767842196,284.134764765,390.062821093
10.7251,136.309934018,0.236199626294,10.7263105094,125.181099157,0.32821,82,38.2114,-11.1297,10.7283121331,9.21984019716,35.1409,0.928037,10.7348,775.911825445,187.227004397,161.467710019,82,504.044678162,246.734511257,365.404769579
10.8865,14.2874521401,0.240212423175,10.8872874629,168.983013068,0.338599,83,38.4528,-11.2797,10.8906123635,8.9855699,35.2686,0.952663,10.8979,357.541057371,159.757075731,249.379246464,83,313.308872655,286.793172437,547.518600871
11.045,49.9013091157,0.239171458546,11.0459515762,147.202016928,0.3588,84,38.7169,-11.4417,11.048378674,10.0104868871,35.3561,0.923817,11.0555,332.801444772,152.871850005,178.000909369,84,282.686880555,55.5921296245,477.846062897
11.1421,3.80303374502,0.262367545168,11.1441908018,79.7900050366,0.424258,85,38.9554,-11.6383,11.1467688056,12.6679929701,35.471,0.858036,11.1537,190.195949872,106.945620818,165.148435022,85,177.067658711,171.121528763,347.214204155
11.363,9.29164045932,0.258118792298,11.3644422153,73.0395074877,0.341412,86,39.1295,-11.8659,11.3675807634,9.42798403169,35.5632,0.930537,11.3734,228.187920352,114.785563471,167.521705651,86,212.376265353,190.421944381,239.544332567
11.6121,75.8832537238,0.268811652589,11.6136109051,80.2335581019,0.387392,87,39.3743,-12.1057,11.6159370078,7.57431918393,35.7064,0.950655,11.6225,392.022606756,166.847920975,164.006811526,87,327.867352564,117.758727051,359.740270278
11.845,30.7584094951,0.274141783715,11.8469395703,108.342600904,0.43834,88,39.6402,-12.3382,11.849183181,13.4621801274,35.8109,0.936886,11.8546,442.416917102,180.773790677,258.572480281,88,388.403743,287.793987769,376.160916094
12.0099,12.7914727517,0.273084496278,12.010951993,93.7339327707,0.394731,89,39.9084,-12.4771,12.0134765209,89.876999714,36.0082,0.937143,12.0207,393.899482151,175.587601319,262.243560675,89,360.05995004,317.281090098,355.397988778
12.1632,20.3952230049,0.283035037517,12.1649036027,117.065799297,0.472505,90,40.2011,-12.6078,12.1676069594,39.7579644439,36.2517,0.949078,12.1748,429.808424575,178.146626834,273.858726212,90,376.315837934,311.501802762,445.606516122
12.3069,20.1436182507,0.296688466988,12.3090925164,134.84440321,0.491986,91,40.4566,-12.7843,12.3124713754,6.88878018304,36.4099,0.926309,12.3209,364.640022798,157.83833055,213.656148853,91,309.386097587,272.403260851,381.214621228
12.5016,17.0685132198,0.289779083278,12.5030723647,122.219685724,0.493522,92,40.6131,-12.9828,12.5064990454,41.1447853227,36.6221,0.942342,12.5138,345.046122025,161.529384394,230.61995833,92,315.198162435,287.605193038,363.509948045
12.7109,35.1619172766,0.305077076428,12.7127247776,83.1422849195,0.524443,93,40.878,-13.182,12.7174374647,74.0249443504,36.674,0.90853,12.7255,358.39036052,160.763800327,223.643706197,93,314.405506873,40.7704871297,310.23476813
12.8942,16.4174382626,0.292287937424,12.8962266258,89.3446770347,0.51663,94,41.165,-13.389,12.8997961217,20.7667490388,36.8277,0.904397,12.9064,325.919827735,154.494505629,259.729492812,94,284.910153742,245.136535746,347.687290326
13.1041,10.6532980774,0.300847221302,13.1057465626,123.022925305,0.527596,95,41.3573,-13.5862,13.1078533229,27.7595221271,36.897,0.904868,13.1189,325.580831838,157.413629204,256.342470115,95,291.533776809,271.215510029,375.071947582
13.2839,36.435420308,0.295071633817,13.2854512087,107.36087325,0.51239,96,41.6165,-13.7615,13.2885730434,16.7174003595,36.9475,0.91376,13.2971,370.455681091,152.506929309,209.330234661,96,283.738011681,194.23913394,337.960665278
13.4357,43.5074683348,0.316932543809,13.4366918272,132.488270667,0.582013,97,41.9066,-13.9307,13.4407599544,14.7820406082,37.1242,0.924505,13.4498,414.153211566,161.149514986,183.174578691,97,320.026121335,247.802047622,377.981846129
13.6469,28.377665612,0.312888059322,13.6490566772,91.0618025233,0.583123,98,42.1797,-14.1642,13.6543660208,34.1191244889,37.2834,0.93305,13.6614,401.390805654,159.412573794,215.301435638,98,316.066934002,265.537278094,316.503122895
13.8116,18.5406189271,0.335299120709,13.8141089187,127.166924837,0.699698,99,42.4198,-14.3091,13.8175035218,31.1282518604,37.3576,0.933214,13.8259,346.741292858,153.439940003,214.391826693,99,297.572213048,262.084360623,473.162152879
14.0028,52.4420262438,0.301005630742,14.0034417712,159.713917379,0.519396,100,42.6506,-14.4891,14.0067103044,10.0856610673,37.5142,0.928371,14.0186,642.131582772,208.924336132,308.140961716,100,572.776651797,385.885563522,553.88151913
14.1503,39.3657994003,0.321943140288,14.1530018947,135.431688716,0.603819,101,42.8593,-14.6591,14.1560553344,10.616505741,37.6427,0.933568,14.1643,560.827526129,192.303389775,184.294330741,101,444.886263734,319.242810457,356.609392999
14.3162,40.6718220407,0.33803701447,14.3176311587,78.2425793969,0.694028,102,43.1105,-14.8302,14.3196872221,62.8063073937,37.6999,0.934713,14.3285,400.962563765,165.693879545,220.745097692,102,329.814569659,256.625186884,338.57715551
14.5191,43.1443986921,0.327317150221,14.5215631067,97.1206945157,0.601728,103,43.3678,-15.027,14.5232337728,12.0451465412,37.8686,0.914985,14.5306,398.200846252,162.793538959,204.145413894,103,325.406109896,246.974185754,362.561779924
14.6338,25.6394890663,0.354062376975,14.6364832728,83.0735585847,0.743889,104,43.6403,-15.1667,14.638462675,57.1552195216,38.0189,0.912439,14.6479,366.04960136,162.521539788,195.243327876,104,321.071963157,250.921813615,352.499125288
14.8589,36.5166858789,0.359581010039,14.8596929654,106.172294951,0.762761,105,43.8777,-15.3645,14.8621973075,47.720770766,38.1117,0.899151,14.8719,376.806078199,169.208795196,190.162223968,105,342.914544205,51.5121828898,345.843788766
14.9325,90.3525604292,0.340657778423,14.9339595969,97.0670421152,0.633544,106,44.1332,-15.4472,14.9364816871,82.0187487382,38.2459,0.926159,14.9461,441.218426222,173.537375639,202.219715762,106,376.977926458,52.4281077698,404.789691383
15.1773,29.6254618421,0.331201293007,15.178535201,81.2317455763,0.624261,107,44.3458,-15.6873,15.1804153394,10.0713164606,38.3337,0.91558,15.1872,403.220893891,174.080324208,148.633501576,107,356.302836932,251.612362398,282.531218768
15.299,56.0302083134,0.365179839621,15.3021674075,105.627312727,0.820929,108,44.6575,-15.8039,15.3039045544,45.5516642243,38.4763,0.897836,15.312,470.317859558,160.376170554,173.670448603,108,310.666557582,158.991693568,361.812920051
15.4427,5.94102695403,0.356851661437,15.4437231719,70.0765145403,0.76558,109,44.8461,-15.9617,15.4453397907,15.9282741928,38.5901,0.900624,15.4551,175.915780324,104.34759416,137.02618435,109,156.270683355,143.752678817,244.579625806
15.5912,30.5534059264,0.384521002667,15.5924957651,75.5732981559,0.925078,110,45.0909,-16.0953,15.5943016053,4.47749406151,38.7274,0.874501,15.6065,251.797494094,120.838420178,164.989557561,110,197.177182908,87.6857108094,283.526114965
15.7439,45.8904371249,0.367412195343,15.7451248836,97.5735307723,0.783878,111,45.3395,-16.2568,15.7462800245,14.6354458118,38.8279,0.913066,15.7593,404.585763113,176.890863652,172.727856536,111,369.804035187,107.339452808,301.634084502
15.8955,96.9825673458,0.37413285973,15.8982438287,132.577992458,0.85732,112,45.5951,-16.4327,15.8998840831,4.14168117052,39.007,0.892019,15.9095,374.235292953,103.358355708,163.947399668,112,167.522797709,90.0076959274,387.120118807
16.0711,4.68629707029,0.371765588854,16.0726747988,92.9705104983,0.866772,113,45.8314,-16.6028,16.073675905,11.0733142465,39.0765,0.860208,16.0825,160.417229587,99.5230412872,156.10356414,113,144.731974158,138.221317231,303.905361766
16.2577,13.0067290443,0.392278578349,16.2602759243,90.2212900078,0.920118,114,46.0882,-16.7851,16.2612790195,5.54960483009,39.2521,0.863731,16.2703,176.567114648,109.93716514,143.235463195,114,170.387957544,88.7677301135,332.679854164
16.3247,93.145116698,0.383057378702,16.3251929361,49.1195816191,0.848927,115,46.3202,-16.851,16.3266201732,9.90187665415,39.4039,0.90247,16.3403,350.37216011,109.91303819,105.454200016,115,181.457395273,104.568952678,199.652729138
16.4954,7.62551507612,0.385807549096,16.497281913,78.6103755811,0.867513,116,46.5715,-17.0305,16.4986741324,33.0628824748,39.5128,0.917897,16.5094,185.622201168,107.745469565,136.163410057,116,164.621295954,149.05588378,347.347434331
16.6289,53.6729955268,0.390356543616,16.6303214996,99.3285076296,0.918008,117,46.8231,-17.1867,16.6324485378,12.6975865299,39.6023,0.926346,16.6446,360.387254703,158.532370108,157.881045837,117,303.277463654,45.5781768372,332.105657768
16.8362,17.4940424444,0.38806964732,16.8384954101,120.267250723,0.815999,118,47.1003,-17.3763,16.8402896048,11.4480325006,39.7699,0.926659,16.8494,396.260608072,182.622558477,202.510245604,118,382.820016683,288.575646155,360.511354311
16.9248,55.3824034592,0.410364208649,16.925499852,152.896564455,0.963918,119,47.3089,-17.4866,16.9264231997,18.4263834827,39.9134,0.942349,16.9407,488.035529233,171.834700279,214.147641516,119,349.245823395,41.1408660846,536.137273509
17.0841,47.710857438,0.402910605438,17.0858117053,122.69961715,0.941647,120,47.5304,-17.632,17.0880687253,30.3704187057,40.114,0.925862,17.1006,443.694277201,177.842415661,163.449432173,120,372.272875063,274.968228737,423.196381872
17.2988,41.8476756266,0.393056413926,17.3002647377,105.788684461,0.853776,121,47.8141,-17.857,17.3027147859,9.78241237304,40.2411,0.902695,17.3121,247.64343611,118.754084929,165.668485438,121,191.721198072,143.664568865,326.280069601
17.4176,70.994519083,0.420258049813,17.4200712492,117.026351417,1.06333,122,48.0177,-17.9996,17.4221677608,32.1055963569,40.4215,0.905764,17.4339,449.99234906,159.9553518,178.401732654,122,308.568154153,213.385640651,416.985732305
17.5945,37.7534827134,0.421300483061,17.5952663204,148.548604318,1.0646,123,48.2638,-18.1698,17.5965894009,6.85281822041,40.6014,0.89795,17.6081,326.45956448,138.570062452,189.30487928,123,237.165183175,151.75660018,493.555963547
