AverageDiscountedReturn,AveragePolicySurr,AverageY,AverageForwardProgress,MaxEsReturn,AverageReturn,MinForwardProgress,AverageQLoss,AverageAction,AverageEsReturn,QFunRegParamNorm,StdReturn,AverageQ,MaxReturn,PolicyRegParamNorm,MaxForwardProgress,AverageAbsY,MinEsReturn,MinReturn,Epoch,StdEsReturn,AverageAbsQ,AverageAbsQYDiff,StdForwardProgress
18.9677367072,-0.115784,0.115317329954,0.113157375255,43.5266558351,24.940606569,-0.535106826822,0.000135482,1.0,23.408063595,37.2624,13.3630397785,0.115508,73.1330980477,17.7502,0.351610227229,0.130453675954,-17.2720026068,-25.7719281518,58,14.687480201,0.130051,0.00608483986483,0.161663813801
17.8916775847,-0.115087,0.114657087775,0.103906596005,46.6724121951,23.9053835696,-0.586507339071,0.000142437,1.0,32.4007458824,37.5548,13.3019496123,0.114824,48.0763374141,17.7503,0.352267580799,0.129778988625,14.7972941925,-31.2450263971,59,10.9572566636,0.129418,0.00628956291726,0.154312122571
17.9481319107,-0.117159,0.116459697545,0.0998605565191,40.5078390416,24.0143758117,-0.621975163638,0.000127005,1.0,27.2696406562,37.8278,14.4765053373,0.116614,47.1692066363,17.7503,0.321371801563,0.131409477458,9.76862036899,-29.9928974317,60,9.17652878223,0.131085,0.00603298634274,0.170603734612
19.5404549174,-0.116907,0.116157358374,0.131284180136,42.1874757141,26.2433415052,-0.518139744493,0.000132918,1.0,24.8482247238,38.1264,12.3760536664,0.116328,53.593958284,17.7503,0.385749412313,0.131210872394,-6.33151280805,-30.4003217287,61,13.2756552218,0.130814,0.00615891846662,0.131520421858
19.9888581098,-0.117343,0.116562974164,0.133231684132,40.5395371729,26.2455917729,-0.529508574727,0.000155499,1.0,24.8853960367,38.3997,13.5899379322,0.116733,49.363855566,17.7502,0.369900759359,0.131350718022,10.1838811416,-32.3422343964,62,8.11267880377,0.130993,0.00639314822386,0.151564569543
18.6203624136,-0.11677,0.116308455694,0.105536783121,39.1205353313,24.5028474622,-0.52359496056,0.000136792,1.0,28.2451294284,38.6945,14.8975268776,0.116459,48.8588750162,17.7502,0.360153675782,0.13092705037,3.99580055946,-25.6121930037,63,10.0668480037,0.1306,0.00625856558658,0.177542708977
19.1502392117,-0.116107,0.11553880153,0.12549126478,39.1597821706,26.0645398577,-0.518233922737,0.00014127,1.0,22.5976390901,38.9526,12.4739206775,0.115691,49.2311303114,17.7501,0.352985981549,0.129884675044,1.46536078262,-26.2668837282,64,9.80692348419,0.129521,0.00625035367524,0.136793394612
17.4824807146,-0.118073,0.117336570889,0.100916353821,38.9598824443,23.7451562767,-0.497002352039,0.000135949,1.0,20.3899376218,39.2633,13.9241303345,0.117476,46.9216766975,17.75,0.338686232626,0.131436445692,-7.4730577672,-24.7049017941,65,14.0860124664,0.131114,0.0063214524009,0.165687311996
17.0889763342,-0.116906,0.11652193607,0.0892605963567,46.5189031315,22.39907548,-0.55077974904,0.000164957,1.0,24.709976111,39.4434,13.7581827985,0.116685,45.4148222309,17.75,0.329707001771,0.130821016857,-22.8217862385,-31.1227495086,66,16.759437018,0.130469,0.00659780469548,0.163039668343
18.3870855717,-0.115982,0.115282176,0.112111643941,43.0415151427,25.9101493332,-0.512147869886,0.000208575,0.999954,27.5936265924,39.8491,12.8732165973,0.11545,52.9284308648,17.7359,0.36581717411,0.129178707753,4.95966559997,-25.4040347593,67,9.81083123972,0.128677,0.00727137083103,0.145979471713
17.8723504995,-0.115833,0.115002337761,0.105032948044,37.5392383073,23.835757283,-0.570975459925,0.000151918,0.987226,23.5584784172,40.0702,12.624434321,0.115194,55.6561083814,17.7238,0.367270407745,0.128615278815,-3.97977168812,-30.8112596623,68,12.2652287166,0.128135,0.00644064385365,0.142810336503
19.4974553494,-0.11684,0.115746394469,0.124745010099,45.9084192542,25.8671980958,-0.527131732719,0.000179806,0.999996,20.1625605712,40.3847,11.9146568521,0.115961,43.3845165427,17.7895,0.312042390679,0.128986993883,-28.0690326125,-24.7439058542,69,17.8284892105,0.128534,0.00680643945718,0.144166055495
18.5035404459,-0.116575,0.115698735453,0.114722993556,42.3189067111,24.7539933311,-0.509908737071,0.000166669,1.0,17.2764265685,40.7416,12.4756803956,0.115871,46.5683041085,17.7911,0.31003186504,0.128924623306,-20.6762061408,-30.5318172833,70,20.0644197609,0.128577,0.00659429067313,0.144700019519
17.9104330885,-0.117377,0.116749301997,0.0931671929002,39.7307083826,23.2682637707,-0.590153574271,0.000159644,0.999999,29.0816554114,41.0681,15.0750005612,0.116854,48.157810133,17.7964,0.335713037837,0.129501265097,14.7661794965,-37.1564624454,71,7.59720804631,0.129093,0.00685574034455,0.185952698741
19.5651744752,-0.115194,0.115185119908,0.129544997404,44.2340018979,26.2918832061,-0.607764268766,0.000150813,0.999999,21.0583111504,41.3193,12.2926810223,0.115338,45.6556019489,17.7928,0.323543697934,0.128189704232,5.72261087243,-24.6014731875,72,11.3200345826,0.127848,0.00641634186211,0.148851526622
20.5089522493,-0.116293,0.116082922968,0.137442181222,38.8404219306,27.7598372423,-0.549750693897,0.000148296,0.99291,28.1819636504,41.5508,13.3983910419,0.116218,47.8216650738,18.027,0.338135544661,0.128878165302,13.4064257814,-26.9092971175,73,6.87386117258,0.128609,0.00653293452419,0.159383832054
19.7468040902,-0.11504,0.114902982031,0.128894813972,37.9478282917,26.7323600796,-0.520562823492,0.000172202,0.995372,21.4874214202,41.9346,11.3436243426,0.115032,50.406179347,18.2411,0.326291305225,0.127618515785,-0.294731952371,-26.1476786245,74,10.5832923548,0.127283,0.00704768272532,0.126525741318
20.9702866045,-0.116036,0.115042179777,0.142351515042,39.2097962996,27.6622043758,-0.474391502961,0.000163319,0.994433,25.3298214961,42.2094,11.5626248065,0.115233,52.282158801,18.487,0.350514927124,0.127635952298,9.57428395224,-21.2800354315,75,7.85686428164,0.127216,0.00655331854683,0.121738343336
20.4534768961,-0.117623,0.116363874129,0.134699899878,37.620528174,27.1968013535,-0.508158702489,0.000151054,0.994793,20.9538097808,42.5672,13.0034752791,0.116499,49.038937552,18.6801,0.334076635344,0.128727817567,-31.6331332636,-23.3657479702,76,16.6123088483,0.128429,0.00651481028527,0.147799993899
