AverageY,AverageAbsQ,MinReturn,AverageQ,MinEsReturn,AverageDiscountedReturn,AverageAbsQYDiff,MaxEsReturn,PolicyRegParamNorm,StdEsReturn,AveragePolicySurr,Epoch,AverageEsReturn,AverageAction,AverageReturn,Iteration,AverageAbsY,MaxReturn,QFunRegParamNorm,StdReturn,AverageQLoss
75.81313129,75.7993,1098.83699196,75.7993,2254.33820973,326.816694352,1.56402544133,2254.33820973,42.0833,0.0,-77.3199,91,2254.33820973,0.934793,3370.93884899,91,75.8135001398,4415.73566957,46.0166,1095.01011897,8.90148
77.7266641069,77.7098,518.364957809,77.7098,2409.12164657,246.336171382,1.69147014495,2409.12164657,42.3248,0.0,-79.1913,92,2409.12164657,0.924899,2015.3936943,92,77.7273064206,3030.63044592,46.3045,923.448807087,13.4017
79.5896341504,79.5761,466.031367569,79.5761,2230.52031917,253.853415039,1.70713505533,2230.52031917,42.6542,0.0,-81.0913,93,2230.52031917,0.903847,1650.78543945,93,79.590340563,3943.32231795,46.6422,946.748126521,13.2925
81.6763240535,81.6602,3365.30983385,81.6602,2087.19568528,280.205686916,1.72519190909,2087.19568528,42.8834,0.0,-83.1899,94,2087.19568528,0.958188,3477.00105392,94,81.6765804133,3595.96748524,46.9761,72.5193248976,12.7809
83.7781443909,83.7581,3492.76732367,83.7581,2777.87983329,287.618451981,1.81613908102,2777.87983329,43.1165,0.0,-85.2436,95,2777.87983329,0.966288,3568.53195376,95,83.7785051217,3709.66481124,47.2879,66.7061460405,15.7146
85.5827365272,85.5694,3283.41663093,85.5694,2758.04381389,336.950472942,1.71940323195,2758.04381389,43.3742,0.0,-87.0511,96,2758.04381389,0.954837,3951.14659133,96,85.5832557166,4390.89150325,47.5285,309.855242468,12.8011
88.3717833548,88.3597,363.210763096,88.3597,2540.32044788,285.756973504,1.65311073485,2540.32044788,43.6198,0.0,-89.9212,97,2540.32044788,0.922646,2365.64493669,97,88.3720205718,4110.54497011,47.8041,1483.28036495,8.80579
89.4167644437,89.4054,1074.92326485,89.4054,2722.11310137,295.466386932,1.74816682915,2722.11310137,43.869,0.0,-90.9584,98,2722.11310137,0.951804,2800.893092,98,89.4172443662,3738.23193756,48.1008,1067.52353269,14.001
91.9209843525,91.9031,3612.78849595,91.9031,2874.5832093,318.1803573,1.80849246779,2874.5832093,44.136,0.0,-93.5506,99,2874.5832093,0.960486,3842.88400404,99,91.9214612652,4033.67630419,48.4321,126.07876512,15.4774
93.9065982526,93.8882,4075.98933013,93.8882,2629.32409361,347.572631682,1.85478464496,2629.32409361,44.3862,0.0,-95.4715,100,2629.32409361,0.949988,4208.69989038,100,93.907201428,4367.8301015,48.7191,92.4520147023,16.6365
95.8895753989,95.872,3581.30393921,95.872,3027.7505081,304.477618985,1.87334206277,3027.7505081,44.6218,0.0,-97.4369,101,3027.7505081,0.960796,3736.34592607,101,95.8897774405,3939.75059999,48.9939,98.2707522541,16.9019
98.0177999649,98.0009,2852.52601622,98.0009,2720.27180631,262.540805946,1.96064010151,2720.27180631,44.8898,0.0,-99.5652,102,2720.27180631,0.968056,3129.52119191,102,98.0181941923,3392.61385302,49.3949,168.549494537,20.9001
100.35887563,100.342,3897.33143432,100.342,2651.61911875,358.074953182,1.89917895641,2651.61911875,45.1759,0.0,-101.98,103,2651.61911875,0.95875,4173.62047531,103,100.35919569,4399.01713657,49.6859,119.650254866,18.8074
102.72616105,102.708,3268.05886834,102.708,2449.058491,274.84031526,1.9465519275,2449.058491,45.4017,0.0,-104.335,104,2449.058491,0.957188,3384.35645793,104,102.72674774,3521.2239104,49.9493,84.2385854352,23.2046
104.835054678,104.822,4322.02267458,104.822,2946.83238022,362.077636532,1.87275429006,2946.83238022,45.67,0.0,-106.494,105,2946.83238022,0.956911,4621.42900195,105,104.835532803,4780.59425012,50.2529,141.710620205,18.0229
106.902445983,106.88,3954.99353432,106.88,2701.46275787,337.613800079,1.9824829846,2701.46275787,45.9018,0.0,-108.528,106,2701.46275787,0.960571,4130.06524498,106,106.902772732,4254.22492387,50.5137,83.3762369191,21.4796
108.547070842,108.535,-61.704237555,108.535,2358.70091921,338.261853977,2.01656437113,2358.70091921,46.1059,0.0,-110.241,107,2358.70091921,0.960165,3833.44591476,107,108.547356441,4437.35480463,50.8111,1302.07747805,21.9396
111.449254315,111.437,3567.6144976,111.437,3011.66542977,300.07264884,2.00470736885,3011.66542977,46.3886,0.0,-113.084,108,3011.66542977,0.961377,3713.35488612,108,111.4496709,3810.47818873,51.1092,88.2985786047,21.3502
112.607703571,112.585,1334.75984144,112.585,2653.81042698,350.910511586,1.885526403,2653.81042698,46.6527,0.0,-114.255,109,2653.81042698,0.94836,3656.74998728,109,112.607932498,4750.44039607,51.4262,1197.20997272,13.7266
115.253348707,115.231,3919.02863581,115.231,3027.49613769,337.959309396,2.14390095943,3027.49613769,46.8313,0.0,-116.909,110,3027.49613769,0.963259,4033.80323055,110,115.25362608,4171.66563836,51.7394,79.1377928288,27.8153
117.207980045,117.196,1289.83625868,117.196,2988.86880242,347.30581399,1.99949214171,2988.86880242,47.0714,0.0,-118.9,111,2988.86880242,0.951344,3937.77376197,111,117.208486668,4689.94104936,52.001,1009.0696979,19.2343
118.770221196,118.753,2834.48030564,118.753,3015.73694808,242.112670557,1.94793347951,3015.73694808,47.3526,0.0,-120.527,112,3015.73694808,0.972385,2999.83683342,112,118.770734459,3168.11016494,52.2469,88.9634676934,16.5136
121.044150596,121.03,440.013310014,121.03,1095.94420349,334.530336509,2.12387494402,1095.94420349,47.565,0.0,-122.82,113,1095.94420349,0.953833,3450.64310087,113,121.044578262,4807.79937024,52.6196,1654.76510278,24.3863
122.814614541,122.795,4080.09900801,122.795,2846.68806969,354.011296306,2.16430278309,2846.68806969,47.824,0.0,-124.583,114,2846.68806969,0.964745,4376.35051454,114,122.815014903,4579.87173561,52.8608,140.161572913,25.7524
124.671268592,124.652,4444.3425682,124.652,2832.86561077,380.731164489,2.24628205022,2832.86561077,48.0467,0.0,-126.408,115,2832.86561077,0.969535,4675.92906756,115,124.671793678,4847.84767587,53.1622,132.062633402,32.7252
127.481865917,127.459,4266.27474674,127.459,2948.40435768,353.17014061,2.11849806374,2948.40435768,48.264,0.0,-129.221,116,2948.40435768,0.954115,4420.39790593,116,127.482316277,4626.58159266,53.5056,99.419819339,24.5167
129.216845899,129.203,1551.32462479,129.203,3083.32631786,324.608630841,2.12303889809,3083.32631786,48.559,0.0,-130.98,117,3083.32631786,0.966335,3824.48226059,117,129.217430362,4452.66170132,53.8009,797.384507366,27.2588
131.520464746,131.5,4144.24593384,131.5,2937.72872408,353.306834256,2.18909813346,2937.72872408,48.7459,0.0,-133.316,118,2937.72872408,0.959814,4460.49816599,118,131.520803827,4756.53710475,54.1246,180.80931055,28.3154
133.679159589,133.661,4651.39211782,133.661,2820.4708295,389.897834688,2.25407227852,2820.4708295,48.9395,0.0,-135.484,119,2820.4708295,0.961031,4870.25578775,119,133.679515783,4958.74656982,54.4312,82.7298092838,29.0313
135.066442127,135.051,4615.62489036,135.051,2923.40333771,388.134098225,2.27185952662,2923.40333771,49.1812,0.0,-136.83,120,2923.40333771,0.965555,4812.4083149,120,135.066812302,4922.3953578,54.6874,98.9930762094,30.7798
138.190885165,138.176,4249.30798212,138.176,2901.92263217,361.234038971,2.05163281014,2901.92263217,49.3526,0.0,-139.997,121,2901.92263217,0.970072,4589.68776364,121,138.191384057,4748.3570751,54.9305,129.34700227,14.8005
139.59182793,139.574,3727.29044245,139.574,2863.00794421,312.315689742,2.28946129517,2863.00794421,49.616,0.0,-141.353,122,2863.00794421,0.958852,3848.04595639,122,139.592137961,3977.92136884,55.2055,85.4250394753,31.4602
142.145442367,142.126,3704.74757997,142.126,3161.45927616,312.988932271,2.28036300459,3161.45927616,49.8183,0.0,-143.963,123,3161.45927616,0.957932,3838.28444846,123,142.145853065,3930.37888396,55.5645,71.7285767674,32.1301
