AverageAction,MinReturn,MaxReturn,AverageDiscountedReturn,QFunRegParamNorm,AverageQ,MinEsReturn,AverageAbsQ,AverageQLoss,StdReturn,Iteration,PolicyRegParamNorm,AverageEsReturn,AveragePolicySurr,AverageReturn,StdEsReturn,Epoch,AverageAbsY,AverageY,AverageAbsQYDiff,MaxEsReturn
0.0516109,1000.0,1000.0,99.9956828753,29.1815,0.620998,3.0,0.623113,0.00277765,0.0,75,32.3837,13.0128205128,-0.696461,1000.0,12.8925476285,75,0.621254200433,0.621015569407,0.021490768627,67.0
0.0464568,1000.0,1000.0,99.9956828753,29.3962,0.628993,2.0,0.630807,0.00263405,0.0,76,32.4716,9.15454545455,-0.708362,1000.0,8.07936357039,76,0.629256923279,0.629023480621,0.0205471876634,45.0
0.165431,53.0,1000.0,47.7444479922,29.5055,0.639829,3.0,0.641863,0.00330719,212.250821852,77,32.6043,12.1585365854,-0.72005,109.774193548,10.6547476103,77,0.640095349548,0.639927276143,0.0230612576212,46.0
0.0736903,1000.0,1000.0,99.9956828753,29.7171,0.646443,3.0,0.648457,0.00315862,0.0,78,32.6991,15.1666666667,-0.726685,1000.0,11.7892906376,78,0.646891610837,0.646503959934,0.0223380669646,51.0
0.121034,1000.0,1000.0,99.9956828753,29.9707,0.655483,3.0,0.657648,0.00313519,0.0,79,32.8268,10.4421052632,-0.735002,1000.0,9.7772192683,79,0.655858519543,0.655461378487,0.0219355841325,59.0
0.111864,1000.0,1000.0,99.9956828753,30.128,0.666562,3.0,0.668773,0.00332651,0.0,80,32.9591,16.6833333333,-0.746517,1000.0,16.6948012534,80,0.667061797865,0.66668937441,0.0229539133242,62.0
0.139768,47.0,1000.0,48.230147036,30.2642,0.675393,3.0,0.678002,0.00369855,297.363787254,81,33.0597,12.8461538462,-0.758242,159.126984127,12.6451337788,81,0.67609203515,0.675494503912,0.0238366217397,72.0
0.176146,1000.0,1000.0,99.9956828753,30.3938,0.685694,3.0,0.688116,0.00346896,0.0,82,33.1372,12.156626506,-0.767905,1000.0,11.2480059038,82,0.686177045486,0.685693289596,0.0230433843288,57.0
0.0653637,1000.0,1000.0,99.9956828753,30.57,0.69184,2.0,0.694287,0.00372481,0.0,83,33.2401,12.7307692308,-0.777659,1000.0,11.5964993358,83,0.692501141047,0.691873199191,0.0245644234572,65.0
0.20945,1000.0,1000.0,99.9956828753,30.7105,0.69993,3.0,0.702277,0.00353522,0.0,84,33.3342,14.0294117647,-0.784942,1000.0,14.5490757623,84,0.700764561993,0.700024033333,0.0234977560298,84.0
0.121284,1000.0,1000.0,99.9956828753,30.8582,0.71361,3.0,0.716267,0.00408578,0.0,85,33.4434,13.6973684211,-0.800302,1000.0,11.9053501207,85,0.71462934856,0.713673075588,0.0250868099239,63.0
0.161504,46.0,1000.0,68.1421120819,31.0153,0.721972,3.0,0.724545,0.00377921,474.695118768,86,33.5677,10.3854166667,-0.81001,502.142857143,9.52012100727,86,0.722933844593,0.722016472032,0.0239873557867,47.0
0.141313,24.0,29.0,22.6766383814,31.167,0.731814,3.0,0.734663,0.00374579,0.660401439992,87,33.6432,13.1973684211,-0.818784,25.5907928389,12.5226318665,87,0.733005585168,0.731920834851,0.0233528359839,58.0
0.13548,1000.0,1000.0,99.9956828753,31.3956,0.738291,3.0,0.741074,0.00411251,0.0,88,33.7063,14.8823529412,-0.827091,1000.0,12.1842828022,88,0.739428033996,0.738348281484,0.0242579009581,61.0
