Iteration,AverageAbsY,AverageAbsQYDiff,AverageQLoss,MaxEsReturn,AverageY,StdReturn,MinReturn,AverageDiscountedReturn,Epoch,PolicyRegParamNorm,AverageAction,AverageEsReturn,AverageAbsQ,MinEsReturn,StdEsReturn,QFunRegParamNorm,AveragePolicySurr,AverageQ,AverageReturn,MaxReturn
29,27.3580339091,0.676628075116,1.85696,186.974106318,27.3539048363,1.41843333776,170.47252602,112.082935248,29,25.8619,0.827414,164.493506182,27.3669,65.0149734543,32.8710312676,31.6086,-29.3375,27.3504,173.070274185,177.079087194
30,28.8863219804,0.669361270267,1.68568,181.336758896,28.8820218712,1.392440478,170.528373787,112.558227295,30,26.477,0.807334,158.988370759,28.8968,45.776654061,36.8059476238,32.428,-30.8321,28.8803,174.097949303,178.228003316
31,30.5858516332,0.706334167036,1.85872,178.10967301,30.5809866185,2.17016606815,170.759487327,112.830064606,31,27.0305,0.881836,125.907204225,30.5962,14.525254424,63.2197930495,33.2024,-32.6105,30.5781,174.951942006,178.687616794
32,32.0971193279,0.761665431443,2.29134,216.502006919,32.0915631385,1.50452179282,171.155424166,112.929158693,32,27.6245,0.882966,139.663494534,32.1115,25.156130772,55.2711736762,34.0462,-34.0772,32.0881,175.08336735,177.61395478
33,33.6497468023,0.761970476555,2.22517,202.434413205,33.6442678884,1.40918952196,170.945256584,112.281407038,33,28.2856,0.862088,150.075821969,33.6645,6.62756298922,61.2042558399,34.762,-35.629,33.6416,173.751076339,178.328013663
34,35.1696849919,0.815590641913,2.71673,191.390128335,35.1642565405,1.41484188772,170.719981441,112.373222082,34,28.9569,0.827553,163.345743136,35.1833,89.6461556669,32.0301783408,35.5504,-37.1598,35.1607,173.972304977,177.870350487
35,36.4495289648,0.813239835932,2.4774,182.673077018,36.4433880478,1.43217485554,172.133277433,112.773976395,35,29.5607,0.86453,157.117267289,36.4619,37.1803459983,39.6552664854,36.2266,-38.4953,36.439,174.802970858,177.462700798
36,38.0215599516,0.852318030169,2.95405,190.083770607,38.0145537468,1.36104625435,172.07937334,112.72876517,36,30.0741,0.924609,158.994128956,38.0393,31.1511226722,46.6891798009,36.9421,-40.0207,38.0123,174.750415507,178.031337711
37,39.5356971605,0.896979935139,3.16475,184.36014343,39.5284634791,1.36795019765,171.643539725,112.888948884,37,30.5035,0.836803,139.412112749,39.5547,25.0203110446,53.3772974726,37.5988,-41.5652,39.5265,175.046833203,177.895835746
38,40.7746093322,0.963199886381,3.82722,186.116870618,40.7663354845,1.68787247954,169.657211421,112.118821745,38,30.9984,0.826747,136.908541088,40.7966,8.00564413266,53.9924603786,38.3367,-42.8755,40.7632,173.256687879,178.391274565
39,42.2826007534,0.977972787832,3.88126,194.24663768,42.2747920658,4.43873331245,160.477199175,111.703293242,39,31.3678,0.810916,152.502267867,42.3034,85.2828697477,30.9358477524,38.9927,-44.3578,42.2719,172.114801281,178.069892873
40,43.7359348062,1.01943764676,4.4558,191.015626952,43.7262250356,2.05356917112,167.535606285,112.54787487,40,31.84,0.850722,148.312615446,43.7564,55.7228361318,43.5538369724,39.6106,-45.8319,43.7216,174.292406088,178.274138983
41,45.0534665227,1.02424495018,4.20102,190.781013145,45.0423846976,2.7401460336,164.917515419,112.578750401,41,32.3436,0.852363,139.399357944,45.0756,44.9832140625,56.6233579406,40.2261,-47.1351,45.0392,174.249467337,178.60467531
42,46.3111072334,1.09772565518,5.25616,182.340397386,46.2966114148,5.25992544149,152.412548609,107.64558048,42,32.6761,0.826659,146.85501174,46.3373,9.76116995705,57.1124702229,40.847,-48.3745,46.2952,162.532039198,178.952631694
43,47.6732052842,1.09444414848,4.93864,207.854312328,47.6591033247,1.61157589335,170.098674767,112.657054363,43,32.9931,0.844007,147.258731136,47.6946,43.904805247,49.1081228602,41.4448,-49.6801,47.6531,174.501572697,177.523556462
44,48.8385172249,1.0778385669,4.88187,190.460937099,48.8237765013,2.47824357062,164.860683692,112.020562244,44,33.3367,0.819847,161.879877508,48.8634,51.6344669701,36.208040722,41.981,-50.8555,48.8211,172.752129363,176.769035717
