AverageQLoss,AverageEsReturn,MinReturn,PolicyRegParamNorm,AverageQ,AverageY,AverageDiscountedReturn,AverageReturn,AverageAbsY,Epoch,AveragePolicySurr,StdEsReturn,MaxReturn,MaxEsReturn,AverageAbsQYDiff,AverageAbsQ,AverageAction,Iteration,MinEsReturn,QFunRegParamNorm,StdReturn
0.192455,159.978291149,-48.5522271963,29.2975,4.76261,4.76422555729,16.9810271663,65.6399376569,4.79567494745,51,-5.18653,273.364070739,465.610386163,758.323266613,0.26081260764,4.79456,0.832281,51,-8.95246531092,29.2205,127.163898585
0.231395,77.9388629193,24.5736126448,29.5662,4.95566,4.95827945111,54.9510771164,767.460241802,4.98691605287,52,-5.37362,108.213612708,970.978307655,299.093236707,0.274403562219,4.9844,0.736287,52,-4.78300754372,29.5593,299.042349257
0.241883,15.8879431351,-4.19763890468,29.7612,5.13083,5.13221810288,-1.96650592748,-2.10105371045,5.15459687617,53,-5.56442,47.2018957688,40.0620638886,192.652842208,0.280381857579,5.15349,0.881916,53,-12.2709303828,29.9664,1.95518386741
0.266192,42.7886831771,-45.7471541755,30.0941,5.22303,5.22512737362,60.5854502667,457.527195761,5.24706469549,54,-5.62634,130.709787245,997.309222577,524.260006596,0.28979707011,5.24613,0.839059,54,-33.6935050163,30.3199,354.479762913
0.251661,85.2267587734,233.589811262,30.4183,5.39082,5.39325754355,106.024929488,622.313374829,5.4129494525,55,-5.81724,162.45210854,1012.40759995,505.437694414,0.286550521043,5.4112,0.862108,55,-2.12237385879,30.7022,251.216487116
0.259335,106.900878647,-10.861763688,30.6802,5.52344,5.52444646432,86.920373019,266.386142818,5.54474373424,56,-5.94425,101.947816797,818.575980249,272.362502656,0.292699604109,5.54373,0.839205,56,10.191688609,31.0279,175.470219715
0.306743,46.2081890443,-1.92633141387,30.9632,5.68375,5.68658154954,72.7864731932,545.029231694,5.7075444343,57,-6.11346,52.9005913982,1365.19730749,153.717971886,0.306239560601,5.70497,0.845211,57,3.8759395695,31.4112,367.303252046
0.276055,129.255912076,105.560021458,31.2329,5.83553,5.83801078913,87.5170732205,493.031182284,5.85908175011,58,-6.273,131.511221973,1058.05010629,391.302752039,0.301147025551,5.85639,0.852254,58,7.01434896859,31.7394,294.913223
0.279854,160.038953446,-70.9031284121,31.5136,5.97926,5.98082432981,6.44564624691,6.85468113144,6.00068981675,59,-6.42513,161.385635337,434.339612196,389.388103814,0.307403801587,5.99951,0.866654,59,0.597315013336,32.0211,66.6436357519
0.313891,43.607667103,7.38063459333,31.773,6.14789,6.15030433595,80.4761302645,263.052457641,6.16944701876,60,-6.58373,75.3135795718,1109.50761698,218.770867945,0.317064999136,6.16746,0.877418,60,-31.2744771934,32.3964,188.339518576
0.325063,76.7246151323,-30.4473931202,32.035,6.28399,6.2863963744,29.2223904749,80.1152974136,6.30575536297,61,-6.73931,187.134730583,885.684154069,685.252585465,0.319222171495,6.30345,0.869311,61,-15.3773068202,32.6709,156.966610192
0.311253,12.0791506317,-29.6668112018,32.3598,6.42741,6.42950064121,33.6466043577,80.3183843338,6.44766554807,62,-6.85885,32.6410193542,464.558703164,124.859657752,0.319853762468,6.44495,0.871124,62,-13.4493365335,33.0186,129.520825984
0.351653,40.5894183057,-81.9790490327,32.6944,6.53213,6.53503427793,20.4537888035,124.322846478,6.55271603532,63,-6.98024,41.6197868001,1317.5160269,119.659388277,0.333403378618,6.54915,0.896604,63,-13.2324198898,33.2989,305.092644755
0.344301,166.241563715,0.984774373424,32.9464,6.74848,6.75093793271,47.2171787626,127.66871974,6.76553235367,64,-7.19221,174.414898202,589.854949088,497.790434549,0.338471040529,6.76194,0.903885,64,-14.7357985551,33.6126,154.736608014
0.395996,169.377246974,-69.0588097178,33.2011,6.89105,6.89330623474,13.8921224999,40.834863615,6.90868468452,65,-7.33273,256.596132732,434.243599722,721.401489541,0.351207154058,6.90586,0.882786,65,5.78840736916,33.891,105.881501705
0.406326,87.5686292779,-22.8776899699,33.3746,7.00242,7.00481022811,18.9630422985,49.9763895447,7.01935835053,66,-7.43208,142.743378335,974.863127041,334.781880034,0.354673656153,7.01715,0.900542,66,-28.906392798,34.1836,131.728085075
0.400909,10.1118483416,-71.8339575115,33.5875,7.1621,7.16440883368,20.9784404316,54.2836641459,7.17902680811,67,-7.58875,54.8593075999,402.159682415,128.46803842,0.355960218151,7.17695,0.899793,67,-85.271649393,34.4522,99.3640554204
0.393786,28.6243706193,-75.0157934705,33.8142,7.28033,7.282681061,44.8450312942,247.277169466,7.297488659,68,-7.72445,76.7428055304,661.672802018,239.682774164,0.358661491028,7.29574,0.928595,68,-27.8006085686,34.7142,194.74973848
0.421972,41.8958750641,-13.721010723,34.0202,7.40829,7.41033889236,59.8233276536,136.671997437,7.42551929766,69,-7.83704,47.7489550612,637.825504398,124.883765819,0.368286017425,7.42534,0.920946,69,-24.284295181,34.98,133.598820147
0.415777,92.7390274084,-53.0751608727,34.1902,7.58232,7.58474459053,31.4939412249,66.408601959,7.59956021313,70,-8.0012,120.411218448,478.885840106,391.082715553,0.368823077469,7.59931,0.888627,70,-1.19715883956,35.2945,118.241008092
