MaxEsReturn,Epoch,AverageQ,StdReturn,MinReturn,PolicyRegParamNorm,StdEsReturn,AveragePolicySurr,Iteration,AverageQLoss,QFunRegParamNorm,AverageAbsQYDiff,MaxReturn,AverageAbsY,MinEsReturn,AverageAbsQ,AverageAction,AverageReturn,AverageEsReturn,AverageY,AverageDiscountedReturn
303.792404117,19,5.48662,16.8753175242,41.1545674915,16.237,98.8501799875,-7.24502,19,0.410569,18.4122,0.398369873864,154.127554829,6.29464872235,51.5512788077,6.28103,0.671649,54.4201382719,136.506411917,5.48835744852,39.340321179
473.675223643,20,6.58851,336.801583142,56.1983136698,17.0116,169.976755514,-8.41183,20,0.510617,18.9542,0.427405937477,1253.7672078,7.3215007241,39.1894584551,7.30697,0.660864,419.936453316,187.247636411,6.59091933468,91.323116284
392.072039354,21,7.58314,63.9193316279,40.6782069936,17.8298,112.933300068,-9.42863,21,0.598165,19.5246,0.46770580397,469.973940262,8.22503356328,51.7773371499,8.20832,0.761597,89.205824771,170.866570623,7.58662619664,58.2234367144
307.19407149,22,8.8616,36.0395029211,53.1131436951,18.6132,134.049505969,-10.7965,22,0.889104,20.0799,0.524943442821,230.354696367,9.45197867828,-34.8653585457,9.4332,0.75813,106.557289215,157.58844644,8.86712543397,61.9194818529
462.573150869,23,9.97246,193.570667295,83.670049352,19.4394,167.540040197,-11.7922,23,0.964243,20.7219,0.56593293844,923.593384093,10.539648278,-6.27278836764,10.5247,0.719384,435.761799229,147.962332492,9.97541217233,99.8230283746
356.922676313,24,11.0225,9.91769339359,335.659698531,20.0704,134.785713862,-12.8412,24,1.11063,21.2777,0.596661177757,375.432568785,11.5958669659,38.3373718624,11.5801,0.685979,359.261422582,271.572807467,11.0262761411,130.73468836
516.08539843,25,12.2636,13.2938287826,259.376549106,20.6253,123.276125669,-14.0746,25,1.37096,21.877,0.649067127116,327.858507358,12.8346609108,179.337620286,12.8193,0.723052,294.806919056,310.899983068,12.2698656376,120.980446788
459.457696235,26,13.5854,21.887273423,344.60431901,21.1047,173.252862793,-15.4259,26,1.75714,22.5325,0.706404865352,463.276550805,14.123441317,3.35013103749,14.1096,0.681164,388.06045265,233.739868814,13.5905264531,134.438246118
322.147088834,27,14.7437,35.9870325719,346.689315439,21.5265,79.4194463126,-16.5601,27,1.83313,23.1881,0.739272500601,539.792189788,15.2745319307,133.765338701,15.2655,0.703377,413.564311516,244.504611965,14.7485631411,125.945651187
350.883160742,28,16.0255,93.7161321585,462.48936479,21.9065,133.891809417,-17.9276,28,2.26439,23.8193,0.802918902424,793.184525114,16.5334748277,62.7116057725,16.5193,0.684205,585.571815846,215.535967243,16.0305702355,113.707758986
499.981299525,29,17.0868,232.679586204,331.026346281,22.1738,176.115160585,-19.0371,29,2.3844,24.3739,0.823193619149,976.595064551,17.5831570836,21.5055604478,17.5734,0.698196,806.529640761,283.749605898,17.092383439,100.237002985
734.925759499,30,18.4181,265.849031299,245.702918486,22.479,188.362493095,-20.3473,30,3.07544,25.0634,0.907146227984,922.288107161,18.8830955538,284.926137326,18.8698,0.729809,583.022576094,410.37563992,18.4265094041,102.554030647
437.08087496,31,19.7741,142.515083395,30.230790924,22.7313,124.577191491,-21.7206,31,3.27502,25.649,0.961698115923,627.1532995,20.2243869488,103.610332173,20.2157,0.678999,264.602927328,248.832609593,19.7770150706,85.9076766493
382.097146688,32,20.875,241.351279992,133.614731146,22.9673,143.903707196,-22.9063,32,3.40917,26.2163,1.00952179047,929.431858924,21.2921737872,59.041094514,21.2787,0.66763,344.587940188,221.067356204,20.8832977267,109.130400253
314.090551835,33,22.0366,111.945997487,188.853721457,23.2774,133.261377848,-24.0708,33,3.74349,26.7414,1.07620009033,754.175277569,22.4178337762,-40.3392178631,22.4068,0.674862,344.014788785,130.636638742,22.0453468605,118.78911945
