Epoch,AverageEsReturn,AverageReturn,MinReturn,AverageQLoss,PolicyRegParamNorm,MinEsReturn,AverageAction,AverageAbsY,Iteration,AverageAbsQ,StdEsReturn,AverageQ,QFunRegParamNorm,AverageDiscountedReturn,AverageAbsQYDiff,MaxReturn,AverageY,AveragePolicySurr,MaxEsReturn,StdReturn
37,159.903423627,188.602889388,184.857913247,4.11959,29.2291,21.2979203205,0.630361,40.0458942279,37,40.0629,59.3883136646,40.0396,38.819,118.465520447,0.881179125159,191.264327822,40.0416457343,-42.3616,211.170534862,1.22766966539
38,152.195590718,184.681818592,174.260162514,4.57916,29.7273,9.686553364,0.619752,41.3964842823,38,41.4146,64.0200914241,41.3882,39.5248,116.736319008,0.948205929017,188.984162834,41.3925949718,-43.7443,214.972402969,3.22361140875
39,157.903403543,185.749097036,177.191598151,5.07342,30.0561,49.9678646043,0.695361,43.049713208,39,43.0688,47.8370768232,43.0395,40.1349,117.012380312,0.971677325414,188.492215332,43.0453991563,-45.3722,214.275776738,1.95870446126
40,163.866819881,185.816632754,181.97118348,5.04968,30.4323,10.4826856153,0.700466,44.4750073676,40,44.4976,53.1258104396,44.468,40.6767,116.844742211,0.976251199767,188.617801873,44.4697624499,-46.8576,217.591226927,1.27119838703
41,142.657027331,188.76189106,184.707100062,4.69262,30.8018,58.4194798458,0.743994,45.8685802543,41,45.8872,49.5213366149,45.8581,41.2667,118.318363158,0.963253408305,192.78676523,45.8640725272,-48.3023,195.789836447,1.30903273689
42,164.096615579,181.949488492,166.674037306,5.75014,31.1963,10.6200192496,0.689282,47.4258971102,42,47.4499,66.3016277342,47.4103,41.8145,115.442269705,1.03967473141,189.553671074,47.415917952,-49.8463,209.173362091,5.42431032739
43,161.76749864,188.769968307,185.236659244,5.90243,31.557,47.4153466155,0.696725,49.0552675827,43,49.0812,49.7859529036,49.0421,42.3915,118.059856348,1.10644299262,195.975982116,49.047486618,-51.4915,208.951041683,1.99616483426
44,160.64143271,179.818693512,176.627675791,6.18371,31.9964,63.5551982777,0.695054,50.3837044613,44,50.4108,44.6085771086,50.3655,43.0357,113.982787586,1.0981460579,185.044706768,50.3706532704,-52.8839,200.93899293,1.45669073747
45,144.829490897,165.802225847,160.958435983,7.86036,32.5562,16.922448844,0.715141,52.0648957631,45,52.0902,55.0571827219,52.0331,43.7164,108.700244964,1.20559742187,181.061058441,52.0382886849,-54.5471,200.160136991,3.47094473005
46,150.931901429,164.491656382,158.450931453,7.08288,32.9585,49.7349224882,0.737492,53.6247229156,46,53.6554,55.9298007657,53.5923,44.3528,107.983321961,1.16345081873,177.125884004,53.5987022867,-56.1897,235.036741432,2.90422854339
47,98.9967325225,165.295165918,161.837977317,7.10796,33.2896,14.3795069233,0.796508,55.0613966885,47,55.0931,69.8040617492,55.0358,44.9484,108.373332417,1.18785313593,176.127698831,55.0402493154,-57.6221,189.265273673,2.1936418444
48,146.54923781,162.767379366,158.276239625,8.67723,33.5989,34.3782128605,0.761296,56.3432340198,48,56.3743,49.4430823455,56.3126,45.5872,107.20683814,1.25346057431,165.784689257,56.31752378,-58.9466,193.280954961,1.14561197262
49,141.693846592,175.115942523,166.090785389,9.96664,33.8986,15.105767882,0.753897,57.8727939653,49,57.9038,51.8457301529,57.8413,46.1831,112.412279591,1.32633872286,176.794870099,57.8466599361,-60.5436,197.701873273,1.119564748
50,141.441321663,177.57100412,175.502718553,10.0265,34.2052,27.2079149667,0.761316,59.5826881256,50,59.6115,55.7014828316,59.5588,46.7206,113.54608393,1.31959930197,179.371811232,59.5643825079,-62.2936,218.90869202,0.632201230468
51,144.419858805,177.376714805,175.074229067,8.83312,34.4251,16.8978401885,0.684557,61.0111316741,51,61.0411,57.1594970759,60.9844,47.3124,113.355674911,1.30498612923,179.604711751,60.988986652,-63.7627,194.422540444,1.03501326175
52,141.598603702,181.016238276,177.098852292,11.1783,34.7148,28.670103323,0.728841,62.5022064538,52,62.535,55.097520727,62.4756,47.8966,114.882827663,1.40717827211,191.725823376,62.4820113755,-65.2377,191.114342006,2.51493748772
53,121.424988455,184.057701754,180.384939349,10.1603,35.0194,3.93088178119,0.756172,63.8556533721,53,63.8865,75.3718759104,63.8262,48.4485,116.136034246,1.38216611185,193.105244926,63.8351391836,-66.6408,234.158876505,2.93653756661
54,140.163722103,198.343027013,194.810205397,10.0198,35.2951,24.8513506311,0.64966,65.3337227517,54,65.3654,60.9385127217,65.314,49.0631,122.033059375,1.39573316,202.503084927,65.320858862,-68.1825,216.255204483,1.72014530655
55,158.109444313,193.210886694,189.561829961,11.7789,35.608,8.11084791184,0.728769,66.8966634116,55,66.9252,58.3205904324,66.8783,49.634,120.271083491,1.43209831407,198.121497289,66.8851395573,-69.693,203.562494761,1.79909361392
56,144.589944278,194.684733904,186.282309611,10.4437,35.9054,23.7038447377,0.733319,68.2850904511,56,68.3167,68.5194211624,68.2734,50.141,120.700010928,1.39320367826,202.573829242,68.2766270267,-71.1371,201.794613602,2.88887829141
57,132.267932753,192.288488778,189.026350515,13.6356,36.241,17.8184737179,0.678327,69.5857152003,57,69.6118,63.0672846471,69.5668,50.617,119.843663676,1.521632204,197.510985848,69.5784816082,-72.5107,200.523967696,1.71152797797
58,156.082499413,184.833849722,181.947866577,12.7007,36.5874,17.1475446504,0.747549,70.984545413,58,71.0163,59.0943690338,70.9707,51.1896,116.986761983,1.49416504198,187.324138967,70.9775332177,-73.86,201.212647056,1.12633832946
59,167.584530893,190.787663622,187.327508607,14.2811,36.9354,57.3613616915,0.658802,72.2377628267,59,72.277,38.6283825194,72.2254,51.6725,119.360843158,1.522563075,195.947493849,72.2306852317,-75.1399,200.979091748,1.68468068745
60,154.286690955,182.168267475,178.834237523,11.4311,37.2424,31.3974126609,0.701848,73.7244492692,60,73.7564,48.2902595246,73.7127,52.1526,115.903689388,1.46515490091,185.626526285,73.7197872506,-76.6182,207.399216511,1.3559152703
61,143.113183988,185.395186648,182.378413199,13.5408,37.5596,21.574687877,0.700205,75.1179978186,61,75.1461,63.1078775502,75.1065,52.7005,117.243738449,1.54714022893,189.598613235,75.1141682806,-78.0195,206.854791021,1.38164442357
62,132.428884995,188.602396071,184.777452017,13.9225,37.8736,34.0185951053,0.70601,76.3302636684,62,76.3703,60.8932269895,76.3185,53.2497,118.590053574,1.54211036595,193.106321386,76.3261899554,-79.3394,213.210777266,2.11651792493
63,133.116770425,185.656745875,182.483318202,15.7764,38.1239,57.2040639839,0.700582,77.6758978951,63,77.7055,63.0998390596,77.6634,53.7971,117.343610147,1.60709795337,188.940806485,77.6703149203,-80.715,219.537136355,1.4855981997
64,154.144710571,183.462502062,178.166685435,13.4614,38.3681,25.2367822116,0.676301,78.9564396194,64,78.9981,58.2537084184,78.947,54.3084,116.228191565,1.5296167514,190.062281443,78.9508461827,-81.8861,198.52668706,2.97947767485
65,156.711465505,178.903931126,168.603095651,13.1818,38.6118,15.6309266568,0.648222,80.2370351715,65,80.2792,55.0321426567,80.2243,54.7129,114.393094713,1.53484726261,185.602572044,80.2318056616,-83.2656,199.398669921,3.45564142275
66,149.911911205,194.556411233,191.390775082,17.6229,38.8329,34.8237165817,0.711636,81.5039044989,66,81.5406,63.6197320848,81.4901,55.2696,121.550331314,1.65705638888,199.636194018,81.498320747,-84.55,216.762743616,1.90733971131
67,151.392779685,189.569943253,186.050505777,17.4099,39.0945,34.9005103217,0.6328,82.6757932101,67,82.7167,52.871113335,82.6605,55.8223,119.004351191,1.66174485173,193.514628188,82.6681529374,-85.6852,208.770754006,1.47715276037
68,129.959470994,200.354069228,193.392760578,15.0474,39.3335,37.9492491245,0.72523,83.8351139173,68,83.8768,68.0290390171,83.8195,56.3317,123.157600574,1.65947769808,208.429508715,83.8267034789,-86.9074,233.411602239,3.03651457454
69,155.60282595,193.547658729,182.857151791,15.9211,39.5192,62.305233371,0.638158,85.1981426021,69,85.2368,49.4625948324,85.1845,56.9229,119.027336805,1.65046867004,203.723212488,85.190265679,-88.2304,194.879874769,4.63181790421
70,165.445271411,194.791332926,183.241119193,15.7648,39.7563,51.312053043,0.699162,86.1431692601,70,86.1855,51.7407573725,86.1276,57.5445,120.483276468,1.64095328728,208.391450011,86.1351244928,-89.2504,218.633672071,5.81729703255
71,151.327269176,188.901593759,173.653951067,15.9941,39.9779,48.9543914921,0.788539,87.5062806663,71,87.543,50.910773102,87.4906,58.0371,117.504270519,1.68625175534,199.506176723,87.4986930803,-90.6144,206.114630854,5.07462368851
72,176.255421814,197.640831623,192.980033487,19.351,40.2133,27.7912142735,0.750465,88.7454810068,72,88.7817,59.0239369924,88.7246,58.512,120.834198881,1.76154098018,207.363088697,88.7347999188,-91.8667,229.551955396,2.42113184176
73,155.126942915,189.385181174,183.099055605,17.2044,40.3798,38.1012546658,0.745043,89.884203791,73,89.9352,54.0286340053,89.8715,59.0738,117.266601208,1.71554563515,195.898116406,89.8791173219,-92.8865,224.889627729,2.9083770845
74,177.102488705,196.897095236,185.710766599,19.2296,40.6387,45.550810115,0.760675,90.7643479355,74,90.8083,45.1362389863,90.7536,59.637,120.144476482,1.75008766478,205.121896526,90.7575707779,-93.8508,232.05352439,5.06462172019
75,170.276175539,184.160757481,166.892184116,19.3044,40.7995,93.8639539025,0.791407,91.80720585,75,91.8482,41.8462309109,91.789,60.0422,115.590443871,1.79161737791,199.211232002,91.8003768317,-94.9702,232.944946853,8.0794354026
76,172.271921568,180.981790091,129.78081817,19.867,40.9802,98.006544241,0.769682,92.6840469538,76,92.7448,32.789503665,92.6729,60.584,113.164342559,1.81598507004,209.090484873,92.6770044059,-95.802,228.191922601,12.0242357056
77,137.530449515,180.252610057,150.720732903,22.2741,41.1497,8.93385742853,0.79431,93.7462574544,77,93.7929,85.8100113529,93.7279,61.0606,113.85834776,1.83941759898,231.405908771,93.7362229167,-96.8746,225.74831093,20.0928634836
78,134.900896128,168.212690402,145.963535055,19.2425,41.3929,14.1026988459,0.740943,95.0574957084,78,95.1012,75.8679009847,95.0376,61.5005,108.613689727,1.77471373056,225.881822073,95.0454028206,-98.2175,221.88953994,20.7315816228
79,180.2193414,228.535523409,223.371718057,19.7812,41.5768,93.1481871635,0.654586,96.1978918205,79,96.2395,43.2084595687,96.1798,61.9176,132.942150788,1.82422806399,234.070078991,96.1903080147,-99.3901,230.456102622,2.17047145111
80,154.385121678,186.322438947,160.314154757,22.367,41.7237,25.0289724554,0.680586,97.0644378464,80,97.1162,75.7795043251,97.0485,62.3525,116.922168737,1.92170391875,224.622354707,97.0566685402,-100.298,233.315352583,19.4502398007
81,138.877386181,227.426944146,220.948415455,22.6009,41.908,15.7934238169,0.651746,98.0950754383,81,98.1468,80.200569439,98.0842,62.8231,132.302982259,1.89946212212,234.878671976,98.0883484468,-101.353,241.685249698,3.38347439685
82,160.637128771,218.759292063,208.077426184,24.9636,42.1367,9.34278615772,0.672668,99.2854429203,82,99.3264,83.0425349192,99.2676,63.2702,129.301340931,1.95905671048,228.624777356,99.279130631,-102.605,231.506057496,5.29911885066
83,118.658741524,228.818759235,216.327027702,22.5645,42.3508,26.6522042103,0.661974,100.017155517,83,100.065,75.2415214363,99.9997,63.7149,133.154847805,1.93964099496,238.548729081,100.010176055,-103.312,219.040060215,5.69784199136
84,131.608854578,224.016090219,218.453390189,24.6211,42.533,15.664856565,0.670128,101.032898019,84,101.088,87.2625887507,101.02,64.1627,131.158910939,1.97044665277,236.534931104,101.025789529,-104.399,232.141952933,3.31386949293
85,104.98258679,228.938511633,211.247540936,22.5095,42.7306,14.1363044819,0.661971,102.350369432,85,102.399,82.52337555,102.335,64.6669,132.474009265,1.96350983693,237.663174091,102.343222039,-105.556,221.314056169,4.74323455643
86,148.455739995,228.673091625,212.159288566,26.6243,42.9877,8.53268733341,0.652589,103.288119624,86,103.333,80.5324215327,103.27,65.1327,132.841095679,2.04759178909,238.123045177,103.278578197,-106.575,235.946160363,5.23649683888
87,134.480914551,226.404834305,219.51442121,25.8833,43.213,21.4981681927,0.624449,104.124666163,87,104.18,79.9203083033,104.103,65.6391,132.050513604,2.06178383957,231.966344283,104.11139825,-107.447,234.530519938,2.05256418892
88,160.762292166,222.365341969,212.059686963,29.3302,43.4548,7.09445015697,0.651308,104.935924996,88,104.993,83.4082130871,104.913,66.1344,129.940897978,2.13712539491,234.421487934,104.925851983,-108.239,230.674733457,5.88667168226
89,178.417965929,210.510273746,202.885413451,22.8415,43.663,28.8019958189,0.659998,105.804427692,89,105.866,59.1330107067,105.789,66.5718,126.084437941,2.0008301483,217.989539968,105.792163708,-109.133,236.378275363,3.06581059258
90,140.722443299,215.964077881,181.480452903,24.4735,43.9048,26.4896102307,0.657147,106.951959343,90,107.012,59.7601312488,106.934,66.9149,127.872777151,2.03127019776,225.509093109,106.940983009,-110.257,222.399792002,6.54724586903
91,126.308266165,183.922166683,168.720301422,25.7252,44.0853,17.4785282796,0.728118,107.60882619,91,107.669,81.4953209092,107.578,67.3302,115.095452047,2.10476393915,197.409439241,107.587065537,-110.951,230.373482733,9.01874243023
92,97.2635154653,182.645239711,161.680235446,26.4137,44.3227,7.81069758366,0.658005,108.619892477,92,108.669,67.736933829,108.591,67.7216,113.836239922,2.07454829283,194.440786634,108.600301751,-111.945,223.905306036,7.79057969093
93,138.386390346,195.760307024,184.567101179,28.4622,44.5321,11.5335959281,0.657534,109.178775144,93,109.243,79.6483863073,109.152,68.1597,119.872776807,2.1878702301,206.72701428,109.159623125,-112.484,220.678710345,4.87833183
94,126.361516721,198.213430787,188.028041085,27.3356,44.7023,15.1228329563,0.64834,110.037812539,94,110.092,76.2788759588,110.002,68.5767,120.115716314,2.18330409817,211.246828558,110.016512793,-113.383,230.044893928,7.30795507557
95,139.5828319,202.928136568,175.9415008,30.5219,44.94,10.9954146668,0.669464,110.516096273,95,110.584,66.9944840203,110.482,68.9438,123.951438598,2.24006943071,215.691628806,110.489679853,-113.883,197.2802355,6.33451543708
96,144.156449322,195.471608119,185.810424624,28.8928,45.1086,15.7597118739,0.615412,111.337068711,96,111.395,66.6570096138,111.305,69.302,121.3259729,2.16981490276,204.408381613,111.312957302,-114.601,213.460153039,3.96393509783
97,154.43002048,219.62977342,212.756823111,28.4211,45.3518,7.32867711955,0.645207,112.139473716,97,112.204,68.8283731998,112.115,69.7125,128.491679382,2.21276863614,228.198356371,112.120527849,-115.364,228.780824548,2.59918365074
98,128.733189097,186.62413601,180.661039804,32.3664,45.4885,12.2754304744,0.669035,112.710503843,98,112.776,75.5557401695,112.685,70.1277,117.418574807,2.27368667755,202.047883062,112.694445763,-116.054,214.947612011,4.34479128603
99,155.681065244,211.17941163,201.794126881,27.7357,45.7338,22.2985177659,0.629999,113.120784445,99,113.179,72.3706394281,113.095,70.4664,126.688931899,2.20809147713,221.353859344,113.104597547,-116.504,221.463328286,4.44558116668
100,141.746351681,206.050290091,197.40535843,34.501,45.9356,8.3497207421,0.662132,113.825931163,100,113.89,92.3137166471,113.803,70.9025,125.316545109,2.29909968805,213.574244541,113.812679978,-117.2,231.297183103,3.31726231348
101,142.211942341,207.989198634,199.046631024,30.6761,46.1201,16.5003671342,0.637194,114.673793284,101,114.728,76.0502390566,114.64,71.3008,125.969944009,2.24648221275,219.720405266,114.651721277,-118.061,231.516898781,3.32545935426
102,150.168509911,222.616329801,212.420277859,33.7611,46.2984,6.91169002512,0.635894,115.131889307,102,115.198,71.0032442656,115.104,71.6438,130.548762542,2.31859433315,229.892283107,115.111080474,-118.485,213.486518201,3.40050884001
103,127.753295321,209.62035778,205.44526278,31.7216,46.4588,6.33950726873,0.659473,115.727270156,103,115.784,80.1683513886,115.697,72.0094,125.323204915,2.26433000154,217.676694562,115.711708782,-119.117,234.464532946,2.63966183943
104,150.103388892,200.992774345,192.332188619,35.469,46.6323,12.2517482531,0.676652,116.401894101,104,116.476,74.1315711528,116.384,72.3963,123.184983652,2.35362873116,207.945953931,116.390336757,-119.802,227.195897771,3.56741185075
105,134.800901173,209.810055838,190.522488902,30.7422,46.7565,17.3382284883,0.627211,116.881700526,105,116.936,74.3526462561,116.859,72.8096,126.511400666,2.20606544334,221.76454054,116.868689865,-120.279,213.290370055,5.90102746806
106,152.710251985,219.426362891,211.773771123,32.9187,46.9371,4.70008093571,0.618037,117.527684534,106,117.587,77.2555937005,117.507,73.295,130.286014342,2.34273178334,224.398937617,117.515316379,-120.786,221.018357647,2.85761021397
107,161.886530327,212.095223416,201.822447036,32.6765,47.1107,15.476354424,0.619548,117.777479092,107,117.835,56.3532003181,117.761,73.6488,127.105935269,2.29347572049,222.19459272,117.770064713,-121.155,226.536446624,4.02859279537
108,162.758338586,219.678008924,208.826697009,34.956,47.2857,39.3457969598,0.654025,118.399484031,108,118.458,57.5195112719,118.377,74.0981,129.910349476,2.3190704642,227.971400114,118.388941762,-121.869,230.592152186,4.63790157704
109,136.414546817,213.816226882,207.495836641,31.937,47.4249,22.910050694,0.617626,119.095040342,109,119.147,79.4534351328,119.079,74.4185,127.80767059,2.27475328554,221.72421229,119.087610712,-122.524,243.586711625,2.89657871656
110,154.217167843,214.5534537,207.729897124,36.7105,47.5556,9.14054061116,0.663213,119.664711228,110,119.713,77.3868132455,119.638,74.8316,127.678594552,2.39481896829,223.542577569,119.653968217,-123.186,238.870406073,2.98811118734
111,173.202690081,224.832689035,215.347428139,34.5798,47.6985,19.7287107162,0.6449,119.961245409,111,120.017,55.8432887009,119.948,75.2253,132.100434906,2.31417543767,231.759037916,119.954379606,-123.547,225.593378919,3.5418667423
112,188.322582746,223.548391578,213.80763258,31.1401,47.874,6.99347375254,0.685031,120.876834942,112,120.928,60.2857984511,120.858,75.6409,131.150848447,2.28867180439,231.689350528,120.869124197,-124.354,241.265670808,3.42150870965
113,152.700225496,224.264547041,208.07041571,32.9624,48.0261,32.8834215271,0.665754,120.591862664,113,120.653,65.4410916488,120.578,76.0306,131.547123096,2.3173382433,232.52170397,120.584963384,-124.228,235.492919322,6.10452954484
114,119.214500792,222.504642372,197.250385342,31.4006,48.1409,7.92201550944,0.682375,121.974676689,114,122.027,80.9346775745,121.955,76.3945,131.11354279,2.29913953487,233.573885642,121.966930321,-125.488,225.82504602,9.93187821095
115,167.463180049,227.52259037,222.203596731,36.8979,48.3049,21.7390091711,0.66399,121.854250103,115,121.913,74.9737579137,121.837,76.7409,133.154296794,2.38117870629,235.500325717,121.844928509,-125.493,233.006580745,3.09086046943
116,143.937881373,227.417053779,221.691732809,35.233,48.4738,16.6097916329,0.681422,122.196275792,116,122.257,82.2602117276,122.177,77.1346,132.86789425,2.32185447174,233.624348312,122.186925468,-125.819,224.033881911,2.52820558108
117,136.019087835,228.519144496,216.336587817,38.2557,48.6022,27.7591665117,0.659985,122.428560787,117,122.494,76.8902851876,122.409,77.5482,132.468877372,2.36074727891,237.124409439,122.418654289,-126.025,234.365122917,3.89728460825
118,148.264025024,227.292265304,219.734829188,38.1877,48.7439,9.44274377103,0.661006,123.123141403,118,123.177,85.0438008257,123.108,77.9665,132.633415382,2.35602459681,233.959565008,123.11939339,-126.75,240.232631878,3.40087284299
119,154.087015901,232.956602259,228.877692215,35.4971,48.8538,8.78891580656,0.670747,123.620383652,119,123.691,79.9757322555,123.602,78.3525,134.198220012,2.36444320724,237.762493848,123.609618958,-127.299,230.537315916,1.81191426238
120,193.047231992,225.598743719,219.978519787,35.5568,49.0257,40.0406757837,0.715766,123.385127189,120,123.445,68.9821776302,123.367,78.7182,131.779145757,2.38095549784,231.500160991,123.380833449,-126.973,242.444499228,2.49107670402
121,131.050982253,230.910579456,224.453103139,35.6585,49.2148,22.5482476616,0.659066,123.648955923,121,123.707,77.7125658331,123.638,79.0247,133.732193081,2.37778341117,235.627562593,123.643702105,-127.176,240.838863414,2.54240746313
122,139.842481392,224.397371958,215.259358236,37.8409,49.3627,8.38994024033,0.717772,123.974887241,122,124.046,95.8182852391,123.963,79.2819,131.58698657,2.3573750408,233.776653836,123.97008695,-127.518,242.425284925,4.11029324209
123,170.807165183,229.51424134,212.040068127,40.8439,49.5259,21.0715466823,0.679841,124.922880612,123,124.989,72.9761010275,124.904,79.5369,133.135857382,2.42471487856,236.307461996,124.917168813,-128.414,233.742242893,5.3836906988
124,122.962776272,232.562247476,226.851968272,37.0962,49.6753,5.80050877045,0.684389,124.337870231,124,124.405,78.1556541045,124.317,79.8282,133.688499634,2.3269571619,237.447506037,124.326787667,-127.846,226.486499462,2.12738863629
125,163.190529035,221.283836672,207.070256235,36.8792,49.8385,9.3886304698,0.715182,125.085523219,125,125.162,68.4154883744,125.07,80.101,130.314528296,2.31058452105,230.455304173,125.075055861,-128.566,227.854156412,4.14749187056
