Iteration,AverageAbsY,AverageQLoss,MinEsReturn,AverageAbsQYDiff,MaxReturn,StdEsReturn,PolicyRegParamNorm,QFunRegParamNorm,AverageY,AverageDiscountedReturn,AverageAbsQ,AveragePolicySurr,AverageAction,AverageReturn,StdReturn,MinReturn,Epoch,AverageEsReturn,AverageQ,MaxEsReturn
81,2.61700981846,0.0179776,337.504947277,0.0821786016605,993.938602415,0.0,35.2832,32.5454,2.61692660457,84.2885878742,2.61637,-2.69759,0.878791,658.912337477,168.088184013,426.926598205,81,337.504947277,2.61635,337.504947277
82,2.68147090215,0.0176515,788.653309042,0.0818636246169,1048.92600846,0.0,35.4801,32.7713,2.68136272071,91.4537323756,2.68084,-2.75931,0.8687,641.003471356,168.803915071,443.872795605,82,788.653309042,2.68084,788.653309042
83,2.71118563843,0.0204279,356.752255679,0.0835944437322,1119.61687392,0.0,35.6989,33.027,2.71106490731,98.3748396783,2.71062,-2.78655,0.837802,786.443207624,214.073110698,427.548081559,83,356.752255679,2.71061,356.752255679
84,2.76551565215,0.0188367,334.203189936,0.0827423697976,673.091088011,0.0,35.8858,33.2204,2.76541308082,82.1912445254,2.76469,-2.84056,0.868172,512.741918409,84.4525607901,403.306621002,84,334.203189936,2.76468,334.203189936
85,2.82514640556,0.0178778,446.896639884,0.0847136548326,1762.86878802,0.0,36.1804,33.4557,2.82504825341,127.075859008,2.82454,-2.90402,0.880255,1159.08240961,439.017508083,467.300212032,85,446.896639884,2.82452,446.896639884
86,2.88184377824,0.0239146,575.237150073,0.0876579633643,1720.81715569,0.0,36.3325,33.6799,2.88165787489,113.358314121,2.88101,-2.95986,0.856644,828.313209165,370.374132786,429.026761322,86,575.237150073,2.88092,575.237150073
87,2.9301790701,0.018743,516.832846189,0.0843933052594,1195.87322589,0.0,36.503,33.8649,2.92995610389,98.2375122009,2.92961,-3.01288,0.89228,945.704020607,149.155098109,640.953639785,87,516.832846189,2.92946,516.832846189
88,2.99799833109,0.0198028,433.455504863,0.085758608306,1342.67931581,0.0,36.6713,34.0486,2.99772904739,118.357111823,2.99735,-3.08303,0.84903,786.533809273,222.251271466,506.352924034,88,433.455504863,2.99721,433.455504863
89,3.06251224919,0.0219351,996.805281976,0.0878565651541,1307.10821228,0.0,36.849,34.2763,3.06225568938,91.7154423992,3.0618,-3.14984,0.839041,758.75686166,248.930218373,437.343319523,89,996.805281976,3.06161,996.805281976
90,3.12834699092,0.0239146,346.195726165,0.090708479102,1525.48319234,0.0,37.0238,34.4562,3.12801141036,109.985676123,3.12768,-3.21506,0.855494,918.354416125,338.84538943,470.244756511,90,346.195726165,3.12737,346.195726165
91,3.20280292942,0.0223622,645.818468807,0.0888617685317,1540.39476065,0.0,37.1984,34.6725,3.20257853324,113.599175116,3.2022,-3.29296,0.902818,1168.79653521,377.637314384,452.254366106,91,645.818468807,3.202,645.818468807
92,3.26275210087,0.0270148,621.127221299,0.0925385461572,1146.44692707,0.0,37.3545,34.9008,3.26242820698,102.804648092,3.26222,-3.35264,0.90386,966.3872037,198.651412683,517.464693229,92,621.127221299,3.26197,621.127221299
93,3.32864577694,0.0262545,461.400808288,0.0929518575857,1171.71552394,0.0,37.5258,35.1028,3.32831764488,85.8513639949,3.32813,-3.41653,0.868767,836.909405927,255.933308855,423.662926093,93,461.400808288,3.32783,461.400808288
94,3.39800653507,0.0241179,820.133465562,0.0933781556111,1393.46960648,0.0,37.7278,35.2728,3.39751712709,122.045582974,3.39706,-3.48628,0.860086,948.745265086,259.86415106,632.491275526,94,820.133465562,3.39667,820.133465562
95,3.47365774724,0.0251834,564.623119022,0.0946823008353,1379.43232934,0.0,37.8892,35.476,3.47329962551,97.4668811399,3.47294,-3.56039,0.8793,1041.03856188,323.560921065,475.656663911,95,564.623119022,3.47261,564.623119022
96,3.52544363567,0.0262283,498.906411657,0.0951127481725,1612.05160897,0.0,38.0565,35.6811,3.5249095135,132.049473783,3.52495,-3.6132,0.898662,1265.08803306,375.132559403,574.653324273,96,498.906411657,3.52436,498.906411657
97,3.62207172073,0.0208773,898.366417193,0.0912860989814,1418.30676454,0.0,38.2596,35.8414,3.62146930806,111.214375484,3.62153,-3.71201,0.895764,1289.53477431,86.9400487984,1132.76331628,97,898.366417193,3.62088,898.366417193
98,3.69458177907,0.0272059,970.729210348,0.0951940065097,1195.7713929,0.0,38.4664,36.0682,3.69388154183,91.084658054,3.69385,-3.78232,0.903817,969.462799542,156.209836131,618.10621753,98,970.729210348,3.69312,970.729210348
99,3.76859061599,0.0279872,781.014332536,0.0963714426102,1744.07947378,0.0,38.6489,36.2754,3.76776569323,140.108220952,3.76838,-3.8565,0.878468,1286.14375425,450.845987465,434.319180083,99,781.014332536,3.76739,781.014332536
100,3.82827613449,0.0329376,895.634938114,0.0990829160192,1498.91717076,0.0,38.8046,36.4842,3.82734820606,109.582305437,3.82773,-3.9177,0.860899,1070.60338172,299.954007628,702.391943503,100,895.634938114,3.82662,895.634938114
101,3.88624490329,0.0287686,451.861575315,0.0976617096611,1656.10094054,0.0,39.0321,36.6787,3.88509165678,130.784483278,3.88568,-3.97552,0.848564,1069.35224482,394.994014419,495.541195675,101,451.861575315,3.88448,451.861575315
102,3.98240124654,0.0370328,498.658868722,0.104192709623,2107.14302781,0.0,39.1444,36.9026,3.98076948677,171.456344097,3.98188,-4.07312,0.895794,1899.9630057,334.42480982,915.447220023,102,498.658868722,3.97994,498.658868722
103,4.07778700055,0.0317011,1130.20816151,0.101133299295,1630.34367467,0.0,39.3279,37.0527,4.07603378243,140.002964743,4.0776,-4.16884,0.86466,1200.17336986,323.839938389,787.702083324,103,1130.20816151,4.07561,1130.20816151
104,4.1628914574,0.0361117,1102.74581702,0.102679712584,1758.87283741,0.0,39.4722,37.273,4.16110168076,148.072812138,4.16247,-4.25,0.907223,1615.67378105,295.387762563,734.31291863,104,1102.74581702,4.16035,1102.74581702
105,4.23347417665,0.0358357,1049.73287392,0.102497825039,1701.02218829,0.0,39.6342,37.4377,4.23205916002,139.550851,4.23315,-4.32125,0.887548,1378.02496232,378.230514822,705.186245974,105,1049.73287392,4.23163,1049.73287392
