AverageAction,AverageAbsQ,MaxEsReturn,Epoch,StdEsReturn,AverageQLoss,MinEsReturn,AverageDiscountedReturn,StdReturn,AveragePolicySurr,AverageReturn,AverageY,PolicyRegParamNorm,Iteration,AverageEsReturn,MaxReturn,QFunRegParamNorm,AverageQ,AverageAbsQYDiff,AverageAbsY,MinReturn
0.999941,19.1303,511.355655466,1713,138.925846421,1.30311,26.5325380767,144.990507757,32.3828858719,-19.1936,270.20617599,19.1167499362,104.914,1713,213.066624738,382.78209832,159.722,19.1161,0.494039920897,19.1217830165,204.218009695
0.999902,19.0532,331.609513508,1714,83.0195769335,1.06012,66.2056486135,133.513484055,4.08638168834,-19.1304,231.917899292,19.0378487041,104.997,1714,210.031603569,240.34159404,159.778,19.0391,0.474994027331,19.0431560126,223.327403917
0.99987,19.0209,390.19309449,1715,55.9758056257,1.19567,201.835426505,137.489553984,46.2461621866,-19.1108,248.574804783,19.008686465,105.028,1715,279.35436477,644.451793184,159.778,19.0075,0.481308997362,19.0142287861,221.699750296
0.999628,19.0665,451.911422545,1716,99.2160962915,1.24357,112.077264252,141.298733791,40.2333850588,-19.1755,301.153366477,19.050973136,105.054,1716,291.253301001,359.667455421,159.834,19.0526,0.481082561377,19.0565251713,156.720287484
0.999823,19.0762,377.512697089,1717,115.946369372,1.16269,75.3760549012,115.509090549,91.4198090925,-19.1704,241.344242986,19.0640157709,105.023,1717,244.216456515,501.463513304,159.861,19.0654,0.456287423974,19.0678811655,133.796324214
0.999666,19.0539,366.460160771,1718,133.374274384,1.09037,6.96521554328,131.089296174,158.296719007,-19.1052,486.2294291,19.0411703799,105.02,1718,201.582240455,821.69014159,159.865,19.041,0.448144444418,19.0459384908,142.353924518
0.999651,19.0271,401.475505725,1719,121.340412519,1.09413,106.775068467,126.64938749,161.654252013,-19.0572,399.786577513,19.0114732966,104.987,1719,236.026987738,742.132648908,159.932,19.0128,0.448077612131,19.0184373593,147.585054866
0.999711,18.9335,457.710215384,1720,138.543192359,1.1076,34.6523397572,115.303772943,126.965580201,-18.9638,251.455926806,18.9197043382,105.078,1720,200.114446232,594.336710691,159.942,18.9194,0.446808678506,18.9247668417,139.50935939
0.999588,18.9129,287.729378844,1721,54.1291475221,1.13298,118.41728092,132.012663664,189.038171559,-18.9456,545.886439173,18.8993404927,105.19,1721,190.505803293,855.676308336,159.954,18.8996,0.448483329725,18.904273013,89.0079974436
0.999683,18.822,446.777100198,1722,103.795555113,0.990757,111.36487615,123.404302997,190.715218474,-18.8505,390.017613617,18.8099407036,105.208,1722,200.972448473,639.310406775,159.996,18.8088,0.438621579104,18.8142680931,99.4811454782
0.99972,18.8269,236.474336176,1723,54.7701888298,1.03826,55.2810090072,106.532512301,227.632988469,-18.8721,303.020877407,18.814491615,105.209,1723,140.492420577,940.813067105,160.002,18.8143,0.441508258068,18.81961437,83.0490571772
0.999812,18.7556,363.016997802,1724,109.346135564,1.1324,26.563378869,135.373315549,208.679232074,-18.7879,752.289937219,18.7392008997,105.249,1724,187.775485694,1252.50781974,160.007,18.7396,0.445787160808,18.7466473844,554.851224652
0.999762,18.6507,464.91124395,1725,121.366738476,1.03473,66.0999683187,138.733058435,139.020446675,-18.6877,455.147074165,18.6367738436,105.345,1725,195.095591304,688.698394879,160.03,18.6377,0.439780855501,18.6425035462,105.287145701
0.999678,18.7124,441.333326339,1726,155.290498633,0.945058,5.981544668,139.982800885,119.179879386,-18.7569,591.460424717,18.7012305986,105.322,1726,277.389014252,956.872619329,160.044,18.7004,0.431535859374,18.7051514108,412.176797291
0.999866,18.5813,498.631398196,1727,147.022941827,1.1511,159.779906644,150.278600755,47.5585502263,-18.6333,408.717991216,18.5700519546,105.359,1727,338.46870028,566.678294847,160.029,18.5703,0.458802784058,18.5731925584,332.918293232
0.999861,18.6021,518.401961881,1728,126.027674134,1.13347,153.979462437,147.174509435,33.365335351,-18.673,399.50166941,18.5918829171,105.389,1728,340.654522946,474.939304699,160.039,18.5914,0.450684846667,18.5958657822,346.060125605
0.999802,18.5791,471.24764781,1729,160.622897894,1.05465,75.2301111077,146.803288374,16.0246882608,-18.6544,338.891353342,18.5682629531,105.435,1729,260.690115208,393.193372202,160.06,18.5681,0.438580846921,18.5722549537,309.884768341
0.999917,18.5524,385.550414361,1730,128.153336054,1.02262,55.6379103277,147.349110523,12.9609131213,-18.6515,339.124841597,18.542709293,105.428,1730,220.876296815,362.458133838,160.068,18.5427,0.432692717434,18.5475432324,303.022465989
0.999813,18.5591,608.587955553,1731,155.804595127,1.11165,87.2329578172,162.412907997,78.6513132034,-18.6353,382.230534706,18.5459839374,105.443,1731,269.090688578,694.667050663,160.107,18.5456,0.437251371903,18.5517971574,244.062809904
0.999959,18.4483,561.370236342,1732,158.557924993,1.01094,69.0179054451,134.319522014,242.409217887,-18.5158,329.903702561,18.4356061394,105.407,1732,295.345614552,769.265195152,160.151,18.4357,0.433455871022,18.4422311213,46.1529312223
0.999875,18.4478,641.011234776,1733,212.68101912,1.10356,67.8080310348,78.5094851706,190.816381477,-18.5012,145.799627526,18.4344440395,105.319,1733,334.213395956,998.257788739,160.184,18.4346,0.43224268717,18.4414347698,58.4752995102
0.99994,18.4265,670.7307857,1734,201.436441702,0.997524,54.9760909851,123.567047137,163.568370912,-18.4874,246.36297853,18.4163776894,105.286,1734,194.03904802,636.454128995,160.206,18.4156,0.419100240041,18.4204199395,62.4638381537
0.999878,18.411,366.387389705,1735,139.131238804,1.07924,27.6037481615,79.4125798217,129.981263066,-18.468,130.635858462,18.4009568032,105.293,1735,208.061181126,411.724375356,160.285,18.4001,0.429718197367,18.4064488428,58.4481214413
0.999912,18.4238,544.808790045,1736,191.639241566,1.11227,52.5633173253,96.7937196352,372.392789689,-18.4921,265.835519309,18.4132020913,105.399,1736,268.0111066,1266.906025,160.315,18.4123,0.432783731703,18.4181513299,49.0732812859
