Iteration,MaxReturn,AverageQLoss,MinEsReturn,AverageAbsY,MinReturn,AverageY,AverageAction,Epoch,StdReturn,AveragePolicySurr,QFunRegParamNorm,StdEsReturn,PolicyRegParamNorm,AverageQ,AverageAbsQ,AverageEsReturn,AverageReturn,AverageDiscountedReturn,AverageAbsQYDiff,MaxEsReturn
53,514.208096864,19.7096,33.1801469442,83.208055231,124.698463614,83.1946500548,0.762237,53,102.781752708,-86.3927,55.9674,169.042367502,40.297,83.1891,83.2542,219.518599439,256.047164682,139.292722462,1.99957820344,547.227966693
54,567.813661629,22.1952,41.0416799593,85.5265378151,123.614261964,85.516458651,0.778978,54,112.709358642,-88.7648,56.6135,138.712995013,40.6087,85.503,85.5728,241.822033017,338.332490963,165.669724411,2.07470187522,492.390836864
55,597.992757584,21.9317,12.2303870309,88.0223618511,166.639152068,88.0120957935,0.770875,55,107.283376994,-91.2802,57.2999,190.312348195,40.9003,88.0047,88.0695,252.921256741,352.119936805,163.882915867,2.12512572063,538.530986753
56,565.299504583,23.2751,53.4595497113,90.2123117763,123.340430701,90.2029199021,0.764252,56,119.371852692,-93.5354,57.911,156.336720793,41.1771,90.1926,90.2656,282.686764552,361.907484606,163.096325473,2.16988310645,483.406809627
57,733.094061108,23.3516,39.3803574828,92.5943879641,305.821188014,92.5878854521,0.778863,57,95.7863822243,-95.9858,58.4757,106.456316505,41.4008,92.577,92.641,189.834975506,506.648166843,194.122787738,2.21194647719,344.950159494
58,545.544090075,26.2407,50.1120175051,94.96719411,170.393730912,94.9601531281,0.761212,58,76.948545344,-98.4224,59.1399,113.281983718,41.6708,94.9488,95.0167,230.277340631,492.010675826,193.975536566,2.32205361821,414.972931827
59,704.596900349,25.8887,108.056380299,97.209937297,326.065369845,97.1979722745,0.748141,59,40.7231407596,-100.708,59.7526,92.2845874532,41.911,97.1868,97.2629,223.973251242,521.468690894,197.648936204,2.31626211572,358.915602562
60,549.5933611,29.8381,13.6587932931,99.6325162692,372.795981447,99.6085276155,0.746348,60,33.9630185803,-103.15,60.4183,147.816154216,42.1527,99.5974,99.6898,155.547001083,497.261001993,196.576254503,2.44726177667,421.361503784
61,513.501239547,26.6782,51.8931680228,101.833373123,102.970307017,101.780526156,0.759613,61,103.346960866,-105.365,60.9704,95.5914857625,42.384,101.769,101.89,195.172004753,421.783042696,181.341768313,2.4088932786,402.567377795
62,645.720854464,30.7603,13.2782761502,104.251538396,475.03440886,104.195245608,0.75094,62,34.7691883705,-107.945,61.4957,208.678521871,42.606,104.18,104.311,245.801302753,571.856787293,207.967852391,2.51956530181,598.720155488
63,1138.44229451,31.3221,51.6670644783,106.532330861,272.800858512,106.472578154,0.758651,63,202.643208746,-110.286,62.086,152.175115897,42.8664,106.459,106.591,249.594893305,610.804790267,209.410688456,2.58280633836,578.818567047
64,615.295353745,33.9074,70.8860010364,108.863630173,121.011066233,108.810967457,0.799868,64,75.2017088243,-112.718,62.6764,122.333404566,43.1509,108.803,108.942,206.165598581,451.829449662,198.253107441,2.65752308821,442.385622551
65,608.794997414,34.8717,11.8645974096,111.599898888,308.731851311,111.552048086,0.77979,65,74.2409580877,-115.538,63.2349,193.615226236,43.4495,111.536,111.663,266.239316252,454.414712347,193.821117985,2.72383088538,599.233777598
66,494.023118826,36.5571,37.5421176173,113.956595616,282.300740516,113.908207918,0.784295,66,59.3103716889,-117.927,63.8078,110.743747124,43.7101,113.897,114.028,231.460846016,423.78531221,191.056308935,2.80504833223,349.358919028
67,638.366057501,42.7164,18.9193935863,116.384106828,379.035785682,116.339046027,0.77698,67,65.2677030646,-120.35,64.3844,122.771860106,43.9719,116.325,116.457,199.098150358,533.8666753,214.43839143,2.9128796669,411.376066409
68,527.437007012,38.742,9.18932621425,119.070325354,304.925418036,119.030667573,0.760453,68,51.6194762567,-123.061,64.9254,165.406703349,44.235,119.022,119.148,196.825206776,412.801706684,189.926424341,2.87663018382,494.599712952
69,499.291463586,40.901,6.76401406395,121.311225141,287.006320159,121.257608699,0.801657,69,53.0544652966,-125.335,65.4562,140.408990321,44.4385,121.237,121.379,182.774598347,389.531637474,184.520813837,2.94516096972,582.546365034
70,550.240526709,43.5395,13.1207354541,123.483937512,133.375304928,123.434260339,0.787962,70,70.886460369,-127.541,65.9408,163.05621808,44.665,123.425,123.568,219.695414012,379.545403194,181.344009183,3.01713463972,530.94060241
71,609.608577055,48.0035,89.5689541876,126.001844794,278.031515719,125.916404473,0.792634,71,54.8475087747,-130.058,66.5033,107.35776492,44.924,125.903,126.09,231.533471186,408.636081538,189.231634749,3.1148851503,437.284346821
72,642.26878788,46.1816,229.535672246,128.530531338,280.348213605,128.448301469,0.793247,72,90.5960989219,-132.628,66.9858,90.6363394413,45.1685,128.432,128.611,306.873491469,395.972737495,182.672587806,3.14108626227,544.106512098
73,630.020945692,45.8606,10.4873445936,130.964824618,288.216585584,130.878863707,0.772944,73,109.808573438,-135.078,67.495,165.366685073,45.3909,130.864,131.052,206.987688128,470.910342667,199.331272308,3.14230119018,598.820966858
74,645.213733792,50.8157,13.740109917,133.086233809,409.87715644,133.013733861,0.780558,74,54.8816513973,-137.253,68.0258,114.082491561,45.5873,133.002,133.174,210.588813043,549.527685187,215.472460075,3.21365348923,341.070587829
75,633.054365163,53.2989,15.9768881059,135.183967215,357.476318858,135.110424061,0.778019,75,51.6631016937,-139.366,68.5119,180.321343593,45.8119,135.103,135.292,204.19163602,540.263579814,213.001608279,3.28281056178,569.09947488
76,568.675128763,55.0833,9.11704557743,137.114903125,306.154894917,137.048381611,0.788018,76,64.4264988869,-141.358,69.018,68.3361326139,45.9711,137.033,137.217,135.334391603,487.93717115,203.763528005,3.2870271714,278.537916632
77,620.391750516,53.6166,9.9013126702,139.756389254,278.204133893,139.675113339,0.778192,77,91.885262994,-144.027,69.4975,276.334296576,46.0986,139.665,139.86,281.343324796,499.26367513,203.564372793,3.30477352955,1005.53528005
78,505.721301944,54.462,8.19278515434,141.940122306,283.923762862,141.868703342,0.779455,78,65.7715262131,-146.212,69.949,148.164429175,46.2865,141.856,142.037,194.216183081,411.582347661,187.203194425,3.29521483992,485.475198909
79,533.952730337,57.6009,8.3686262122,143.950496492,221.93587008,143.87822768,0.811431,79,57.3809009502,-148.221,70.4526,175.66813196,46.4745,143.863,144.057,297.240317946,292.721492043,155.580453662,3.36167906723,603.925978144
80,453.353780458,57.9897,31.6468563418,146.513718402,252.011819184,146.441404251,0.803191,80,46.0854760168,-150.82,70.9118,214.469116555,46.6716,146.43,146.632,337.564878775,311.08018427,160.820658535,3.40472821447,710.27430613
81,479.605661917,61.3366,6.62424172587,148.752809728,267.024823603,148.663312986,0.810871,81,67.8309019481,-153.033,71.3921,179.782373654,46.8097,148.651,148.868,197.152360621,361.306153483,174.183265335,3.49963676461,502.974100914
82,539.872902994,59.8749,8.04523660403,150.862281047,110.730457813,150.788000845,0.833865,82,103.961991462,-155.136,71.8598,251.991295483,46.9671,150.768,150.959,370.741022284,397.531228762,182.002077702,3.48552096501,753.282260937
83,1002.8586459,61.3324,28.4305061857,153.137217096,230.66405389,153.063133574,0.824783,83,97.1262817712,-157.562,72.3614,261.374993684,47.1558,153.055,153.251,320.164299653,439.203418713,193.796281624,3.53138766289,842.572830015
84,450.334514859,60.625,9.33869475221,155.213175288,224.087149654,155.145399204,0.832149,84,55.3868172076,-159.672,72.8161,106.105836179,47.3344,155.129,155.315,158.616988355,324.494734968,164.457056983,3.56998842194,294.795205684
85,512.502187306,62.0411,6.59963599563,157.169522917,232.985727741,157.103052594,0.82362,85,85.162035777,-161.685,73.2392,122.387641997,47.5159,157.088,157.286,162.388938608,302.778297381,156.540572459,3.62288849045,318.758362451
86,412.630042427,65.586,45.5536779053,159.435096903,253.645430126,159.367442824,0.827465,86,33.6495878983,-163.937,73.7334,153.697637646,47.6939,159.349,159.547,259.307602364,286.949307035,153.298371602,3.66356527666,473.807395383
87,412.946660751,61.9486,49.1161353182,161.471018931,247.371475555,161.403558002,0.834178,87,36.024482929,-165.988,74.131,145.022840128,47.8646,161.392,161.587,224.907291703,284.035243764,151.784341541,3.64836856251,571.81261701
88,406.426791366,69.0413,11.0532383431,163.201440819,308.55137963,163.13633832,0.82282,88,24.1751999506,-167.717,74.5554,137.164668886,48.0346,163.122,163.316,236.50612535,376.030217248,179.19088116,3.70142975037,402.924772356
89,422.33434765,66.75,40.9754967495,165.146452464,244.172676771,165.092429745,0.832793,89,46.4756127425,-169.687,74.9928,148.556097213,48.2398,165.081,165.266,253.408171681,296.179214464,155.582401682,3.71864747459,487.61483151
90,560.374427573,72.9451,53.6654151307,167.738122541,251.974049531,167.681345883,0.799155,90,90.6976404355,-172.244,75.4173,169.88640427,48.3997,167.669,167.856,292.809373291,439.646012706,193.157401429,3.76788701656,613.976675706
91,557.917482556,70.0191,12.4538193866,169.81127583,401.971589913,169.756245921,0.808734,91,41.4102235196,-174.396,75.8552,112.721930966,48.573,169.739,169.925,232.856782284,448.317227106,197.184082755,3.74723814374,346.497412867
92,564.121296301,74.7029,18.8625091666,171.071603732,277.526193421,171.013710073,0.80997,92,98.6950577021,-175.6,76.291,198.221531152,48.7544,170.997,171.202,269.438688067,405.479781406,183.868134787,3.79746149508,619.592006228
93,958.220417771,76.6428,45.7745698353,173.127655413,284.332690304,173.072081404,0.79206,93,202.962487799,-177.644,76.6718,227.726228469,48.921,173.065,173.256,350.119641035,477.056838717,187.732233289,3.88869235826,710.361863382
94,765.049396837,75.7514,56.1683554591,175.088974831,402.521325392,175.03900544,0.798744,94,79.6449565509,-179.685,77.1004,184.478868259,49.1009,175.021,175.203,278.846834318,639.398724895,224.241682992,3.89811169178,544.404705165
95,599.705896354,78.3336,8.58783452095,177.058637184,357.310822062,177.00248214,0.835002,95,50.9436403425,-181.573,77.4651,260.853858544,49.2868,176.998,177.193,290.867486781,500.430897463,209.093964144,3.88008781248,739.671519895
96,815.411315991,80.662,41.7617653448,179.282028344,284.775230147,179.221000165,0.816816,96,124.85922919,-183.811,77.9166,137.990936888,49.4133,179.208,179.398,263.910957197,568.851907706,211.444893689,3.98060369222,524.459174091
97,1586.54863308,79.9482,26.5886589647,180.990701344,435.369693621,180.937977416,0.834319,97,251.009564837,-185.532,78.2865,195.435966502,49.5702,180.923,181.105,371.395182826,756.840674422,225.127604669,3.90736905264,574.52653855
98,1508.02026695,81.2984,16.200990811,182.774617908,350.165971533,182.720470836,0.836731,98,153.418980968,-187.34,78.7175,297.374972571,49.7008,182.707,182.898,355.804044078,635.785353317,222.307995344,3.98056724127,870.982850931
99,1854.07404617,88.6073,16.8551367706,185.11518858,277.862848546,185.055905199,0.829966,99,430.191403377,-189.746,79.1303,284.628768059,49.8568,185.039,185.237,317.946842097,1034.23210536,220.583310534,4.06399999929,868.631034429
100,1540.87397309,91.5751,7.38661762975,186.65152517,483.166624084,186.600525279,0.81962,100,169.775309437,-191.305,79.5515,225.550011976,49.9874,186.587,186.782,275.323807057,716.250307788,226.244798779,4.13609746404,544.154189202
101,1891.4788887,86.2302,18.5981884387,188.868706259,567.388007788,188.818418684,0.810648,101,293.941508734,-193.519,79.9574,208.799851044,50.1203,188.801,188.986,294.812485778,978.479145359,232.122984693,4.09032463083,614.520427638
102,720.536886771,83.0861,15.0487915648,190.445176762,198.259346949,190.395264457,0.820901,102,78.1226829849,-195.043,80.3871,127.736093015,50.3115,190.388,190.592,193.084238954,631.715584217,222.35382935,4.09519094665,476.656583577
103,1177.18367148,87.0557,10.9295362165,191.996361155,581.523574514,191.952689065,0.831288,103,165.923426007,-196.729,80.7737,260.963224246,50.4573,191.94,192.128,336.114557728,874.131522714,224.117311189,4.11196705393,721.649858254
104,1232.41024013,94.7575,8.64514405625,194.14505271,679.549529813,194.095680863,0.810146,104,141.806595645,-198.899,81.1836,302.219305342,50.5408,194.083,194.267,376.326780566,836.443997424,223.624022668,4.21435872101,887.16065424
105,695.975896981,85.9695,37.7281654552,195.926563803,281.968647394,195.880550739,0.789877,105,127.392042738,-200.648,81.5928,191.442604126,50.6661,195.864,196.052,330.718674419,534.806297407,205.28390727,4.19769644478,611.7222072
106,682.072889186,97.1452,105.017030311,197.761901381,304.324002684,197.716469144,0.791917,106,85.1805789476,-202.581,81.9911,304.116037932,50.7948,197.704,197.9,481.304838058,501.978826498,204.843329584,4.28446058683,974.06708781
107,646.792391366,101.969,9.87544426292,199.682716225,275.033066724,199.624985137,0.808071,107,82.3937257483,-204.434,82.4008,221.981960335,50.9147,199.611,199.819,228.285001517,550.102262346,215.115986147,4.31884449021,599.838875645
108,935.853775649,97.0192,61.4593409641,201.073481365,685.750299792,201.017598593,0.788718,108,85.2689009854,-205.877,82.7789,243.901068497,51.0576,201.002,201.212,341.462837001,776.82706969,230.415291434,4.27491471133,758.056360835
109,683.110016095,97.9799,32.1511439715,203.151375953,656.955535481,203.095219895,0.791855,109,6.48091457169,-207.979,83.1568,220.786909084,51.2344,203.086,203.295,321.662226402,669.931282634,227.064472868,4.32586448198,721.85046826
110,466.386724143,95.9544,21.9498329766,204.870701665,248.866658234,204.815150093,0.759719,110,64.1904661115,-209.642,83.5131,188.523285185,51.3262,204.799,205.024,253.920363788,330.080900478,166.047357368,4.33907016775,561.911506578
111,929.69368542,103.522,11.3120862846,205.871722601,436.862891643,205.824012535,0.775361,111,75.2993865836,-210.673,83.9087,178.25804261,51.4936,205.816,206.029,265.621858938,676.610630762,228.361616301,4.40020296262,570.615866562
112,1021.21135195,100.132,5.09633544956,208.108168047,562.333324798,208.055778554,0.772872,112,90.2477236063,-212.909,84.3267,178.640280835,51.6726,208.047,208.237,184.088886591,690.933575508,230.183143877,4.31613900554,640.604565617
113,715.920143759,108.916,12.6889003796,209.322684401,382.814675166,209.270980097,0.745605,113,95.5538189515,-214.129,84.6902,131.604711814,51.8282,209.261,209.472,177.78933304,451.63402429,196.561380922,4.40971092396,503.333423385
114,704.281925396,104.863,13.5545343422,211.02560094,380.387810854,210.961208594,0.761794,114,132.094254524,-215.886,85.1178,286.028491783,51.997,210.95,211.178,306.658062644,588.221346552,217.663640711,4.44471572379,792.829994683
115,784.8123743,107.332,92.9013791091,213.132040928,409.590143175,213.067396392,0.737165,115,133.073805362,-218.023,85.505,183.593675247,52.154,213.052,213.291,312.033288959,571.198434252,215.302946373,4.46399023238,662.893035063
116,631.723159496,109.018,15.7366258511,214.202170863,328.846048841,214.148435736,0.767334,116,61.4170681693,-219.033,85.9138,244.307206904,52.2931,214.134,214.338,279.260542074,523.376206489,212.513505287,4.44825996536,700.894550606
117,826.673713555,109.24,72.2176108339,215.906935077,421.987807544,215.846816232,0.76313,117,65.7703888559,-220.93,86.3027,339.266721607,52.4254,215.842,216.066,408.871837289,671.878071871,231.37171446,4.52619340612,900.433349177
118,691.234355251,102.883,52.4519036175,217.546400417,557.144099834,217.477978429,0.772363,118,32.8977297549,-222.596,86.7143,200.30871208,52.5791,217.465,217.693,275.859518578,659.966195722,229.725138753,4.42412616845,567.469215341
119,1293.26758906,111.825,59.1049273934,218.963073391,644.477611371,218.880199322,0.780729,119,169.01942893,-223.987,87.1268,223.830256662,52.7294,218.873,219.119,365.438261452,887.901330849,239.677954018,4.58916163637,654.803332245
120,966.092662404,119.414,83.8423304311,220.482663001,678.466591806,220.411137667,0.734998,120,70.9944956317,-225.592,87.5126,211.909538176,52.9131,220.391,220.645,318.560131973,709.885859646,232.178644707,4.6307068215,723.751641117
121,745.713187339,118.028,7.60497412207,222.352635805,549.83062992,222.284822631,0.739273,121,49.7334535375,-227.525,87.8538,247.163089052,53.0917,222.273,222.509,314.13720082,669.532723386,231.50893677,4.65275445502,806.37331803
122,951.130656248,114.158,35.0423007556,223.888740407,617.256972657,223.819633087,0.778577,122,85.0880945662,-229.003,88.2346,226.187663604,53.2313,223.82,224.07,329.341893033,733.718679719,235.059232243,4.67713537203,665.522426464
123,648.297358449,121.45,254.709233768,225.153480768,411.969425578,225.083167276,0.743988,123,56.4911849033,-230.284,88.5603,129.605019142,53.3774,225.067,225.308,435.868064891,498.869741731,209.246157488,4.68820814472,668.862079092
124,993.019098561,117.156,10.8579658452,226.811460298,405.078483711,226.734312127,0.775034,124,125.509389948,-232.093,88.9208,135.724017668,53.4999,226.721,226.961,204.393237961,691.626706732,226.663690444,4.71674977592,450.748428823
125,1015.33777337,120.196,9.67531019419,228.292871946,465.43714353,228.227415593,0.773352,125,77.2707995476,-233.477,89.2591,294.427014964,53.6606,228.216,228.454,381.172025739,696.590852048,233.477015913,4.79954202992,739.371020504
126,542.50620728,125.74,17.1699831741,230.17717412,439.530324692,230.115668739,0.719411,126,19.357346014,-235.375,89.6554,186.493092961,53.7999,230.108,230.339,331.809335655,472.309808627,204.519479486,4.74232413123,701.063631478
127,493.815351426,120.986,10.7365704162,231.23793752,416.988061822,231.179621362,0.74607,127,15.0166862397,-236.456,90.0002,209.002714889,53.8835,231.162,231.405,251.921608701,463.548492432,201.946958234,4.74520083297,707.590378553
128,2087.7469704,123.393,68.5218825881,232.921867122,416.65191239,232.857294549,0.767905,128,204.600910419,-238.027,90.3358,125.242895577,54.0304,232.848,233.09,277.724002346,492.026114681,202.344466006,4.78061850822,491.854116636
