MinReturn,PolicyRegParamNorm,AverageQ,StdEsReturn,StdReturn,AverageReturn,AverageAbsQYDiff,AverageAction,Epoch,MaxEsReturn,AverageQLoss,AverageY,QFunRegParamNorm,AverageAbsQ,AverageEsReturn,Iteration,MaxReturn,AveragePolicySurr,MinEsReturn,AverageDiscountedReturn,AverageAbsY
166.652313296,21.4368,1.47311,48.5608631729,1.43676057006,172.511779037,0.0723053840114,0.792103,19,200.829130815,0.0220937,1.47391527088,15.1496,1.47543,165.765094629,19,175.41100748,-1.60715,7.37934249451,111.501737112,1.4750573216
168.186616946,22.4991,1.67665,50.786564382,3.98849045076,177.718500521,0.0801089186278,0.543246,20,189.277461973,0.02797,1.67771005806,15.9476,1.67899,147.611167218,20,185.015331442,-1.81748,29.9352133748,112.8780704,1.6788677261
167.394832496,23.6565,1.86976,36.3168895947,2.04718566717,173.990272722,0.0838267421133,0.757127,21,198.164797279,0.0297657,1.87076434756,16.6593,1.87244,165.047733324,21,177.734567956,-2.02112,74.6095848868,112.171706304,1.87180940681
174.270224726,24.6792,2.08172,50.5239157037,1.6004148321,176.689247446,0.0900328070871,0.669895,22,186.454345415,0.0341368,2.08270721845,17.4291,2.08452,147.556397439,22,184.105508541,-2.24363,16.7384424811,112.91290405,2.08361752078
186.275690758,25.6171,2.28195,59.2090295546,5.93489132155,196.362044966,0.0909605731203,0.713917,23,190.310848244,0.0341313,2.28261671666,18.1262,2.28482,137.836466248,23,209.637705883,-2.45725,26.7351765312,119.092774908,2.28351240527
169.728417218,26.4119,2.4883,33.6528553665,1.41876117154,172.51301777,0.0969542877889,0.799181,24,207.575210333,0.0393626,2.48920132713,18.8638,2.49119,169.35803991,24,176.789673763,-2.66281,69.9783245316,111.426568884,2.4899177692
177.078369621,27.1827,2.69625,35.0960766365,3.73722135672,183.529139837,0.0970654776706,0.805828,25,207.843641384,0.0377435,2.69735204678,19.5334,2.69932,167.472784678,25,191.197537016,-2.88142,86.4935147994,115.313145298,2.69796109851
179.303475293,27.7988,2.89308,58.4758598672,4.24830969294,189.094557185,0.104811325626,0.754486,26,184.18830615,0.0444376,2.89383580952,20.2091,2.89657,127.982556528,26,201.432300614,-3.08092,7.74156580135,116.91297616,2.89455295291
182.155075319,28.5939,3.08546,60.678931371,1.54573219262,185.53448833,0.103465561517,0.791955,27,201.656349602,0.0438799,3.08618407003,20.854,3.0894,148.072601703,27,189.787909499,-3.27191,9.7117224479,116.939701709,3.08684850769
180.808068146,29.1429,3.28199,46.1179870228,3.0924292439,188.19902257,0.106925668884,0.797995,28,215.433946024,0.0458859,3.28278071077,21.4373,3.28563,165.082680532,28,195.481423377,-3.48526,75.6037222369,118.056851897,3.28354261016
186.661256113,29.731,3.488,62.1688419681,1.36664603847,189.042840263,0.113502586984,0.848998,29,209.415627863,0.0529348,3.48879175128,22.0355,3.49216,149.852492662,29,192.152860468,-3.68989,17.4918324152,118.045003364,3.48959098918
182.609691293,30.413,3.68417,57.2990682668,1.88481772378,186.345639409,0.114093537167,0.875877,30,229.370335305,0.0479344,3.6850817642,22.5593,3.68822,168.28853174,30,190.065409107,-3.88902,15.9278700037,116.937919732,3.68572141971
187.439946202,31.0117,3.85941,42.7523943769,0.806758172453,189.14055374,0.120858341306,0.761128,31,191.694085224,0.0576835,3.86042193003,23.1615,3.86384,168.009677853,31,190.872374495,-4.06731,28.9209388069,117.880339405,3.86119188335
173.361932017,31.5973,4.06117,47.6304409568,1.08828148817,176.597157886,0.123826619233,0.775748,32,194.229616258,0.0632843,4.06186928826,23.7551,4.06569,166.054874728,32,178.288253808,-4.26419,14.8641327266,112.435567001,4.06287092106
170.78432388,32.2636,4.23508,34.2132858552,0.957362843911,172.986356078,0.128197253328,0.721735,33,193.882607419,0.0707576,4.23599242486,24.2493,4.23933,164.74515164,33,175.17356486,-4.44106,80.4735893018,111.332244256,4.23686770578
