AverageAbsQYDiff,StdEsReturn,AverageAbsQ,AverageReturn,AveragePolicySurr,AverageDiscountedReturn,AverageQ,Iteration,MaxReturn,MinReturn,AverageQLoss,AverageAction,PolicyRegParamNorm,AverageAbsY,MinEsReturn,QFunRegParamNorm,MaxEsReturn,StdReturn,AverageEsReturn,AverageY,Epoch
0.327796430902,36.6145127008,10.4258,172.772783538,-11.4531,111.273786147,10.41,19,176.1845167,168.547432024,0.368603,0.960451,16.3958,10.4240539659,40.5248380071,20.1341,190.196133137,1.80110730232,162.506264178,10.4128498306,19
0.375124877826,52.9092769343,11.8139,172.388511359,-12.9933,111.746657607,11.796,20,178.963686637,158.506082574,0.504439,0.862729,17.7227,11.811817707,4.33599557766,21.051,178.54072842,5.35827551262,140.401597869,11.7983702531,20
0.408665849888,57.9715547193,13.2981,173.849046435,-14.6413,112.278268818,13.2829,21,177.800604136,170.994522111,0.606448,0.750911,18.7451,13.2955163633,30.8041129186,21.858,197.350309463,1.45223863318,149.220874581,13.2861818717,21
0.45702697298,57.0622496452,14.9837,171.229842647,-16.3759,111.297026276,14.9678,22,174.994777327,166.001430655,0.826941,0.643795,19.3448,14.9798405068,15.8919924179,22.7443,207.618482535,2.0858092557,126.352764071,14.9703301946,22
0.523998336291,49.819599764,16.581,172.87451481,-18.057,111.837283714,16.5653,23,175.270780562,169.755600338,1.11651,0.651865,19.856,16.5764419402,3.64388221162,23.7303,179.089124804,1.40810160914,139.491735445,16.5674257393,23
0.560938531882,18.2754937678,18.2416,171.039587786,-19.7956,110.650965068,18.2273,24,173.497728047,166.031930792,1.3767,0.688167,20.1601,18.2377789512,117.999134515,24.7245,180.205750276,1.29199930085,166.241364085,18.2311726879,24
0.618632874075,19.7685657069,19.8272,171.79435023,-21.4275,111.534894347,19.8129,25,176.021720585,168.551564642,1.65642,0.698827,20.7542,19.8242455466,107.508016601,25.639,180.950108313,1.67097782007,165.405196781,19.8172139834,25
0.664496852932,23.7296082513,21.4383,173.845640695,-23.1177,112.351450472,21.4235,26,180.264970973,171.502078279,2.02592,0.575511,21.1891,21.4345279736,109.66558167,26.649,193.691130618,1.43260347869,161.715977016,21.4276906302,26
0.659376081752,49.8062597089,23.2059,225.908706997,-24.9383,133.136881688,23.1911,27,230.468476331,219.31233926,1.96227,0.500536,21.714,23.2017972221,56.3246691033,27.5547,205.64255044,2.64916195004,146.805724462,23.1952677912,27
0.739677785585,74.6387746533,24.8511,285.537190971,-26.7114,154.392295787,24.8378,28,296.824148647,275.289035916,2.41006,0.512054,22.0687,24.8482570372,20.4882893546,28.4529,270.794113481,5.29019230096,203.747921135,24.843049617,28
0.80282268169,70.3823267701,26.7218,342.722415686,-28.6673,170.944552915,26.7059,29,359.167563622,319.757018168,2.84624,0.554951,22.511,26.7165810788,95.570215532,29.3139,368.378938605,6.44894678557,241.534938754,26.7120385528,29
0.799093170906,101.837366444,28.7164,369.780574779,-30.6868,180.796074488,28.7009,30,385.919029477,351.248648083,2.7228,0.592319,23.0296,28.7091182561,62.2601506286,30.0711,376.149233362,7.62979061262,251.833056074,28.7054401432,30
0.93089884872,117.387017666,30.6125,397.53479283,-32.5863,185.297473729,30.5956,31,412.40583493,379.148150458,4.07997,0.522541,23.5611,30.6062521846,18.0458174849,30.8848,372.692013726,7.29009424733,222.257269432,30.6020955194,31
1.00350905525,78.3886298518,32.5935,399.461608732,-34.5348,184.603233284,32.5734,32,417.051624762,375.574812755,4.82178,0.588964,24.0455,32.586369298,80.2107704805,31.6747,352.677475971,9.37471005662,266.611542013,32.5817376221,32
1.00892378316,125.604455507,34.623,374.296147173,-36.673,181.000245564,34.6037,33,378.347968735,370.217350861,4.94075,0.604141,24.5843,34.6130866013,144.737400985,32.4384,540.203337717,1.94377481884,322.820415525,34.608729773,33
