AveragePolicySurr,AverageReturn,Epoch,PolicyRegParamNorm,AverageAction,AverageY,AverageQLoss,AverageAbsQ,StdEsReturn,AverageAbsY,MinReturn,MinEsReturn,AverageQ,Iteration,StdReturn,MaxEsReturn,AverageAbsQYDiff,MaxReturn,AverageEsReturn,AverageDiscountedReturn,QFunRegParamNorm
-70.5147,293.003244922,46,28.8545,0.370843,67.7127535056,21.8707,67.751,74.5149073821,67.7357423936,257.835512798,56.3727939035,67.6981,46,24.5546593416,293.428333184,2.03060845616,353.02558817,218.916539523,154.572235219,47.0769
-72.8489,305.290887071,47,29.0567,0.475019,70.0752350295,19.3057,70.1079,96.5907108559,70.0900508937,271.191547518,73.9878215904,70.0612,47,23.4998432692,365.93465579,1.9485611089,365.172405792,184.129128139,157.382791308,47.8192
-75.145,478.343244745,48,29.2949,0.604099,72.3396489862,20.9466,72.3731,94.5389997099,72.3580877989,252.413921809,45.9202715799,72.3227,48,104.389301419,351.131788981,2.02753711449,548.544481705,210.244030868,189.425928275,48.5448
-76.935,268.788008508,49,29.5596,0.5356,73.9676506685,26.3996,74.0025,142.762371438,73.9859069881,258.598777959,18.7672799619,73.9463,49,3.86188585308,522.279391627,2.16440017161,286.325975198,247.310784702,146.820007012,49.3512
-79.11,179.133313812,50,29.8095,0.47195,76.2215092992,27.6455,76.2755,107.7493401,76.2461240634,167.576433599,10.5912843934,76.2118,50,5.21412778013,330.793718415,2.22676231041,188.98030767,177.330797666,112.60426419,50.019
-81.6468,375.243182699,51,30.0975,0.59666,78.787416941,25.1251,78.838,106.903205759,78.8111684898,367.915136859,65.7625110373,78.7781,51,2.44299587674,352.857196292,2.2055437458,379.315531432,227.725540749,182.049793615,50.8465
-83.4926,357.826530799,52,30.2673,0.474386,80.5009947741,28.3224,80.5394,121.189855407,80.5240511632,321.363562228,9.70169022097,80.4805,52,14.7723156927,374.008310825,2.32124433757,382.621846978,200.097788913,173.906840295,51.5
-85.9597,376.914899598,53,30.563,0.50001,82.9815550726,29.9073,83.029,98.5341480271,83.0040432735,307.662385007,31.8785388112,82.9626,53,17.8788951053,325.587469178,2.30031871832,389.80627911,194.251695837,181.949457723,52.2503
-87.5843,377.387192913,54,30.8027,0.621189,84.6340185588,30.1961,84.6788,92.1903378903,84.6579422377,370.855002938,24.2745395892,84.6168,54,2.44887761146,353.91394771,2.35036242942,381.841430802,255.328068814,183.197161659,52.9498
-89.6399,375.901320074,55,31.0692,0.698134,86.6477902896,29.9504,86.7039,64.9772107448,86.6742064055,352.766910027,168.517338204,86.6371,55,11.2998956917,359.511345965,2.3528312206,392.037385189,269.143832834,182.193285641,53.7138
