AverageY,AverageAction,PolicyRegParamNorm,AverageQ,AverageReturn,AveragePolicySurr,MaxReturn,QFunRegParamNorm,AverageEsReturn,AverageQLoss,MinEsReturn,AverageAbsQ,AverageDiscountedReturn,Iteration,AverageAbsQYDiff,MaxEsReturn,StdReturn,Epoch,AverageAbsY,MinReturn,StdEsReturn
59.5292999836,0.608539,32.1821,59.5197,2073.33941121,-61.9008,2314.66049616,47.1606,132.298811374,11.0823,11.5201997282,59.5964,203.592745866,43,1.52455183972,331.127761528,480.335877437,43,59.561589671,618.542540308,95.3066954365
61.5375913542,0.527699,32.5725,61.5293,421.078273915,-63.9778,773.92980409,47.9496,204.439566284,12.9129,20.9120753034,61.624,178.818939023,44,1.62718281164,395.902316749,126.886739623,44,61.5846233332,274.725576769,90.8212232007
63.5673669385,0.500426,32.9278,63.5564,376.559295535,-66.0208,773.581910696,48.8898,207.252792045,14.8814,19.3727986481,63.6647,157.815135337,45,1.7147466479,420.60656191,106.623475916,45,63.6324385508,244.923232646,109.947841278
65.4810096578,0.54789,33.2045,65.4741,278.933660705,-68.0482,341.774207495,49.6175,131.779897488,14.8226,10.1983203144,65.6241,146.427020269,46,1.74187609437,337.148643393,24.8699687984,46,65.5793863376,254.999028438,98.0733625629
67.621537708,0.632229,33.5803,67.6165,375.749265182,-70.153,2626.52477777,50.4199,175.873577314,14.5215,7.62316732698,67.7758,156.060811257,47,1.78355869758,347.091979697,410.490727718,47,67.7287639359,186.100486716,115.660090763
69.4607343812,0.642475,33.9219,69.4504,320.8549555,-72.0065,367.169536224,51.1965,200.085551532,15.5024,13.6254503388,69.6454,151.994655665,48,1.79586809512,367.374204444,20.5563462767,48,69.6039670587,267.687655185,136.633368134
71.385944915,0.604427,34.2803,71.3768,305.279514054,-74.0492,337.655714062,51.9633,246.966260121,17.333,7.1142747795,71.5865,156.039524079,49,1.88967834045,383.509183747,16.8850355425,49,71.5418493005,268.723218445,115.370188157
73.4320840455,0.598128,34.5922,73.4275,338.633633827,-76.1453,395.567727281,52.8427,225.70064156,17.0259,90.6282635186,73.6259,160.204539051,50,1.91554663082,422.811419894,35.3324168021,50,73.5779443845,253.920511062,106.107830649
75.4532177001,0.585577,34.9884,75.445,307.549279695,-78.1531,406.313769652,53.6909,198.680528909,19.3193,13.8858016717,75.6579,156.837001209,51,2.05240581251,422.400083055,22.1144689067,51,75.6150704045,266.453470215,133.629979819
77.4876717868,0.638483,35.3436,77.4827,193.531045567,-80.2783,217.995034703,54.4955,155.919614615,19.7702,19.9953166046,77.6925,120.695085797,52,2.04817896537,426.719522066,7.62800125271,52,77.6405618588,177.601960034,135.917301878
79.1947009021,0.697994,35.6686,79.1835,270.844452169,-81.9405,548.457021561,55.3124,164.519550977,19.7164,23.1042606048,79.4293,145.234332862,53,2.07266803003,381.595637236,85.5062790055,53,79.3793060938,142.677357417,122.450888543
81.3155141583,0.633002,36.0354,81.3097,399.431442486,-84.1566,689.147801132,56.116,206.144339776,20.8798,63.9931293627,81.4873,173.394511511,54,2.11216633934,366.228585042,156.574830502,54,81.4359116626,120.353789352,88.5444549743
83.4243773744,0.670065,36.359,83.4157,229.214284185,-86.3627,315.30983016,56.8816,189.948571304,22.1736,4.28488369495,83.585,132.788832948,55,2.18628514145,389.970071244,48.3038589304,55,83.5306159045,118.62307865,125.141795162
85.416934188,0.654315,36.6525,85.4063,230.99045982,-88.3161,309.894309364,57.6138,146.702070136,22.3431,12.2675458994,85.5654,133.799820016,56,2.2199063077,345.829902517,48.9892110807,56,85.5145015894,137.870270805,96.7570759071
87.5045447745,0.620814,37.0012,87.4977,347.981055937,-90.4559,425.228891063,58.3597,215.195555294,25.4241,32.9713375333,87.6261,171.352168963,57,2.25253045832,358.22739745,23.1353667952,57,87.5723372001,246.942741172,111.648826749
89.4644260443,0.71772,37.3147,89.4532,354.468505381,-92.5227,586.311431877,59.1505,202.990537983,25.3519,35.0833645739,89.564,174.059118389,58,2.34452151753,352.445686484,54.4237440429,58,89.5095740438,318.43037646,108.604722587
91.3477815712,0.702893,37.6162,91.337,313.028109334,-94.5196,337.705018009,59.9577,207.038467368,27.2885,36.7288050874,91.4497,161.180841062,59,2.35306205179,384.139762029,11.5659943154,59,91.3966129969,260.496325235,115.452340941
93.7814260804,0.673758,37.9104,93.7714,247.323168123,-96.9072,300.660012765,60.8197,189.184664339,25.4553,11.359226269,93.8698,139.749236388,60,2.41262118173,367.428682667,23.868704683,60,93.8158784907,204.531185286,119.027829312
95.6851450734,0.694173,38.2202,95.6744,337.668623525,-98.8946,375.475943068,61.6563,174.228219777,28.2915,10.7267096299,95.7772,168.752577299,61,2.44236111022,367.484382822,21.5428668006,61,95.7225301794,246.853891805,98.8735622411
97.7057737844,0.697814,38.4937,97.6943,296.028897251,-100.882,328.597159598,62.4193,180.991757325,26.3552,34.1482851341,97.7809,155.285207189,62,2.40356897973,336.070387309,26.0809048754,62,97.7318857877,228.411488436,104.517015496
99.4827001898,0.671682,38.7419,99.4707,270.898603508,-102.814,296.687994761,63.1195,142.479912005,30.1157,26.8220281991,99.5578,146.435321493,63,2.49850208023,360.066022693,24.2738767883,63,99.5073873058,218.148980798,111.607922152
101.746211536,0.679775,38.9564,101.742,324.661008401,-104.991,351.141535629,63.86,250.328473047,27.9986,22.4196596128,101.83,164.110044072,64,2.50831245544,355.419182229,10.3211822495,64,101.769893005,291.154770097,117.89001362
103.703228216,0.70387,39.2068,103.688,314.373714894,-107.044,338.965291239,64.6716,196.783566535,30.5257,27.3329517709,103.786,161.15397346,65,2.62845167573,337.557148766,14.2091096918,65,103.73024563,267.149641238,74.9722846554
105.736434497,0.677564,39.4465,105.73,315.868371959,-109.082,326.998254729,65.3473,195.827798895,32.4067,9.33345378431,105.834,163.43167179,66,2.68530433421,330.595107715,4.54390434606,66,105.761074596,307.968261043,114.503671459
107.804704265,0.6652,39.6581,107.791,286.451829026,-111.236,313.587019959,66.0324,179.484895917,34.5002,54.1579162021,107.888,153.759377513,67,2.75189764952,320.255934753,11.567100252,67,107.825867292,260.071704481,92.4657827851
109.685527457,0.648818,39.9088,109.673,267.507402715,-113.169,287.008023386,66.7211,156.319327174,33.9716,39.6567843118,109.772,146.703522752,68,2.76884745142,329.759041325,7.77950884044,68,109.707698249,250.569144758,93.3260705082
111.695439644,0.646192,40.1475,111.681,208.708717473,-115.165,236.581852896,67.4687,178.35425354,33.7963,24.5775428873,111.779,125.997819345,69,2.7919398238,311.702968854,19.9616715494,69,111.711694684,157.210445224,104.122977828
113.471457592,0.625679,40.344,113.459,276.29047084,-117.031,315.783424352,68.1608,178.679040458,36.4552,36.8073510438,113.55,146.617132359,70,2.8778548822,291.191493782,9.46987984055,70,113.490740596,262.871772115,84.3723345581
115.208728881,0.634563,40.5673,115.196,229.452356467,-118.854,260.16285695,68.9105,194.752844515,39.4268,11.0910318591,115.301,133.391596434,71,2.9594123226,304.043476949,7.42647668358,71,115.227552831,210.917878021,101.245429192
117.366416401,0.644048,40.7832,117.358,265.55919682,-121.072,307.315207223,69.5367,180.595167486,39.7476,21.6277995821,117.469,146.428927276,72,2.92435177646,330.387161694,8.94195113789,72,117.388909587,244.709319204,120.611125124
119.096387237,0.60339,40.9643,119.082,240.689202456,-122.752,269.823906756,70.1477,223.97275415,40.5741,25.8377813357,119.2,137.509530773,73,3.01682566676,299.374116716,21.5771713195,73,119.11778247,162.680591672,70.8584815948
121.237624717,0.626844,41.1691,121.229,240.776093119,-124.899,271.055655724,70.7831,222.679647326,43.7382,31.9700345933,121.342,137.208319828,74,3.05547515857,298.423137211,24.1446199901,74,121.260140279,29.5368332237,83.6181681247
122.895014689,0.629474,41.355,122.884,235.845001613,-126.594,252.313923576,71.4414,154.223731991,42.5406,3.67549340651,122.994,135.6745293,75,3.05485264649,271.995644325,9.26618146887,75,122.917605834,211.740854512,107.843114194
125.101282615,0.667769,41.5732,125.089,268.833552006,-128.837,288.102183494,72.1854,169.701976754,44.4773,8.15401521116,125.195,145.583543415,76,3.09794020947,330.873974684,8.53294926354,76,125.124123239,249.806880885,113.561412521
127.143072683,0.68998,41.7465,127.136,276.936087439,-130.803,309.190724223,72.6782,164.153172136,42.743,10.78168482,127.258,150.465983082,77,3.05439029907,280.127090895,13.8569250096,77,127.167485455,239.859402267,105.893047066
