MaxEsReturn,QFunRegParamNorm,StdEsReturn,AverageAbsQ,StdReturn,MaxReturn,Iteration,AverageDiscountedReturn,AverageY,AverageAction,MinEsReturn,AverageQLoss,AverageAbsY,Epoch,AverageEsReturn,AveragePolicySurr,AverageQ,AverageReturn,PolicyRegParamNorm,MinReturn,AverageAbsQYDiff
55.0,22.934,13.9802269496,0.33523,0.0,1000.0,45,99.9956828753,0.334143990864,0.0950048,2.0,0.000783941,0.334627132239,45,19.2307692308,-0.381369,0.33412,1000.0,25.9221,1000.0,0.0129518555011
93.0,23.1408,20.3901601996,0.340672,0.0,1000.0,46,99.9956828753,0.339330077208,0.0865948,2.0,0.000938166,0.339904621481,46,18.4716981132,-0.387895,0.339317,1000.0,26.1951,1000.0,0.0139349446681
83.0,23.4301,15.9105694433,0.350176,0.0,1000.0,47,99.9956828753,0.348865868283,0.16999,3.0,0.000819919,0.349394640881,47,20.7872340426,-0.397589,0.348838,1000.0,26.4639,1000.0,0.0127814347785
103.0,23.6736,25.5447907053,0.356571,0.0,1000.0,48,99.9956828753,0.355087898535,0.445103,3.0,0.00104521,0.35564154478,48,30.4117647059,-0.405381,0.355067,1000.0,26.6894,1000.0,0.0147731538823
135.0,23.9736,29.3814489059,0.366055,0.0,1000.0,49,99.9956828753,0.364684307415,0.462074,3.0,0.000900285,0.365259630222,49,27.027027027,-0.415066,0.364648,1000.0,26.863,1000.0,0.0136565910783
143.0,24.1243,26.6544972232,0.374535,0.0,1000.0,50,99.9956828753,0.373205485261,0.480527,5.0,0.000894124,0.373674966003,50,22.4,-0.423332,0.373181,1000.0,27.0525,1000.0,0.0136043213105
72.0,24.3484,18.6368070901,0.382309,0.0,1000.0,51,99.9956828753,0.380865870278,0.381199,3.0,0.000905027,0.381491782855,51,22.1818181818,-0.432597,0.380842,1000.0,27.2978,1000.0,0.0135607732368
55.0,24.5796,12.1030241875,0.390549,0.0,1000.0,52,99.9956828753,0.389087761892,0.524651,3.0,0.00105574,0.389703395761,52,17.3050847458,-0.441554,0.389059,1000.0,27.5701,1000.0,0.0139690062828
58.0,24.7806,13.2915715384,0.401241,0.0,1000.0,53,99.9956828753,0.399798224,0.503579,3.0,0.00107638,0.400378043918,53,17.2413793103,-0.45287,0.399754,1000.0,27.8858,1000.0,0.0145596529866
96.0,25.0801,13.9282646613,0.410318,0.0,1000.0,54,99.9956828753,0.409148341463,0.573069,3.0,0.00101381,0.409817541974,54,15.1363636364,-0.462166,0.409114,1000.0,28.0375,1000.0,0.0141545353213
