AverageAction,AverageQLoss,MaxReturn,MinReturn,MinEsReturn,PolicyRegParamNorm,QFunRegParamNorm,AverageReturn,AverageAbsQYDiff,AverageAbsY,AverageDiscountedReturn,StdEsReturn,MaxEsReturn,AverageY,StdReturn,Epoch,AverageQ,AveragePolicySurr,AverageAbsQ,Iteration,AverageEsReturn
0.687782,0.717894,174.695320997,166.437300649,3.55608022764,20.7134,21.9763,171.480999583,0.349266334285,11.1440766713,111.179526841,55.756309663,181.682953327,11.1372021608,1.8416754609,19,11.1348,-12.3013,11.146,19,144.347793545
0.613574,0.901583,175.254555386,168.539011266,96.6185824552,21.8558,23.3208,171.975748316,0.411084611938,12.9013953575,111.707509899,27.9178327087,179.102491526,12.8961760964,1.50188867774,20,12.8939,-14.1664,12.9039,20,159.239506994
0.53626,1.19453,174.06708824,167.531996454,32.8470212519,22.5561,24.5761,170.860224118,0.45241545169,14.6804493261,110.987088795,60.5236238837,188.793618532,14.6745391345,1.30422192123,21,14.6711,-16.0823,14.6828,21,136.642802347
0.583443,1.32567,173.939488478,166.262834434,44.9868644607,23.3049,25.8255,171.072848541,0.49831841003,16.5098382126,111.228444315,39.3962578322,179.398278711,16.5045021707,1.365906882,22,16.5016,-17.972,16.5136,22,150.637265324
0.566427,1.60331,173.599737643,167.922151782,3.579659992,24.0132,26.9782,171.043989804,0.534415662106,18.365760439,111.059405789,50.4632918452,204.887372128,18.3600094264,1.02737021512,23,18.3548,-19.9254,18.3668,23,157.920146271
0.588426,1.58468,174.805660837,168.565205725,3.48939762988,24.8022,28.1266,172.095557117,0.561378545578,20.1878778504,111.598620134,59.7916621176,175.098179046,20.182554753,1.14331840222,24,20.1795,-21.8121,20.1931,24,135.244720516
0.505304,1.73808,176.741765707,168.852705646,82.0855402627,25.4885,29.2321,173.390258314,0.584118314477,22.0465969406,112.16647791,35.9975623523,215.607659092,22.0413617826,1.55373003227,25,22.0372,-23.7254,22.05,25,161.242005101
0.516395,1.99446,179.509964653,175.500360157,5.52726738761,26.0987,30.2413,177.366889825,0.631034791407,23.9359919813,113.577148098,54.0341686173,203.152005847,23.9303361805,0.893175380143,26,23.9245,-25.6925,23.9383,26,150.364150271
0.504071,2.33264,183.233888354,168.887266444,53.6560441355,26.6099,31.298,179.947110187,0.663683058556,25.8167947394,114.829710048,44.0819285694,195.941111087,25.8118413363,2.93238026943,27,25.8075,-27.5971,25.8219,27,144.717245672
0.522231,2.42593,186.023721894,162.699775047,13.9483111157,27.074,32.3434,182.218183439,0.664560745246,27.5744911019,116.152111751,56.4083786996,188.830322038,27.5699817617,3.45294509752,28,27.5657,-29.3987,27.5813,28,139.006075699
0.530685,2.81485,189.119216226,169.341200135,18.2447467843,27.5084,33.1827,184.528149774,0.712642304467,29.3124105771,116.562572509,63.2842739991,220.481100404,29.3072675524,4.35106532322,29,29.3022,-31.122,29.3204,29,144.857889592
0.495677,3.19693,289.830600289,153.850977871,5.591755675,27.8649,34.0505,179.65331273,0.764555750903,31.0587511777,113.466479805,75.7536435433,297.315053994,31.0463526576,40.2465591959,30,31.0408,-32.9429,31.0694,30,185.335228368
0.580894,3.84375,446.228345868,162.668833918,107.250189376,28.245,34.8546,289.287465762,0.834387185987,32.85569277,149.962255481,81.2625887119,369.462633638,32.8444874342,45.7422596136,31,32.8395,-34.8885,32.8644,31,199.856792315
0.347038,4.31479,330.545331381,314.946950874,22.7358759383,28.5816,35.6812,322.141839288,0.863847955131,34.6815229075,159.343178572,108.443780763,349.361097154,34.6514167165,2.76444594092,32,34.6461,-36.6408,34.6912,32,215.298049703
0.471091,5.30086,326.810424242,295.501545009,61.1378507809,28.9381,36.4442,318.624285613,0.96057448697,36.6005143754,164.344758759,117.433627859,409.657828992,36.5640574601,8.50101485869,33,36.5551,-38.7377,36.6099,33,236.416290218
0.385369,5.65541,289.630400651,269.782908805,58.9483117124,29.3345,37.1927,282.582889444,0.961750197451,38.8079390147,150.92111436,106.060081476,348.107411645,38.7773244576,5.1087317242,34,38.7741,-40.9671,38.8257,34,219.212616615
0.43547,5.81111,263.102100971,248.711424829,5.32799060426,29.7363,37.9623,256.437728776,0.987640281169,40.7256499937,145.959333664,88.1212083085,339.149871264,40.7035037843,2.51923660651,35,40.6976,-42.8962,40.7369,35,231.022729795
0.528865,7.35357,337.15409706,308.315320297,79.4794882275,30.2274,38.7892,321.636897664,1.12272210764,42.7857228694,164.056558631,76.2013361626,330.173228742,42.7544591104,6.76222231773,36,42.7467,-45.0022,42.7976,36,264.475034143
0.426665,6.86103,378.573914652,343.133201885,20.209334872,30.57,39.4742,364.991670097,1.10779625221,44.7165657301,178.036522096,107.200697361,332.860888521,44.7001347536,6.17650301723,37,44.6939,-46.981,44.7333,37,204.568585851
0.495928,7.789,386.120908207,329.585067426,36.6752025413,30.9913,40.2963,368.13089075,1.17051521052,46.5850858523,178.54411307,116.244853075,410.397413914,46.5616114041,13.8309122162,38,46.5556,-48.8861,46.6046,38,234.023177399
0.456105,9.07333,380.435810635,328.035803211,106.336915604,31.3795,41.0508,363.292889789,1.22045304889,48.5999508926,179.205937625,135.704214145,485.180947483,48.5771373793,10.0628145624,39,48.5703,-50.9188,48.6166,39,261.604492357
0.475129,8.65789,360.216268404,336.41545679,63.9633310936,31.7763,41.7423,348.42847608,1.22550370566,50.7357148092,176.094133225,108.749300848,418.567192172,50.7230415337,4.42114893707,40,50.7159,-53.0709,50.7534,40,321.86904044
0.543118,9.07905,234.957399893,116.294551559,199.304919177,32.0803,42.419,152.934348657,1.26513971207,52.9737126465,97.6872186194,130.840681674,575.433459084,52.9572374723,40.1006218551,41,52.949,-55.3771,52.9907,41,316.167500417
0.515896,11.3633,337.507644957,285.163087183,8.937489611,32.422,43.1464,313.636550829,1.3589002366,54.9102750989,161.865216738,109.124668932,386.635179687,54.8965980342,10.3693682932,42,54.8881,-57.285,54.9286,42,153.460394078
0.443809,11.1559,397.347386879,309.186381264,40.7862876965,32.6291,43.9335,361.062508838,1.40413584501,56.8718446282,172.85979469,122.95303707,387.551078616,56.8599932627,17.1258767677,43,56.851,-59.346,56.8952,43,204.218779223
0.516513,11.7201,294.541872232,174.473554424,28.5930925003,32.8409,44.7481,253.308722673,1.41774133876,58.8603313288,140.565853301,117.312174542,374.375795642,58.8460086797,48.2028744198,44,58.836,-61.3642,58.8782,44,193.577048797
0.437612,12.8293,405.868931094,252.437159328,22.6034323467,33.0143,45.4552,331.923010409,1.47803718912,60.8772335146,163.367933534,132.216858838,409.664235577,60.8637732553,32.3070513901,45,60.8575,-63.3806,60.8996,45,229.677546462
0.586285,13.9309,407.04289456,374.160756176,82.9168170666,33.1933,46.1376,388.765634633,1.50836294442,62.8686904091,183.018897287,63.3944687486,259.043061656,62.851616925,7.33830703374,46,62.8401,-65.4163,62.8893,46,176.838320968
0.575829,13.02,390.67760927,360.108468575,29.359120389,33.4904,46.8449,375.925551405,1.52180339995,64.7980140541,182.58884106,136.21332883,403.213047877,64.7858570077,7.00817680672,47,64.7773,-67.3123,64.8213,47,221.155944201
0.465904,15.4193,568.435839083,368.066811605,16.5926376721,33.7152,47.5513,435.220649653,1.61485769527,66.7105942202,185.602470766,162.290327723,556.114137886,66.6931451564,79.7275821411,48,66.6813,-69.2669,66.7319,48,284.290341701
0.633829,17.728,386.069739712,372.294301394,5.03516763911,33.9902,48.2351,378.416334714,1.68744815777,68.4718302665,184.093227647,127.088678438,426.640368622,68.4599167837,3.09730822636,49,68.4525,-71.1166,68.4965,49,251.739391067
0.584603,16.7769,437.632665234,344.331137685,31.8061863655,34.2805,48.8531,382.557194133,1.68919411867,70.7552913584,184.33993728,174.946827092,526.851334015,70.7421284179,14.2520718091,50,70.7317,-73.4174,70.7815,50,249.117136144
0.444822,18.3383,356.441569872,263.938290837,40.5074365686,34.5302,49.5846,294.529618401,1.76540933467,72.7524799236,154.102933819,134.689288817,397.34794422,72.740519983,16.2092937865,51,72.7312,-75.5255,72.7788,51,215.80163276
0.3852,17.3339,410.950537314,333.219842733,52.9870711048,34.7881,50.2491,361.595611822,1.75839356953,74.9116183694,167.884688191,115.39837575,397.821250222,74.898481987,19.8314310308,52,74.8841,-77.6785,74.9349,52,237.554130178
0.414818,17.5643,346.356900599,283.498750146,3.69164415491,35.0408,50.7498,300.237854816,1.76654069532,77.0207321951,150.542931044,137.695642887,393.018742673,77.0095406143,11.74893795,53,77.002,-79.904,77.0528,53,193.512493078
0.473017,20.9304,671.491463663,563.702221061,24.7510164513,35.2417,51.4964,637.500989965,1.88948393075,79.0527166026,216.801207796,128.13251295,382.08402551,79.0311404676,29.5377272716,54,79.019,-81.9212,79.0744,54,180.311736121
0.375982,22.4983,346.571421418,202.959110161,8.20303334059,35.5813,52.1152,240.756233,1.95317515205,80.9052182547,134.517987513,177.965444772,542.08934679,80.8834257303,27.1745539062,55,80.874,-83.8001,80.9365,55,221.608389953
0.496986,21.4842,584.524479735,350.683286794,9.86006144779,35.8642,52.7199,425.820699241,1.95055911686,83.1448206404,181.316088495,188.391754055,613.374092756,83.119324599,65.0722636313,56,83.1049,-86.0576,83.1736,56,202.524368004
0.499367,27.3583,522.646430741,330.740167383,43.8389344807,36.105,53.3154,437.398135348,2.08536789082,85.1363013933,186.765389893,157.125499292,493.074353548,85.1177789491,51.3729775153,57,85.1089,-88.1279,85.1777,57,227.51422776
0.45361,23.3226,505.536387677,254.511136158,37.6888372169,36.3561,53.8572,409.96991478,2.02029048559,87.1893813445,178.337211337,143.751005207,498.141699532,87.1706225576,62.4125558265,58,87.1617,-90.2126,87.2303,58,193.815962904
0.501503,27.3251,362.251833761,250.684893572,41.8620151254,36.6011,54.5304,352.435386629,2.13749304925,89.4058528328,173.743396573,129.679661075,446.759962503,89.3872811139,15.4937772582,59,89.3706,-92.3941,89.433,59,242.680235839
0.480612,26.2417,374.766653766,235.235795007,74.0231961875,36.8781,55.0867,264.598136969,2.11011679978,91.3683747507,143.072523763,96.4147857267,333.923850345,91.3435511948,19.9632035364,60,91.3321,-94.3493,91.4107,60,215.392715627
0.601153,29.7433,496.223206278,311.501920074,42.0822673237,37.1653,55.7138,423.373297265,2.24431589809,92.9565489649,187.475117048,131.075854559,496.146004531,92.9368541598,47.9979745297,61,92.9252,-96.0377,92.9969,61,165.36644637
0.646067,31.4973,304.158403787,230.581550827,37.9196846962,37.4442,56.2474,271.153079418,2.31455809308,95.1446946057,149.016345244,130.953632653,444.871562851,95.1289445695,14.7463703982,62,95.1147,-98.276,95.1835,62,205.71895097
0.567741,34.8254,530.270614568,346.75129812,65.0545119515,37.7344,56.8245,436.743128879,2.31228361563,96.941599538,190.453823864,115.235685414,405.455055685,96.9213168329,62.3106069404,63,96.9055,-100.184,96.9828,63,201.381920749
0.461111,31.447,418.872084338,346.381225735,11.4783598826,38.003,57.4062,361.327589975,2.32457385386,98.884411077,172.89944508,105.697499644,340.42508491,98.8680944201,9.61625020972,64,98.8592,-102.151,98.9372,64,157.909995136
0.614134,31.012,480.670410644,372.902848464,82.521385892,38.2872,57.9373,429.437000281,2.34015957153,100.79265716,190.384994617,146.487547753,517.09733724,100.773898522,33.4526147464,65,100.759,-104.096,100.836,65,249.956240981
0.622915,34.8438,372.558587752,344.449077252,15.1973960405,38.5886,58.4541,357.514267648,2.41304324792,103.340761816,174.931964052,102.982669736,349.802998151,103.322267542,3.70766999549,66,103.308,-106.693,103.382,66,141.998697345
0.680753,39.5522,374.468081719,303.393629684,38.7246373485,38.8357,59.0798,336.074802563,2.52578310028,105.035015661,169.118041484,127.007582349,391.728971654,105.007923316,21.3251721097,67,104.994,-108.398,105.08,67,182.285403799
0.600004,34.7681,378.904678226,321.097162981,8.384951475,39.1038,59.6157,345.857652214,2.45525723882,106.919123461,171.261982622,115.915237696,345.862205846,106.886429138,9.9845920133,68,106.875,-110.297,106.966,68,175.087496953
0.644321,32.6313,460.448506655,296.363231776,68.473963044,39.3374,60.1926,329.568316347,2.4591293359,109.047447915,167.91358382,119.281102605,390.782137383,109.021228481,20.0666120198,69,109.005,-112.505,109.098,69,192.223654833
0.663634,36.0427,368.480707373,313.146310202,80.3653961982,39.5286,60.7332,334.887469702,2.52732305649,110.805416705,169.36437931,100.827136956,402.8520935,110.777661622,11.8273894671,70,110.767,-114.363,110.855,70,239.345752548
0.590766,37.9562,538.941809089,174.279271742,109.054937516,39.6991,61.3181,312.268181082,2.53821602606,113.061806817,159.277573242,89.7232448797,378.8817692,113.030207053,53.6418072142,71,113.017,-116.586,113.116,71,240.098518679
0.625761,41.0704,537.946565937,323.596012457,87.38891198,39.927,61.79,392.125823549,2.65589012175,114.919473048,180.924017502,123.225388245,474.765652503,114.885707785,60.7961377811,72,114.872,-118.515,114.971,72,240.643132806
0.619428,40.1573,362.751114415,264.659212323,120.209458618,40.1134,62.3133,327.005104524,2.66701682909,117.006206247,167.23780202,79.7275731337,405.553491644,116.965125987,19.3808150625,73,116.95,-120.543,117.055,73,267.397443393
0.642964,42.8063,400.223291453,329.411850459,97.8531742725,40.3309,62.8508,349.720985575,2.66762704989,118.931398089,172.64299723,116.291272798,454.900234241,118.896835187,15.8221317659,74,118.885,-122.471,118.99,74,253.105341747
0.63402,40.7564,353.319626288,312.284957232,98.7662513626,40.5177,63.3343,329.830570782,2.66420006457,120.736017435,167.884324359,97.275867983,412.350624224,120.69637479,10.3317065046,75,120.68,-124.385,120.786,75,259.020637715
0.696191,44.9973,376.564163859,236.638209004,20.1763126843,40.7085,63.8684,334.481411445,2.75493053788,122.641875321,168.615662875,180.775302847,589.822731419,122.60108839,30.1422007456,76,122.591,-126.335,122.706,76,288.739721664
0.584517,46.2532,502.466463164,316.145297281,40.6903669332,40.8657,64.3948,347.034005529,2.78791425354,124.867067219,171.100058686,109.987499645,353.864973121,124.835510335,27.9890321429,77,124.821,-128.483,124.923,77,176.721161344
0.724895,44.3334,368.895504166,70.4621705734,9.88806764065,41.0174,64.9482,257.755285619,2.78913929793,126.588571586,134.907889314,111.391579306,364.139932751,126.557986901,136.279787911,78,126.547,-130.224,126.646,78,170.248040392
0.597684,44.579,359.353404973,311.107054697,51.4903929568,41.2015,65.4952,338.980662509,2.8332606955,128.386290748,170.768597665,83.2520946658,361.707905418,128.357152054,12.0921403852,79,128.343,-132.021,128.442,79,194.719056654
0.650734,48.4621,368.196679451,167.005847005,64.0089591909,41.3578,65.9613,294.348315447,2.9100047349,130.01241502,155.511124119,159.577064211,492.280695364,129.978784733,45.4426622447,80,129.964,-133.793,130.087,80,265.014609871
0.683024,52.0183,382.648817631,193.521583243,69.1422981806,41.535,66.4356,317.5728251,2.96410616888,131.685533243,165.889579773,94.9498208341,417.218820471,131.656717041,50.8655285081,81,131.643,-135.425,131.761,81,217.84113271
0.712841,55.3341,387.550086529,164.729202069,46.5231932912,41.6795,67.0104,284.477317655,3.02816756375,133.746794282,153.015955235,74.0497228769,290.606214917,133.716827026,50.3152267098,82,133.701,-137.546,133.806,82,185.326901968
0.583084,48.8897,890.629771388,471.381793258,66.2182332613,41.8915,67.4818,783.188272991,2.92740209521,135.125703127,228.584126344,187.571854173,727.779608024,135.09582571,140.926208411,83,135.084,-138.983,135.188,83,250.657139008
0.609407,54.389,761.825621412,335.621784237,9.09042502182,42.0494,67.994,439.694533074,3.06894458961,137.156543744,193.147792775,173.031096765,544.407260211,137.123630652,86.5364065911,84,137.112,-141.034,137.233,84,241.873691068
0.646145,49.7209,368.747376076,322.925569311,10.2490523706,42.2147,68.3637,340.226794327,2.99893496464,138.946577822,171.884851808,148.54723416,442.922680901,138.91613754,11.1502169733,85,138.904,-142.706,139.021,85,250.194323384
0.595031,54.1758,642.36954749,317.114604073,21.0226077988,42.359,68.7993,514.138211509,3.07582521072,140.453400972,208.81334518,154.263042405,505.85253871,140.42684216,61.8467548779,86,140.413,-144.254,140.517,86,207.531802385
0.570502,60.332,685.715203403,485.661495916,42.5977130094,42.5534,69.3473,610.180183227,3.20132971922,142.112755027,221.752517826,186.099719187,733.1628263,142.084319421,52.7787162775,87,142.067,-146.083,142.189,87,259.13642778
0.594185,59.5163,735.159574925,232.645755568,19.031162958,42.7503,69.6893,484.452594104,3.19583862348,144.329582185,200.686325059,98.1857632811,351.682337387,144.30417216,107.205144617,88,144.282,-148.256,144.384,88,223.02651521
0.601464,58.6346,541.810689499,330.020674933,14.7212580803,42.9145,70.1153,465.122830901,3.26407730444,145.623121213,202.047061026,109.24058271,332.283520156,145.589825313,37.1433499838,89,145.585,-149.589,145.704,89,208.487870512
0.611359,57.2837,860.848449122,467.444660625,10.6348198741,43.128,70.4827,582.452387828,3.16205944653,147.61298623,216.027525033,161.7694625,536.588133851,147.589162918,122.489649614,90,147.578,-151.367,147.699,90,239.424022882
0.607495,56.86,685.115044028,321.36935944,17.3683981857,43.3388,70.9404,499.812545581,3.30832411849,148.812098222,205.851511474,115.61721824,356.089645003,148.784251898,73.0905534038,91,148.766,-152.751,148.887,91,199.731701118
0.639137,65.5838,505.554875473,347.642616784,91.4393623079,43.5495,71.3827,404.391229288,3.34814822364,150.814515677,186.114173244,135.420674653,525.273125373,150.785193514,38.9525588584,92,150.771,-154.784,150.892,92,257.287231228
0.621288,61.0025,467.193078788,334.536909015,9.61236731537,43.6965,71.7658,362.340739118,3.23749413614,152.582965147,175.571765756,134.768226146,395.107939255,152.552492129,26.1363461043,93,152.54,-156.514,152.647,93,147.165943309
0.699471,60.0779,425.326377078,340.126517925,12.7531576771,43.8603,72.2369,390.643115031,3.32096729392,153.797424826,184.134717683,183.460791998,667.09921484,153.762823499,23.5671272865,94,153.744,-157.933,153.864,94,209.025456796
0.592482,70.6255,640.533407667,223.481525182,11.8031699479,44.0038,72.5788,451.078974628,3.52060092894,154.942944175,191.550770542,115.868893635,383.333893751,154.91946087,120.378545054,95,154.9,-159.08,155.035,95,192.415798502
0.62683,70.957,428.210514439,329.493564348,10.8552094348,44.2003,72.8883,379.901533757,3.4629935685,156.973264476,179.48919016,141.499457213,395.679163226,156.942857893,21.2318281993,96,156.932,-161.054,157.076,96,141.63501409
0.734444,69.2775,390.385586592,360.414018495,96.9159322424,44.3972,73.2468,374.94356922,3.49882043082,158.757441919,180.508561807,89.1275139448,376.134352674,158.732177109,7.8972081165,97,158.723,-162.968,158.851,97,248.72038811
0.655471,73.1349,404.71511633,371.75668305,8.83003988975,44.6246,73.5711,391.652617165,3.57489745126,159.780512987,183.310290532,158.031850064,519.8965665,159.755202825,5.68129960462,98,159.738,-163.904,159.866,98,207.206714307
0.65032,65.7602,503.292532465,403.56612063,16.9074628104,44.803,73.8311,452.324896043,3.4552874494,161.718577091,195.240408237,153.709398915,524.183624009,161.695697312,29.6332506326,99,161.682,-165.875,161.795,99,196.745030943
0.638916,69.7939,489.989226196,356.414514009,16.5156147404,45.027,74.2095,409.394319789,3.4945397475,163.186507888,186.604638872,185.153482047,750.133815272,163.160713924,31.6424211818,100,163.143,-167.433,163.253,100,261.696597066
0.594169,73.9,677.130734926,470.632591865,7.19538991695,45.2429,74.5383,540.68696878,3.60138806375,165.015404923,207.75534206,137.313568749,394.244799111,164.990230954,67.9435366303,101,164.978,-169.26,165.099,101,216.83735647
0.674335,82.3554,563.923006107,209.87910973,54.2607875614,45.4179,74.8504,375.996248948,3.75891965106,166.698260113,173.020666101,112.980555556,409.621097278,166.67005246,100.934276978,102,166.661,-170.796,166.777,102,217.746589355
0.68362,80.1487,425.664863944,238.849425685,12.2095335047,45.6329,75.2358,396.882523898,3.72352285708,167.893301042,184.07008835,157.324562422,466.536518827,167.866410018,32.9169950749,103,167.844,-172.179,167.979,103,218.505847837
0.629974,78.9619,547.437380093,383.855005816,7.47051639,45.7699,75.5879,437.209267912,3.73275250267,169.682438063,194.758837294,133.908330258,448.769823957,169.644354862,43.8849614239,104,169.631,-173.862,169.768,104,226.480211875
0.660579,84.1247,463.873049801,243.525977168,19.3885687689,45.9633,75.8224,411.625563344,3.75206317455,170.645608337,181.763101775,167.917442816,626.638357552,170.615928211,41.4331771009,105,170.597,-174.926,170.726,105,297.421033998
0.632542,81.201,597.316917732,426.344440215,10.2690061843,46.1914,76.149,509.284174269,3.76784625926,172.816460498,202.909014158,154.590420939,494.244122478,172.786237955,54.0358186711,106,172.769,-177.08,172.904,106,220.676361774
0.664693,85.0026,490.753718901,396.442789791,22.8648481929,46.4156,76.4845,411.160769813,3.82737245353,173.949323357,187.754333105,116.399609313,354.427646532,173.91794431,15.2300721851,107,173.91,-178.226,174.038,107,188.782939281
0.659805,87.7115,665.455430895,365.256591248,17.1722706359,46.5835,76.8132,460.122269393,3.87916565912,175.26863896,191.148661573,121.266193717,396.996699842,175.229481386,73.43455958,108,175.215,-179.591,175.359,108,180.975284047
0.620332,80.9485,612.297580637,155.82884183,79.5063433151,46.7421,77.1574,438.340219785,3.85823962227,176.749788032,179.188347937,124.164239025,491.382784911,176.706753107,166.142231102,109,176.697,-181.194,176.847,109,236.693762348
0.606453,91.4107,491.008438077,458.910835123,10.9407567555,46.9225,77.512,477.553734156,3.96013038447,178.376544129,196.723931152,153.579401195,511.315955177,178.334590652,5.76948483668,110,178.31,-182.786,178.456,110,256.333405169
0.671928,96.7496,794.187091059,373.689924331,10.7262090948,47.0808,77.8186,439.166109162,4.02892175084,180.004743592,192.941337717,108.488348483,385.818482406,179.960152274,56.8959898957,111,179.95,-184.48,180.105,111,184.68262083
0.648536,85.6008,435.974225223,392.366527356,5.83373469658,47.2736,78.1266,411.968247783,4.00195948181,181.640865113,187.20491953,139.56239455,405.877627095,181.596894241,12.1364359251,112,181.578,-186.023,181.723,112,263.424867822
0.662389,87.1061,851.888669216,213.691667832,9.61340544039,47.4502,78.4963,566.446341702,4.0236764357,182.85128646,207.523391363,190.267911296,672.780575671,182.815376262,119.698222139,113,182.807,-187.278,182.953,113,283.244142942
0.695956,88.8846,752.60224659,350.225640399,9.06705108514,47.5942,78.7547,469.308921062,4.04626868448,184.377644574,193.057447555,157.275914345,451.162481608,184.337538831,69.7503169812,114,184.319,-188.785,184.468,114,212.681182418
0.733912,103.359,544.978786066,328.994938629,17.347617978,47.7556,79.0245,415.763148539,4.16476386757,185.623725523,189.552289441,139.687222051,451.081730868,185.573222321,43.42275977,115,185.56,-190.09,185.74,115,202.038115358
0.706346,95.4795,842.716188365,390.988773594,37.6625680408,47.9396,79.3262,527.206324959,4.0946340392,187.13379699,200.685627629,194.953566953,705.708930815,187.092761642,105.058564687,116,187.081,-191.66,187.22,116,245.691517222
0.707866,105.091,651.607090283,512.888279684,57.4356475508,48.1154,79.6384,603.964818376,4.24678504465,188.550043259,218.070071151,123.118615765,438.662184511,188.509027753,24.3734908427,117,188.483,-193.122,188.644,117,256.703981499
0.725953,102.951,647.222120995,447.295757537,60.8909100998,48.2998,79.8629,535.261462088,4.13832714684,190.255194494,209.887585676,218.695552343,667.239494494,190.207515977,59.9317241614,118,190.195,-194.637,190.353,118,320.432521306
0.692643,103.766,607.663925013,398.957567646,8.78107682047,48.4643,80.1707,427.130214123,4.15505686616,191.200614065,187.951426088,273.178066587,1043.72790356,191.152373512,47.1034340747,119,191.133,-195.811,191.302,119,202.16366717
0.688004,94.9964,1190.94923814,423.875399246,35.145353806,48.6569,80.5932,723.952982587,4.17092924918,193.087249807,215.122222607,140.73936675,461.834861323,193.033275165,253.214037124,120,193.019,-197.669,193.178,120,225.196327099
0.721934,104.963,645.158592521,268.00429532,8.97778969374,48.8152,80.8826,485.576886973,4.24253927761,194.296333455,199.344597965,175.693053445,520.433657032,194.246479465,89.3860143165,121,194.234,-198.864,194.391,121,206.911580463
0.716371,104.804,657.263017986,255.607347919,13.8136589422,48.9482,81.1702,425.439098046,4.21126151181,195.683903944,183.856314215,219.220955516,562.831658313,195.639946634,132.690223926,122,195.628,-200.292,195.799,122,255.238493637
0.704284,110.058,920.057390068,320.285551346,62.4960271955,49.131,81.4147,476.379408295,4.24379802568,197.389784471,190.487897376,204.532764234,626.570110361,197.346785456,153.704489673,123,197.325,-201.94,197.485,123,327.152577759
0.708985,116.659,922.01281695,305.785534584,10.8751619646,49.2771,81.6985,464.234887603,4.43435067426,198.625857411,185.00257353,219.19924571,631.224104531,198.574666427,165.454675858,124,198.553,-203.195,198.728,124,281.910755454
0.723054,103.116,1053.24873884,654.754680502,12.94760318,49.4692,81.9467,967.052481218,4.21255783081,200.254946006,228.088005804,269.693669925,910.594651088,200.208891317,119.627223932,125,200.197,-204.837,200.367,125,324.276547048
0.723661,105.962,1150.83516318,324.64955676,19.7018989509,49.6062,82.2523,594.580341936,4.33085227305,201.100885979,196.800684613,183.65986369,509.640583096,201.044348724,278.009197439,126,201.026,-205.699,201.207,126,255.07605309
0.7188,115.025,2032.10909339,310.295261097,8.53134976915,49.7766,82.4781,658.983638349,4.4076877756,202.526547662,188.415328179,173.300069983,593.838062294,202.476507535,512.04238648,127,202.454,-207.114,202.646,127,254.040314577
