MinEsReturn,MaxEsReturn,AverageDiscountedReturn,AverageY,AverageAbsQ,Epoch,AverageReturn,Iteration,QFunRegParamNorm,MaxReturn,AverageAbsY,StdEsReturn,AverageQ,AverageEsReturn,AveragePolicySurr,AverageAction,AverageQLoss,PolicyRegParamNorm,StdReturn,MinReturn,AverageAbsQYDiff
-242.424658522,-242.424658522,-13.478683621,1.42875503372,1.42871,47,-193.060948884,47,20.6948,20.9533645591,1.42876835172,0.0,1.42859,-242.424658522,-1.43284,0.997376,0.0026399,25.9099,135.835752409,-397.934882704,0.0166762945205
-496.160663283,-496.160663283,34.4437902955,1.4098695862,1.40981,48,253.453337807,48,20.9588,460.019211475,1.40988020554,0.0,1.40976,-496.160663283,-1.41164,0.99842,0.00167152,26.0666,144.095269818,57.6722118546,0.0143159006764
-190.840679905,-190.840679905,12.5257386002,1.39155288595,1.39148,49,271.870309397,49,21.0762,362.208864313,1.39156399087,0.0,1.39143,-190.840679905,-1.39524,0.998405,0.00191343,26.162,104.772830327,76.8996982471,0.0142041903724
-139.852240417,-139.852240417,-22.0148636383,1.3736101912,1.37355,50,-195.197462744,50,21.2878,-151.444769931,1.37362209474,0.0,1.37353,-139.852240417,-1.37721,0.997916,0.00180135,26.2558,37.4186477857,-263.152666789,0.0142268854617
-263.731995741,-263.731995741,-15.4182886135,1.35632944301,1.35614,51,-45.6675816072,51,21.4685,49.1244537573,1.3563418252,0.0,1.35614,-263.731995741,-1.35954,0.999153,0.00205782,26.2591,62.6103501047,-166.471951819,0.0143276225561
-329.69087288,-329.69087288,-50.9548503077,1.33525073081,1.33508,52,-561.690196904,52,21.6639,-519.623053732,1.3352648013,0.0,1.33506,-329.69087288,-1.33707,0.999913,0.00232248,26.3506,24.9682516032,-610.825213153,0.0142450209117
-336.525694909,-336.525694909,-43.1384276591,1.31749381468,1.31743,53,-456.313673393,53,21.8722,-419.242066716,1.3175044553,0.0,1.31738,-336.525694909,-1.32044,0.997721,0.00156172,26.4279,18.8441003589,-484.792133902,0.0123019313623
-423.232040999,-423.232040999,-34.5716713117,1.29945756773,1.29952,54,-337.744598708,54,21.9634,-329.19896192,1.29946389066,0.0,1.29942,-423.232040999,-1.30174,0.992751,0.00130479,26.6349,6.14558203556,-348.638040424,0.0111902621668
-373.533674472,-373.533674472,-58.3873241624,1.2827794488,1.28266,55,-640.836299881,55,22.1851,-636.994933924,1.28279165361,0.0,1.28265,-373.533674472,-1.28734,0.999947,0.00176509,26.799,3.19114075761,-647.631876808,0.0123259512966
-434.066660001,-434.066660001,-58.3119430095,1.26529073199,1.26519,56,-594.634630763,56,22.3468,-559.550309367,1.26530204596,0.0,1.26517,-434.066660001,-1.26779,0.999902,0.00165841,26.9143,12.2409225128,-608.828560869,0.0123430725755
