QFunRegParamNorm,PolicyRegParamNorm,AverageEsReturn,AverageAction,AverageReturn,AverageAbsQYDiff,AverageQLoss,AverageDiscountedReturn,AverageAbsQ,MinEsReturn,StdEsReturn,AverageQ,StdReturn,Epoch,MaxReturn,AverageAbsY,MinReturn,MaxEsReturn,AveragePolicySurr,Iteration,AverageY
26.5408,35.6314,584.157361887,0.936513,452.625707558,0.0725908521731,0.0148161,53.144165386,2.27266,584.157361887,0.0,2.27266,367.312587663,52,1407.24709179,2.2733029867,148.733501556,584.157361887,-2.35583,52,2.27322063083
26.8833,36.0346,553.168557901,0.940578,177.602174546,0.0722993608818,0.0135626,13.305691882,2.34303,553.168557901,0.0,2.34303,411.489613781,53,671.867565073,2.34372819808,-591.037972696,553.168557901,-2.43105,53,2.34366588971
27.1579,36.3104,552.30618524,0.923873,594.639239987,0.0728197464883,0.0135704,67.1860445124,2.41626,552.30618524,0.0,2.41626,339.986597625,54,1303.74118003,2.41689069269,177.871800375,552.30618524,-2.50048,54,2.41680040389
27.4815,36.6605,397.540347862,0.91901,537.05693455,0.0741728756096,0.0147682,61.5096944722,2.48831,397.540347862,0.0,2.48831,230.761260761,55,1115.38835771,2.48899841743,288.338813075,397.540347862,-2.57234,55,2.48888235852
27.8752,36.9771,470.716277805,0.94045,625.168065128,0.0773527189957,0.0162422,80.6226774648,2.56175,470.716277805,0.0,2.56175,92.9071796679,56,807.331531547,2.56246844932,503.394552398,470.716277805,-2.64886,56,2.56242227799
28.2187,37.2828,967.734394023,0.951415,731.076600147,0.0759973007514,0.0145523,82.595717373,2.64857,967.734394023,0.0,2.64857,166.388884033,57,1176.85069523,2.64927855746,550.03697919,967.734394023,-2.74169,57,2.64921654467
28.5897,37.5411,464.829620975,0.949721,1017.56055086,0.079446581212,0.018841,106.39539319,2.71986,464.829620975,0.0,2.71986,431.655216893,58,1836.46889666,2.72057880688,489.119468069,464.829620975,-2.81188,58,2.72050673854
28.9686,37.7743,522.932936091,0.943452,641.353612545,0.0797583840932,0.0174342,38.8549894878,2.81165,522.932936091,0.0,2.81165,136.655126641,59,885.477463521,2.81252882964,368.733537866,522.932936091,-2.9005,59,2.81246484593
29.2093,38.0888,1124.63740608,0.945923,720.952923407,0.0819773371695,0.0197226,105.098633338,2.89644,1124.63740608,0.0,2.89644,150.781711117,60,980.487981394,2.89704118518,481.330439852,1124.63740608,-2.98505,60,2.89697816173
29.5252,38.395,523.916367163,0.938177,792.4397647,0.0840663276598,0.0214835,115.390100881,2.98587,523.916367163,0.0,2.98587,230.591795751,61,1290.11783081,2.98673678805,476.817078638,523.916367163,-3.07942,61,2.9866827708
29.8503,38.6635,663.399456898,0.960153,507.191203774,0.0826565149285,0.0194661,86.2752877993,3.07084,663.399456898,0.0,3.07083,156.844379408,62,831.94768146,3.07147526051,181.463613484,663.399456898,-3.16159,62,3.0714297708
30.1623,38.8977,910.278443694,0.939518,832.105495346,0.0846125045797,0.0220634,112.805510216,3.15334,910.278443694,0.0,3.15334,235.805925527,63,1362.16840629,3.15410701217,539.583731847,910.278443694,-3.24527,63,3.15403262057
