QFunRegParamNorm,AverageQLoss,StdReturn,AverageAction,AverageQ,AverageY,MaxEsReturn,MinEsReturn,Iteration,AverageAbsY,PolicyRegParamNorm,StdEsReturn,MaxReturn,Epoch,AverageAbsQ,AverageReturn,AverageEsReturn,MinReturn,AverageDiscountedReturn,AverageAbsQYDiff,AveragePolicySurr
152.103,2.06992,0.696920428192,0.999971,18.858,18.8584735302,655.205639028,5.3809730892,1918,18.979674131,118.927,112.987366462,11.3238078097,1918,18.9879,10.220812802,35.9233467644,8.31252788228,9.60054831528,0.796159257382,-18.9347
152.077,2.18163,0.700511425163,1.0,18.8018,18.8018467701,363.394625931,7.39005743046,1919,18.8825322461,118.952,78.5284971601,11.3058676056,1919,18.8944,10.2410503646,32.8273840631,9.51741315436,9.61916002094,0.794846125171,-18.8802
152.096,1.92984,20.8668721905,0.999617,19.0226,19.025144296,392.665568507,8.03754115619,1920,19.0714314859,118.917,99.5132518155,421.623474811,1920,19.0759,11.7133706344,43.3111775111,8.21848663172,10.4526726134,0.75816166394,-19.1333
152.096,2.05962,0.610027789517,0.999808,19.1321,19.1320300514,428.574925941,6.9964055053,1921,19.1595043486,118.952,88.0502750928,11.3089802351,1921,19.1729,9.87694802514,31.6090277953,8.26958555628,9.29572925928,0.754090770661,-19.2281
152.078,2.09161,77.2646103791,0.999757,19.2176,19.2206902135,645.738052832,6.43164705489,1922,19.2525935564,119.025,113.434951046,985.529807091,1922,19.2568,715.617730172,36.0009574065,424.572697125,236.158915497,0.749920991142,-19.3324
152.06,1.99984,179.81457408,0.999857,19.4088,19.408736467,702.397140281,12.983657108,1923,19.4334881288,119.018,231.231748967,1244.846244,1923,19.4424,718.554109585,289.341668641,411.83147595,230.001781223,0.739698074362,-19.5439
152.088,1.92167,12.4185284085,0.999723,19.6621,19.6666716926,430.315079061,14.1593591011,1924,19.6875287454,119.025,162.585659148,434.493725671,1924,19.6944,407.121989729,228.733638594,379.2253585,187.84085355,0.723910382042,-19.7943
152.103,1.90373,5.63176706956,0.999612,19.8438,19.8461759734,524.085353798,30.4458631764,1925,19.8671101258,119.003,133.591807461,414.951489617,1925,19.8747,399.976172272,280.554503454,385.214264349,186.877847682,0.701700066286,-20.0273
152.097,1.80934,5.68938563668,0.999524,20.0097,20.0123895387,414.926689034,129.686362625,1926,20.0315726444,118.985,88.8340231506,415.388029834,1926,20.0388,403.370337514,330.333105813,392.030340317,188.569575779,0.68004520181,-20.2137
152.132,1.78365,145.75074951,0.99981,20.292,20.2934488142,397.870466306,77.3993533352,1927,20.3100713575,118.966,94.0447435993,412.646668492,1927,20.321,184.724346462,321.821780397,75.5620041711,104.859775818,0.676289512818,-20.4968
152.179,1.96476,72.7638795605,0.999561,20.4976,20.5009206545,406.090446038,49.8921337323,1928,20.5141067048,119.007,133.093075642,417.0007987,1928,20.5239,383.096663205,251.982737743,81.2807950317,178.668949203,0.686240559116,-20.7218
152.175,1.88571,116.459464019,0.999503,20.7623,20.7642859213,380.739818664,34.4758499119,1929,20.775922199,119.045,134.639379326,416.296391493,1929,20.7894,350.294075462,212.596232257,75.8070848588,167.559367128,0.677962233008,-20.9979
152.194,1.75503,271.516021143,0.999821,21.035,21.0389462756,391.511224393,67.0286085409,1930,21.0476476249,119.097,133.256437953,719.440453379,1930,21.0577,442.851306078,214.827629649,76.3620649115,168.474228819,0.645692091576,-21.2653
152.236,1.63186,91.1419085798,0.999653,21.2865,21.2891058543,596.463115264,189.997675584,1931,21.297826476,119.111,130.386355942,664.273645506,1931,21.3062,446.142316736,358.964369037,380.961561162,194.969004646,0.628369025195,-21.5203
152.242,1.73983,25.6804334147,0.999753,21.4769,21.4791400004,442.28420292,60.4959705047,1932,21.4869937139,119.222,117.317464362,565.868082647,1932,21.4985,390.204863078,282.783758129,377.047546286,183.7457176,0.629110912627,-21.6933
152.279,1.92729,16.8973529978,0.999659,21.58,21.5841742498,395.074287043,38.7429892653,1933,21.5939106805,119.233,124.815766849,527.764348522,1933,21.6015,392.546614485,232.776777816,378.673051068,185.16138486,0.63523862033,-21.8021
152.303,1.55388,67.5969166121,0.999704,21.831,21.8314948073,396.57340919,52.9758440364,1934,21.8364900304,119.284,104.62445242,581.820705327,1934,21.8475,443.378584506,289.51925064,391.091229292,195.154373472,0.595035739448,-22.0459
152.321,1.75729,121.928323451,0.999607,21.978,21.9798912374,589.134110159,82.2169045166,1935,21.9848099882,119.332,137.358801728,702.735684803,1935,21.9949,589.726300426,329.982189599,396.472335037,216.821450711,0.60200942469,-22.2372
152.361,1.84509,71.7399158132,0.999647,22.1745,22.178925387,656.064565357,73.847328889,1936,22.1861930735,119.347,186.442453231,675.77520907,1936,22.1916,619.107785656,366.746317003,391.377950488,223.265060979,0.606379484408,-22.4136
