AverageReturn,Epoch,AverageAbsY,PolicyRegParamNorm,AverageQ,AveragePolicySurr,StdReturn,MaxEsReturn,QFunRegParamNorm,AverageAbsQYDiff,Iteration,StdEsReturn,AverageAbsQ,MinEsReturn,AverageQLoss,MinReturn,AverageY,AverageAction,AverageEsReturn,MaxReturn,AverageDiscountedReturn
14.2776712365,45,1.14594608491,67.4939,1.14531,-1.21635,77.8473927808,285.927720434,52.3755,0.057826773293,45,0.0,1.14531,285.927720434,0.00792312,-118.708511674,1.14587527186,0.910493,285.927720434,97.0837304983,-23.6010982209
289.701914512,46,1.19786062554,68.1943,1.19726,-1.2663,289.305479319,276.682372275,53.0361,0.0573639323116,46,0.0,1.19726,276.682372275,0.00737324,-571.9556457,1.19779711013,0.864316,276.682372275,427.698746403,13.0713818623
381.597934051,47,1.27582993609,68.9945,1.27505,-1.34583,90.3778740102,342.592317965,53.7998,0.0594965185493,47,0.0,1.27505,342.592317965,0.00857251,243.598098597,1.27572170959,0.885649,342.592317965,530.887879398,36.1960585776
413.263652953,48,1.35356425798,69.7406,1.35276,-1.42181,101.970128905,215.791015284,54.4439,0.060086668815,48,0.0,1.35276,215.791015284,0.00902196,297.335965717,1.35349978309,0.89497,215.791015284,642.95097074,48.7754574729
432.484030518,49,1.41393005775,70.5295,1.41313,-1.48186,85.6184975663,268.486442182,55.0107,0.0598422801316,49,0.0,1.41313,268.486442182,0.00843148,323.82444472,1.4138707482,0.884573,268.486442182,596.882612491,34.6568729514
482.676218982,50,1.4635922163,71.2906,1.4628,-1.53232,55.2404162973,343.128465866,55.6702,0.0612241205017,50,0.0,1.46284,343.128465866,0.00847693,386.786343497,1.46353396534,0.849551,343.128465866,564.045835229,41.5847677411
880.965701223,51,1.52364641503,71.9523,1.52309,-1.59149,57.9214203309,393.387096436,56.3468,0.0626344103107,51,0.0,1.52309,393.387096436,0.00956891,773.629756765,1.52357296138,0.940966,393.387096436,964.537257059,77.4615463934
971.036857317,52,1.58693095472,72.6874,1.58614,-1.65291,415.413184171,334.918425324,56.9817,0.0637201642726,52,0.0,1.58614,334.918425324,0.0108159,300.583761435,1.58685646869,0.915177,334.918425324,1374.78261764,89.8354971587
901.258672769,53,1.63738160527,73.3857,1.63652,-1.70339,426.185036535,453.917226336,57.5527,0.0633920751619,53,0.0,1.63652,453.917226336,0.00947725,343.002849719,1.63733160429,0.886432,453.917226336,1408.72086663,102.438133434
712.982072568,54,1.71145397336,74.1326,1.71066,-1.77698,260.08980121,266.010514397,58.1995,0.0654367665759,54,0.0,1.71069,266.010514397,0.0106067,316.256329975,1.71141101791,0.893079,266.010514397,1081.3640227,83.1340101182
899.093434313,55,1.77899487376,74.8965,1.7783,-1.84609,30.0019062792,433.847059804,58.8312,0.0668862250821,55,0.0,1.77831,433.847059804,0.0113385,853.906644773,1.77892167435,0.950847,433.847059804,940.153122936,75.689487852
1164.98134833,56,1.85927950242,75.5555,1.85862,-1.9282,64.6678495825,649.732402067,59.4225,0.0672336212237,56,0.0,1.85862,649.732402067,0.0114229,1079.11824703,1.85923624543,0.957248,649.732402067,1284.6451268,90.9099547958
768.375638702,57,1.92796880752,76.2727,1.92702,-1.99669,334.16594188,583.530326149,60.0638,0.0684538147181,57,0.0,1.92702,583.530326149,0.0113239,328.926995316,1.9279322139,0.900004,583.530326149,1421.94281788,85.9422375087
933.6364112,58,2.00056429148,77.0533,1.99985,-2.07011,458.961628505,501.251390213,60.5725,0.0694789886705,58,0.0,1.99985,501.251390213,0.0120223,370.960334212,2.00051130486,0.903213,501.251390213,1852.39034374,133.907477859
337.941793606,59,2.10959643532,77.8365,2.10872,-2.18162,106.877006687,1081.07681593,61.1723,0.071873177465,59,0.0,2.10872,1081.07681593,0.0126676,96.7150789368,2.10953627302,0.874956,1081.07681593,451.451738995,54.7724435562
1377.44294584,60,2.17114319886,78.5254,2.17035,-2.24239,469.033841749,769.743962014,61.7501,0.0733028253899,60,0.0,2.17035,769.743962014,0.0136986,409.345810354,2.17109582733,0.916911,769.743962014,1867.80206315,122.321321472
399.237872739,61,2.22606738353,79.1845,2.22515,-2.29508,119.064712653,617.408810024,62.2949,0.0745286368412,61,0.0,2.22519,617.408810024,0.0143982,230.002700289,2.22602804007,0.889476,617.408810024,633.534356916,71.275345943
475.148738626,62,2.30889107677,79.9073,2.3083,-2.37901,72.062566212,330.558322855,62.7991,0.0719907263983,62,0.0,2.3083,330.558322855,0.0129049,380.477355132,2.30883117231,0.869385,330.558322855,594.095597789,71.0377836022
306.90273959,63,2.37426324079,80.5811,2.37349,-2.44789,118.677397039,996.445589222,63.3903,0.0751566933367,63,0.0,2.37349,996.445589222,0.0144147,157.15881326,2.37422007296,0.852634,996.445589222,600.189215708,67.4169987124
489.234536796,64,2.43806540212,81.2756,2.43726,-2.51213,61.1674282814,340.941181634,63.9662,0.075246689477,64,0.0,2.43726,340.941181634,0.0146222,363.771991194,2.43799497451,0.87203,340.941181634,564.059812974,65.5640962544
552.874893229,65,2.50258467642,81.9746,2.50167,-2.57529,85.3875809241,498.335130973,64.4679,0.0785834784102,65,0.0,2.50167,498.335130973,0.0160825,428.984741164,2.50253676273,0.857156,498.335130973,687.296252005,71.0755335119
401.737642979,66,2.55648160995,82.6569,2.55573,-2.62696,106.089742352,359.58127682,65.0479,0.0783756287222,66,0.0,2.55573,359.58127682,0.0166265,284.21470066,2.55641634619,0.860614,359.58127682,606.981753021,85.4351723032
1221.51557386,67,2.6292693665,83.2858,2.62851,-2.70239,641.940975791,400.564543548,65.6304,0.0812151424189,67,0.0,2.62856,400.564543548,0.0179664,452.751481208,2.62920000797,0.884706,400.564543548,2133.99637029,155.93429326
