AverageAbsY,AverageQLoss,PolicyRegParamNorm,StdReturn,AverageAbsQYDiff,MaxEsReturn,AverageQ,AverageAction,MinEsReturn,AverageAbsQ,AverageReturn,Iteration,MaxReturn,AveragePolicySurr,QFunRegParamNorm,Epoch,AverageEsReturn,StdEsReturn,AverageDiscountedReturn,MinReturn,AverageY
75.4494978686,14.8066,35.9118,67.1961961661,1.70498911618,405.102098168,75.4141,0.54295,29.1662588974,75.4968,398.122394176,59,624.260651058,-78.7328,56.3676,59,206.775886514,123.49392576,183.295621936,306.724151318,75.423200175
77.2131344871,16.7628,36.2018,17.2072115457,1.7724618424,358.816322622,77.1826,0.658791,9.73367052146,77.2676,352.902495529,60,387.111202907,-80.5339,57.0246,60,196.958698438,117.462863089,173.469730278,299.442038158,77.188733636
79.0285615712,16.5686,36.5113,6.69577559992,1.8019645299,375.521947487,78.9962,0.649452,20.4484560124,79.0799,346.303842341,61,362.937386489,-82.319,57.6164,61,229.074833343,112.877348707,172.172404241,335.786857786,79.0046491238
81.0086207074,17.7497,36.8532,6.2832505325,1.88022180173,383.972624387,80.9766,0.624582,239.625869789,81.067,333.892192677,62,362.162053232,-84.3786,58.1833,62,310.84609656,48.2571035465,168.828866789,323.859451813,80.9837485275
82.5751373839,18.6115,37.1387,6.31649192303,1.90135440019,360.325252131,82.5466,0.592132,10.0358191031,82.6298,335.700142827,63,353.935825739,-85.9168,58.759,63,187.382286382,126.772766908,168.671985176,319.219477203,82.5550846103
84.5282017101,20.4964,37.4386,16.5392828137,1.98989391373,338.649589875,84.4959,0.610057,9.93306764555,84.5823,364.239187649,64,400.91470402,-87.97,59.3267,64,201.13977813,117.641382395,176.231575066,342.55626893,84.5082520971
86.2976358234,20.4034,37.7203,9.61918936547,2.02166385446,393.812809532,86.2792,0.65202,11.8370123086,86.3704,353.519760968,65,375.561178778,-89.7784,59.912,65,198.231244948,138.635129433,173.643903914,333.928444496,86.282507927
88.1722062729,20.8319,37.995,13.2697247276,2.03976400573,356.31108062,88.1467,0.65054,28.7105425496,88.2332,351.671924145,66,391.379312951,-91.6492,60.4825,66,206.634377814,105.58892374,173.915677959,299.516286596,88.1574125942
89.8518605509,23.3834,38.3298,24.2687628588,2.10430322295,394.249487131,89.8315,0.649743,18.5341072625,89.9052,360.070563409,67,495.634138922,-93.4025,61.028,67,182.726649396,134.801572891,175.321940663,305.536790956,89.8372277518
91.7261805912,24.2694,38.6817,36.7848538545,2.17622172685,413.02496238,91.7045,0.694907,8.84015190859,91.7924,297.681873682,68,352.952328762,-95.3167,61.5934,68,195.606031671,142.409406622,156.001820359,227.122281958,91.7137505879
93.7414563572,22.5361,38.9849,19.7961627304,2.14222183586,341.378226751,93.7232,0.666638,6.01806062273,93.8028,293.436856058,69,318.077730377,-97.3477,62.1456,69,166.203913239,114.903858423,153.858727894,234.235761401,93.7317325479
95.4654704135,23.771,39.2446,31.5748291569,2.17277220836,391.661080181,95.4466,0.645876,82.3506313407,95.5313,298.789140709,70,334.617896511,-99.0633,62.7085,70,215.45763422,89.9474923459,155.541914895,213.788462989,95.4555602079
97.3810035847,24.5775,39.5732,14.3983565083,2.22526270009,340.605222207,97.3626,0.678724,10.8537262659,97.4484,324.486464525,71,350.529351447,-101.023,63.2334,71,155.981003684,114.135358571,163.347087069,263.156610994,97.3708916052
99.1972381165,26.752,39.887,19.2870929079,2.29187602675,324.071924044,99.1717,0.688871,196.779830264,99.2603,311.752492867,72,357.399478159,-102.914,63.7993,72,259.722096184,44.7858475768,159.986504985,261.895073295,99.1831255466
100.996015588,26.43,40.1343,16.2604170381,2.31862685636,374.233599443,100.977,0.671027,77.0412183237,101.066,325.508827131,73,374.943607705,-104.812,64.297,73,271.634788204,96.7181145558,163.690235768,278.829981126,100.983726479
103.005671094,28.4944,40.4437,53.6023656175,2.3823144248,324.972313359,102.983,0.704323,11.5865747715,103.069,313.434150991,74,435.777845162,-106.839,64.85,74,204.7805871,116.406075752,159.8332958,225.55968958,102.992521901
104.758439929,30.8248,40.6994,39.6724744147,2.41268776649,391.37622317,104.738,0.751405,14.6495343253,104.832,270.230748043,75,387.242293315,-108.61,65.3578,75,224.737112465,146.229879447,146.004048183,192.452686437,104.744633439
106.664613036,31.0251,40.9765,39.0762498745,2.46484961626,350.283245212,106.64,0.714099,8.98333273227,106.73,323.268138851,76,531.66048379,-110.504,65.8863,76,164.721265905,112.269381348,161.95258367,251.77623406,106.653207265
