AverageEsReturn,MaxEsReturn,StdEsReturn,AverageY,AverageQLoss,Epoch,MaxReturn,Iteration,AverageDiscountedReturn,PolicyRegParamNorm,AverageAbsQYDiff,AverageAbsY,MinEsReturn,AverageAction,StdReturn,AverageReturn,MinReturn,QFunRegParamNorm,AveragePolicySurr,AverageQ,AverageAbsQ
117.863772156,186.120659878,44.8696019758,1.29030072327,0.01576,19,185.081293424,19,107.24744263,17.1979,0.0591055882768,1.30094322821,38.2742619678,0.785874,6.96157132266,172.191834731,159.877807694,14.8863,-1.44794,1.28957,1.30048
142.459105003,282.121299718,62.5300738191,1.47130903259,0.0220819,20,273.412342313,20,135.385168751,18.1024,0.0680789919753,1.48115982377,37.4680529258,0.754962,30.3861596259,248.420261162,121.443149305,15.5437,-1.64592,1.47064,1.48069
108.45517843,239.019642435,63.891062194,1.65638074027,0.0232275,21,157.255140295,21,100.880363542,18.7786,0.071414242313,1.66583558909,8.92057294402,0.882083,3.75205331584,148.855885283,141.894281741,16.2561,-1.85342,1.65555,1.66519
111.487752719,200.539770123,54.9369856553,1.87641420082,0.030351,22,158.60097504,22,100.056345699,19.3581,0.0809879992043,1.88443538307,15.089757085,0.891864,3.48174846301,148.093466979,141.57122322,16.9828,-2.08081,1.87551,1.8841
145.628185934,247.301446713,56.2146595011,2.07937031271,0.0317845,23,244.488722681,23,119.843420796,19.8857,0.0822922497203,2.08732439917,15.3233709319,0.921318,15.5601542759,205.659032611,180.81953264,17.5484,-2.29253,2.07838,2.08695
179.084637097,265.9232487,54.0410484476,2.28322567756,0.0418041,24,282.574956658,24,132.854059069,20.3018,0.090488639035,2.2919181551,88.1933635233,0.902497,24.3122439359,236.357502977,192.17992426,18.3158,-2.50472,2.28245,2.29178
180.140730225,264.556788334,66.0579599204,2.4928913478,0.0457983,25,254.267116933,25,124.875312972,20.8656,0.0969399937623,2.50083270026,45.3940279154,0.876424,13.8302283056,219.743162386,189.905751273,18.9725,-2.7262,2.49174,2.50017
176.855509834,309.872969776,105.873187011,2.69781170001,0.0501815,26,279.511430832,26,138.039413562,21.3035,0.103579566573,2.70515655623,21.8487384636,0.728457,14.4677670493,257.484126947,227.5765355,19.7597,-2.93278,2.69685,2.70517
162.251337831,334.722951842,97.64243283,2.91629552748,0.0594291,27,326.225124783,27,142.275618217,21.6961,0.108558234912,2.92298712723,16.3230619068,0.814139,43.5611759179,263.125425911,187.612991949,20.4449,-3.1469,2.9154,2.92315
209.00866598,318.789399255,95.4077779267,3.10116593708,0.0563266,28,331.116930812,28,156.572623966,22.0275,0.110704983328,3.10808598853,76.1117789606,0.685299,5.34434386129,314.094150865,303.891590388,21.128,-3.34706,3.10033,3.10813
238.290378271,401.803155081,141.574771124,3.32046468361,0.0700296,29,410.154815474,29,162.62399728,22.4777,0.121806543016,3.32781643529,11.1710659939,0.729116,59.2486675904,333.934110192,147.156400862,21.8378,-3.56587,3.31916,3.32775
208.596096716,379.886345016,120.88266399,3.53827761028,0.066738,30,760.024233605,30,196.957467095,22.9215,0.120162149238,3.54540947589,10.7623333255,0.644591,114.133335865,558.62120819,330.577615248,22.3822,-3.79777,3.53755,3.54604
322.727961964,604.101600281,154.019155974,3.73862120331,0.0738981,31,557.614922138,31,171.831273984,23.3936,0.127710090695,3.74524311248,122.822846364,0.803605,61.9214210379,365.564755363,309.063466533,22.9993,-3.99517,3.73734,3.74587
277.140449595,410.184815682,78.5805581306,3.97859155254,0.0770469,32,336.98162272,32,160.079321188,23.8415,0.125430547675,3.98471231785,101.236724081,0.749062,13.9650838316,319.342480266,262.913844988,23.5225,-4.23208,3.97736,3.98552
361.039420107,644.03711523,179.194870186,4.18924240499,0.0983893,33,2059.07316081,33,168.338025776,24.319,0.135657182304,4.1946416602,63.2424171132,0.686537,589.709018442,896.028500508,203.695375543,24.1501,-4.45772,4.18767,4.19519
264.173743465,461.710418326,146.030823716,4.41291446986,0.0934071,34,389.999903269,34,166.795285832,24.7616,0.137084447319,4.41798583271,7.84507404876,0.619066,17.2006431979,351.917380754,318.922714533,24.7492,-4.68364,4.41163,4.41918
239.225096543,580.932402123,191.608225243,4.61593538376,0.0994141,35,945.224906975,35,154.161403961,25.2212,0.143584342863,4.62058700332,28.4743816148,0.56992,108.709915477,318.358614155,259.728798889,25.3209,-4.88214,4.61466,4.62143
210.296929567,349.78465591,83.5514143347,4.84191293578,0.120259,36,533.174845325,36,201.714079085,25.7022,0.155236193733,4.84672263605,66.2739576483,0.585172,32.3277238467,479.682543994,391.891819383,25.9528,-5.12075,4.84047,4.8474
268.918228042,379.551547705,119.179128694,5.07264963957,0.113798,37,347.506593686,37,147.620146821,26.0794,0.153300747317,5.07709362447,49.8149759133,0.59427,24.0323956114,277.855452349,248.910084087,26.5189,-5.34804,5.07126,5.07782
314.199811971,405.193867439,75.5815545917,5.30364074462,0.133031,38,364.967139492,38,159.159388553,26.5675,0.162606883931,5.30811064088,180.821208218,0.653007,19.250106162,328.851425149,292.780225648,27.088,-5.57953,5.30201,5.3089
375.633300455,819.468709486,225.66636338,5.52425135514,0.150066,39,2060.14095764,39,153.714733424,26.9475,0.170198528928,5.52843372839,91.72031108,0.791432,684.61275287,817.815749855,190.397262839,27.6661,-5.80028,5.52289,5.5295
259.011407608,569.267303821,153.713891332,5.73782768093,0.141106,40,2293.62323187,40,190.729794268,27.27,0.164316772422,5.74245122843,50.4547016815,0.780341,657.393347502,1205.2628352,238.616967553,28.1735,-6.01942,5.73637,5.74316
283.305710499,443.164757633,117.879858901,5.97656077338,0.178135,41,402.389391367,41,181.22485672,27.672,0.181840138276,5.98125911232,25.2494154739,0.739262,11.1143167601,381.578029714,362.489238072,28.7073,-6.26638,5.9749,5.98269
286.626759756,514.975638834,129.539134229,6.18683695875,0.151833,42,374.807292549,42,171.508603923,27.943,0.1740317627,6.19202533584,40.9432214814,0.689121,8.7621641715,349.505365805,338.049732135,29.2015,-6.47527,6.1857,6.19403
303.09404751,518.835371068,141.525613809,6.39654494651,0.199178,43,369.463712867,43,173.03048317,28.3327,0.188879002285,6.40125982828,46.0865652489,0.736063,6.79726394985,354.587886744,332.952231048,29.7851,-6.6923,6.39487,6.4024
257.057245349,389.291266761,122.530199552,6.61435220735,0.177751,44,732.668578152,44,188.207705616,28.6539,0.183719683063,6.61870903528,20.9078790626,0.671691,73.0414753488,593.038541376,397.574885346,30.2982,-6.91416,6.61275,6.62037
333.931404029,857.415484161,246.092430722,6.87180393577,0.186696,45,761.287714165,45,194.47742695,28.9913,0.193351063352,6.87593607292,12.2568681911,0.660905,70.1385607443,499.744822935,344.382709512,30.8078,-7.18062,6.87019,6.87788
219.777734221,351.555085932,119.717058329,7.09902095471,0.192649,46,465.811549071,46,175.983226724,29.244,0.195719450198,7.10269394363,9.51049215079,0.636161,40.0816167585,373.885556212,288.116688749,31.2766,-7.40872,7.09776,7.10459
266.614030084,509.278591463,147.558921115,7.33930904784,0.194378,47,440.184699563,47,182.134072892,29.541,0.197375061633,7.34273914115,41.2252128788,0.674126,12.8027667107,395.063921127,357.01997898,31.7443,-7.65168,7.33758,7.34464
287.54408127,397.805048386,108.564507304,7.53782552179,0.231486,48,398.18821907,48,155.043012194,29.8313,0.213906212795,7.54197299114,61.51684476,0.801628,122.315004095,314.657991542,86.1082416495,32.2359,-7.85403,7.53675,7.54495
243.738726995,409.954395853,123.247832744,7.76142437529,0.225589,49,483.071493986,49,179.83116957,30.1696,0.216150145957,7.7651204897,41.3312985023,0.742039,31.1293177665,385.522961869,336.857842087,32.717,-8.0744,7.75938,7.76742
240.850445408,404.735139862,129.886383753,7.96118391375,0.24636,50,407.89236142,50,182.331884598,30.4255,0.21931433452,7.96491810234,41.3493620533,0.782734,7.5109326333,387.334021084,371.259457601,33.2026,-8.26876,7.95972,7.96883
235.38724797,593.142139111,154.637783775,8.17816420276,0.226243,51,395.476234352,51,177.573433411,30.7478,0.221250975501,8.1814324572,52.480903006,0.758425,18.8485291015,374.406563772,310.53042453,33.6552,-8.49034,8.17605,8.18368
286.535143662,719.891038547,196.816770943,8.40197859143,0.263162,52,421.07087954,52,181.35988188,31.0106,0.229086845331,8.40539912305,36.0598587585,0.710121,10.8817040475,384.664280999,368.199122192,34.1207,-8.72615,8.40024,8.40865
283.600616816,598.421412037,164.906514567,8.65504463836,0.263783,53,2018.19199657,53,229.750357775,31.3125,0.230822615307,8.65861545022,67.6093214548,0.723292,295.263319767,902.175798542,538.300206816,34.581,-8.98624,8.65311,8.66228
285.825195262,410.728386044,101.652549265,8.84844037443,0.279469,54,1136.87980487,54,200.285426075,31.5841,0.234227393217,8.8520896043,107.618733078,0.735828,184.157236638,540.347008193,251.668904271,35.024,-9.18589,8.847,8.856
296.396130202,599.287225549,158.447466255,9.09211642891,0.287582,55,375.66804714,55,172.220350072,31.793,0.249290181169,9.0969707286,25.1813193876,0.708916,21.6629154271,354.311117733,286.384850352,35.4196,-9.43473,9.09047,9.10018
312.020579071,595.443247909,152.748708359,9.32200105714,0.301139,56,671.89942549,56,202.054004917,32.0615,0.248915148889,9.32654243634,25.7009817486,0.74411,91.8393929148,502.330144556,380.812764948,35.8884,-9.68644,9.32016,9.33072
305.5102763,463.293843946,144.539246871,9.5371515722,0.257696,57,1092.76878785,57,223.611872797,32.2901,0.237352004509,9.54165751785,74.3497249151,0.764819,149.546494317,724.417215937,538.402151652,36.2834,-9.89659,9.53569,9.54539
422.116940293,725.533913521,171.883350058,9.8097057542,0.328753,58,503.931370252,58,184.353303019,32.5455,0.256701489673,9.81433646233,158.672764212,0.794726,26.1079406616,406.196556118,362.072859936,36.6952,-10.1544,9.80825,9.81804
370.835337621,591.645518077,151.729276236,10.0224085127,0.343976,59,430.498965913,59,174.197973021,32.7557,0.260130334854,10.0273100206,33.636753538,0.778094,20.8782103851,361.551491103,307.856731969,37.1654,-10.3826,10.0203,10.0305
237.380230674,513.551292407,133.718677242,10.2792974548,0.318374,60,409.207384772,60,166.486682925,33.026,0.256874464986,10.2842959961,77.4480875398,0.772398,35.229893927,332.677014491,247.177832198,37.5302,-10.635,10.2777,10.2879
231.500200935,495.805224579,150.815370829,10.4977696829,0.36221,61,615.798524538,61,192.031397998,33.262,0.268911983655,10.5025102362,24.8459689894,0.857355,67.3620955035,457.108950338,313.289219675,37.9719,-10.8596,10.4962,10.5063
329.145550166,584.231598933,154.87860307,10.7576662965,0.363577,62,550.616474605,62,192.211061985,33.4838,0.273097011555,10.761647385,73.2822564295,0.765661,45.2455079497,440.83577392,350.923063802,38.3166,-11.1179,10.7561,10.766
357.230500307,558.99013634,174.316372111,10.8900498252,0.441318,63,378.058802483,63,162.859337863,33.6837,0.292614479081,10.8940434916,105.121267808,0.856928,15.149699971,323.912762977,300.118775447,38.6684,-11.2569,10.8873,10.8972
272.452686286,378.537035012,118.73511241,11.1239278474,0.374051,64,586.870948319,64,196.930659953,33.8964,0.274572770872,11.1277603902,24.926634228,0.831009,49.3591243624,462.477376289,366.934797518,38.9612,-11.4788,11.1227,11.1332
275.990632433,502.968895891,137.861580163,11.3386399369,0.43198,65,742.2652598,65,182.49723632,34.1095,0.295665510888,11.3422520532,34.6708705792,0.859651,58.1086469027,415.859629636,321.406156895,39.2971,-11.6909,11.3362,11.3473
308.490797559,603.750331425,135.705728746,11.5262163812,0.479199,66,613.093691989,66,199.81056164,34.3183,0.307372881331,11.5295170207,123.025814003,0.781454,100.218628984,487.71264956,361.897894687,39.6549,-11.8824,11.5241,11.5337
300.985321412,482.193552813,148.442492107,11.7771972534,0.378028,67,475.127193174,67,196.454270261,34.5211,0.284189544021,11.7809611217,83.3656295913,0.754741,13.8504273455,446.788226046,416.353710096,39.9478,-12.1315,11.7755,11.7845
232.004908738,486.765983158,147.861823475,11.8980494182,0.501455,68,482.820001007,68,154.325386901,34.7189,0.316362214003,11.9026282057,36.5393308184,0.831263,97.1901462991,300.384179069,152.425475596,40.3016,-12.271,11.8965,11.9078
162.066813913,477.734950409,138.874727266,12.1283681852,0.468428,69,452.608105446,69,186.873783998,34.9228,0.310086057465,12.1319245008,11.2180702028,0.849978,14.6470661061,398.414682872,365.79151884,40.6565,-12.5075,12.1259,12.138
236.702951635,575.264577114,177.929615615,12.3444269267,0.448534,70,566.703343926,70,203.299018615,35.0649,0.303557331578,12.3479535267,9.5848706478,0.787207,61.3224000869,482.760358731,320.08666764,40.9351,-12.7112,12.3433,12.3526
157.220454974,383.661305068,148.039350147,12.5640287231,0.544871,71,393.839582458,71,128.210197137,35.2249,0.32755592356,12.5671542897,8.36482091125,0.851487,72.6909906005,221.0897853,157.340568375,41.261,-12.9347,12.5622,12.5713
248.00291153,502.33429348,168.053293454,12.7279994019,0.522834,72,401.561503914,72,184.528347044,35.4071,0.323578393389,12.7305329894,21.3683208862,0.8405,10.5971344586,384.438869815,341.856587595,41.6009,-13.0931,12.725,12.7345
238.438380912,401.315689489,126.860532167,12.9462672955,0.444944,73,512.555433728,73,199.33020432,35.5644,0.310044739347,12.9485449305,6.82262858522,0.799241,23.4434557159,458.933330643,414.558927731,41.904,-13.3069,12.9446,12.953
275.948974343,428.552459338,88.3616466219,13.1694410791,0.500546,74,578.518739334,74,186.434753118,35.7162,0.320185268416,13.1725592236,103.802201537,0.789065,101.486477217,414.145258411,161.549017869,42.2492,-13.5316,13.1685,13.1779
272.23513823,537.408398125,167.391434473,13.3026374118,0.516502,75,562.453666525,75,200.544530825,35.8479,0.325224116038,13.3058660203,37.4008540068,0.788573,34.5735320006,457.66554429,394.960009908,42.6169,-13.6594,13.3001,13.3101
338.965765201,622.142330995,169.073758623,13.5052962859,0.542911,76,536.170977183,76,196.572707799,35.9705,0.336110189459,13.5078392791,5.09268405454,0.776703,40.353890592,436.438007644,393.621190573,42.9221,-13.8799,13.5042,13.5157
237.125964265,381.874755698,117.863536572,13.6659560817,0.508805,77,633.132202429,77,216.91131238,36.1086,0.334904377029,13.6694541937,33.7227291709,0.773349,39.5178863671,537.969881346,470.033116714,43.1827,-14.0531,13.6635,13.6753
250.094824138,543.703295226,140.082711141,13.9179806884,0.534235,78,575.574192111,78,199.76264829,36.3675,0.336091145715,13.9206903078,53.6342343452,0.766604,54.1782227296,468.572168564,279.825501629,43.4392,-14.3047,13.9164,13.9259
219.674843587,351.850688145,108.175640739,14.066171881,0.61161,79,594.243298025,79,204.0018017,36.5698,0.359214953983,14.0694960699,33.3074953118,0.816308,47.1042318026,479.665931055,331.178898823,43.784,-14.4671,14.0649,14.0772
307.89115102,446.059549327,127.810143095,14.3015164682,0.54644,80,552.961484412,80,201.092484703,36.6733,0.347581658799,14.3040640306,66.9585901384,0.815635,58.1038687869,470.645026173,156.142512615,44.0554,-14.7076,14.2994,14.3096
302.839945335,533.273053911,149.386481185,14.5064870012,0.630459,81,559.46456155,81,198.357622215,36.8013,0.354863801517,14.509387497,100.531257036,0.781066,95.1055629626,479.589542243,156.512224612,44.3565,-14.9052,14.5045,14.514
91.3161051407,258.247443187,64.7416058944,14.7012034726,0.678329,82,687.891825183,82,177.175027296,37.0213,0.367496718935,14.7038118197,11.458936201,0.789214,161.130208989,407.289960436,125.531427045,44.6811,-15.1141,14.6995,14.7092
192.067656133,353.064774611,113.4581046,14.8685204505,0.667062,83,678.484403066,83,186.775613232,37.1921,0.369011873004,14.8713588241,10.5167593692,0.782311,129.742686242,431.896177555,152.169532919,44.9761,-15.2836,14.8669,14.8779
175.350096347,447.447557218,124.337625364,15.1300952787,0.744588,84,468.445249883,84,164.798831631,37.3044,0.383477073712,15.1325737982,49.4268008126,0.813816,54.1502792606,333.135234181,273.316036024,45.2691,-15.5356,15.1276,15.1373
202.942757598,362.8388733,123.427970349,15.27553604,0.772156,85,722.877901652,85,222.100124639,37.4477,0.382049611287,15.2779316923,14.9029412642,0.760837,34.8866415551,651.165472633,534.074052642,45.5873,-15.6797,15.2743,15.2838
252.62331463,489.581305682,134.467552418,15.3958651312,0.716164,86,746.110695599,86,221.32773751,37.6296,0.382985282703,15.398460108,40.7127983314,0.777977,56.041609078,642.673880859,529.301865607,45.9333,-15.8193,15.3937,15.4045
298.040820171,504.828471838,107.935032424,15.6518529876,0.74682,87,576.076709029,87,177.502995713,37.7861,0.3908721593,15.6550707096,182.884824189,0.763725,90.1885442626,385.041510465,277.263795753,46.2723,-16.089,15.6492,15.6603
224.777112375,383.735702489,112.446620498,15.8875255659,0.903764,88,602.157462241,88,197.495398207,37.9544,0.410518530656,15.8907751852,17.3082591766,0.782717,59.76176468,477.050841754,341.542991808,46.5623,-16.3111,15.8861,15.8974
222.662083568,412.678207348,113.762550389,16.0361138277,0.745263,89,513.747188429,89,199.399528581,38.1325,0.392282155473,16.0387248535,74.9758890143,0.791862,27.5092451081,467.366003036,379.84029718,46.9317,-16.4626,16.0333,16.0419
257.636549717,470.227341783,119.496838111,16.1614573026,0.911042,90,627.404424915,90,190.59498024,38.2556,0.419600960145,16.1649948001,59.9739035237,0.790292,107.851839338,446.873091741,148.808494838,47.2491,-16.5826,16.1599,16.1717
163.487261082,376.929220622,106.247625754,16.3679066635,0.826236,91,690.357158363,91,186.955254166,38.4307,0.405383054561,16.3706480704,38.227040469,0.76032,144.925162802,450.431411665,146.076240196,47.5115,-16.7816,16.3661,16.3753
230.380041863,511.607475567,178.937900662,16.5232342948,0.94471,92,589.061071042,92,212.81482033,38.5896,0.427145435129,16.5264333127,14.5782247123,0.7556,18.0516172095,518.176858781,477.551399167,47.889,-16.9256,16.5208,16.531
173.281673185,393.116125931,138.376118524,16.7003550174,0.87619,93,630.428567781,93,219.778936773,38.7061,0.419186341553,16.7030090719,10.8610687878,0.797552,28.4137684602,570.395333341,501.757492608,48.1933,-17.1121,16.6984,16.7079
229.244771565,514.676158256,159.936231146,16.8137980801,1.06928,94,545.858192209,94,203.589968934,38.885,0.451574831384,16.8170087416,27.7130168649,0.776034,53.4421947865,476.565053162,393.265539293,48.5693,-17.2502,16.8122,16.8235
223.205984504,420.679499533,126.305787944,17.0201260988,0.935015,95,859.025019656,95,232.069667477,39.0848,0.427314677933,17.0232870739,18.9233046502,0.786452,84.6936369213,713.390798915,489.024806953,48.8354,-17.4442,17.0183,17.0305
262.750704425,704.087085313,228.909104708,17.195595813,1.02941,96,779.062663136,96,229.333674397,39.2056,0.436243409491,17.1997437469,44.4496030185,0.789947,66.9762168977,667.228547979,336.593737637,49.1056,-17.6126,17.1941,17.2082
178.316830384,497.088031799,162.864069273,17.3586997139,1.07636,97,726.860765254,97,220.568334838,39.324,0.460502109742,17.3621090201,16.5381565744,0.764445,39.8403364154,572.3642863,525.253622907,49.4096,-17.8134,17.3575,17.3682
313.927041358,565.728126653,171.715849145,17.5271773073,1.0026,98,1017.66927221,98,233.844168223,39.5329,0.449455808407,17.5315622347,44.9071257348,0.755606,65.4364270255,765.379652518,694.71935881,49.7158,-17.9707,17.5245,17.5393
264.509722642,754.881732952,246.950405429,17.7597210349,1.08729,99,788.494701112,99,232.596258335,39.616,0.44855250472,17.7648296462,17.976787322,0.733114,51.6908180027,684.933819875,562.130252781,49.9932,-18.1977,17.7584,17.7716
263.453179925,842.12589738,275.298963012,17.9364817378,0.969419,100,691.469260111,100,225.771153344,39.7745,0.453329770228,17.9419499885,19.1238055895,0.769794,44.7882746294,606.538243674,486.718802258,50.2185,-18.3883,17.9359,17.9481
169.773744121,573.592774633,209.971891013,18.1438742962,1.08731,101,730.60623371,101,230.444092495,39.8903,0.456484758994,18.1491443299,11.2953662033,0.75186,46.9346221456,644.62912895,483.14183969,50.4896,-18.5859,18.1403,18.1557
274.126218496,570.956903112,169.836875552,18.3238732134,1.20894,102,686.670568442,102,207.386727821,40.0267,0.470279453809,18.3289630468,20.4801360915,0.737361,75.2855763924,496.404438006,392.569040648,50.8153,-18.7337,18.324,18.3397
273.860965802,633.908649274,198.055424414,18.4311897851,1.11779,103,768.481800183,103,212.406822865,40.1956,0.467554571833,18.4360239932,8.47472022937,0.756102,129.476798806,694.724305837,219.576765939,51.1767,-18.8849,18.4284,18.4425
244.995921441,528.529700299,144.137410965,18.5941057708,1.19324,104,765.860552553,104,220.177928832,40.3736,0.478534299709,18.6000238642,12.4959096075,0.756898,90.041351872,586.789370891,472.345177886,51.4796,-19.0356,18.5922,18.6066
227.883641227,433.043947228,134.33110537,18.726559524,1.33745,105,727.800473351,105,204.801804356,40.4986,0.491373987586,18.7334053382,21.0805496801,0.779106,60.7886343568,463.513235959,425.455187689,51.8012,-19.1678,18.7267,18.7462
304.308436802,588.885367527,164.080753304,18.9133200421,1.03919,106,773.21117164,106,221.057585621,40.6682,0.465288799259,18.9199933096,41.1980903867,0.731275,85.9751517678,611.796574127,500.749949306,52.1288,-19.3649,18.9102,18.9277
180.952254862,432.40490776,156.893114486,19.1399299509,1.03873,107,748.171485817,107,219.49186269,40.8028,0.46277541241,19.1443446591,17.8018178686,0.725579,108.054637286,582.077363347,419.995095541,52.352,-19.5842,19.1377,19.1518
278.601887526,615.442338631,194.421451648,19.2266815038,1.33224,108,680.447831314,108,222.649317874,40.9731,0.500182007769,19.2315262607,48.2182339928,0.694093,50.42883512,572.807723852,523.392025782,52.6282,-19.6656,19.2233,19.2395
121.102670667,499.710526568,126.081775035,19.3839065259,1.25888,109,779.551613895,109,237.622767126,41.0923,0.486040664056,19.3873685136,7.07958776055,0.750764,34.7411727316,734.629010029,595.114750842,52.9373,-19.8404,19.3834,19.3987
211.003851425,553.689891061,191.263534138,19.584299656,1.29308,110,509.379723145,110,201.508330218,41.2389,0.496251024539,19.5884929455,5.65464337616,0.710908,18.669458014,467.757704973,375.555381762,53.1958,-20.0406,19.5814,19.5961
260.17955595,502.137530755,183.089500262,19.740966738,1.16494,111,648.110865394,111,227.87001561,41.3997,0.481598431797,19.7473887125,15.9276207418,0.719775,20.5694489323,614.137694832,537.572623039,53.4602,-20.2106,19.7402,19.757
245.786342467,577.637413308,177.667863473,19.8965163516,1.43815,112,703.292759386,112,185.41349948,41.5374,0.507742386238,19.9016881468,79.7071693166,0.803715,105.991564933,407.087020812,331.747182672,53.7419,-20.3633,19.8941,19.911
344.577342561,515.304365853,116.143559643,20.0438185344,1.42935,113,852.211349201,113,228.204188154,41.6493,0.50822342893,20.0497997443,150.998845417,0.7135,78.2790944717,650.530844432,499.348012806,53.9941,-20.4937,20.041,20.0563
246.118211492,456.464475096,128.728546606,20.1868703386,1.41562,114,503.487901973,114,190.883553473,41.8047,0.508469162163,20.192218897,70.9693057341,0.742147,58.6606791612,427.170351261,291.041303484,54.2605,-20.6548,20.1842,20.2
257.124756131,514.999175216,156.610122878,20.3579787389,1.43499,115,722.864608424,115,231.11638001,41.9185,0.519655071502,20.3641700416,59.5936027699,0.71768,50.837248209,635.762194719,558.281868491,54.5394,-20.85,20.3555,20.3715
225.964422937,619.870070233,184.771533829,20.544388759,1.31805,116,956.127821503,116,222.149904837,42.0622,0.507321147913,20.5498540703,18.6768305769,0.71003,102.410374049,605.368734893,457.406309355,54.801,-21.0341,20.542,20.5586
171.345795858,454.78063006,125.179420881,20.6333966594,1.38932,117,700.864348133,117,212.236317915,42.2436,0.511274859525,20.6391119154,9.10713822972,0.735922,46.8273929206,523.148742722,453.645121916,55.1012,-21.1215,20.6315,20.6485
315.292036046,641.408303348,148.115665191,20.8739349953,1.48376,118,577.777557776,118,206.018136127,42.3358,0.53145585144,20.8789232773,40.8078238151,0.76205,68.3143382784,497.247543902,332.717482403,55.4034,-21.3631,20.8717,20.886
215.746004818,521.214059101,173.239911863,20.9854928971,1.32089,119,928.115810453,119,231.903195804,42.4735,0.512892215653,20.9899407615,15.857991491,0.788374,81.1402035707,780.567200627,686.10311683,55.6556,-21.4635,20.9827,20.9972
298.20032298,653.00476183,223.933710927,21.1695486113,1.49402,120,815.422099539,120,235.180451837,42.6197,0.544078118374,21.174334615,30.9764807632,0.770705,49.8305542063,739.234193883,537.993197196,55.9848,-21.6533,21.167,21.1828
417.772344817,732.556474885,187.498113382,21.3958137491,1.31109,121,994.143188096,121,242.094120474,42.7299,0.517448492197,21.4014631705,134.847697906,0.729046,100.769279649,857.950801535,530.038704163,56.1826,-21.8601,21.3942,21.4116
273.854810637,606.665387015,153.691037309,21.558625239,1.47674,122,575.922429301,122,216.254658916,42.847,0.527375024201,21.5652435583,17.3727257776,0.723427,12.5970906201,551.586002671,521.480026393,56.4259,-22.0249,21.5563,21.5725
240.943391244,514.158201829,163.658101704,21.6194346098,1.59646,123,729.857055037,123,217.180443445,42.9383,0.547215478559,21.6272711545,16.8273596943,0.754754,97.0633055012,603.120673278,456.213282107,56.6976,-22.0953,21.6168,21.6333
374.158141792,633.886441608,199.990838073,21.7838036117,1.69608,124,466.617786979,124,190.17860908,43.0582,0.568343821691,21.7919033154,107.522954858,0.806993,26.9464449656,430.783111185,376.516011906,56.9639,-22.2646,21.7818,21.8005
