AverageY,StdReturn,AverageQ,Iteration,MaxReturn,StdEsReturn,AverageEsReturn,MinEsReturn,Epoch,PolicyRegParamNorm,AverageAbsQ,AverageDiscountedReturn,AveragePolicySurr,AverageAbsQYDiff,QFunRegParamNorm,AverageAction,MaxEsReturn,AverageQLoss,MinReturn,AverageAbsY,AverageReturn
18.7849423876,13.8005154887,18.7832,40,35.262209799,0.0,77.9715143287,77.9715143287,40,23.8289,18.7832,13.6583954006,-19.2849,0.411565589402,28.2062,0.97828,77.9715143287,0.901423,4.71947411236,18.7851265069,20.7506782562
18.8375371639,11.4131754253,18.8343,41,36.6435180356,0.0,55.5154515182,55.5154515182,41,24.0538,18.8343,22.3836727467,-19.2823,0.443579438726,28.4133,0.939798,55.5154515182,1.26651,-3.09360003155,18.8377720516,31.0376651911
19.5020023232,17.0026803043,19.4993,42,33.2899749833,0.0,23.6994074893,23.6994074893,42,24.2776,19.4993,16.3602329294,-19.9119,0.453228097879,28.6522,0.771011,23.6994074893,1.17168,-8.44333331087,19.5023593356,17.9860315993
20.2181221275,13.8862017791,20.2151,43,37.0530717573,0.0,37.6731083415,37.6731083415,43,24.5259,20.2151,20.3226240203,-20.5891,0.447967186101,28.8683,0.794683,37.6731083415,0.976901,2.76647738122,20.2184333558,25.8971842733
20.3178815413,15.8616089968,20.3146,44,38.7041052586,0.0,88.4937849566,88.4937849566,44,24.8409,20.3146,25.0758428219,-20.7327,0.489190751781,29.1414,0.926002,88.4937849566,1.47156,-3.53511616248,20.3181437729,29.8034761515
20.2852245371,3.68732383679,20.2825,45,38.6900568934,0.0,80.9806840718,80.9806840718,45,25.1001,20.2825,23.7179350938,-20.7378,0.473463304305,29.3803,0.738206,80.9806840718,1.48541,25.54219655,20.2855068133,35.6163944693
20.4502509474,6.02885450621,20.4469,46,35.6276439045,0.0,64.1437883183,64.1437883183,46,25.406,20.4469,21.0202478483,-20.9219,0.467990826554,29.6787,0.774769,64.1437883183,1.32945,22.175445144,20.45048753,27.4828150953
20.5632465153,5.17068316983,20.5602,47,38.1563651054,0.0,50.6362509773,50.6362509773,47,25.6582,20.5602,22.4425876628,-21.0745,0.466385893754,29.9995,0.929656,50.6362509773,1.50125,23.3766988759,20.563430417,32.9354722733
20.9289266998,3.41528226624,20.9256,48,36.6966305189,0.0,45.7385404371,45.7385404371,48,25.8573,20.9256,24.307526651,-21.4927,0.469160388585,30.2438,0.958404,45.7385404371,1.48064,24.5300969738,20.9292189774,34.3899197116
21.2570581091,5.68275186614,21.2557,49,39.2029523828,0.0,56.9279789106,56.9279789106,49,26.1132,21.2557,21.0884826464,-21.772,0.460236361091,30.5094,0.935173,56.9279789106,1.3788,22.8367852246,21.2573720088,30.8016966023
21.2933740344,4.84290440144,21.29,50,39.9120835482,0.0,56.6436264964,56.6436264964,50,26.3894,21.29,22.4630334542,-21.7635,0.455324754913,30.7954,0.881944,56.6436264964,1.31481,24.5885563344,21.2934569152,33.6730058193
21.4658188035,5.99457213702,21.4634,51,48.9934186197,0.0,39.816745549,39.816745549,51,26.639,21.4634,23.605531721,-21.9559,0.468545486371,31.0805,0.932976,39.816745549,1.19384,27.7936962248,21.4660329023,34.5509607054
21.6873049999,1.54517260568,21.6844,52,12.273840382,0.0,64.3816391966,64.3816391966,52,26.8688,21.6844,21.5174212419,-22.1697,0.499055664843,31.3672,0.919368,64.3816391966,1.72904,8.15460226934,21.6874302451,10.387649992
21.7367193548,2.99289050945,21.7338,53,5.62927779601,0.0,-0.712292297212,-0.712292297212,53,27.0765,21.7338,21.0771941563,-22.1733,0.472304972452,31.5542,0.926081,-0.712292297212,1.46691,-2.91697909894,21.7370819077,2.23965342955
21.83495382,2.45078726597,21.8328,54,10.6471464261,0.0,72.4189623693,72.4189623693,54,27.2907,21.8328,16.0305923792,-22.2349,0.473275105265,31.7693,0.928269,72.4189623693,1.53001,2.78592800484,21.8352759794,6.40109310914
21.9311710921,3.33318932089,21.9295,55,17.4119954256,0.0,91.2420796139,91.2420796139,55,27.5174,21.9295,20.2888251562,-22.289,0.449088931955,31.9804,0.863873,91.2420796139,1.38179,5.41699990249,21.9313697704,10.8804277984
22.1060249895,3.46482631406,22.1045,56,36.6100933034,0.0,11.5102014986,11.5102014986,56,27.7088,22.1045,18.1005321659,-22.4652,0.416289943144,32.1645,0.948274,11.5102014986,0.99544,24.0512262731,22.1062674612,29.0318912358
