StdReturn,AverageDiscountedReturn,AverageQ,AveragePolicySurr,AverageAbsQ,AverageEsReturn,QFunRegParamNorm,Iteration,MaxEsReturn,AverageAbsY,AverageAbsQYDiff,MinReturn,MinEsReturn,PolicyRegParamNorm,StdEsReturn,AverageQLoss,MaxReturn,AverageY,Epoch,AverageAction,AverageReturn
6.41759556776,147.841763323,12.1079,-13.1802,12.1815,202.598805681,24.2049,19,307.887779379,12.181577157,0.478842760733,254.771726814,12.3875021904,21.5316,90.2280697562,1.29482,287.24226246,12.1116032247,19,0.540742,274.44587412
6.54386534872,152.349032245,14.0342,-15.2469,14.098,183.414574581,25.8402,20,246.509993442,14.0979490822,0.532128780506,264.099616376,59.479878286,22.5324,55.8471215764,1.60519,295.92779994,14.0388462487,20,0.549173,283.380996035
4.64248629189,143.155549334,16.0248,-17.3477,16.0828,196.355456029,27.5256,21,282.718164728,16.0805549522,0.588388932684,242.826726977,80.0360039911,23.3838,69.0061885072,1.9596,262.030406946,16.028548737,21,0.639453,253.511772553
3.36249751436,155.885981442,18.1834,-19.598,18.2315,194.573950622,29.0719,22,285.102633188,18.2299349356,0.635862465581,284.194781292,86.3459503109,24.1098,73.6141370813,2.2853,299.254567874,18.189246085,22,0.642874,291.529783007
3.59005013893,150.671475905,20.3899,-21.9027,20.4305,233.048259885,30.6343,23,337.705188734,20.4278066617,0.698871567948,266.415395025,128.581126046,24.9915,64.6286238795,2.82713,283.214745633,20.3946454512,23,0.600468,273.828806316
2.42743480639,147.947105876,22.6348,-24.2167,22.673,221.605690639,32.1704,24,315.299138387,22.6694866785,0.749999898275,261.631987282,109.848039961,25.7446,60.8987546885,3.19324,272.5442386,22.6405340974,24,0.592269,267.379041465
4.18958469622,150.906042362,24.902,-26.5294,24.9362,229.542321843,33.6706,25,269.121340609,24.9316731297,0.79532484178,265.416860353,119.783250974,26.5383,44.8614453323,3.56166,285.675178832,24.9078517785,25,0.708068,275.558944891
10.0332104847,149.994011405,27.1605,-28.8397,27.1935,207.411837562,34.9421,26,293.615488692,27.1879539895,0.848101637051,252.0848256,55.711408986,27.1574,85.4420540905,3.9703,299.029864839,27.1661971168,26,0.722449,273.598884939
6.19638217685,162.536513412,29.4903,-31.2186,29.5225,283.292952621,36.1919,27,398.787657661,29.5148287321,0.897779111726,298.880017809,146.441567477,27.6435,62.4933832293,4.39118,337.021794626,29.4961188295,27,0.761333,310.204407882
6.25220934072,158.577945464,31.8079,-33.6115,31.8395,219.016774308,37.5004,28,305.331864674,31.8307984133,0.961658896172,285.158175085,97.7121344193,28.1449,78.4369658044,4.76515,319.535386158,31.8134028321,28,0.707441,301.440330577
8.30439129115,158.469371158,34.1348,-36.0061,34.1678,244.7930692,38.6594,29,346.679179329,34.1591775458,1.02423599734,276.503089889,24.7599264054,28.6182,115.640937174,5.29355,323.003765076,34.1417259269,29,0.722832,305.612305872
10.9634030398,162.702296587,36.5693,-38.4844,36.6025,243.580699016,39.7538,30,313.907248579,36.5911641626,1.06176241264,284.493927235,59.4932451208,29.1014,96.3487431251,5.40445,335.158760822,36.5742842112,30,0.71483,319.037165676
8.2154129569,164.416811286,38.8711,-40.8436,38.9027,238.454631882,40.7887,31,316.689445698,38.8919009756,1.09305172938,281.362445569,14.1291633905,29.5543,101.717808329,5.80439,332.058695018,38.8761405786,31,0.722661,320.455323486
7.53542363924,153.255161425,41.2559,-43.2591,41.2905,249.351316098,41.8267,32,327.879893414,41.2796449545,1.12841965934,273.661097075,106.970385129,29.9899,80.2724428146,6.03512,310.329779714,41.2644836122,32,0.647719,290.065376883
11.7856007986,156.56431557,43.601,-45.6273,43.6361,236.507546112,42.802,33,463.027391469,43.622314208,1.1602417836,271.460960642,21.2487422045,30.456,134.549873347,6.20762,315.877144467,43.60689775,33,0.673886,298.788143625
