Iteration,StdEsReturn,AveragePolicySurr,AverageAbsQ,AverageAction,AverageDiscountedReturn,AverageQLoss,StdReturn,AverageReturn,QFunRegParamNorm,PolicyRegParamNorm,MaxEsReturn,AverageY,MinEsReturn,Epoch,MaxReturn,MinReturn,AverageQ,AverageAbsQYDiff,AverageAbsY,AverageEsReturn
23,20.0116206139,-1.08827,1.0407,0.641888,45.4068894341,0.0215347,133.616913172,93.7872375874,13.3468,17.7213,31.5492687876,0.885536228574,-24.1085467487,23,527.735059378,-5.69699960633,0.885235,0.0864052504772,1.04547292024,4.91934561573
24,106.292450182,-1.18816,1.13052,0.730448,73.2709227847,0.0217508,169.290732473,189.496666528,13.7136,18.211,312.365575187,0.993913176591,11.1600928008,24,678.187067326,33.2934139318,0.9937,0.0887875714172,1.13575847089,166.833228031
25,126.555970043,-1.33135,1.24797,0.677909,126.610583786,0.0257098,66.786711695,305.668067301,14.0255,18.5928,380.607215382,1.13675997535,-0.716110459718,25,510.801774312,169.377743873,1.13618,0.0931725466045,1.25255002802,168.09977207
26,195.233271464,-1.47182,1.36665,0.749734,86.0009934881,0.0292231,174.445191327,245.642773597,14.3353,19.0167,632.210164911,1.27514105431,-5.13734476874,26,646.818347432,-13.1038994436,1.27449,0.096684803094,1.37086002258,240.087880792
27,154.541781328,-1.60214,1.48441,0.737704,62.3835922514,0.0315414,323.257729225,297.227781874,14.5974,19.5257,390.535688188,1.40711871965,7.76656969745,27,911.255151417,23.3422870478,1.40642,0.0992800716804,1.48806685509,178.252716372
28,222.194295389,-1.74507,1.61524,0.761946,122.44399239,0.037225,14.1782457656,306.878487814,14.9858,20.0317,668.730089454,1.54613480566,55.7820352133,28,336.745900434,281.351225542,1.54563,0.107441026572,1.6192671147,245.115144702
29,105.604791019,-1.90196,1.76192,0.818121,106.784759312,0.0444395,135.075548045,275.437034483,15.3196,20.3555,343.580111555,1.69757275202,31.6780748515,29,490.885004845,12.0992343604,1.69645,0.111732256112,1.76600936425,213.423304846
30,127.748656134,-2.07163,1.93236,0.803916,137.97669724,0.04995,36.3155591284,413.993510316,15.7287,20.7997,475.454492879,1.87461153345,155.183596964,30,467.159837821,281.7598701,1.87353,0.119941455503,1.93652439947,288.562822448
31,79.0573805245,-2.20557,2.06542,0.843182,139.328476009,0.0480398,34.5490692023,351.746439332,16.1203,21.2166,387.293126255,2.00972550609,181.754974229,31,481.792302509,281.399780911,2.00897,0.119445255924,2.06884805355,305.112698319
32,118.180494043,-2.35894,2.20796,0.811004,105.317979854,0.0545528,178.990349043,398.844891249,16.4978,21.64,403.688792364,2.15767173683,76.742414841,32,899.714514705,106.493852507,2.15667,0.127236501046,2.21112021817,285.489755985
